pair_id,coordinates,q1_range_deg,q2_range_deg,certified_leaf_cells,exact_brep_distance_calls,minimum_guaranteed_clearance_mm,status,required_clearance_mm,evidence_origin
BASE_UPPER:SHOULDER_SUPPORT:J2_X430,J1,-20.000000..70.000000,INVARIANT,1,0,32.893466622,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:J2_FR12_S102,J1,-20.000000..70.000000,INVARIANT,1,0,57.948684806,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,-20.000000..70.000000,INVARIANT,4,5,2.549189596,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,-20.000000..70.000000,INVARIANT,8,11,4.756254009,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:P11_FIXED_CATCH,J1,-20.000000..70.000000,INVARIANT,1,1,6.108414401,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:J2_X430,J1,-20.000000..70.000000,INVARIANT,2,1,43.040727020,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:J2_FR12_S102,J1,-20.000000..70.000000,INVARIANT,1,1,7.483300010,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:UPPER_PROX_ADAPTER,J1,-20.000000..70.000000,INVARIANT,1,0,23.772372216,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:UPPER_MEMBER,J1,-20.000000..70.000000,INVARIANT,2,2,4.680868642,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:P11_FIXED_CATCH,J1,-20.000000..70.000000,INVARIANT,1,0,43.164417902,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:J2_X430,J1,-20.000000..70.000000,INVARIANT,1,0,23.344853195,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:J2_FR12_S102,J1,-20.000000..70.000000,INVARIANT,1,0,48.114622838,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J1_H101:J2_FR12_H101,J2,INVARIANT,15.000000..115.000000,1,0,124.343932459,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_PROX_ADAPTER:J2_FR12_H101,J2,INVARIANT,15.000000..115.000000,1,0,114.823565872,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_MEMBER:J2_FR12_H101,J2,INVARIANT,15.000000..115.000000,1,0,14.824420622,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:P11_FIXED_CATCH:J2_FR12_H101,J2,INVARIANT,15.000000..115.000000,1,0,5.298565872,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:COLUMN:J2_FR12_H101,J1+J2,-20.000000..70.000000,15.000000..115.000000,1,0,30.246138104,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:SHOULDER_SUPPORT:J2_FR12_H101,J1+J2,-20.000000..70.000000,15.000000..115.000000,1,0,20.864881896,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:J1_BODY:J2_FR12_H101,J1+J2,-20.000000..70.000000,15.000000..115.000000,2,1,39.423763613,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:J1_S102:J2_FR12_H101,J1+J2,-20.000000..70.000000,15.000000..115.000000,1,0,13.795028527,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J1_H101:P11_LOWERED_STRIKER,J2,INVARIANT,15.000000..115.000000,1,0,108.814242848,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J1_H101:FORE_MEMBER_LOWERED,J2,INVARIANT,15.000000..115.000000,1,0,86.334879928,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J1_H101:FORE_DIST_H104_ADAPTER_LOWERED,J2,INVARIANT,15.000000..115.000000,1,0,106.760875970,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J1_H101:G1_H104_LOWERED,J2,INVARIANT,15.000000..115.000000,1,0,90.440732628,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:UPPER_PROX_ADAPTER:P11_LOWERED_STRIKER,J2,INVARIANT,15.000000..115.000000,1,0,99.293876260,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:UPPER_PROX_ADAPTER:FORE_MEMBER_LOWERED,J2,INVARIANT,15.000000..115.000000,1,0,76.703446549,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:UPPER_PROX_ADAPTER:FORE_DIST_H104_ADAPTER_LOWERED,J2,INVARIANT,15.000000..115.000000,1,0,96.518048867,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:UPPER_PROX_ADAPTER:G1_H104_LOWERED,J2,INVARIANT,15.000000..115.000000,1,0,80.205212933,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:UPPER_MEMBER:P11_LOWERED_STRIKER,J2,INVARIANT,15.000000..115.000000,1,1,4.912357793,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:UPPER_MEMBER:FORE_MEMBER_LOWERED,J2,INVARIANT,15.000000..115.000000,2,1,1.313578817,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:UPPER_MEMBER:FORE_DIST_H104_ADAPTER_LOWERED,J2,INVARIANT,15.000000..115.000000,1,0,4.048423821,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:UPPER_MEMBER:G1_H104_LOWERED,J2,INVARIANT,15.000000..115.000000,2,1,31.457389377,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:P11_FIXED_CATCH:FORE_MEMBER_LOWERED,J2,INVARIANT,15.000000..115.000000,3,3,4.110609417,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:P11_FIXED_CATCH:FORE_DIST_H104_ADAPTER_LOWERED,J2,INVARIANT,15.000000..115.000000,1,1,6.452378774,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:P11_FIXED_CATCH:G1_H104_LOWERED,J2,INVARIANT,15.000000..115.000000,2,1,26.082940114,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J2_X430:P11_LOWERED_STRIKER,J2,INVARIANT,15.000000..115.000000,17,31,4.798163098,CERTIFIED_NOMINAL_MODEL_SPACE,4.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J2_X430:FORE_MEMBER_LOWERED,J2,INVARIANT,15.000000..115.000000,6,9,1.667414508,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J2_X430:FORE_DIST_H104_ADAPTER_LOWERED,J2,INVARIANT,15.000000..115.000000,2,1,8.400897877,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J2_X430:G1_H104_LOWERED,J2,INVARIANT,15.000000..115.000000,2,1,4.216996083,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J2_FR12_S102:P11_LOWERED_STRIKER,J2,INVARIANT,15.000000..115.000000,4,4,1.869810398,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J2_FR12_S102:FORE_MEMBER_LOWERED,J2,INVARIANT,15.000000..115.000000,3,3,3.066172010,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J2_FR12_S102:FORE_DIST_H104_ADAPTER_LOWERED,J2,INVARIANT,15.000000..115.000000,1,1,4.640782037,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
UPPER_FORE:J2_FR12_S102:G1_H104_LOWERED,J2,INVARIANT,15.000000..115.000000,2,1,28.494437936,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:COLUMN:P11_LOWERED_STRIKER,J1+J2,-20.000000..70.000000,15.000000..115.000000,2,1,60.173550347,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:COLUMN:FORE_MEMBER_LOWERED,J1+J2,-20.000000..70.000000,15.000000..115.000000,2,1,7.408873113,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:COLUMN:FORE_DIST_H104_ADAPTER_LOWERED,J1+J2,-20.000000..70.000000,15.000000..115.000000,2,1,27.371181379,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:COLUMN:G1_H104_LOWERED,J1+J2,-20.000000..70.000000,15.000000..115.000000,3,2,42.888348585,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:SHOULDER_SUPPORT:P11_LOWERED_STRIKER,J1+J2,-20.000000..70.000000,15.000000..115.000000,2,1,52.717993442,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:SHOULDER_SUPPORT:FORE_MEMBER_LOWERED,J1+J2,-20.000000..70.000000,15.000000..115.000000,2,2,14.641946966,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:SHOULDER_SUPPORT:FORE_DIST_H104_ADAPTER_LOWERED,J1+J2,-20.000000..70.000000,15.000000..115.000000,2,1,21.556206831,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:SHOULDER_SUPPORT:G1_H104_LOWERED,J1+J2,-20.000000..70.000000,15.000000..115.000000,3,2,38.495758601,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:J1_BODY:P11_LOWERED_STRIKER,J1+J2,-20.000000..70.000000,15.000000..115.000000,2,1,28.463050071,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:J1_BODY:FORE_MEMBER_LOWERED,J1+J2,-20.000000..70.000000,15.000000..115.000000,4,3,38.539298653,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:J1_BODY:FORE_DIST_H104_ADAPTER_LOWERED,J1+J2,-20.000000..70.000000,15.000000..115.000000,2,1,9.374223373,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:J1_BODY:G1_H104_LOWERED,J1+J2,-20.000000..70.000000,15.000000..115.000000,4,3,42.504973297,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:J1_S102:P11_LOWERED_STRIKER,J1+J2,-20.000000..70.000000,15.000000..115.000000,2,1,59.425090059,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:J1_S102:FORE_MEMBER_LOWERED,J1+J2,-20.000000..70.000000,15.000000..115.000000,2,1,9.150693042,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:J1_S102:FORE_DIST_H104_ADAPTER_LOWERED,J1+J2,-20.000000..70.000000,15.000000..115.000000,2,1,33.937920784,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
BASE_FORE:J1_S102:G1_H104_LOWERED,J1+J2,-20.000000..70.000000,15.000000..115.000000,2,1,2.049118725,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P1.1 CHANGED-SOLID PAIR RECALCULATED
