predecessor_part_id,axis_id,predecessor_part_type,predecessor_state,successor,successor_state,placeholder_geometry_remaining_authoritative,successor_selected_for_procurement,remaining_validation,warning
JMOD_R_ANKLE_PITCH_OUTPUT_PULLEY,R_ANKLE_PITCH,OUTPUT_PULLEY_ENVELOPE,REDESIGN REQUIRED - SMOOTH ENVELOPE HAS NO TIMING TEETH OR FLANGES,GPA40GT5090-A-P12,SUPERSEDED BY INSTALLED MISUMI CATALOGUE PRODUCT CANDIDATE,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_ANKLE_ROLL_MOTOR_PULLEY,R_ANKLE_ROLL,MOTOR_PULLEY_ENVELOPE,REDESIGN REQUIRED - SMOOTH ENVELOPE HAS NO TIMING TEETH OR FLANGES,GPA20GT5090-A-P10,SUPERSEDED BY INSTALLED MISUMI CATALOGUE PRODUCT CANDIDATE,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_ANKLE_ROLL_OUTPUT_PULLEY,R_ANKLE_ROLL,OUTPUT_PULLEY_ENVELOPE,REDESIGN REQUIRED - SMOOTH ENVELOPE HAS NO TIMING TEETH OR FLANGES,GPA40GT5090-A-P12,SUPERSEDED BY INSTALLED MISUMI CATALOGUE PRODUCT CANDIDATE,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_ELBOW_PITCH_ACTUATOR_OUTPUT_COUPLER,R_ELBOW_PITCH,ACTUATOR_OUTPUT_COUPLER_PLACEHOLDER,REDESIGN REQUIRED - ACTUATOR/HORN/CLAMP INTERFACE ABSENT,DA-HN12-S10-L51,SUPERSEDED BY EDITABLE FLANGED BLIND-BORE SPLIT-CLAMP ADAPTER,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_GRIPPER_SYMMETRIC_DRIVE_COUPLER,R_GRIPPER,SYMMETRIC_DRIVE_COUPLER_PLACEHOLDER,REDESIGN REQUIRED - ACTUATOR/HORN/CLAMP INTERFACE ABSENT,detailed-grippers-p0.1 PINION + RACK_POSITIVE + RACK_NEGATIVE,SUPERSEDED BY EDITABLE MODULE-0.5 INVOLUTE PINION/RACK HAND MECHANISM,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_HIP_PITCH_MOTOR_PULLEY,R_HIP_PITCH,MOTOR_PULLEY_ENVELOPE,REDESIGN REQUIRED - SMOOTH ENVELOPE HAS NO TIMING TEETH OR FLANGES,GPA20GT5090-A-P10,SUPERSEDED BY INSTALLED MISUMI CATALOGUE PRODUCT CANDIDATE,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_HIP_PITCH_OUTPUT_PULLEY,R_HIP_PITCH,OUTPUT_PULLEY_ENVELOPE,REDESIGN REQUIRED - SMOOTH ENVELOPE HAS NO TIMING TEETH OR FLANGES,GPA30GT5090-A-P12,SUPERSEDED BY INSTALLED MISUMI CATALOGUE PRODUCT CANDIDATE,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_HIP_ROLL_MOTOR_PULLEY,R_HIP_ROLL,MOTOR_PULLEY_ENVELOPE,REDESIGN REQUIRED - SMOOTH ENVELOPE HAS NO TIMING TEETH OR FLANGES,GPA20GT5090-A-P10,SUPERSEDED BY INSTALLED MISUMI CATALOGUE PRODUCT CANDIDATE,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_HIP_ROLL_OUTPUT_PULLEY,R_HIP_ROLL,OUTPUT_PULLEY_ENVELOPE,REDESIGN REQUIRED - SMOOTH ENVELOPE HAS NO TIMING TEETH OR FLANGES,GPA40GT5090-A-P12,SUPERSEDED BY INSTALLED MISUMI CATALOGUE PRODUCT CANDIDATE,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_HIP_YAW_ACTUATOR_OUTPUT_COUPLER,R_HIP_YAW,ACTUATOR_OUTPUT_COUPLER_PLACEHOLDER,REDESIGN REQUIRED - ACTUATOR/HORN/CLAMP INTERFACE ABSENT,DA-HN13-S12-L61,SUPERSEDED BY EDITABLE FLANGED BLIND-BORE SPLIT-CLAMP ADAPTER,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_KNEE_PITCH_MOTOR_PULLEY,R_KNEE_PITCH,MOTOR_PULLEY_ENVELOPE,REDESIGN REQUIRED - SMOOTH ENVELOPE HAS NO TIMING TEETH OR FLANGES,GPA20GT5090-A-P10,SUPERSEDED BY INSTALLED MISUMI CATALOGUE PRODUCT CANDIDATE,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_KNEE_PITCH_OUTPUT_PULLEY,R_KNEE_PITCH,OUTPUT_PULLEY_ENVELOPE,REDESIGN REQUIRED - SMOOTH ENVELOPE HAS NO TIMING TEETH OR FLANGES,GPA40GT5090-A-P12,SUPERSEDED BY INSTALLED MISUMI CATALOGUE PRODUCT CANDIDATE,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_SHOULDER_PITCH_MOTOR_PULLEY,R_SHOULDER_PITCH,MOTOR_PULLEY_ENVELOPE,REDESIGN REQUIRED - SMOOTH ENVELOPE HAS NO TIMING TEETH OR FLANGES,GPA20GT5090-A-P10 / SD-10 installed shoulder drive,SUPERSEDED BY INSTALLED MISUMI CATALOGUE PRODUCT CANDIDATE,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_SHOULDER_PITCH_OUTPUT_PULLEY,R_SHOULDER_PITCH,OUTPUT_PULLEY_ENVELOPE,REDESIGN REQUIRED - SMOOTH ENVELOPE HAS NO TIMING TEETH OR FLANGES,GPA20GT5090-A-P10 / SD-10 installed shoulder drive,SUPERSEDED BY INSTALLED MISUMI CATALOGUE PRODUCT CANDIDATE,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_SHOULDER_ROLL_MOTOR_PULLEY,R_SHOULDER_ROLL,MOTOR_PULLEY_ENVELOPE,REDESIGN REQUIRED - SMOOTH ENVELOPE HAS NO TIMING TEETH OR FLANGES,GPA20GT5090-A-P10 / SD-10 installed shoulder drive,SUPERSEDED BY INSTALLED MISUMI CATALOGUE PRODUCT CANDIDATE,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_SHOULDER_ROLL_OUTPUT_PULLEY,R_SHOULDER_ROLL,OUTPUT_PULLEY_ENVELOPE,REDESIGN REQUIRED - SMOOTH ENVELOPE HAS NO TIMING TEETH OR FLANGES,GPA20GT5090-A-P10 / SD-10 installed shoulder drive,SUPERSEDED BY INSTALLED MISUMI CATALOGUE PRODUCT CANDIDATE,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
JMOD_R_WRIST_ROTATION_ACTUATOR_OUTPUT_COUPLER,R_WRIST_ROTATION,ACTUATOR_OUTPUT_COUPLER_PLACEHOLDER,REDESIGN REQUIRED - ACTUATOR/HORN/CLAMP INTERFACE ABSENT,DA-XC330-S6-L36,SUPERSEDED BY EDITABLE FLANGED BLIND-BORE SPLIT-CLAMP ADAPTER,NO,NO,PRODUCT RECEIPT OR MATERIAL/FIT/TOLERANCE/CAPACITY/DFM/FAI/PHYSICAL PROOF AS APPLICABLE,"PRELIMINARY - WHOLE-BODY TRANSMISSION GEOMETRY CANDIDATE ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
