item_id,closure_class,order_code_state,quantity_state,primary_source_state,application_state,allowed_action,closure_basis
BOM-027,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,R148 binds one each MV0-C01/C04/C05/C06/C07 to fifteen SHA-256-controlled P0.7 STEP/DXF/SVG identities and the existing DFM/FAI dataset. Provider/process selection qualified drawing review MTR and received interface evidence T-slot/fastener/stop/cable/guard/load proof all fifteen DFM holds separate first articles physical proof and qualified release remain open; no contact upload quotation purchase fabrication assembly motion or energization authority
BOM-028,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,Geometry exists; bench fastener and substrate evidence remain selection required
BOM-029,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,Exact black momentary 1NO operator frozen from current IDEC primary evidence; explicit RESET legend panel spacing guarding received terminal mapping continuity and human-factors review remain open; RESET has no motion authority
BOM-030,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,Exact green momentary 1NO operator frozen from current IDEC primary evidence to differ from black RESET; explicit ARM legend panel spacing guarding received terminal mapping continuity and human-factors review remain open
BOM-031,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,External 12 V 21 A candidate; source application reverse-current regeneration fault coordination mating harness and received tests remain open
BOM-032,evaluation_candidate,EXACT CANDIDATE,FROZEN FOR EVALUATION,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,PROGRAM OWNER APPROVAL REQUIRED FOR EVALUATION PURCHASE,Exact 24 V 1.66 A 40 W Class II wall-adapter candidate with factory YL4/C40337 locking output cord and Q blade kit; received plug identity/fit blade retention load startup branch protection site application and physical tests remain open
BOM-033,grouped_components_hold,COMPONENT EXPANSION REQUIRED,SYSTEM GROUP ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Project-side connector system frozen for 16 AWG with tool 63819-0900; exact wire order code/length distribution strain relief source-side contact construction unequal current sharing crimp pull retention polarity and stabilized thermal evidence remain open
BOM-034,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact panel-jack candidate for the GlobTek YL4/KPPX-4P-or-equal output cord; received plug identity fit pin-view continuity polarity PCB/harness panel mounting retention strain relief touch protection and thermal evidence remain open
BOM-035,integrated_no_separate_purchase,INTEGRATED IN PARENT ITEM,PARENT QUANTITY CONTROLS,CURRENT PRIMARY SOURCE RECORDED,RECEIVED VERIFICATION REQUIRED,INTEGRATED NO SEPARATE PURCHASE,"R163 reconciles the carrier-aware configuration: current Electrical V3-P1.15 contains one INJ1 and native DXL-STAR-P0.2 implements all three limited-postcarrier VDD branches on parent BOM-051. No separate injection-module purchase is required. BOM-051 current manufacturing data, BOM-087 carrier PCBAs, BOM-088/BOM-089 harnesses, BOM-090/BOM-091 mounting hardware, connectors, protection, waveform, no-backfeed, grounding, thermal, physical and qualified-review evidence remain open; no fabrication, assembly, connection, motion or energization is authorized."
BOM-036,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Two physically separate 40 V seven-channel packages; only OUT1 used per package; unused inputs tied low and unused outputs open; exact PCB COM bypass slew clamp polarity thermal brownout fault and HIL evidence required
BOM-037,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact non-isolated pinout frozen; branch protection load budget startup brownout output-fault EMC enclosed-thermal and received-unit evidence remain open
BOM-038,grouped_components_hold,COMPONENT EXPANSION REQUIRED,SYSTEM GROUP ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Ordinary optical signal interface only; exact PCB creepage clearance GPIO level LED current leakage edge timing power-sequence EMC open-short fault and HIL evidence required; no safety credit
BOM-039,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,"R168 freezes six feed-through bodies, the end cover, color/position mapping and controlled absence of jumpers. Two 3022218 restraints are allocated from BOM-085 and marker stock/text/process remain under BOM-062; do not duplicate them here. Conductors, insulation, gauge/color/length, direct-wire/ferrule method, tool/die, strip process, current/temperature/protection coordination, grounding, received identity, labels, rail retention, point-to-point evidence and qualified review remain SELECTION REQUIRED. No procurement, assembly, wiring or energization authority."
BOM-040,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,Exact implementation awaits EMC and parallel-path review against GST280A internal output-to-PE bond
BOM-041,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact amber 22 mm round-flush 24 VAC/DC screw-terminal pilot-light candidate; label RESET STAGE READY - DIAGNOSTIC ONLY / NO MOTION AUTHORITY; execute HR-V0-H1-RCV-P0.1 for received terminal/internal-circuit/polarity/current/brightness/mounting/human-factors evidence; no safety credit or procurement/wiring release
BOM-042,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,"Exact active catalog candidate only; high-side SPST topology matches the positive-only schematic and OFF-position padlock feature is documented. Conductor/lug system, source/load designation, fault/load-break duty, rear touch protection, received geometry, placement, zero-energy verification, human factors, Boston application review and physical tests remain required"
BOM-043,grouped_components_hold,COMPONENT EXPANSION REQUIRED,SYSTEM GROUP ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,V3-P1.0 retains MMA02040C1001FB300 ERJ6ENF5620V CGA3E2X7R1H103K080AA CRCW12102K70FKEA GRM21BR71H104KA01L ERJ6ENF1001V and ERJ6ENF1002V; routed PCB derating received measurements EMC fault injection HIL and qualified review remain required
BOM-044,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,Preliminary 820 x 320 x 50 mm catch space only; exact nest positions material thickness support fasteners rebound/slide limits and drop-test configuration remain SELECTION REQUIRED
BOM-045,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,Five controlled route zones exist; exact cable connector bundle diameter bend/twist/tension limits clamps flex life and mass allocation remain SELECTION REQUIRED
BOM-046,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,JWP1 project pin allocation frozen in V3-P1.0; official drawing land pattern received orientation conductor ferrule torque harness protection temperature and application evidence remain open
BOM-047,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,JWF1/JWH1 project pin allocations frozen in V3-P1.0; official drawing land pattern received orientation conductor ferrule torque harness retention EMC and application evidence remain open
BOM-048,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,"R166 retains the native PCB-P0.9 / Electrical V3-P1.14 board-title identity while binding it to the active P1.15 system through HR-V0-E2-P115-PARITY-P0.1 and source-bound HR-V0-WD-CAM-P0.2 review outputs: 10 Gerber/job files, 5 drill/map/report files, IPC-D-356, board statistics, native DRC 0, and exact 42-reference internal position parity. The CAM set is quarantined and not supplier-released; supplier-normalized XYRS, provider, process, stackup, material, copper, finish, mask, legend, tolerances, panelization, electrical test, DFM, first article, physical, HIL, EMC, thermal, and qualified-review evidence remain SELECTION REQUIRED; HR-V0-WD-CAM-P0.1 and historical PCB-P0.5 CAM are prohibited for supplier use; no contact, upload, quotation, fabrication, assembly, connection, motion, energization, or safety credit is authorized."
BOM-049,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact 32 V heavy-duty inline ATO holder candidate with 12 AWG GXL pigtails and 30 A holder maximum; fuse rating 12-to-16 AWG transition splice strain relief mounting and installed thermal evidence remain SELECTION REQUIRED
BOM-050,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact six-circuit ST Blade block candidate with negative bus and cover; 32 VDC 30 A/circuit and 100 A/block product maxima are not branch selections; terminals conductors mounting unused positions cover access and thermal evidence remain open
BOM-051,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,"R164 source-binds the carrier-aware P0.2 native board to quarantined internal CAM: 10 Gerber/job files, 5 drill/map/report files, IPC-D-356, native DRC 0, exact seven-connector placement parity, eighteen terminal mappings and four NPTH records. The R151 P0.1 CAM remains historical and may not fabricate P0.2. The P0.2 CAM is not supplier-released; provider/process, supplier-normalized XYRS, material/stackup/finish/tolerances, DFM, first article, connector/current, harness, protection, waveform, no-backfeed, return/PE/shield, thermal/load, physical, HIL, EMC and qualified-review evidence remain open; no contact, upload, quotation, fabrication, assembly, connection, motion, energization or safety credit is authorized."
BOM-052,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,One controller and three actuator headers; 2.5 mm EH family 3 A AWG22 series basis does not resolve the XM540 4.4 A stall-current conflict
BOM-053,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Three branch-power board headers; exact mating contacts depend on selected conductor and application evidence
BOM-054,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,"R153 allocates two loose housings only to the custom U2D2-to-JC1 controller cable; cavity 2 must remain empty at both ends. The three actuator-branch cables are integrated as BOM-086 and must not duplicate loose housings. Exact controller conductor, length, tooling, pull, retention, strain relief and received inspection remain SELECTION REQUIRED"
BOM-055,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,"R153 allocates four loose contacts only to controller-cable cavities 1 and 3 at both ends. The three actuator-branch cables are integrated as BOM-086 and must not duplicate loose contacts. Exact controller conductor compatibility, applicator/tool, strip/crimp geometry, pull, retention and temperature evidence remain SELECTION REQUIRED"
BOM-056,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Board-side power-input housings; exact wire contact crimp tool source-side terminal and retention remain SELECTION REQUIRED
BOM-057,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Candidate VH contact for a compatible selected conductor; wire range application current crimp tool pull retention and thermal evidence remain SELECTION REQUIRED
BOM-058,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact enlarged catalog-candidate pair adopted by HR-V0-CP-P0.6 after the smaller P0.5 panel could not honestly contain the compute installation; received fit mounting cable entries ventilation thermal rise bonding separation and qualified enclosure-system evidence remain open
BOM-059,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,R123 separates exact held rail duct and DR1-DR3 end-bracket candidates into BOM-083 through BOM-085. Exact backplate fasteners DR4 end retention rail/duct fasteners hole patterns coating preparation bonding hardware torque loads and qualified installation evidence remain SELECTION REQUIRED
BOM-060,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,Every conductor requires exact manufacturer order code insulation temperature voltage stranding color gauge length termination bundling and routing evidence
BOM-061,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,"R153 separates the only custom cable from three included ROBOTIS branch cables. Required pin map is 1 GND to 1 CTRL_GND, 2 EMPTY to 2 NO_NET_NO_COPPER, and 3 DATA to 3 DXL_DATA. Exact conductor order code, colors, length, routing, shield decision, strain relief, bend life, crimp tool/process, pull, continuity, isolation, no-backfeed, waveform and received evidence remain SELECTION REQUIRED"
BOM-062,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,"R169 freezes exact candidate material stocks and controlled text for six XT1 position markers, thirty device references, four operator legends and four large status/configuration legends. Configured material is one card of each, but manufacturer pack/minimum-order quantities are not installed quantities or purchase authority. Printer or marking service, consumables, approved artwork, placement, substrate preparation, adhesion, durability, received/as-built evidence, true two-end wire-marker stock/sleeves/schedule, Boston/US code-required markings and qualified review remain SELECTION REQUIRED. No procurement, printing, installation, wiring or energization authority."
BOM-063,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,R147 freezes the current UL/cUL P006-006 catalog candidate for Boston/US evaluation against the GST280A12-C6P Class-I C14 inlet. Exact premises branch protection makerspace policy code applicability received identity C13/C14 fit PE continuity route retention 95 A catalog inrush temperature abnormal behavior and qualified electrical acceptance remain open; no purchase connection or energization authority
BOM-064,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,R170 freezes the exact 64 GB card-only industrial microSD candidate from Kingston's current primary datasheet. Family pSLC-mode TLC 30K P/E power-failure protection wear-levelling ECC and health-monitoring statements are not Project Button validation; approved seller receiving identity 64 GB endurance allocation Pi 5 compatibility imaging filesystem abrupt-loss recovery retention current thermal and qualified-review evidence remain open
BOM-065,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,Exact hardware depends on surveyed bench substrate thickness edge distance permission and pull-out/shear proof
BOM-066,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,R57 freezes Accu SHKL-M5-20-A2-R360 plus MISUMI SCB2.5-20 and Accu HNN-M2.5-A2 as exact arm-interface candidates on hold; received stack tolerance engagement torque anti-galling locking reuse witness marking physical proof and all remaining structural fasteners remain SELECTION REQUIRED
BOM-067,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,Exact order codes depend on released cable diameters enclosure wall thickness bend radius pull load EMC and ingress strategy
BOM-068,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,Exact hardware and spacing depend on released guard material impact/retention proof access-probe results and service method
BOM-069,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,Every termination requires exact order code compatible conductor terminal tool strip length inspection and pull-test acceptance
BOM-070,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact 0.5 m straight USB-A-to-USB-C USB 2.0 candidate; current official datasheet states 480 Mbps 3.5 mm OD 22/30 AWG PVC jacket and aluminum-mylar foil with braid shield. Received identity host/U2D2 fit bend/retention pull/slip abrasion enumeration waveform common-mode no-backfeed power-sequencing EMC thermal and qualified application evidence remain open; cable operating environment must remain within the published 0 to 35 C range
BOM-071,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Two M8 x 16 BHSCS plus economy T-nut assemblies per 40-4332 bracket; 13 to 20 N m is a manufacturer guide only and actual-joint torque proof receiving inspection reuse rule and witness marking remain required
BOM-072,selection_required,SELECTION REQUIRED,SYSTEM GROUP OR CANDIDATE ONLY,SELECTION REQUIRED,SELECTION REQUIRED,HOLD,Exact manufacturer family ampere rating speed voltage interrupting rating power loss temperature derating and order codes require received WR9QI1660YL4NKITR6B/LC1D25BD behavior conductor ambient grouping time-current clearing evidence and qualified review
BOM-073,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact 2.2 mm-wide end-cover candidate for the open side of the proposed 3211861 holder group; received compatibility orientation grouping fit and qualified application evidence remain required
BOM-074,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact 6063-T6 clear-anodized 20 x 20 mm catalog profile candidate with four open T-slots; quantities and cut lengths follow HR-V0-GUARD-P0.3; written configuration received length/squareness identity joint calculation anchors and proof remain required
BOM-075,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact 20 Series dual-support inside-corner bracket candidate for the twenty modeled rail/post joints; published page gives geometry and suggested hardware but no project allowable; orientation access load torque fit slip and proof remain required
BOM-076,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Two manufacturer-suggested M5 x 8 BHSCS plus slide-in economy T-nut assemblies per 14201 joint; received identity torque locking reuse witness marking slip and proof remain required
BOM-077,exact_candidate_hold,EXACT CANDIDATE,CANDIDATE QUANTITY ONLY,CURRENT PRIMARY SOURCE RECORDED,SELECTION REQUIRED,HOLD,Exact manufacturer grade and nominal thickness candidate for eight outer panels plus five receiver pieces; PDS004 122022 values are typical and not specification values; supplier SKU stock thickness tolerance edge retention impact flame suitability and proof remain required
