reference,footprint,x_mm,y_mm,rotation_deg,side,state,warning
RPO4,Panasonic_ERJ6_Reflow_Nominal,98.000,37.200,90.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPU1,Panasonic_ERJ6_Reflow_Nominal,102.000,57.200,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPU2,Panasonic_ERJ6_Reflow_Nominal,102.000,49.200,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPU3,Panasonic_ERJ6_Reflow_Nominal,102.000,41.200,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RPU4,Panasonic_ERJ6_Reflow_Nominal,102.000,33.200,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSN1,Panasonic_ERJ6_Reflow_Nominal,42.000,57.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSN2,Panasonic_ERJ6_Reflow_Nominal,42.000,53.500,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSN3,Panasonic_ERJ6_Reflow_Nominal,42.000,42.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSN4,Panasonic_ERJ6_Reflow_Nominal,42.000,38.500,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSO1,Panasonic_ERJ6_Reflow_Nominal,71.500,58.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSO2,Panasonic_ERJ6_Reflow_Nominal,71.500,50.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSO3,Panasonic_ERJ6_Reflow_Nominal,71.500,42.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RSO4,Panasonic_ERJ6_Reflow_Nominal,71.500,34.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTH1,Vishay_MMA0204_IPC_Reflow,22.000,57.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTH2,Vishay_MMA0204_IPC_Reflow,22.000,53.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTH3,Vishay_MMA0204_IPC_Reflow,22.000,42.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RTH4,Vishay_MMA0204_IPC_Reflow,22.000,38.500,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RW2,Vishay_CRCW1210_Reflow,31.000,49.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RW3,Vishay_CRCW1210_Reflow,31.000,45.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
RW4,Vishay_CRCW1210_Reflow,31.000,35.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UBUF1,TI_DBV0005A_SOT23_5,83.000,58.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UBUF2,TI_DBV0005A_SOT23_5,83.000,50.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UBUF3,TI_DBV0005A_SOT23_5,83.000,42.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UBUF4,TI_DBV0005A_SOT23_5,83.000,34.000,0.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UOBS1,TI_DBQ0016A_Example_Land,60.000,55.000,180.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
UOBS2,TI_DBQ0016A_Example_Land,60.000,40.000,180.000,TOP,CANDIDATE - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
