sheet,reference,terminal,function,net,state,warning
02_sr1_sra1_inputs.kicad_sch,RSN1,2,CURRENT LIMIT B,SR1_IN,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,CFI1,1,SENSE,SR1_SENSE,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,CFI1,2,FIELD RETURN,SAFETY_0V,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,1,GND1,COMPUTE_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,2,VCC1,PI_3V3_CANDIDATE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,3,EN TIED HIGH,PI_3V3_CANDIDATE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,4,OUT1,OBS_SR1_RAW,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,5,OUT2,OBS_SRA1_RAW,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,6,NC,INTENTIONALLY_UNUSED_UOBS1_6,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,7,NC,INTENTIONALLY_UNUSED_UOBS1_7,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,8,GND1,COMPUTE_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,9,SUB2 FLOAT,INTENTIONALLY_UNUSED_UOBS1_9,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,10,SENSE2,SRA1_SENSE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,11,IN2,SRA1_IN,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,12,FGND2,SAFETY_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,13,SUB1 FLOAT,INTENTIONALLY_UNUSED_UOBS1_13,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,14,FGND1,SAFETY_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,15,IN1,SR1_IN,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,UOBS1,16,SENSE1,SR1_SENSE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RTH2,1,TYPE-3 THRESHOLD/SURGE A,SRA1_STATUS,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RTH2,2,TYPE-3 THRESHOLD/SURGE B,SRA1_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RSN2,1,CURRENT LIMIT A,SRA1_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RSN2,2,CURRENT LIMIT B,SRA1_IN,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,CFI2,1,SENSE,SRA1_SENSE,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,CFI2,2,FIELD RETURN,SAFETY_0V,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RW2,1,WETTING/BLEED SHUNT A,SRA1_STATUS,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
02_sr1_sra1_inputs.kicad_sch,RW2,2,WETTING/BLEED SHUNT B,SAFETY_0V,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RTH3,1,TYPE-3 THRESHOLD/SURGE A,K1_STATUS,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RTH3,2,TYPE-3 THRESHOLD/SURGE B,K1_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RSN3,1,CURRENT LIMIT A,K1_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RSN3,2,CURRENT LIMIT B,K1_IN,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,CFI3,1,SENSE,K1_SENSE,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,CFI3,2,FIELD RETURN,SAFETY_0V,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RW3,1,WETTING/BLEED SHUNT A,K1_STATUS,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RW3,2,WETTING/BLEED SHUNT B,SAFETY_0V,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,1,GND1,COMPUTE_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,2,VCC1,PI_3V3_CANDIDATE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,3,EN TIED HIGH,PI_3V3_CANDIDATE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,4,OUT1,OBS_K1_RAW,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,5,OUT2,OBS_K2_RAW,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,6,NC,INTENTIONALLY_UNUSED_UOBS2_6,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,7,NC,INTENTIONALLY_UNUSED_UOBS2_7,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,8,GND1,COMPUTE_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,9,SUB2 FLOAT,INTENTIONALLY_UNUSED_UOBS2_9,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,10,SENSE2,K2_SENSE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,11,IN2,K2_IN,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,12,FGND2,SAFETY_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,13,SUB1 FLOAT,INTENTIONALLY_UNUSED_UOBS2_13,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,14,FGND1,SAFETY_0V,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,15,IN1,K1_IN,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,UOBS2,16,SENSE1,K1_SENSE,EXACT IC CANDIDATE - PCB/EMC/FAULT/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RTH4,1,TYPE-3 THRESHOLD/SURGE A,K2_STATUS,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RTH4,2,TYPE-3 THRESHOLD/SURGE B,K2_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RSN4,1,CURRENT LIMIT A,K2_SENSE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RSN4,2,CURRENT LIMIT B,K2_IN,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,CFI4,1,SENSE,K2_SENSE,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,CFI4,2,FIELD RETURN,SAFETY_0V,EXACT COMPONENT CANDIDATE - DC-BIAS/PCB/EMC HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RW4,1,WETTING/BLEED SHUNT A,K2_STATUS,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
03_k1_k2_inputs.kicad_sch,RW4,2,WETTING/BLEED SHUNT B,SAFETY_0V,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
04_compute_outputs.kicad_sch,RSO1,1,ISO OUTPUT FAULT LIMIT A,OBS_SR1_RAW,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
04_compute_outputs.kicad_sch,RSO1,2,ISO OUTPUT FAULT LIMIT B,OBS_SR1_BUF_IN,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
04_compute_outputs.kicad_sch,RPD1,1,BUFFER INPUT FAIL-LOW A,OBS_SR1_BUF_IN,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
04_compute_outputs.kicad_sch,RPD1,2,BUFFER INPUT FAIL-LOW B,COMPUTE_0V,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
04_compute_outputs.kicad_sch,RPU1,1,OPEN-DRAIN PULL-UP A,OBS_SR1_BUF_OUT,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
04_compute_outputs.kicad_sch,RPU1,2,OPEN-DRAIN PULL-UP B,PI_3V3_CANDIDATE,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
04_compute_outputs.kicad_sch,RGP1,1,GPIO PATH FAULT LIMIT A,OBS_SR1_BUF_OUT,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
04_compute_outputs.kicad_sch,RGP1,2,GPIO PATH FAULT LIMIT B,OBS_SR1_PI,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
04_compute_outputs.kicad_sch,RPO1,1,CARRIER-SIDE FAIL-LOW A,OBS_SR1_PI,EXACT COMPONENT CANDIDATE - APPLICATION/PCB/PHYSICAL HOLD,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
