net,node_count,nodes,warning
K1_SENSE,4,03_k1_k2_inputs.kicad_sch:RTH3:2 | 03_k1_k2_inputs.kicad_sch:RSN3:1 | 03_k1_k2_inputs.kicad_sch:CFI3:1 | 03_k1_k2_inputs.kicad_sch:UOBS2:16,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K1_STATUS,3,01_boundaries.kicad_sch:JFIELD1:3 | 03_k1_k2_inputs.kicad_sch:RTH3:1 | 03_k1_k2_inputs.kicad_sch:RW3:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K2_IN,2,03_k1_k2_inputs.kicad_sch:UOBS2:11 | 03_k1_k2_inputs.kicad_sch:RSN4:2,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K2_SENSE,4,03_k1_k2_inputs.kicad_sch:UOBS2:10 | 03_k1_k2_inputs.kicad_sch:RTH4:2 | 03_k1_k2_inputs.kicad_sch:RSN4:1 | 03_k1_k2_inputs.kicad_sch:CFI4:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
K2_STATUS,3,01_boundaries.kicad_sch:JFIELD1:4 | 03_k1_k2_inputs.kicad_sch:RTH4:1 | 03_k1_k2_inputs.kicad_sch:RW4:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_K1_BUF_IN,3,04_compute_outputs.kicad_sch:RSO3:2 | 04_compute_outputs.kicad_sch:RPD3:1 | 04_compute_outputs.kicad_sch:UBUF3:2,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_K1_BUF_OUT,3,04_compute_outputs.kicad_sch:RPU3:1 | 04_compute_outputs.kicad_sch:RGP3:1 | 04_compute_outputs.kicad_sch:UBUF3:4,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_K1_PI,3,01_boundaries.kicad_sch:JLOGIC1:5 | 04_compute_outputs.kicad_sch:RGP3:2 | 04_compute_outputs.kicad_sch:RPO3:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_K1_RAW,2,03_k1_k2_inputs.kicad_sch:UOBS2:4 | 04_compute_outputs.kicad_sch:RSO3:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_K2_BUF_IN,3,04_compute_outputs.kicad_sch:RSO4:2 | 04_compute_outputs.kicad_sch:RPD4:1 | 04_compute_outputs.kicad_sch:UBUF4:2,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_K2_BUF_OUT,3,04_compute_outputs.kicad_sch:RPU4:1 | 04_compute_outputs.kicad_sch:RGP4:1 | 04_compute_outputs.kicad_sch:UBUF4:4,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_K2_PI,3,01_boundaries.kicad_sch:JLOGIC1:6 | 04_compute_outputs.kicad_sch:RGP4:2 | 04_compute_outputs.kicad_sch:RPO4:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_K2_RAW,2,03_k1_k2_inputs.kicad_sch:UOBS2:5 | 04_compute_outputs.kicad_sch:RSO4:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_SR1_BUF_IN,3,04_compute_outputs.kicad_sch:RSO1:2 | 04_compute_outputs.kicad_sch:RPD1:1 | 04_compute_outputs.kicad_sch:UBUF1:2,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_SR1_BUF_OUT,3,04_compute_outputs.kicad_sch:RPU1:1 | 04_compute_outputs.kicad_sch:RGP1:1 | 04_compute_outputs.kicad_sch:UBUF1:4,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_SR1_PI,3,01_boundaries.kicad_sch:JLOGIC1:3 | 04_compute_outputs.kicad_sch:RGP1:2 | 04_compute_outputs.kicad_sch:RPO1:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_SR1_RAW,2,02_sr1_sra1_inputs.kicad_sch:UOBS1:4 | 04_compute_outputs.kicad_sch:RSO1:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_SRA1_BUF_IN,3,04_compute_outputs.kicad_sch:RSO2:2 | 04_compute_outputs.kicad_sch:RPD2:1 | 04_compute_outputs.kicad_sch:UBUF2:2,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_SRA1_BUF_OUT,3,04_compute_outputs.kicad_sch:RPU2:1 | 04_compute_outputs.kicad_sch:RGP2:1 | 04_compute_outputs.kicad_sch:UBUF2:4,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_SRA1_PI,3,01_boundaries.kicad_sch:JLOGIC1:4 | 04_compute_outputs.kicad_sch:RGP2:2 | 04_compute_outputs.kicad_sch:RPO2:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS_SRA1_RAW,2,02_sr1_sra1_inputs.kicad_sch:UOBS1:5 | 04_compute_outputs.kicad_sch:RSO2:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PI_3V3_CANDIDATE,19,01_boundaries.kicad_sch:JLOGIC1:1 | 02_sr1_sra1_inputs.kicad_sch:UOBS1:2 | 02_sr1_sra1_inputs.kicad_sch:UOBS1:3 | 03_k1_k2_inputs.kicad_sch:UOBS2:2 | 03_k1_k2_inputs.kicad_sch:UOBS2:3 | 04_compute_outputs.kicad_sch:RPU1:2 | 04_compute_outputs.kicad_sch:RPU2:2 | 04_compute_outputs.kicad_sch:RPU3:2 | 04_compute_outputs.kicad_sch:RPU4:2 | 04_compute_outputs.kicad_sch:UBUF1:5 | 04_compute_outputs.kicad_sch:UBUF2:5 | 04_compute_outputs.kicad_sch:UBUF3:5 | 04_compute_outputs.kicad_sch:UBUF4:5 | 04_compute_outputs.kicad_sch:CDEC1:1 | 04_compute_outputs.kicad_sch:CDEC2:1 | 04_compute_outputs.kicad_sch:CDEC3:1 | 04_compute_outputs.kicad_sch:CDEC4:1 | 04_compute_outputs.kicad_sch:CDEC5:1 | 04_compute_outputs.kicad_sch:CDEC6:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SAFETY_0V,12,01_boundaries.kicad_sch:JFIELD1:5 | 02_sr1_sra1_inputs.kicad_sch:CFI1:2 | 02_sr1_sra1_inputs.kicad_sch:UOBS1:12 | 02_sr1_sra1_inputs.kicad_sch:UOBS1:14 | 02_sr1_sra1_inputs.kicad_sch:CFI2:2 | 02_sr1_sra1_inputs.kicad_sch:RW2:2 | 03_k1_k2_inputs.kicad_sch:CFI3:2 | 03_k1_k2_inputs.kicad_sch:RW3:2 | 03_k1_k2_inputs.kicad_sch:UOBS2:12 | 03_k1_k2_inputs.kicad_sch:UOBS2:14 | 03_k1_k2_inputs.kicad_sch:CFI4:2 | 03_k1_k2_inputs.kicad_sch:RW4:2,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SR1_IN,2,02_sr1_sra1_inputs.kicad_sch:RSN1:2 | 02_sr1_sra1_inputs.kicad_sch:UOBS1:15,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SR1_SENSE,4,02_sr1_sra1_inputs.kicad_sch:RTH1:2 | 02_sr1_sra1_inputs.kicad_sch:RSN1:1 | 02_sr1_sra1_inputs.kicad_sch:CFI1:1 | 02_sr1_sra1_inputs.kicad_sch:UOBS1:16,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SR1_STATUS,2,01_boundaries.kicad_sch:JFIELD1:1 | 02_sr1_sra1_inputs.kicad_sch:RTH1:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRA1_IN,2,02_sr1_sra1_inputs.kicad_sch:UOBS1:11 | 02_sr1_sra1_inputs.kicad_sch:RSN2:2,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRA1_SENSE,4,02_sr1_sra1_inputs.kicad_sch:UOBS1:10 | 02_sr1_sra1_inputs.kicad_sch:RTH2:2 | 02_sr1_sra1_inputs.kicad_sch:RSN2:1 | 02_sr1_sra1_inputs.kicad_sch:CFI2:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SRA1_STATUS,3,01_boundaries.kicad_sch:JFIELD1:2 | 02_sr1_sra1_inputs.kicad_sch:RTH2:1 | 02_sr1_sra1_inputs.kicad_sch:RW2:1,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
