case_id,stage,circuit,references,nets,source_state,injection_or_action,required_monitors,acceptance_basis,mandatory_prerequisites,execution_state,warning
BF-011,B - LIMITED ENERGY,K1 feedback discrepancy,K1 terminals 21/22 and 13/14; XT1-05,EDM_K1_OUT; K1_STATUS,SEPARATE CURRENT-LIMITED 24 V FIXTURE ONLY,Inject an accepted K1 auxiliary/mirror-contact discrepancy without modifying released hardware.,EDM chain; K1_STATUS; safety-relay state; reset acceptance; watchdog permit,"Restart is inhibited, actuator-power eligibility is denied, and clearing the injection alone cannot command motion.",Qualified injection method; contact classification accepted; reset/EDM safety requirements allocated.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-012,B - LIMITED ENERGY,K2 feedback discrepancy,K2 terminals 21/22 and 13/14; XT1-06,EDM_K1_OUT; K2_STATUS,SEPARATE CURRENT-LIMITED 24 V FIXTURE ONLY,Inject an accepted K2 auxiliary/mirror-contact discrepancy without modifying released hardware.,EDM chain; K2_STATUS; safety-relay state; reset acceptance; watchdog permit,"Restart is inhibited, actuator-power eligibility is denied, and clearing the injection alone cannot command motion.",Qualified injection method; contact classification accepted; reset/EDM safety requirements allocated.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-013,B - LIMITED ENERGY,TTL-to-VDD miswire,INJ1/J1/J2/J3 pins 2-3,DXL_TTL_DATA; J1_VDD; J2_VDD; J3_VDD,SEPARATE DAMAGE-LIMITED INTERFACE FIXTURE ONLY,Apply the approved miswire emulator between DATA and one VDD output in turn; no actuator is connected.,fixture source current; DATA voltage; all VDD rails; U2D2 port state,"Energy stays within accepted fixture/component limits, no unintended VDD reaches U1, and the fault is detected before reuse.",Damage-energy bound; sacrificial interface article; U2D2 manufacturer/application disposition; qualified plan.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-014,C - GUARDED FAULT FIXTURE,Branch-1 downstream short,F1; INJ1 PWR1/ACT1; J1 pin 2,ACT_12V_BUS; J1_VDD; ACT_0V_PE_BONDED,PROGRAMMABLE CURRENT-LIMITED SOURCE IN GUARDED FIXTURE; NO ACTUATOR,Close a rated remote fault element from J1_VDD to return at the released worst-case branch impedance.,bidirectional source/branch current; source and branch voltage; fuse state; conductor/connector/holder temperatures,Selected protection clears or source limitation holds before any selected conductor/connector/holder limit; no damage or cross-branch energization.,EG-014 coordination accepted; exact F1/harness/connector selected; fault energy analysis; remote guarded fixture; qualified authorization.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-015,C - GUARDED FAULT FIXTURE,Branch-2 downstream short,F2; INJ1 PWR2/ACT2; J2 pin 2,ACT_12V_BUS; J2_VDD; ACT_0V_PE_BONDED,PROGRAMMABLE CURRENT-LIMITED SOURCE IN GUARDED FIXTURE; NO ACTUATOR,Close a rated remote fault element from J2_VDD to return at the released worst-case branch impedance.,bidirectional source/branch current; source and branch voltage; fuse state; conductor/connector/holder temperatures,Selected protection clears or source limitation holds before any selected conductor/connector/holder limit; no damage or cross-branch energization.,EG-014 coordination accepted; exact F2/harness/connector selected; fault energy analysis; remote guarded fixture; qualified authorization.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-016,C - GUARDED FAULT FIXTURE,Branch-3 downstream short,F3; INJ1 PWR3/ACT3; J3 pin 2,ACT_12V_BUS; J3_VDD; ACT_0V_PE_BONDED,PROGRAMMABLE CURRENT-LIMITED SOURCE IN GUARDED FIXTURE; NO ACTUATOR,Close a rated remote fault element from J3_VDD to return at the released worst-case branch impedance.,bidirectional source/branch current; source and branch voltage; fuse state; conductor/connector/holder temperatures,Selected protection clears or source limitation holds before any selected conductor/connector/holder limit; no damage or cross-branch energization.,EG-014 coordination accepted; exact F3/harness/connector selected; fault energy analysis; remote guarded fixture; qualified authorization.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-017,C - GUARDED FAULT FIXTURE,K1 coil downstream short,FSR1; K1 A1/A2,SRA1_K1_RAW; K1_A1; SAFETY_0V,PROGRAMMABLE CURRENT-LIMITED 24 V SOURCE IN GUARDED FIXTURE,Close a rated remote fault element downstream of FSR1 with the contactor coil replaced by the approved fixture load.,source/branch current; voltage; fuse state; holder/conductor temperature; K1/K2 command and feedback,"Selected FSR1 protection clears/limits before damage and cannot energize K1, K2, or create a restart command.",EG-014 coordination accepted; exact FSR1 and conductors selected; guarded fixture; qualified authorization.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-018,C - GUARDED FAULT FIXTURE,K2 coil downstream short,FSR2; K2 A1/A2,SRA1_K2_RAW; K2_A1; SAFETY_0V,PROGRAMMABLE CURRENT-LIMITED 24 V SOURCE IN GUARDED FIXTURE,Close a rated remote fault element downstream of FSR2 with the contactor coil replaced by the approved fixture load.,source/branch current; voltage; fuse state; holder/conductor temperature; K1/K2 command and feedback,"Selected FSR2 protection clears/limits before damage and cannot energize K1, K2, or create a restart command.",EG-014 coordination accepted; exact FSR2 and conductors selected; guarded fixture; qualified authorization.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-019,C - GUARDED FAULT FIXTURE,Main-bus downstream short,F0; SD1; KP1; KP2,ACT_12V_FUSED; K1_P1_IN; K1_OUT; ACT_12V_BUS,PROGRAMMABLE CURRENT-LIMITED SOURCE IN GUARDED FIXTURE; BRANCHES REPLACED BY FIXTURE,Close a rated remote fault element at ACT_12V_BUS using the accepted worst-case loop impedance; never short the robot supply directly.,source/bus current; all chain voltages; F0/SD1/KP1/KP2 temperatures and state; enclosure event video,"Selected upstream protection/source limitation prevents conductor, holder, disconnect or contactor damage and leaves the bus de-energized after isolation.",EG-014 accepted; exact source characterization; contactor/DC application accepted; arc/energy study; guarded qualified authorization.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-020,C - GUARDED FAULT FIXTURE,Cross-branch fault,F1; F2; INJ1; J1 pin 2; J2 pin 2,J1_VDD; J2_VDD,TWO GALVANICALLY CONTROLLED DAMAGE-LIMITED FIXTURE CHANNELS; NO ACTUATORS,Apply the approved cross-branch potential through a rated remote fault element between J1_VDD and J2_VDD.,both branch currents/voltages; fuse states; common bus; temperatures; isolation monitor,"No branch exceeds accepted limits, fault response is deterministic, and removal leaves neither branch unexpectedly energized.",Cross-source energy analysis; exact protection; accepted grounding topology; guarded fixture and qualified authorization.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-021,C - GUARDED FAULT FIXTURE,Output backfeed attempt,F1; INJ1; J1 pin 2,J1_VDD; ACT_12V_BUS; ACT_12V_RAW,PRIMARY SOURCE ABSENT; DAMAGE-LIMITED FOUR-QUADRANT FIXTURE SOURCE,Apply the bounded reverse-polarity-correct source at J1_VDD and observe propagation toward ACT_12V_BUS/RAW.,bidirectional branch/bus current; all bus voltages; F1/carrier state; source sink status; temperature,Reverse energy follows the qualified disposition and remains within every selected component/source limit; unexpected upstream energization is a failure.,R156 reverse-current hold closed; sink capability accepted; exact carrier variant and branch hardware; guarded authorization.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-022,D - CONFIGURED DISTRIBUTION,Regenerative pulse response,J1/J2/J3; candidate branch carrier; F1/F2/F3,J1_VDD; J2_VDD; J3_VDD; ACT_12V_BUS,PRIMARY SOURCE/LOAD EMULATORS ONLY; NO ROBOT MECHANISM,Inject the qualified branch-by-branch and simultaneous bidirectional pulse envelopes using programmable emulators.,synchronized bidirectional branch/bus currents; all rail voltages; source status; shunt/eFuse temperatures; fault flags,No voltage/current/energy/thermal limit is exceeded; no false reset or motion command occurs; repeated behavior matches accepted tolerances.,Measured actuator regenerative envelope; R156 H05/H06/H07 closed; source sink/foldback disposition; qualified test authorization.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-023,D - CONFIGURED DISTRIBUTION,Contactor opening under bounded load,KP1; KP2; F0-F3; SD1,K1_P1_IN; K1_OUT; ACT_12V_BUS; J1_VDD; J2_VDD; J3_VDD,PROGRAMMABLE LOADS ONLY; NO ROBOT MECHANISM,Open K1 and K2 in every accepted sequence at bounded forward and reverse current; include one commanded device failing to open by fixture injection.,individual contactor voltage/current; mirror/status; rail decay; source status; arc/event video; post-test resistance,Redundant interruption and diagnostics satisfy the allocated numeric stopping/power-removal requirements without automatic restart.,Qualified contactor DC application; numeric SRS/PLr allocation; source/protection coordination; guarded authorization.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
BF-024,D - CONFIGURED DISTRIBUTION,Single-branch open while peers remain available,F1/F2/F3; INJ1; J1/J2/J3,ACT_12V_BUS; J1_VDD; J2_VDD; J3_VDD; DXL_TTL_DATA,PROGRAMMABLE LOADS OR RESTRAINED ACTUATORS ONLY UNDER LATER AUTHORIZATION,"Open each branch in turn during a zero-motion diagnostic state; verify peers, supervisor fault handling, reset and re-enable behavior.",all branch currents/voltages; DXL status; supervisor log; safety state; motion-command trace,The affected branch is detected and held nonmoving; reset/reconnection cannot command motion; re-enable requires a separate deliberate command.,Cases BF-001 through BF-023 accepted; restrained setup; released zero-motion procedure; qualified electrical/safety authorization.,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
