reference,terminal,function,net,state,warning
EVMBJ4,J4-9,FAST INPUT 1,EVMB_IN1,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ4,J4-8,FAST INPUT 2,EVMB_IN2,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ4,J4-7,FAST INPUT 3,EVMB_IN3,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ4,J4-6,FAST INPUT 4,EVMB_IN4_DNP,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ4,J4-1,FIELD GND,SAFETY_0V_TAP_CANDIDATE,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ2,J1-2,VCC1 MAX 5 V,DAQ_VS_5V_CANDIDATE,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ2,J1-1,GND1,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ2,J2-2,OUTPUT 1,EVMA_OUT1,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ2,J2-4,OUTPUT 2,EVMA_OUT2,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ2,J2-6,OUTPUT 3,EVMA_OUT3,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ2,J2-8,OUTPUT 4,EVMA_OUT4,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ2,J2-1,GND1,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ2,J2-3,GND1,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ2,J2-5,GND1,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMAJ2,J2-7,GND1,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ2,J1-2,VCC1 MAX 5 V,DAQ_VS_5V_CANDIDATE,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ2,J1-1,GND1,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ2,J2-2,OUTPUT 1,EVMB_OUT1,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ2,J2-4,OUTPUT 2,EVMB_OUT2,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ2,J2-6,OUTPUT 3,EVMB_OUT3,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ2,J2-8,OUTPUT 4,EVMB_OUT4_DNP,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ2,J2-1,GND1,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ2,J2-3,GND1,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ2,J2-5,GND1,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVMBJ2,J2-7,GND1,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-27,VS ABOUT 5 V,DAQ_VS_5V_CANDIDATE,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-1,GND,DAQ_GND,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-6,FIO0 TRIGGER/WITNESS,COMMON_TRIGGER_LOGIC,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-24,FIO1 EVENT,EVMA_OUT1,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-5,FIO2 EVENT,EVMA_OUT2,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-23,FIO3 EVENT,EVMA_OUT3,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-4,FIO4 EVENT,EVMA_OUT4,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-22,FIO5 EVENT,EVMB_OUT1,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-3,FIO6 EVENT,EVMB_OUT2,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
DAQ1,DB37-21,FIO7 EVENT,EVMB_OUT3,NOT SELECTED / ZERO SAFETY CREDIT,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JTRIG1,IN,LOGIC TRIGGER,COMMON_TRIGGER_LOGIC,NO DIRECT CAMERA CONNECTION,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JTRIG1,RTN,LOGIC RETURN,DAQ_GND,NO DIRECT CAMERA CONNECTION,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
