part_id,module,role,oriented_bbox_x_mm,oriented_bbox_y_mm,oriented_bbox_z_mm,within_project_140mm_conservative_envelope,bpl_7_hour_limit_verified,bpl_service_available,submission_authority,warning
L01_SHIN_SIDE_REAR,L01,shin side plate,136.000000,50.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_SIDE_REAR,L01,thigh side plate,142.000000,56.000000,2.500000,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z72,L01,shin cross tie,42.000000,40.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z135,L01,shin cross tie,42.000000,40.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z183,L01,shin cross tie,42.000000,40.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z235,L01,thigh cross tie,46.000000,40.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z300,L01,thigh cross tie,46.000000,40.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z355,L01,thigh cross tie,46.000000,40.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_SOLE_CARRIER,F01,foot sole carrier,86.000000,138.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_TOP_BRIDGE,F01,foot top bridge,68.000000,86.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_FRONT,A01,upper-arm link plate,145.993561,41.385834,28.000000,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_FRONT,A01,forearm link plate,26.000000,145.034454,8.497925,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_REAR,A01,upper-arm link plate,145.993561,41.385834,28.000000,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_REAR,A01,forearm link plate,26.000000,145.034454,8.497925,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_FRONT_COVER,L01,removable cover,132.000000,60.000000,0.800003,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_REAR_COVER,L01,removable cover,132.000000,60.000000,0.800003,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_FRONT_COVER,L01,removable cover,138.000000,66.000000,0.800003,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_REAR_COVER,L01,removable cover,138.000000,66.000000,0.800003,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_TOP_COVER,F01,removable cover,82.000000,118.000000,0.800003,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_FRONT_COVER,A01,removable cover,46.000000,145.309509,38.773903,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_REAR_COVER,A01,removable cover,46.000000,145.309509,38.773903,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_FRONT_COVER,A01,removable cover,44.000000,144.941345,5.799530,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_REAR_COVER,A01,removable cover,44.000000,144.941345,5.799530,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PALM_FRONT_PLATE,G01,windowed palm frame plate,36.000000,50.000000,3.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PALM_REAR_PLATE,G01,windowed palm frame plate,36.000000,50.000000,3.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PALM_TOP_BRIDGE,G01,palm frame bridge,46.000000,50.000000,4.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PALM_BOTTOM_BRIDGE,G01,palm frame bridge,46.000000,50.000000,4.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_WRIST_MOUNT_PLATE,G01,wrist interface plate,38.000000,36.000000,3.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_GUIDE_ROD_FRONT,G01,linear guide rod,4.000000,64.000000,4.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_GUIDE_ROD_REAR,G01,linear guide rod,4.000000,64.000000,4.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PINION,G01,twenty-tooth symmetric-drive pinion,10.995819,10.995819,6.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_RACK_POSITIVE,G01,positive-jaw rack,32.951950,6.000000,3.250000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_RACK_NEGATIVE,G01,negative-jaw rack,32.951950,6.000000,3.250000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_FINGER_POSITIVE,G01,broad sliding finger and carrier,36.000000,52.000000,14.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_FINGER_NEGATIVE,G01,broad sliding finger and carrier,36.000000,52.000000,14.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PAD_POSITIVE,G01,replaceable compliant contact pad,30.000000,30.000000,3.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PAD_NEGATIVE,G01,replaceable compliant contact pad,30.000000,30.000000,3.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_STOP_POSITIVE,G01,positive open-travel hard stop,24.000000,9.000000,4.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_STOP_NEGATIVE,G01,negative open-travel hard stop,24.000000,9.000000,4.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_MANUAL_RELEASE_HUB,G01,manual-release pinion hub,8.000000,8.000000,4.000000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02_SHIN_SIDE_FRONT,L02,shin side plate,136.000000,50.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02_THIGH_SIDE_FRONT,L02,thigh side plate,142.000000,56.000000,2.500000,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02_SHIN_SIDE_REAR,L02,shin side plate,136.000000,50.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02_THIGH_SIDE_REAR,L02,thigh side plate,142.000000,56.000000,2.500000,NO,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02_SHIN_TIE_Z72,L02,shin cross tie,42.000000,40.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02_SHIN_TIE_Z135,L02,shin cross tie,42.000000,40.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02_SHIN_TIE_Z183,L02,shin cross tie,42.000000,40.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02_THIGH_TIE_Z235,L02,thigh cross tie,46.000000,40.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02_THIGH_TIE_Z300,L02,thigh cross tie,46.000000,40.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02_THIGH_TIE_Z355,L02,thigh cross tie,46.000000,40.000000,2.500000,YES,NO - SLICER PREFLIGHT REQUIRED,NO - CURRENT PAGE SAYS TEMPORARILY UNAVAILABLE,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL FIT-CHECK / RFQ ROUTE ONLY - NOT APPROVED FOR PROCUREMENT, STRUCTURAL FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
