part_id,module,primary_process_candidate,secondary_operations,finish_candidate,fixture_or_print_orientation,dfm_status,fai_status,release_state,warning
L01_SHIN_FRONT_COVER,L01,FDM/SLS candidate; orientation and process qualification required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_REAR_COVER,L01,FDM/SLS candidate; orientation and process qualification required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_FRONT_COVER,L01,FDM/SLS candidate; orientation and process qualification required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_REAR_COVER,L01,FDM/SLS candidate; orientation and process qualification required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_TOP_COVER,F01,FDM/SLS candidate; orientation and process qualification required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_FRONT_COVER,A01,FDM/SLS candidate; orientation and process qualification required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_REAR_COVER,A01,FDM/SLS candidate; orientation and process qualification required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_FRONT_COVER,A01,FDM/SLS candidate; orientation and process qualification required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_REAR_COVER,A01,FDM/SLS candidate; orientation and process qualification required,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PALM_FRONT_PLATE,G01,2.5D CNC or qualified polymer process candidate; exact route and inserts open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PALM_REAR_PLATE,G01,2.5D CNC or qualified polymer process candidate; exact route and inserts open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PALM_TOP_BRIDGE,G01,2.5D CNC or qualified polymer process candidate; exact route and inserts open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PALM_BOTTOM_BRIDGE,G01,2.5D CNC or qualified polymer process candidate; exact route and inserts open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_WRIST_MOUNT_PLATE,G01,2.5D CNC or qualified polymer process candidate; exact route and inserts open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_GUIDE_ROD_FRONT,G01,precision cut/finish from 4 mm rod; straightness and end retention open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_GUIDE_ROD_REAR,G01,precision cut/finish from 4 mm rod; straightness and end retention open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PINION,G01,precision gear machining or qualified molded candidate; tooth inspection and wear proof open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_RACK_POSITIVE,G01,precision gear machining or qualified molded candidate; tooth inspection and wear proof open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_RACK_NEGATIVE,G01,precision gear machining or qualified molded candidate; tooth inspection and wear proof open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_FINGER_POSITIVE,G01,"SLS/FDM or 3-axis machining candidate; orientation, clearance and proof open",holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_FINGER_NEGATIVE,G01,"SLS/FDM or 3-axis machining candidate; orientation, clearance and proof open",holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PAD_POSITIVE,G01,die-cut or molded compliant insert candidate; force-stroke and retention open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_PAD_NEGATIVE,G01,die-cut or molded compliant insert candidate; force-stroke and retention open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_STOP_POSITIVE,G01,"SLS/FDM or 3-axis machining candidate; orientation, clearance and proof open",holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_STOP_NEGATIVE,G01,"SLS/FDM or 3-axis machining candidate; orientation, clearance and proof open",holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
G01_MANUAL_RELEASE_HUB,G01,"3-axis machining candidate; fit, access and retention open",holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L02_SHIN_SIDE_FRONT,L02,2.5D CNC/waterjet candidate; edge finish and flatness open,holes/threads/inserts/edge finishing/support removal/post-process SELECTION REQUIRED,deburr and safe edge baseline; coating/surface treatment SELECTION REQUIRED,SELECTION REQUIRED,NOT REVIEWED,NOT EXECUTED,PROCESS ROUTE CANDIDATE ONLY - NOT RELEASED,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
