j2_deg,known_subset_gravity_torque_nm,reference_allocated_gravity_torque_nm,reference_absolute_torque_nm,status
23.25,0.080595210,0.463872061,0.463872061,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
23.50,0.080476436,0.463132198,0.463132198,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
23.75,0.080356130,0.462383517,0.462383517,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
24.00,0.080234293,0.461626033,0.461626033,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
24.25,0.080110929,0.460859761,0.460859761,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
24.50,0.079986040,0.460084714,0.460084714,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
24.75,0.079859629,0.459300908,0.459300908,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
25.00,0.079731696,0.458508358,0.458508358,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
25.25,0.079602246,0.457707078,0.457707078,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
25.50,0.079471280,0.456897084,0.456897084,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
25.75,0.079338801,0.456078391,0.456078391,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
26.00,0.079204812,0.455251016,0.455251016,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
26.25,0.079069315,0.454414973,0.454414973,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
26.50,0.078932312,0.453570279,0.453570279,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
26.75,0.078793807,0.452716949,0.452716949,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
27.00,0.078653801,0.451855000,0.451855000,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
27.25,0.078512298,0.450984449,0.450984449,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
27.50,0.078369301,0.450105312,0.450105312,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
27.75,0.078224811,0.449217605,0.449217605,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
28.00,0.078078832,0.448321345,0.448321345,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
28.25,0.077931366,0.447416551,0.447416551,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
28.50,0.077782417,0.446503238,0.446503238,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
28.75,0.077631987,0.445581424,0.445581424,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
29.00,0.077480079,0.444651127,0.444651127,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
29.25,0.077326696,0.443712365,0.443712365,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
29.50,0.077171840,0.442765155,0.442765155,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
29.75,0.077015516,0.441809516,0.441809516,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
30.00,0.076857725,0.440845464,0.440845464,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
30.25,0.076698471,0.439873020,0.439873020,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
30.50,0.076537756,0.438892202,0.438892202,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
30.75,0.076375585,0.437903027,0.437903027,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
31.00,0.076211959,0.436905516,0.436905516,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
31.25,0.076046883,0.435899686,0.435899686,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
31.50,0.075880358,0.434885558,0.434885558,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
31.75,0.075712389,0.433863149,0.433863149,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
32.00,0.075542978,0.432832481,0.432832481,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
32.25,0.075372130,0.431793572,0.431793572,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
32.50,0.075199846,0.430746443,0.430746443,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
32.75,0.075026131,0.429691113,0.429691113,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
33.00,0.074850987,0.428627602,0.428627602,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
33.25,0.074674418,0.427555930,0.427555930,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
33.50,0.074496427,0.426476119,0.426476119,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
33.75,0.074317018,0.425388188,0.425388188,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
34.00,0.074136195,0.424292158,0.424292158,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
34.25,0.073953959,0.423188051,0.423188051,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
34.50,0.073770316,0.422075886,0.422075886,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
34.75,0.073585268,0.420955686,0.420955686,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
35.00,0.073398820,0.419827471,0.419827471,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
35.25,0.073210974,0.418691264,0.418691264,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
35.50,0.073021734,0.417547085,0.417547085,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
35.75,0.072831104,0.416394957,0.416394957,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
36.00,0.072639087,0.415234901,0.415234901,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
36.25,0.072445688,0.414066939,0.414066939,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
36.50,0.072250909,0.412891095,0.412891095,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
36.75,0.072054754,0.411707389,0.411707389,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
37.00,0.071857228,0.410515846,0.410515846,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
37.25,0.071658334,0.409316486,0.409316486,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
37.50,0.071458075,0.408109334,0.408109334,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
37.75,0.071256456,0.406894412,0.406894412,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
38.00,0.071053480,0.405671743,0.405671743,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
38.25,0.070849152,0.404441351,0.404441351,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
38.50,0.070643474,0.403203259,0.403203259,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
38.75,0.070436452,0.401957491,0.401957491,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
39.00,0.070228089,0.400704070,0.400704070,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
39.25,0.070018389,0.399443020,0.399443020,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
39.50,0.069807355,0.398174365,0.398174365,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
39.75,0.069594993,0.396898129,0.396898129,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
40.00,0.069381305,0.395614337,0.395614337,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
40.25,0.069166297,0.394323014,0.394323014,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
40.50,0.068949972,0.393024183,0.393024183,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
40.75,0.068732334,0.391717869,0.391717869,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
41.00,0.068513388,0.390404097,0.390404097,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
41.25,0.068293137,0.389082893,0.389082893,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
41.50,0.068071586,0.387754281,0.387754281,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
41.75,0.067848739,0.386418287,0.386418287,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
42.00,0.067624600,0.385074936,0.385074936,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
42.25,0.067399174,0.383724254,0.383724254,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
42.50,0.067172465,0.382366267,0.382366267,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
42.75,0.066944477,0.381000999,0.381000999,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
43.00,0.066715214,0.379628478,0.379628478,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
43.25,0.066484681,0.378248729,0.378248729,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
43.50,0.066252882,0.376861779,0.376861779,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
43.75,0.066019822,0.375467654,0.375467654,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
44.00,0.065785505,0.374066381,0.374066381,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
44.25,0.065549936,0.372657986,0.372657986,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
44.50,0.065313118,0.371242496,0.371242496,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
44.75,0.065075057,0.369819938,0.369819938,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
45.00,0.064835757,0.368390340,0.368390340,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
45.25,0.064595223,0.366953727,0.366953727,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
45.50,0.064353459,0.365510129,0.365510129,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
45.75,0.064110470,0.364059572,0.364059572,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
46.00,0.063866260,0.362602083,0.362602083,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
46.25,0.063620835,0.361137691,0.361137691,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
46.50,0.063374198,0.359666424,0.359666424,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
46.75,0.063126354,0.358188309,0.358188309,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
47.00,0.062877309,0.356703375,0.356703375,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
47.25,0.062627066,0.355211649,0.355211649,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
47.50,0.062375632,0.353713161,0.353713161,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
47.75,0.062123009,0.352207939,0.352207939,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
48.00,0.061869204,0.350696011,0.350696011,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
48.25,0.061614221,0.349177406,0.349177406,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
48.50,0.061358065,0.347652153,0.347652153,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
48.75,0.061100741,0.346120282,0.346120282,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
49.00,0.060842254,0.344581821,0.344581821,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
49.25,0.060582608,0.343036800,0.343036800,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
49.50,0.060321809,0.341485248,0.341485248,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
49.75,0.060059861,0.339927194,0.339927194,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
50.00,0.059796770,0.338362669,0.338362669,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
50.25,0.059532541,0.336791702,0.336791702,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
50.50,0.059267178,0.335214323,0.335214323,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
50.75,0.059000686,0.333630561,0.333630561,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
51.00,0.058733072,0.332040448,0.332040448,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
51.25,0.058464339,0.330444013,0.330444013,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
51.50,0.058194493,0.328841288,0.328841288,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
51.75,0.057923540,0.327232301,0.327232301,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
52.00,0.057651483,0.325617085,0.325617085,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
52.25,0.057378329,0.323995669,0.323995669,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
52.50,0.057104082,0.322368085,0.322368085,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
52.75,0.056828749,0.320734363,0.320734363,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
53.00,0.056552333,0.319094535,0.319094535,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
53.25,0.056274840,0.317448632,0.317448632,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
53.50,0.055996277,0.315796685,0.315796685,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
53.75,0.055716647,0.314138726,0.314138726,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
54.00,0.055435956,0.312474786,0.312474786,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
54.25,0.055154210,0.310804897,0.310804897,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
54.50,0.054871414,0.309129091,0.309129091,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
54.75,0.054587573,0.307447399,0.307447399,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
55.00,0.054302693,0.305759854,0.305759854,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
55.25,0.054016780,0.304066488,0.304066488,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
55.50,0.053729837,0.302367333,0.302367333,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
55.75,0.053441872,0.300662421,0.300662421,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
56.00,0.053152889,0.298951785,0.298951785,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
56.25,0.052862895,0.297235457,0.297235457,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
56.50,0.052571894,0.295513471,0.295513471,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
56.75,0.052279892,0.293785858,0.293785858,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
57.00,0.051986895,0.292052652,0.292052652,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
57.25,0.051692908,0.290313886,0.290313886,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
57.50,0.051397936,0.288569592,0.288569592,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
57.75,0.051101987,0.286819805,0.286819805,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
58.00,0.050805064,0.285064557,0.285064557,INCOMPLETE REFERENCE - FR12-H101/HARDWARE/HARNESS/GRIPPER DISTRIBUTION EXCLUDED
