step_id,phase_id,phase_name,sequence,action,required_input_keys,required_evidence,owner_role_candidate,named_executor,named_reviewer,authorization_state,result,evidence_uri,stop_work_on_failure,energization_effect,warning
BT-P02-S03,BT-P02,Site and bench survey,3,"Record mains service, branch protection, receptacle, grounding and available disconnect evidence.",energization_gates,qualified site electrical review,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P02-S04,BT-P02,Site and bench survey,4,"Survey bench material, thickness, edge distances, support geometry and underside access.",mechanical_release,bench survey,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P02-S05,BT-P02,Site and bench survey,5,"Select no anchor until pull-out, shear, bearing and support-load calculations are accepted.",mechanical_release,anchor selection hold,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P02-S06,BT-P02,Site and bench survey,6,"Record ambient temperature, humidity/condensation controls, lighting, access and emergency response.",energization_gates,site environmental record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P03-S01,BT-P03,Control-panel mechanical assembly,1,Inspect the enclosure/backplate/rail/duct articles before any cutting or drilling.,control_panel,panel receiving inspection,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P03-S02,BT-P03,Control-panel mechanical assembly,2,Use only a released drilling and cut schedule tied to the exact enclosure revision.,control_panel,panel machining traveler,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P03-S03,BT-P03,Control-panel mechanical assembly,3,"Deburr, clean and inspect every panel feature before component installation.",control_panel,panel feature inspection,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P03-S04,BT-P03,Control-panel mechanical assembly,4,"Install rail and duct using released fasteners, torque and corrosion controls.",control_panel,rail/duct installation record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P03-S05,BT-P03,Control-panel mechanical assembly,5,Dry-fit all bounded component envelopes and verify service/tool clearance.,control_panel,panel dry-fit record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P03-S06,BT-P03,Control-panel mechanical assembly,6,"Stop before installing any wire, fuse link, mains part or unresolved cable entry.",control_panel,mechanical-only phase signoff,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P04-S01,BT-P04,Frame dry assembly,1,"Inspect profile cut lengths, end condition and bracket kit contents.",mechanical_release,frame receiving record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P04-S02,BT-P04,Frame dry assembly,2,Dry-assemble the base rectangle on a verified flat reference.,mechanical_release,base squareness record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P04-S03,BT-P04,Frame dry assembly,3,Install uprights with released bracket orientation and exact hardware.,mechanical_release,upright installation record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P04-S04,BT-P04,Frame dry assembly,4,"Verify base width, depth, diagonal equality and upright perpendicularity.",mechanical_release,frame geometry inspection,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P04-S05,BT-P04,Frame dry assembly,5,Install no bench anchor before BT-P02 anchor acceptance.,mechanical_release,anchor hold confirmation,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P04-S06,BT-P04,Frame dry assembly,6,Apply only released torque/locking rules and witness marks.,mechanical_release,frame fastener log,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P04-S07,BT-P04,Frame dry assembly,7,Quarantine the frame if any interface prevents later guard or receiver installation.,guard|receiver,frame nonconformance record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P05-S01,BT-P05,Joint-stack metrology,1,Execute the controlled joint-stack traveler with all power absent.,joint_metrology,signed traveler,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P05-S02,BT-P05,Joint-stack metrology,2,Register exact actuator/frame/output faces and external mechanical datums.,joint_metrology,datum measurement record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P05-S03,BT-P05,Joint-stack metrology,3,"Measure fastener depth, engagement, spacer and washer requirements before installation.",joint_metrology,fastener stack record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P05-S04,BT-P05,Joint-stack metrology,4,Measure backlash and mechanical angle using the released external method.,joint_metrology,angle/backlash raw data,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P05-S05,BT-P05,Joint-stack metrology,5,Measure received masses and conservative envelopes with uncertainty.,joint_metrology,mass/envelope record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P05-S06,BT-P05,Joint-stack metrology,6,Disassemble and quarantine temporary stacks pending qualified disposition.,joint_metrology,teardown/quarantine signoff,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P06-S01,BT-P06,Custom-part first articles,1,Obtain qualified acceptance of each exact drawing/STEP/DXF/hash set before supplier contact.,mechanical_dfm,drawing acceptance,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P06-S02,BT-P06,Custom-part first articles,2,Obtain written supplier DFM and process/material/inspection agreement.,mechanical_dfm,supplier DFM response,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P06-S03,BT-P06,Custom-part first articles,3,Authorize at most one segregated first article per distinct geometry.,mechanical_dfm,first-article authorization,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P06-S04,BT-P06,Custom-part first articles,4,Inspect every first article against the controlled FAI and material certificate.,mechanical_dfm,completed FAI/MTR,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P06-S05,BT-P06,Custom-part first articles,5,Reject or formally disposition every nonconformance before assembly use.,mechanical_dfm,qualified first-article disposition,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P07-S01,BT-P07,Final arm mechanical assembly,1,Install only accepted custom parts and exact received ROBOTIS interfaces.,mechanical_release|mechanical_binding|mechanical_configuration|joint_metrology|mechanical_dfm,part identity signoff,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P07-S02,BT-P07,Final arm mechanical assembly,2,"Assemble J1 and J2 using released fastener stacks, torque, locking and reuse rules.",mechanical_release,joint assembly log,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P07-S03,BT-P07,Final arm mechanical assembly,3,Install independent mechanical hard-stop hardware and released bumper stack.,mechanical_release,hard-stop installation record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P07-S04,BT-P07,Final arm mechanical assembly,4,Measure stop contact angles and verify the released collision-margin allocation without power.,mechanical_release,stop metrology record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P07-S05,BT-P07,Final arm mechanical assembly,5,Install the selected gripper and verify its exact H104 registration.,mechanical_release,gripper registration record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P07-S06,BT-P07,Final arm mechanical assembly,6,"Record as-built moving mass, center of mass and conservative inertia inputs.",mechanical_release,mass-property record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P07-S07,BT-P07,Final arm mechanical assembly,7,"Keep every actuator lead disconnected, individually covered and labeled.",electrical,disconnected-actuator inspection,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P08-S01,BT-P08,Guard and passive receiver,1,"Assemble the fixed guard frame from released profiles, joints and anchors.",guard,guard frame traveler,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P08-S02,BT-P08,Guard and passive receiver,2,"Install accepted panels, retention and tool-removable access provisions.",guard,panel/retention record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P08-S03,BT-P08,Guard and passive receiver,3,"Install the passive arm receiver with accepted guides, contact layer, joints and supports.",receiver,receiver assembly record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P08-S04,BT-P08,Guard and passive receiver,4,Verify continuous nominal clearance using as-built survey data and released uncertainty.,guard|receiver,guard/receiver clearance record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P08-S05,BT-P08,Guard and passive receiver,5,"Execute authorized unpowered proof, access-probe, retention and containment inspections.",guard|receiver,physical inspection/proof record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P08-S06,BT-P08,Guard and passive receiver,6,Assign no guarding or containment credit until qualified results are accepted.,guard|receiver,qualified guard/receiver disposition,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P09-S01,BT-P09,Harness fabrication,1,"Release every harness drawing with exact connectors, contacts, seals, tools and pin views.",electrical,released harness drawing set,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P09-S02,BT-P09,Harness fabrication,2,"Release every conductor manufacturer order code, gauge, color, length and termination.",electrical,conductor schedule,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P09-S03,BT-P09,Harness fabrication,3,"Cut, strip and terminate only under released tooling and inspection instructions.",electrical,harness fabrication traveler,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P09-S04,BT-P09,Harness fabrication,4,"Apply released labels, strain relief, shielding and bend/twist controls.",electrical,harness workmanship record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P09-S05,BT-P09,Harness fabrication,5,"Perform unpowered point-to-point, polarity, isolation and no-backfeed checks on each harness.",electrical,harness electrical inspection,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P09-S06,BT-P09,Harness fabrication,6,Quarantine every harness until pull-test and qualified acceptance pass.,electrical,harness acceptance/quarantine record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P10-S01,BT-P10,Unpowered electrical assembly,1,Verify every power source and fuse link remains physically absent.,electrical,source-absence inspection,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P10-S02,BT-P10,Unpowered electrical assembly,2,Install only accepted panel components at released locations.,control_panel|electrical,component installation record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P10-S03,BT-P10,Unpowered electrical assembly,3,Install protective-earth and bonding conductors before ordinary circuit conductors.,electrical,bonding installation record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P10-S04,BT-P10,Unpowered electrical assembly,4,Route and terminate conductors under the released wire-number schedule.,electrical,panel wiring traveler,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P10-S05,BT-P10,Unpowered electrical assembly,5,Install actuator harnesses with source ends absent and branch ends disconnected/covered.,electrical,actuator harness state record,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
BT-P10-S06,BT-P10,Unpowered electrical assembly,6,"Inspect terminal torque, ferrules, separation, shielding, labels and service loops.",electrical,unpowered workmanship inspection,manufacturing_or_test_lead,SELECTION REQUIRED,SELECTION REQUIRED,NOT AUTHORIZED,NOT EXECUTED,NOT EXECUTED,YES,NONE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
