gate_id,required_before_stage,traveler_boundary,current_status,required_evidence,evidence_location,traveler_effect,warning
EG-012,E1,BT-P03 through BT-P12,partial,Qualified safety allocation plus FMEA CCF routed PCB physical separation and TEST-SAFE-002 diagnostic traces,docs/hr-v0-functional-safety-allocation-p0.1.md; safety/hr-v0-safety-function-allocation.csv; safety/hr-v0-watchdog-boundary-fmea.csv; docs/hr-v0-electrical-v3-candidate.md; docs/hr-v0-watchdog-interface-p0.2.md; docs/hr-v0-watchdog-feedback-p0.1.md; docs/hr-v0-watchdog-pcb-p0.5.md; electrical/kicad/project-button-v3/03_arm_watchdog_eligibility.kicad_sch; electrical/kicad/project-button-v3/04_contactor_edm.kicad_sch; electrical/kicad/project-button-v3/07_watchdog_control.kicad_sch; electrical/kicad/project-button-v3/08_watchdog_feedback_interface.kicad_sch; electrical/kicad/project-button-v3/11_watchdog_pcb_connectors.kicad_sch; electrical/kicad/project-button-v3/project-button-v3.kicad_pcb,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-013,E1,BT-P03 through BT-P12,partial,Exact measured break/regeneration envelope Schneider critical-current/application disposition protection coordination received verification and loaded interruption/stopping-time test,electrical/kicad/project-button-v3/03_arm_watchdog_eligibility.kicad_sch; electrical/kicad/project-button-v3/04_contactor_edm.kicad_sch; electrical/kicad/project-button-v3/05_actuator_interruption.kicad_sch; docs/hr-v0-contactor-application-p0.1.md; docs/hr-v0-contactor-application-p0.2.md; electrical/contactor/hr-v0-lc1d25bd-application-inputs-p0.2.csv; tests/forms/hr-v0-contactor-interruption-characterization-template-p0.1.csv; docs/vendor-queries/schneider-lc1d25bd-dc-application-p0.1.md; docs/hr-v0-electrical-v3-candidate.md,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-014,E1,BT-P03 through BT-P12,partial,Fault current cable length ambient bundling connector inrush duty voltage-drop and clearing calculations,docs/hr-v0-protection-coordination-p0.1.md; docs/hr-v0-actuator-current-envelope-p0.1.md; electrical/hr-v0-protection-coordination-inputs.csv; tests/forms/hr-v0-protection-coordination-template.csv; tests/forms/hr-v0-actuator-current-characterization-template.csv; tools/check_hr_v0_protection.py; docs/hr-v0-configuration-reconciliation-p0.1.md; configuration/hr-v0-config-reconciliation-p0.1/; release/hr-v0/configuration-reconciliation-p0.1/; tools/check_hr_v0_configuration_reconciliation_p01.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-015,E1,BT-P03 through BT-P12,partial,Harness drawings connector schedule continuity polarity isolation and pull-test records,docs/hr-v0-source-interface-closure-r28.md; docs/hr-v0-dxl-star-injection-p0.1.md; electrical/kicad/project-button-v3/connector-schedule.csv; electrical/kicad/project-button-v3/06_branches_and_injection.kicad_sch; electrical/kicad/project-button-v3/10_actuator_interfaces.kicad_sch; electrical/kicad/hr-v0-dxl-star/; tests/forms/hr-v0-source-interface-receiving-template.csv; tests/forms/hr-v0-dxl-star-inspection-template.csv; docs/hr-v0-u2d2-usb-cable-p0.1.md; electrical/interfaces/hr-v0-u2d2-usb-cable-p0.1.csv; tests/forms/hr-v0-u2d2-usb-cable-receiving-template-p0.1.csv; tests/forms/hr-v0-u2d2-usb-cable-test-template-p0.1.csv; tools/check_hr_v0_u2d2_usb_cable_p01.py; docs/hr-v0-panel-rail-duct-p0.1.md; electrical/panel/hr-v0-control-panel-p0.6/rail-duct-holds-p0.1.csv; tests/forms/hr-v0-panel-rail-duct-installation-template-p0.1.csv; tools/check_hr_v0_panel_rail_duct_p01.py; release/hr-v0/dxl-star-manufacturing-p0.1/terminal-parity-register.csv; release/hr-v0/dxl-star-manufacturing-p0.1/manufacturing-release-holds.csv; tools/check_hr_v0_dxl_star_manufacturing_p01.py; docs/hr-v0-configuration-reconciliation-p0.1.md; configuration/hr-v0-config-reconciliation-p0.1/; release/hr-v0/configuration-reconciliation-p0.1/; tools/check_hr_v0_configuration_reconciliation_p01.py; docs/hr-v0-dxl-star-manufacturing-p0.2.md; release/hr-v0/dxl-star-manufacturing-p0.2/; tools/generate_hr_v0_dxl_star_manufacturing_p02.py; tools/check_hr_v0_dxl_star_manufacturing_p02.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-016,E1,BT-P03 through BT-P12,partial,Bonding diagram fault/EMC rationale and continuity/insulation test plan,docs/electrical.md; docs/hr-v0-grounding-bonding-closure-p0.1.md; electrical/grounding/hr-v0-grounding-node-register-p0.1.csv; electrical/grounding/hr-v0-grounding-selection-matrix-p0.1.csv; tests/forms/hr-v0-grounding-bonding-survey-template-p0.1.csv; electrical/kicad/project-button-v3/01_external_sources.kicad_sch; electrical/kicad/project-button-v3/10_actuator_interfaces.kicad_sch; tools/check_hr_v0_grounding_bonding_p01.py; docs/hr-v0-u2d2-usb-cable-p0.1.md; electrical/interfaces/hr-v0-u2d2-usb-cable-p0.1.csv; tests/forms/hr-v0-u2d2-usb-cable-test-template-p0.1.csv; tools/check_hr_v0_u2d2_usb_cable_p01.py; docs/hr-v0-panel-rail-duct-p0.1.md; electrical/panel/hr-v0-control-panel-p0.6/rail-duct-holds-p0.1.csv; tests/forms/hr-v0-panel-rail-duct-installation-template-p0.1.csv; tools/check_hr_v0_panel_rail_duct_p01.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-017,E2,BT-P13,partial,Reviewed source reproducible binary hashes unit tests HIL logs and configuration manifest,firmware/; firmware/watchdog/output/P0.2/; firmware/watchdog/output/host-vector/P0.1/; firmware/watchdog/toolchain-lock.json; firmware/watchdog/host-test-toolchain-lock.json; firmware/supervisor/actuator-config.json; firmware/SOURCE-MANIFEST.csv; software/images/hr-v0-rpi-os-lite-p0.1.json; software/images/hr-v0-rpi-os-lite-sbom-p0.1/; software/host/hr-v0-host-deploy-p0.1/; docs/hr-v0-rpi-os-sbom-p0.1.md; docs/hr-v0-host-deployment-p0.1.md; tests/forms/hr-v0-rpi-os-sbom-target-verification-template-p0.1.csv; tests/forms/hr-v0-host-deployment-template-p0.1.csv; requirements/hr-v0-gate-evidence-supplement-r171.csv; requirements/hr-v0-gate-evidence-supplement-r172.csv; tools/check_hr_v0_rpi_os_sbom_p01.py; tools/check_hr_v0_host_deploy_p01.py; docs/hr-v0-watchdog-build-p0.2.md; docs/hr-v0-actuator-current-envelope-p0.1.md; docs/hr-v0-compute-subassembly-p0.1.md; docs/hr-v0-control-panel-p0.6.md; tests/forms/hr-v0-compute-image-build-template-p0.1.csv; tests/forms/hr-v0-compute-installation-receiving-template-p0.1.csv; tools/build_hr_v0_watchdog.ps1; tools/build_hr_v0_watchdog_host_runner.ps1; tools/check_hr_v0_firmware.py; tools/check_hr_v0_compute_subassembly_p01.py; tools/check_hr_v0_compute_installation_p01.py; docs/hr-v0-u2d2-usb-cable-p0.1.md; electrical/interfaces/hr-v0-u2d2-usb-cable-p0.1.csv; tests/forms/hr-v0-u2d2-usb-cable-test-template-p0.1.csv; tools/check_hr_v0_u2d2_usb_cable_p01.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-018,E2,BT-P13,partial,Signed visual mechanical torque witness-mark and configuration inspection,docs/hr-v0-e2-control-only-energization-p0.1.md; tests/e2/hr-v0-e2-control-only-sequence.csv; tests/forms/hr-v0-e2-unpowered-configuration-template.csv; tests/procedures/procedure-registry.csv; tools/check_hr_v0_e2_commissioning.py; docs/hr-v0-panel-rail-duct-p0.1.md; tests/forms/hr-v0-panel-rail-duct-installation-template-p0.1.csv; tools/check_hr_v0_panel_rail_duct_p01.py; docs/hr-v0-watchdog-pcb-mounting-interface-p0.1.md; electrical/panel/hr-v0-watchdog-pcb-mounting-p0.1/receiving-template.csv; tools/check_hr_v0_watchdog_pcb_mounting_interface_p01.py; docs/hr-v0-watchdog-pcba-capability-inquiry-p0.1.md; electrical/manufacturing/hr-v0-watchdog-pcba-rfi-p0.1/first-article-receiving-template.csv; tools/check_hr_v0_watchdog_pcba_inquiry.py; docs/hr-v0-watchdog-pcba-assembly-data-p0.1.md; electrical/manufacturing/hr-v0-watchdog-pcba-assembly-data-p0.1/board-assembly-bom.csv; electrical/manufacturing/hr-v0-watchdog-pcba-assembly-data-p0.1/assembly-note-register.csv; tools/check_hr_v0_watchdog_pcba_assembly_data.py; docs/hr-v0-e2-hardware-p0.4.md; electrical/e2/hr-v0-e2-hardware-p0.4/; release/hr-v0/e2-hardware-p0.4/; tools/generate_hr_v0_e2_hardware_slice_p04.py; tools/check_hr_v0_e2_hardware_slice_p04.py; HR-V0-E2-EVIDENCE-P0.2; docs/hr-v0-e2-evidence-parity-p0.2.md; tests/e2/hr-v0-e2-evidence-contract-p0.2/; tests/forms/hr-v0-e2-unpowered-configuration-template-p0.2.csv; tools/check_hr_v0_e2_evidence_parity_p02.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-019,E2,BT-P13,partial,Qualified inspection plus PE continuity insulation or justified not-applicable record,docs/hr-v0-build-site-basis.md; docs/hr-v0-e2-control-only-energization-p0.1.md; tests/e2/hr-v0-e2-control-only-sequence.csv; tests/forms/hr-v0-e2-mains-pe-insulation-template.csv; tests/procedures/procedure-registry.csv; tools/check_hr_v0_e2_commissioning.py; docs/hr-v0-e2-hardware-p0.4.md; electrical/e2/hr-v0-e2-hardware-p0.4/; release/hr-v0/e2-hardware-p0.4/; tools/generate_hr_v0_e2_hardware_slice_p04.py; tools/check_hr_v0_e2_hardware_slice_p04.py; HR-V0-E2-EVIDENCE-P0.2; docs/hr-v0-e2-evidence-parity-p0.2.md; tests/e2/hr-v0-e2-evidence-contract-p0.2/; tools/check_hr_v0_e2_evidence_parity_p02.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-020,E2,BT-P13,partial,Signed point-to-point record with calibrated instruments,docs/hr-v0-e2-control-only-energization-p0.1.md; tests/e2/hr-v0-e2-control-only-sequence.csv; tests/forms/hr-v0-e2-elv-point-to-point-template.csv; electrical/kicad/project-button-v3/connector-schedule.csv; electrical/kicad/project-button-v3/wire-number-table.csv; tests/procedures/procedure-registry.csv; tools/check_hr_v0_e2_commissioning.py; docs/hr-v0-e2-hardware-p0.4.md; electrical/e2/hr-v0-e2-hardware-p0.4/; release/hr-v0/e2-hardware-p0.4/; tools/generate_hr_v0_e2_hardware_slice_p04.py; tools/check_hr_v0_e2_hardware_slice_p04.py; HR-V0-E2-EVIDENCE-P0.2; docs/hr-v0-e2-evidence-parity-p0.2.md; tests/e2/hr-v0-e2-evidence-contract-p0.2/; tools/check_hr_v0_e2_evidence_parity_p02.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-021,E2,BT-P13,partial,Disconnected-load TEST-E2-002 subset of TEST-SAFE-001 through TEST-SAFE-003 with synchronized hardware traces and software-authority logs; no stopping-distance or loaded-interruption credit,docs/hr-v0-e2-control-only-energization-p0.1.md; tests/e2/hr-v0-e2-control-only-sequence.csv; tests/forms/hr-v0-e2-safety-logic-template.csv; tests/forms/hr-v0-e2-software-authority-template-p0.1.csv; tests/procedures/procedure-registry.csv; tools/check_hr_v0_e2_commissioning.py; docs/hr-v0-e2-hardware-p0.4.md; electrical/e2/hr-v0-e2-hardware-p0.4/; release/hr-v0/e2-hardware-p0.4/; tools/generate_hr_v0_e2_hardware_slice_p04.py; tools/check_hr_v0_e2_hardware_slice_p04.py; HR-V0-E2-EVIDENCE-P0.2; docs/hr-v0-e2-evidence-parity-p0.2.md; tests/e2/hr-v0-e2-evidence-contract-p0.2/; tools/check_hr_v0_e2_evidence_parity_p02.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
EG-022,E2,BT-P13,partial,Signed test-director electrical functional-safety and independent-witness authorization with competence independence expiry revocation shutdown controls and paired EG-021 evidence,docs/hr-v0-e2-control-only-energization-p0.1.md; tests/e2/hr-v0-e2-control-only-sequence.csv; tests/forms/hr-v0-e2-authorization-template.csv; tests/procedures/procedure-registry.csv; tools/check_hr_v0_e2_commissioning.py; docs/hr-v0-e2-hardware-p0.4.md; electrical/e2/hr-v0-e2-hardware-p0.4/; release/hr-v0/e2-hardware-p0.4/; tools/generate_hr_v0_e2_hardware_slice_p04.py; tools/check_hr_v0_e2_hardware_slice_p04.py; docs/reviews/2026-08-09-r172-independent-review-request.md; tests/forms/hr-v0-rpi-os-sbom-target-verification-template-p0.1.csv; requirements/hr-v0-gate-evidence-supplement-r172.csv; docs/hr-v0-boston-site-jurisdiction-p0.2.md; configuration/hr-v0-boston-site-p0.2/premises-input-template.csv; configuration/hr-v0-boston-site-p0.2/hold-register.csv; requirements/hr-v0-gate-evidence-supplement-r194.csv; HR-V0-E2-EVIDENCE-P0.2; docs/hr-v0-e2-evidence-parity-p0.2.md; tests/e2/hr-v0-e2-evidence-contract-p0.2/; tests/forms/hr-v0-e2-authorization-template-p0.2.csv; tools/check_hr_v0_e2_evidence_parity_p02.py,BLOCKS ENTRY OR RELEASE - DOES NOT CLOSE GATE,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
