pod_id,channel_id,connector,side,contact,polarity,net,external_endpoint,header,mating_plug,termination,connection_released,warning
DP-03,CH-AI-03,JOUT,LIMITED OUTPUT,1,HI/+,DP03_LIMITED_HI,measurement panel J3I.1,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-03,CH-AI-03,JOUT,LIMITED OUTPUT,2,LO/-,DP03_LIMITED_LO,measurement panel J3I.2,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-04,CH-AI-04,JIN,SOURCE INPUT,1,HI/+,CTRL_5V,REG1:LOG-5V,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-04,CH-AI-04,JIN,SOURCE INPUT,2,LO/-,CTRL_GND,REG1:LOG-GND,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-04,CH-AI-04,JOUT,LIMITED OUTPUT,1,HI/+,DP04_LIMITED_HI,measurement panel J4I.1,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-04,CH-AI-04,JOUT,LIMITED OUTPUT,2,LO/-,DP04_LIMITED_LO,measurement panel J4I.2,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-05,CH-AI-05,JIN,SOURCE INPUT,1,HI/+,S12_CH1,SR1:S12,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-05,CH-AI-05,JIN,SOURCE INPUT,2,LO/-,SAFE_0V,SR1:A2,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-05,CH-AI-05,JOUT,LIMITED OUTPUT,1,HI/+,DP05_LIMITED_HI,measurement panel J5I.1,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-05,CH-AI-05,JOUT,LIMITED OUTPUT,2,LO/-,DP05_LIMITED_LO,measurement panel J5I.2,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-06,CH-AI-06,JIN,SOURCE INPUT,1,HI/+,HARDWIRED_PERMIT,SR1:34,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-06,CH-AI-06,JIN,SOURCE INPUT,2,LO/-,SAFE_0V,SR1:A2,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-06,CH-AI-06,JOUT,LIMITED OUTPUT,1,HI/+,DP06_LIMITED_HI,measurement panel J6I.1,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-06,CH-AI-06,JOUT,LIMITED OUTPUT,2,LO/-,DP06_LIMITED_LO,measurement panel J6I.2,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-07,CH-AI-07,JIN,SOURCE INPUT,1,HI/+,K1_COIL_POS,K1:A1,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-07,CH-AI-07,JIN,SOURCE INPUT,2,LO/-,SAFE_0V,K1:A2,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-07,CH-AI-07,JOUT,LIMITED OUTPUT,1,HI/+,DP07_LIMITED_HI,measurement panel J7I.1,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-07,CH-AI-07,JOUT,LIMITED OUTPUT,2,LO/-,DP07_LIMITED_LO,measurement panel J7I.2,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-08,CH-AI-08,JIN,SOURCE INPUT,1,HI/+,K2_COIL_POS,K2:A1,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-08,CH-AI-08,JIN,SOURCE INPUT,2,LO/-,SAFE_0V,K2:A2,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 at pod; source end SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-08,CH-AI-08,JOUT,LIMITED OUTPUT,1,HI/+,DP08_LIMITED_HI,measurement panel J8I.1,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DP-08,CH-AI-08,JOUT,LIMITED OUTPUT,2,LO/-,DP08_LIMITED_LO,measurement panel J8I.2,Phoenix 1757242,Phoenix 1757019,22 AWG ferrule 3203066 both ends,NO,"PRELIMINARY - UNBUILT SOURCE-LOCAL DIAGNOSTIC PICKOFF PODS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
