hold_id,hold,state,closure_evidence,warning
HOLD-29,P1.21/R241 independent and qualified disposition,NOT EXECUTED,signed configuration and safety review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-30,P1.21 conductor color and XD24/XD0 identification convention,SELECTION REQUIRED,qualified Boston/US code and project identification disposition,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-31,"P1.21 DCR, cut length, voltage-drop, ampacity, protection and thermal closure",NOT EXECUTED,"received measurements, calculations, coordination and accepted limits","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-32,complete WD2 occupancy and installed conductor-route acceptance,NOT EXECUTED,"segment register, as-built inspection and qualified review","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-33,P1.21 exact terminal application and driver-bit acceptance,NOT EXECUTED,signed source-backed physical and qualified record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-34,Received strip/crimp/pull and calibrated torque-tool evidence,NOT EXECUTED,signed source-backed physical and qualified record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-35,"Installed fourteen-endpoint retention, torque, continuity, isolation and qualified acceptance",NOT EXECUTED,signed source-backed physical and qualified record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-36,"Received-lot DCR, actual cuts and temperature-normalized conductor evidence",NOT EXECUTED,signed source-backed physical and qualified record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-37,Complete source/return/contact/load voltage budget and qualified acceptance limits,NOT EXECUTED,signed source-backed physical and qualified record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-38,"Exact Pilz/Phoenix bits, physical fit, installed voltage/thermal evidence and signed acceptance",NOT EXECUTED,signed source-backed physical and qualified record,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-39,Complete installed P1.21 control-loop static resistance and voltage-drop bound,SELECTION REQUIRED,"Selected series parts, released routes, temperature/aging/uncertainty policy and received four-wire measurements","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-40,"P1.21 simultaneous pickup, brownout, foldback and recovery behavior",NOT EXECUTED,Source/manufacturer limits plus configuration-bound installed traces and fault injection,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-41,Qualified review of complete P1.21 supply/watchdog application,NOT EXECUTED,"Signed electrical and functional-safety disposition against frozen source, wiring and evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-42,Five successor shop drawings and formal datum/GD&T qualified disposition,NOT EXECUTED,Signed review against exact drawing/STEP/DXF hashes,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-43,Authorized provider capability/DFM response against exact R247 payload,NOT EXECUTED,"Transmission record, response and internal disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-44,Five custom-part first articles and fastener/joint evidence,NOT EXECUTED,"MTR, 30 FAI operations, stacks, torque/locking and proof","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-45,Configuration-bound unpowered full-arm assembly and qualified acceptance,NOT EXECUTED,"21-step traveler, nine joint rows, mass/COM/inertia, clearances and signed disposition","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-46,Received 17-row moving-mass measurement and itemization,NOT EXECUTED,Configuration-bound physical evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-47,Loose-to-assembled mass reconciliation,NOT EXECUTED,Configuration-bound physical evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-48,Two-axis reaction COM measurement and uncertainty,NOT EXECUTED,Configuration-bound physical evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-49,Calibrated J1/J2 bifilar inertia and uncertainty,NOT EXECUTED,Configuration-bound physical evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-50,Qualified acceptance and downstream analysis reconciliation,NOT EXECUTED,Configuration-bound physical evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-51,Accepted six-row physical-property bundle,NOT EXECUTED,Configuration-bound accepted evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-52,Coordinate-frame and pose-transform reconciliation,NOT EXECUTED,Configuration-bound accepted evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-53,Regenerated load/stop/containment/structure analyses,NOT EXECUTED,Configuration-bound accepted evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-54,Regenerated firmware limits and HIL,NOT EXECUTED,Configuration-bound accepted evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HOLD-55,Qualified integrated acceptance and separate work authority,NOT EXECUTED,Configuration-bound accepted evidence and signed review,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
