wire_number,sheet,reference,terminal,pin_name,net,conductor_part_number,gauge,color,length_mm,termination_a,termination_b,routing_zone,release_state,configuration_identity,warning
W2011,02_estop_eligibility.kicad_sch,SR1,S34,START / EDM RETURN,SR1_START_RETURN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2012,02_estop_eligibility.kicad_sch,SR1,13,SAFETY OUT1 IN,SRA1_S11,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2013,02_estop_eligibility.kicad_sch,SR1,14,SAFETY OUT1 OUT,SRA1_S12,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2014,02_estop_eligibility.kicad_sch,SR1,23,SAFETY OUT2 IN,SRA1_S21,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2015,02_estop_eligibility.kicad_sch,SR1,24,SAFETY OUT2 OUT,SRA1_S22,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2016,02_estop_eligibility.kicad_sch,SR1,41,AUX NC IN,SAFETY_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / STATUS,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2017,02_estop_eligibility.kicad_sch,SR1,Y32,SEMICONDUCTOR STATUS,SR1_STATUS,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / STATUS,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2018,02_estop_eligibility.kicad_sch,S1,TBD-R1,RESET IN,SR1_S12,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY,NOT RELEASED - TERMINAL TBD,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2019,02_estop_eligibility.kicad_sch,S1,TBD-R2,RESET OUT,SR1_START_RETURN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY,NOT RELEASED - TERMINAL TBD,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2020,02_estop_eligibility.kicad_sch,H1,TBD-HA,UNVERIFIED LAMP TERMINAL A,SR1_STATUS,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / DIAGNOSTIC,NOT RELEASED - PLACEHOLDER TERMINAL/POLARITY VERIFY,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W2021,02_estop_eligibility.kicad_sch,H1,TBD-HB,UNVERIFIED LAMP TERMINAL B,SAFETY_0V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / DIAGNOSTIC,NOT RELEASED - PLACEHOLDER TERMINAL/POLARITY VERIFY,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3001,03_arm_watchdog_eligibility.kicad_sch,SRA1,A1,24V SUPPLY,SAFETY_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3002,03_arm_watchdog_eligibility.kicad_sch,SRA1,A2,0V SUPPLY,SAFETY_0V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3003,03_arm_watchdog_eligibility.kicad_sch,SRA1,S11,INPUT CH1 FEED,SRA1_S11,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3004,03_arm_watchdog_eligibility.kicad_sch,SRA1,S12,INPUT CH1 RETURN / START FEED,SRA1_S12,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3005,03_arm_watchdog_eligibility.kicad_sch,SRA1,S21,INPUT CH2 FEED,SRA1_S21,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3006,03_arm_watchdog_eligibility.kicad_sch,SRA1,S22,INPUT CH2 RETURN,SRA1_S22,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3007,03_arm_watchdog_eligibility.kicad_sch,SRA1,S34,START / EDM RETURN,SRA1_START_RETURN,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3008,03_arm_watchdog_eligibility.kicad_sch,SRA1,13,SAFETY OUT1 IN,SAFETY_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3009,03_arm_watchdog_eligibility.kicad_sch,SRA1,14,SAFETY OUT1 OUT,SRA1_K1_RAW,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3010,03_arm_watchdog_eligibility.kicad_sch,SRA1,23,SAFETY OUT2 IN,SAFETY_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3011,03_arm_watchdog_eligibility.kicad_sch,SRA1,24,SAFETY OUT2 OUT,SRA1_K2_RAW,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / SAFETY,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3012,03_arm_watchdog_eligibility.kicad_sch,SRA1,41,AUX NC IN,SAFETY_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / STATUS,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3013,03_arm_watchdog_eligibility.kicad_sch,SRA1,Y32,SEMICONDUCTOR STATUS,SRA1_STATUS,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / STATUS,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3014,03_arm_watchdog_eligibility.kicad_sch,KWD1,A1,COIL +24V,SAFETY_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / ORDINARY CONTROL,NOT RELEASED - ZERO SAFETY CREDIT,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3015,03_arm_watchdog_eligibility.kicad_sch,KWD1,A2,DRIVER RETURN,WD1_COIL_N,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / ORDINARY CONTROL,NOT RELEASED - ZERO SAFETY CREDIT,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3016,03_arm_watchdog_eligibility.kicad_sch,KWD1,11,SR1 SUPPLY GATE IN,SAFETY_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / DIAGNOSTIC SUPPLY GATE - SEGREGATE FROM S0/SR1 INPUT RETURNS,NOT RELEASED - SUPPLY-GATE ROUTING/FAULT TEST REQUIRED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3017,03_arm_watchdog_eligibility.kicad_sch,KWD1,21,CH2 COM +24V,SAFETY_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / FEEDBACK,NOT RELEASED - ZERO SAFETY CREDIT,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3018,03_arm_watchdog_eligibility.kicad_sch,KWD1,14,SR1 SUPPLY GATE STAGE 1,WD_SUPPLY_INTERMEDIATE,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / DIAGNOSTIC SUPPLY GATE - SEGREGATE FROM S0/SR1 INPUT RETURNS,NOT RELEASED - SUPPLY-GATE ROUTING/FAULT TEST REQUIRED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3019,03_arm_watchdog_eligibility.kicad_sch,KWD1,22,CH2 NC FEEDBACK,WD1_NC_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / FEEDBACK,NOT RELEASED - ZERO SAFETY CREDIT,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3020,03_arm_watchdog_eligibility.kicad_sch,S2,TBD-A1,ARM IN,SRA1_S12,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY,NOT RELEASED - TERMINAL TBD,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3021,03_arm_watchdog_eligibility.kicad_sch,S2,TBD-A2,ARM OUT,ARM_AFTER_S2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,DOOR LOOM / SAFETY,NOT RELEASED - TERMINAL TBD,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3022,03_arm_watchdog_eligibility.kicad_sch,KWD2,A1,COIL +24V,SAFETY_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / ORDINARY CONTROL,NOT RELEASED - ZERO SAFETY CREDIT,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3023,03_arm_watchdog_eligibility.kicad_sch,KWD2,A2,DRIVER RETURN,WD2_COIL_N,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / ORDINARY CONTROL,NOT RELEASED - ZERO SAFETY CREDIT,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3024,03_arm_watchdog_eligibility.kicad_sch,KWD2,11,SR1 SUPPLY GATE STAGE 1,WD_SUPPLY_INTERMEDIATE,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / DIAGNOSTIC SUPPLY GATE - SEGREGATE FROM S0/SR1 INPUT RETURNS,NOT RELEASED - SUPPLY-GATE ROUTING/FAULT TEST REQUIRED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3025,03_arm_watchdog_eligibility.kicad_sch,KWD2,21,CH2 COM +24V,SAFETY_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / FEEDBACK,NOT RELEASED - ZERO SAFETY CREDIT,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3026,03_arm_watchdog_eligibility.kicad_sch,KWD2,14,SR1 A1 GATED SUPPLY,SR1_A1_WD_GATED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / DIAGNOSTIC SUPPLY GATE - SEGREGATE FROM S0/SR1 INPUT RETURNS,NOT RELEASED - SUPPLY-GATE ROUTING/FAULT TEST REQUIRED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W3027,03_arm_watchdog_eligibility.kicad_sch,KWD2,22,CH2 NC FEEDBACK,WD2_NC_24V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / FEEDBACK,NOT RELEASED - ZERO SAFETY CREDIT,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4001,04_contactor_edm.kicad_sch,K1,A1,COIL +,K1_A1,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / CONTACTOR COIL,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4002,04_contactor_edm.kicad_sch,K1,A2,COIL -,SAFETY_0V,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / CONTACTOR COIL,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
W4003,04_contactor_edm.kicad_sch,K1,21,MIRROR NC IN,ARM_AFTER_S2,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,TOP RAIL / EDM,NOT RELEASED,Project Button Electrical V3-P1.15-CARRIER-CANDIDATE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
