cluster_id,union_exact_trimmed_face_tags_json,face_signatures_sha256_json,face_types_json,failed_facets,warning
R311-C011,"[76,121]","[""5fbdbb813ee3e762ea2054e801cab2af730f705c824117237be33f2ad516af62"",""3fe32155b15b3601d6bb799f0f91816a2faf93434c9f4af60f67d9ab9cc683ac""]","[""Plane"",""Plane""]",9,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C012,"[78,122]","[""726dcea241c9f280ed41601d6bfa422cb4c8f7b6a79ca8d583b2fecc1f059352"",""02b15854398bdf5165d7d1f8038fd26b635fd5282d1f52067a58fd2a7748b8ab""]","[""Plane"",""Plane""]",9,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C013,"[80,124]","[""28bf09302e45434345ab954541b4f0742e3766294af93f94981b292fe15b5c1e"",""e7d15423fc25a486e32bda5b6d592ca58a512e543f3730f031fae82b09b69063""]","[""Plane"",""Plane""]",9,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C014,"[80,125]","[""28bf09302e45434345ab954541b4f0742e3766294af93f94981b292fe15b5c1e"",""b8d3b60962c5388d82836224b8d3d8783c80321e12a2ffdec405fda93a8f3e3f""]","[""Plane"",""Plane""]",9,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C015,"[78,123]","[""726dcea241c9f280ed41601d6bfa422cb4c8f7b6a79ca8d583b2fecc1f059352"",""ca0ab09a7a91c777148c1abe26faf216e609233465cabe397cf39f09bc80752e""]","[""Plane"",""Plane""]",8,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C016,"[29,75,118]","[""ed0311aaf19ea853cdac1671fd52b56dc3fd21371f6b6fbce57e5186afe4b6fb"",""718038538e4c8c434eb21ae3b2248a286a15cfea2b3bee34b950ab4c498c7e33"",""dafa4021e7065876bc289b02bc883540cae61058b53a6f61e5dfad1b8ca8c4a0""]","[""Plane"",""Plane"",""Plane""]",7,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C017,"[29,75,120]","[""ed0311aaf19ea853cdac1671fd52b56dc3fd21371f6b6fbce57e5186afe4b6fb"",""718038538e4c8c434eb21ae3b2248a286a15cfea2b3bee34b950ab4c498c7e33"",""cf14eb876335aff59ba8b6c585b3bb64c6f2581ef36a3fa10ca28301fc9d985a""]","[""Plane"",""Plane"",""Plane""]",7,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C018,"[31,77,121]","[""c2d4fd371c2739ac9018a8ef4464ae24488b3171a401ed2df92b28674bfe461d"",""104a3234faf90162e87ac2ccdd6ef267a7825df25552e9106121f624529bcc4e"",""3fe32155b15b3601d6bb799f0f91816a2faf93434c9f4af60f67d9ab9cc683ac""]","[""Plane"",""Plane"",""Plane""]",7,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C019,"[31,77,122]","[""c2d4fd371c2739ac9018a8ef4464ae24488b3171a401ed2df92b28674bfe461d"",""104a3234faf90162e87ac2ccdd6ef267a7825df25552e9106121f624529bcc4e"",""02b15854398bdf5165d7d1f8038fd26b635fd5282d1f52067a58fd2a7748b8ab""]","[""Plane"",""Plane"",""Plane""]",7,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C020,"[33,79,123]","[""c118830f816e5a74114e6312876778282505fb8faa02eda48b044c226a8182ea"",""9330057d5a50c88111d8b946d24aacb11cbfb31db74b95c26db9557176ab27a6"",""ca0ab09a7a91c777148c1abe26faf216e609233465cabe397cf39f09bc80752e""]","[""Plane"",""Plane"",""Plane""]",7,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C021,"[33,79,124]","[""c118830f816e5a74114e6312876778282505fb8faa02eda48b044c226a8182ea"",""9330057d5a50c88111d8b946d24aacb11cbfb31db74b95c26db9557176ab27a6"",""e7d15423fc25a486e32bda5b6d592ca58a512e543f3730f031fae82b09b69063""]","[""Plane"",""Plane"",""Plane""]",7,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C022,"[35,81,117]","[""0576bac3916eaaad318d2113de72e7b48fa405d8fa4e80fd721c24068baef432"",""9abeaee92766b8119a83e931ecf398a2c4ff7d0a9edab82b681128b370598086"",""a500fc13262073c7235120a7775e2b093f1e222fd8fd97fce987c70eddac3107""]","[""Plane"",""Plane"",""Plane""]",7,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C023,"[35,81,125]","[""0576bac3916eaaad318d2113de72e7b48fa405d8fa4e80fd721c24068baef432"",""9abeaee92766b8119a83e931ecf398a2c4ff7d0a9edab82b681128b370598086"",""b8d3b60962c5388d82836224b8d3d8783c80321e12a2ffdec405fda93a8f3e3f""]","[""Plane"",""Plane"",""Plane""]",7,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C024,"[76,120]","[""5fbdbb813ee3e762ea2054e801cab2af730f705c824117237be33f2ad516af62"",""cf14eb876335aff59ba8b6c585b3bb64c6f2581ef36a3fa10ca28301fc9d985a""]","[""Plane"",""Plane""]",7,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C025,"[28,29,74,75,118]","[""3e90fe3ba550ad5d69f7fdbd85c9a856cda26386f9e8d37b381d086f2e479a4c"",""ed0311aaf19ea853cdac1671fd52b56dc3fd21371f6b6fbce57e5186afe4b6fb"",""37c1e53ee043ee3ca72a46fe5eae32b8bde2b05535d8352001e2c25ee4102e4d"",""718038538e4c8c434eb21ae3b2248a286a15cfea2b3bee34b950ab4c498c7e33"",""dafa4021e7065876bc289b02bc883540cae61058b53a6f61e5dfad1b8ca8c4a0""]","[""Cylinder"",""Plane"",""Plane"",""Plane"",""Plane""]",2,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C026,"[28,35,74,81,117]","[""3e90fe3ba550ad5d69f7fdbd85c9a856cda26386f9e8d37b381d086f2e479a4c"",""0576bac3916eaaad318d2113de72e7b48fa405d8fa4e80fd721c24068baef432"",""37c1e53ee043ee3ca72a46fe5eae32b8bde2b05535d8352001e2c25ee4102e4d"",""9abeaee92766b8119a83e931ecf398a2c4ff7d0a9edab82b681128b370598086"",""a500fc13262073c7235120a7775e2b093f1e222fd8fd97fce987c70eddac3107""]","[""Cylinder"",""Plane"",""Plane"",""Plane"",""Plane""]",2,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C027,"[29,30,75,76,120]","[""ed0311aaf19ea853cdac1671fd52b56dc3fd21371f6b6fbce57e5186afe4b6fb"",""e652176561be4f557a83ef63fa7f706a66e1f2cbf43f67d3393cfc11fa27fb0b"",""718038538e4c8c434eb21ae3b2248a286a15cfea2b3bee34b950ab4c498c7e33"",""5fbdbb813ee3e762ea2054e801cab2af730f705c824117237be33f2ad516af62"",""cf14eb876335aff59ba8b6c585b3bb64c6f2581ef36a3fa10ca28301fc9d985a""]","[""Plane"",""Cylinder"",""Plane"",""Plane"",""Plane""]",2,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C028,"[30,31,76,77,121]","[""e652176561be4f557a83ef63fa7f706a66e1f2cbf43f67d3393cfc11fa27fb0b"",""c2d4fd371c2739ac9018a8ef4464ae24488b3171a401ed2df92b28674bfe461d"",""5fbdbb813ee3e762ea2054e801cab2af730f705c824117237be33f2ad516af62"",""104a3234faf90162e87ac2ccdd6ef267a7825df25552e9106121f624529bcc4e"",""3fe32155b15b3601d6bb799f0f91816a2faf93434c9f4af60f67d9ab9cc683ac""]","[""Cylinder"",""Plane"",""Plane"",""Plane"",""Plane""]",2,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C029,"[31,32,77,78,122]","[""c2d4fd371c2739ac9018a8ef4464ae24488b3171a401ed2df92b28674bfe461d"",""0b133b656f5e80c32f246112a128db908c59b2cd42de756aba77abaee00fafa0"",""104a3234faf90162e87ac2ccdd6ef267a7825df25552e9106121f624529bcc4e"",""726dcea241c9f280ed41601d6bfa422cb4c8f7b6a79ca8d583b2fecc1f059352"",""02b15854398bdf5165d7d1f8038fd26b635fd5282d1f52067a58fd2a7748b8ab""]","[""Plane"",""Cylinder"",""Plane"",""Plane"",""Plane""]",2,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C030,"[32,33,78,79,123]","[""0b133b656f5e80c32f246112a128db908c59b2cd42de756aba77abaee00fafa0"",""c118830f816e5a74114e6312876778282505fb8faa02eda48b044c226a8182ea"",""726dcea241c9f280ed41601d6bfa422cb4c8f7b6a79ca8d583b2fecc1f059352"",""9330057d5a50c88111d8b946d24aacb11cbfb31db74b95c26db9557176ab27a6"",""ca0ab09a7a91c777148c1abe26faf216e609233465cabe397cf39f09bc80752e""]","[""Cylinder"",""Plane"",""Plane"",""Plane"",""Plane""]",2,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C031,"[33,34,79,80,124]","[""c118830f816e5a74114e6312876778282505fb8faa02eda48b044c226a8182ea"",""08d0f4a47e29479adfc4287e49fb2260115130388a5544d20e0e237915466d01"",""9330057d5a50c88111d8b946d24aacb11cbfb31db74b95c26db9557176ab27a6"",""28bf09302e45434345ab954541b4f0742e3766294af93f94981b292fe15b5c1e"",""e7d15423fc25a486e32bda5b6d592ca58a512e543f3730f031fae82b09b69063""]","[""Plane"",""Cylinder"",""Plane"",""Plane"",""Plane""]",2,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R311-C032,"[34,35,80,81,125]","[""08d0f4a47e29479adfc4287e49fb2260115130388a5544d20e0e237915466d01"",""0576bac3916eaaad318d2113de72e7b48fa405d8fa4e80fd721c24068baef432"",""28bf09302e45434345ab954541b4f0742e3766294af93f94981b292fe15b5c1e"",""9abeaee92766b8119a83e931ecf398a2c4ff7d0a9edab82b681128b370598086"",""b8d3b60962c5388d82836224b8d3d8783c80321e12a2ffdec405fda93a8f3e3f""]","[""Cylinder"",""Plane"",""Plane"",""Plane"",""Plane""]",2,"PRELIMINARY - CORRECTED EXACT TRIMMED-FACE OWNERSHIP AUDIT ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
