source_id,source,revision_or_date,sha256,verified_use,boundary,warning
P118D-SRC-011,electrical/kicad/project-button-v3-p1.15-carrier-candidate/validation/project-button-v3-p1.15-carrier-candidate.net,repository source rechecked 2026-08-11,3D7B30E79E5C907ECCE64240298BF35CA09D568982E27EC7E1D6F4B534AA4984,current native netlist,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-012,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/validation/project-button-v3-p1.18-panel-topology-candidate.net,repository source rechecked 2026-08-11,AC85CDBAAC3E78FCF4C8BA300FD3DFE4095B67AC4168AEA05AB34A27C0726D4E,candidate native netlist,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-013,release/hr-v0/panel-point-to-point-p0.1/point-to-point-wire-schedule.csv,repository source rechecked 2026-08-11,71708E911EA09A5F1EAF8413AA2C3B238C22A93660045D7CAFB83BE1FD403056,55 two-ended conductor candidates,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-014,electrical/reviews/hr-v0-p118-ecad-web-review-p0.1/sheet-register.csv,repository source rechecked 2026-08-11,E3E2BFB58C303C49BA5DD24568377C5CBC19179322F6312B2B33941F4DF907E6,native-to-SVG hash binding,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-015,release/hr-v0/watchdog-permit-topology-p0.1/package-status.json,repository source rechecked 2026-08-11,CA338E628810DCFF62148C85621A73F343A7DAEA832F465A9158C57585D7BB59,watchdog topology boundary,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-016,release/hr-v0/contactor-application-p0.3/package-status.json,repository source rechecked 2026-08-11,B92B3AC54204ADA4C53CA8700FFFB08B01BA93D8764FC130DD7811EBA4D6F0AA,contactor parity/application boundary,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-017,release/hr-v0/e2-grounding-boundary-p0.1/package-status.json,repository source rechecked 2026-08-11,2867BDA1BD711F0A2229134FF4021BADC784B4D250DA8B1BB66795B46020CCAE,E2 grounding boundary,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-018,release/hr-v0/e2-prepower-test-p0.1/package-status.json,repository source rechecked 2026-08-11,0BD943AEE12E15E98E661E3E9685C1CC054D061DDFB9B45535637E9B8DEF2FA3,E2 pre-power boundary,project-owned configuration evidence only,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-003,https://www.phoenixcontact.com/us/products/3273114,item 3273114; generated PDF 2026-08-10; accessed 2026-08-11,REMOTE_PRIMARY_SOURCE,19 connections; NS35; line 0.5-10 mm2 flexible; load 0.14-4 mm2 flexible; 24 A nominal,"Project protection, current, wire, spare cover or physical acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-004,https://www.phoenixcontact.com/us/products/3273112,item 3273112; live record accessed 2026-08-11,REMOTE_PRIMARY_SOURCE,19 connections; NS35; line 0.5-10 mm2 flexible; load 0.14-4 mm2 flexible; 24 A nominal,"Project return policy, protection, wire or physical acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
P118D-SRC-005,https://www.phoenixcontact.com/us/products/3209549,item 3209549; generated PDF 2026-08-10; accessed 2026-08-11,REMOTE_PRIMARY_SOURCE,three independent push-in connections; 0.14-4 mm2 flexible; 8-10 mm strip; 24 A nominal,"Project conductor, marker, rail placement or safety acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
