zone_id,source_volume_tag_diagnostic_only,imprinted_volume_tag_diagnostic_only,source_volume_mm3,imprinted_volume_mm3,relative_volume_error,maximum_bbox_delta_mm,maximum_center_of_mass_delta_mm,one_to_one_gate,warning
H1-SINGULAR-RIM-BACK,10,10,8.75637807312863,8.75637807312863,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H1-SINGULAR-RIM-FRONT,16,16,8.756378073128596,8.756378073128596,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H2-LIGAMENT,3,3,316.782495224727,316.782495224727,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H2-SINGULAR-RIM-BACK,9,9,8.75637807312863,8.75637807312863,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H2-SINGULAR-RIM-FRONT,15,15,8.756378073128595,8.756378073128595,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H3-LIGAMENT,4,4,316.782495224727,316.782495224727,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H3-SINGULAR-RIM-BACK,14,14,8.75637807312863,8.75637807312863,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H3-SINGULAR-RIM-FRONT,18,18,8.756378073128595,8.756378073128595,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H4-LIGAMENT,5,5,316.782495224727,316.782495224727,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H4-SINGULAR-RIM-BACK,12,12,8.75637807312863,8.75637807312863,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H4-SINGULAR-RIM-FRONT,17,17,8.756378073128595,8.756378073128595,0.0,0.0,0.0,PASS,"PRELIMINARY - CORRECTED 24-FACE ANALYSIS-SURFACE IMPRINT EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
