step_id,stage,module,action,objective_record,performed_by,result,evidence,warning
FC-T011,PRINT,T01,Print all 5 Torso fit articles at 1:1 scale,All files complete; material/print log attached,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T012,INSPECT,T01,Measure X/Y/Z envelopes and critical interfaces for Torso,Measurements entered; deviations and rework recorded,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T013,ASSEMBLE,T01,Dry-assemble Torso with inert dummy or unpowered candidate hardware,No force-fit damage; interfaces accessible; no electrical source present,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T014,ROUTE,T01,Pull string or sacrificial sleeving through Torso harness corridors and service loops,"Route, clamp access, bend and service clearance observations recorded",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T015,PRINT,P01,Print all 6 Pelvis fit articles at 1:1 scale,All files complete; material/print log attached,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T016,INSPECT,P01,Measure X/Y/Z envelopes and critical interfaces for Pelvis,Measurements entered; deviations and rework recorded,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T017,ASSEMBLE,P01,Dry-assemble Pelvis with inert dummy or unpowered candidate hardware,No force-fit damage; interfaces accessible; no electrical source present,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T018,ROUTE,P01,Pull string or sacrificial sleeving through Pelvis harness corridors and service loops,"Route, clamp access, bend and service clearance observations recorded",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T019,PRINT,A01,Print all 8 Left arm fit articles at 1:1 scale,All files complete; material/print log attached,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T020,INSPECT,A01,Measure X/Y/Z envelopes and critical interfaces for Left arm,Measurements entered; deviations and rework recorded,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T021,ASSEMBLE,A01,Dry-assemble Left arm with inert dummy or unpowered candidate hardware,No force-fit damage; interfaces accessible; no electrical source present,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T022,ROUTE,A01,Pull string or sacrificial sleeving through Left arm harness corridors and service loops,"Route, clamp access, bend and service clearance observations recorded",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T023,PRINT,G01,Print all 17 Left hand fit articles at 1:1 scale,All files complete; material/print log attached,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T024,INSPECT,G01,Measure X/Y/Z envelopes and critical interfaces for Left hand,Measurements entered; deviations and rework recorded,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T025,ASSEMBLE,G01,Dry-assemble Left hand with inert dummy or unpowered candidate hardware,No force-fit damage; interfaces accessible; no electrical source present,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T026,ROUTE,G01,Pull string or sacrificial sleeving through Left hand harness corridors and service loops,"Route, clamp access, bend and service clearance observations recorded",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T027,PRINT,A02,Print all 8 Right arm fit articles at 1:1 scale,All files complete; material/print log attached,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T028,INSPECT,A02,Measure X/Y/Z envelopes and critical interfaces for Right arm,Measurements entered; deviations and rework recorded,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T029,ASSEMBLE,A02,Dry-assemble Right arm with inert dummy or unpowered candidate hardware,No force-fit damage; interfaces accessible; no electrical source present,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T030,ROUTE,A02,Pull string or sacrificial sleeving through Right arm harness corridors and service loops,"Route, clamp access, bend and service clearance observations recorded",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T031,PRINT,G02,Print all 17 Right hand fit articles at 1:1 scale,All files complete; material/print log attached,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T032,INSPECT,G02,Measure X/Y/Z envelopes and critical interfaces for Right hand,Measurements entered; deviations and rework recorded,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T033,ASSEMBLE,G02,Dry-assemble Right hand with inert dummy or unpowered candidate hardware,No force-fit damage; interfaces accessible; no electrical source present,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T034,ROUTE,G02,Pull string or sacrificial sleeving through Right hand harness corridors and service loops,"Route, clamp access, bend and service clearance observations recorded",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T035,PRINT,L01,Print all 14 Left leg fit articles at 1:1 scale,All files complete; material/print log attached,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T036,INSPECT,L01,Measure X/Y/Z envelopes and critical interfaces for Left leg,Measurements entered; deviations and rework recorded,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T037,ASSEMBLE,L01,Dry-assemble Left leg with inert dummy or unpowered candidate hardware,No force-fit damage; interfaces accessible; no electrical source present,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T038,ROUTE,L01,Pull string or sacrificial sleeving through Left leg harness corridors and service loops,"Route, clamp access, bend and service clearance observations recorded",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T039,PRINT,F01,Print all 3 Left foot fit articles at 1:1 scale,All files complete; material/print log attached,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T040,INSPECT,F01,Measure X/Y/Z envelopes and critical interfaces for Left foot,Measurements entered; deviations and rework recorded,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T041,ASSEMBLE,F01,Dry-assemble Left foot with inert dummy or unpowered candidate hardware,No force-fit damage; interfaces accessible; no electrical source present,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T042,ROUTE,F01,Pull string or sacrificial sleeving through Left foot harness corridors and service loops,"Route, clamp access, bend and service clearance observations recorded",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T043,PRINT,L02,Print all 14 Right leg fit articles at 1:1 scale,All files complete; material/print log attached,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T044,INSPECT,L02,Measure X/Y/Z envelopes and critical interfaces for Right leg,Measurements entered; deviations and rework recorded,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T045,ASSEMBLE,L02,Dry-assemble Right leg with inert dummy or unpowered candidate hardware,No force-fit damage; interfaces accessible; no electrical source present,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T046,ROUTE,L02,Pull string or sacrificial sleeving through Right leg harness corridors and service loops,"Route, clamp access, bend and service clearance observations recorded",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T047,PRINT,F02,Print all 3 Right foot fit articles at 1:1 scale,All files complete; material/print log attached,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T048,INSPECT,F02,Measure X/Y/Z envelopes and critical interfaces for Right foot,Measurements entered; deviations and rework recorded,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T049,ASSEMBLE,F02,Dry-assemble Right foot with inert dummy or unpowered candidate hardware,No force-fit damage; interfaces accessible; no electrical source present,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T050,ROUTE,F02,Pull string or sacrificial sleeving through Right foot harness corridors and service loops,"Route, clamp access, bend and service clearance observations recorded",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T051,INTEGRATE,whole robot,Join all twelve modules as one complete recognizable humanoid while supported by an independent fixture,All modules visible; fixture carries every gravity/fall load,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T052,SWEEP,whole robot,Manually sweep every one of the 25 unpowered joint axes through the proposed fit-check range,"Binding, collision, cover, cable and access observations recorded per axis",UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T053,PACKAGE,whole robot,"Trial-fit all installed-equipment envelopes, service panels and hand mechanisms",Every interface has a recorded result or open issue,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-T054,CLOSE,whole robot,Photograph the complete supported fit-check and freeze the as-built issue register,Configuration and unresolved issues recorded; no production release inferred,UNASSIGNED,NOT EXECUTED,NONE,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
