plate_id,module,part_id,stl_path,x_mm,y_mm,rotation_z_deg,placed_width_mm,placed_depth_mm,part_height_mm,physical_layout_executed,warning
FC-P01-P01,P01,P01_PELVIS_PLATE_FRONT,stl/P01/P01_PELVIS_PLATE_FRONT.stl,145.000,5.000,0,62.000,136.000,5.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-P01-P02,P01,P01_PELVIS_PLATE_REAR,stl/P01/P01_PELVIS_PLATE_REAR.stl,5.000,5.000,0,62.000,136.000,5.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-P01-P02,P01,P01_WAIST_BRIDGE,stl/P01/P01_WAIST_BRIDGE.stl,72.000,5.000,0,112.000,62.000,8.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-P01-P01,P01,P01_RESTRAINT_BRIDGE,stl/P01/P01_RESTRAINT_BRIDGE.stl,5.000,165.000,0,84.000,14.000,12.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A01-P01,A01,A01_UPPER_ARM_LINK_FRONT,stl/A01/A01_UPPER_ARM_LINK_FRONT.stl,5.000,5.000,0,146.120,41.870,28.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A01-P01,A01,A01_UPPER_ARM_LINK_REAR,stl/A01/A01_UPPER_ARM_LINK_REAR.stl,5.000,51.870,0,146.120,41.870,28.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A01-P01,A01,A01_UPPER_ARM_FRONT_COVER,stl/A01/A01_UPPER_ARM_FRONT_COVER.stl,5.000,98.739,90,145.411,46.000,39.160858,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A01-P01,A01,A01_UPPER_ARM_REAR_COVER,stl/A01/A01_UPPER_ARM_REAR_COVER.stl,5.000,149.739,90,145.411,46.000,39.160858,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A01-P02,A01,A01_FOREARM_LINK_FRONT,stl/A01/A01_FOREARM_LINK_FRONT.stl,5.000,5.000,0,26.000,145.052,8.997620,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A01-P02,A01,A01_FOREARM_LINK_REAR,stl/A01/A01_FOREARM_LINK_REAR.stl,36.000,5.000,0,26.000,145.052,8.997620,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A01-P02,A01,A01_FOREARM_FRONT_COVER,stl/A01/A01_FOREARM_FRONT_COVER.stl,67.000,5.000,0,44.000,144.955,6.199280,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A01-P02,A01,A01_FOREARM_REAR_COVER,stl/A01/A01_FOREARM_REAR_COVER.stl,116.000,5.000,0,44.000,144.955,6.199280,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_GUIDE_ROD_FRONT,stl/G01/G01_GUIDE_ROD_FRONT.stl,5.000,5.000,0,4.000,64.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_GUIDE_ROD_REAR,stl/G01/G01_GUIDE_ROD_REAR.stl,14.000,5.000,0,4.000,64.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_FINGER_NEGATIVE,stl/G01/G01_FINGER_NEGATIVE.stl,23.000,5.000,0,36.000,52.000,14.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_FINGER_POSITIVE,stl/G01/G01_FINGER_POSITIVE.stl,64.000,5.000,0,36.000,52.000,14.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_PALM_BOTTOM_BRIDGE,stl/G01/G01_PALM_BOTTOM_BRIDGE.stl,105.000,5.000,0,46.000,50.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_PALM_TOP_BRIDGE,stl/G01/G01_PALM_TOP_BRIDGE.stl,156.000,5.000,0,46.000,50.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_PALM_FRONT_PLATE,stl/G01/G01_PALM_FRONT_PLATE.stl,5.000,74.000,0,36.000,50.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_PALM_REAR_PLATE,stl/G01/G01_PALM_REAR_PLATE.stl,46.000,74.000,0,36.000,50.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_WRIST_MOUNT_PLATE,stl/G01/G01_WRIST_MOUNT_PLATE.stl,87.000,74.000,0,38.000,36.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_RACK_NEGATIVE,stl/G01/G01_RACK_NEGATIVE.stl,207.000,5.000,90,6.000,32.952,3.250000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_RACK_POSITIVE,stl/G01/G01_RACK_POSITIVE.stl,130.000,74.000,0,32.952,6.000,3.250000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_PAD_NEGATIVE,stl/G01/G01_PAD_NEGATIVE.stl,167.952,74.000,0,30.000,30.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_PAD_POSITIVE,stl/G01/G01_PAD_POSITIVE.stl,5.000,129.000,0,30.000,30.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_STOP_NEGATIVE,stl/G01/G01_STOP_NEGATIVE.stl,202.952,74.000,90,9.000,24.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_STOP_POSITIVE,stl/G01/G01_STOP_POSITIVE.stl,40.000,129.000,0,24.000,9.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_PINION,stl/G01/G01_PINION.stl,69.000,129.000,0,10.996,10.996,6.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G01-P01,G01,G01_MANUAL_RELEASE_HUB,stl/G01/G01_MANUAL_RELEASE_HUB.stl,84.996,129.000,0,8.000,8.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A02-P01,A02,A02_UPPER_ARM_LINK_FRONT,stl/A02/A02_UPPER_ARM_LINK_FRONT.stl,5.000,5.000,0,146.120,41.870,28.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A02-P01,A02,A02_UPPER_ARM_LINK_REAR,stl/A02/A02_UPPER_ARM_LINK_REAR.stl,5.000,51.870,0,146.120,41.870,28.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A02-P01,A02,A02_UPPER_ARM_FRONT_COVER,stl/A02/A02_UPPER_ARM_FRONT_COVER.stl,5.000,98.739,90,145.411,46.000,39.160858,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A02-P01,A02,A02_UPPER_ARM_REAR_COVER,stl/A02/A02_UPPER_ARM_REAR_COVER.stl,5.000,149.739,90,145.411,46.000,39.160858,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A02-P02,A02,A02_FOREARM_LINK_FRONT,stl/A02/A02_FOREARM_LINK_FRONT.stl,5.000,5.000,0,26.000,145.052,8.997620,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A02-P02,A02,A02_FOREARM_LINK_REAR,stl/A02/A02_FOREARM_LINK_REAR.stl,36.000,5.000,0,26.000,145.052,8.997620,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A02-P02,A02,A02_FOREARM_FRONT_COVER,stl/A02/A02_FOREARM_FRONT_COVER.stl,67.000,5.000,0,44.000,144.955,6.199280,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-A02-P02,A02,A02_FOREARM_REAR_COVER,stl/A02/A02_FOREARM_REAR_COVER.stl,116.000,5.000,0,44.000,144.955,6.199280,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_GUIDE_ROD_FRONT,stl/G02/G02_GUIDE_ROD_FRONT.stl,5.000,5.000,0,4.000,64.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_GUIDE_ROD_REAR,stl/G02/G02_GUIDE_ROD_REAR.stl,14.000,5.000,0,4.000,64.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_FINGER_NEGATIVE,stl/G02/G02_FINGER_NEGATIVE.stl,23.000,5.000,0,36.000,52.000,14.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_FINGER_POSITIVE,stl/G02/G02_FINGER_POSITIVE.stl,64.000,5.000,0,36.000,52.000,14.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_PALM_BOTTOM_BRIDGE,stl/G02/G02_PALM_BOTTOM_BRIDGE.stl,105.000,5.000,0,46.000,50.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_PALM_TOP_BRIDGE,stl/G02/G02_PALM_TOP_BRIDGE.stl,156.000,5.000,0,46.000,50.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_PALM_FRONT_PLATE,stl/G02/G02_PALM_FRONT_PLATE.stl,5.000,74.000,0,36.000,50.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_PALM_REAR_PLATE,stl/G02/G02_PALM_REAR_PLATE.stl,46.000,74.000,0,36.000,50.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_WRIST_MOUNT_PLATE,stl/G02/G02_WRIST_MOUNT_PLATE.stl,87.000,74.000,0,38.000,36.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_RACK_NEGATIVE,stl/G02/G02_RACK_NEGATIVE.stl,207.000,5.000,90,6.000,32.952,3.250000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_RACK_POSITIVE,stl/G02/G02_RACK_POSITIVE.stl,130.000,74.000,0,32.952,6.000,3.250000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_PAD_NEGATIVE,stl/G02/G02_PAD_NEGATIVE.stl,167.952,74.000,0,30.000,30.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_PAD_POSITIVE,stl/G02/G02_PAD_POSITIVE.stl,5.000,129.000,0,30.000,30.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_STOP_NEGATIVE,stl/G02/G02_STOP_NEGATIVE.stl,202.952,74.000,90,9.000,24.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_STOP_POSITIVE,stl/G02/G02_STOP_POSITIVE.stl,40.000,129.000,0,24.000,9.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_PINION,stl/G02/G02_PINION.stl,69.000,129.000,0,10.996,10.996,6.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-G02-P01,G02,G02_MANUAL_RELEASE_HUB,stl/G02/G02_MANUAL_RELEASE_HUB.stl,84.996,129.000,0,8.000,8.000,4.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P01,L01,L01_THIGH_SIDE_FRONT,stl/L01/L01_THIGH_SIDE_FRONT.stl,5.000,5.000,0,142.000,56.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P01,L01,L01_THIGH_SIDE_REAR,stl/L01/L01_THIGH_SIDE_REAR.stl,5.000,66.000,0,142.000,56.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P01,L01,L01_THIGH_FRONT_COVER,stl/L01/L01_THIGH_FRONT_COVER.stl,5.000,127.000,0,138.000,66.000,1.199997,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P02,L01,L01_THIGH_REAR_COVER,stl/L01/L01_THIGH_REAR_COVER.stl,5.000,5.000,0,138.000,66.000,1.199997,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P02,L01,L01_SHIN_SIDE_FRONT,stl/L01/L01_SHIN_SIDE_FRONT.stl,5.000,76.000,0,136.000,50.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P02,L01,L01_SHIN_SIDE_REAR,stl/L01/L01_SHIN_SIDE_REAR.stl,5.000,131.000,0,136.000,50.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P03,L01,L01_SHIN_FRONT_COVER,stl/L01/L01_SHIN_FRONT_COVER.stl,5.000,5.000,0,132.000,60.000,1.199997,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P03,L01,L01_SHIN_REAR_COVER,stl/L01/L01_SHIN_REAR_COVER.stl,5.000,70.000,0,132.000,60.000,1.199997,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P01,L01,L01_THIGH_TIE_Z235,stl/L01/L01_THIGH_TIE_Z235.stl,152.000,5.000,0,46.000,40.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P01,L01,L01_THIGH_TIE_Z300,stl/L01/L01_THIGH_TIE_Z300.stl,152.000,66.000,0,46.000,40.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P01,L01,L01_THIGH_TIE_Z355,stl/L01/L01_THIGH_TIE_Z355.stl,148.000,127.000,0,46.000,40.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P02,L01,L01_SHIN_TIE_Z135,stl/L01/L01_SHIN_TIE_Z135.stl,148.000,5.000,0,42.000,40.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P02,L01,L01_SHIN_TIE_Z183,stl/L01/L01_SHIN_TIE_Z183.stl,146.000,76.000,0,42.000,40.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P02,L01,L01_SHIN_TIE_Z72,stl/L01/L01_SHIN_TIE_Z72.stl,146.000,131.000,0,42.000,40.000,3.000000,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
