plate_id,module,printer_envelope_mm,part_count,parts,layout_svg,gcode_released,slicer_profile_selected,printed,warning
FC-L01-P01,L01,220 x 220 x 250,6,L01_THIGH_SIDE_FRONT;L01_THIGH_SIDE_REAR;L01_THIGH_FRONT_COVER;L01_THIGH_TIE_Z235;L01_THIGH_TIE_Z300;L01_THIGH_TIE_Z355,plate-layouts/FC-L01-P01.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P02,L01,220 x 220 x 250,6,L01_THIGH_REAR_COVER;L01_SHIN_SIDE_FRONT;L01_SHIN_SIDE_REAR;L01_SHIN_TIE_Z135;L01_SHIN_TIE_Z183;L01_SHIN_TIE_Z72,plate-layouts/FC-L01-P02.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L01-P03,L01,220 x 220 x 250,2,L01_SHIN_FRONT_COVER;L01_SHIN_REAR_COVER,plate-layouts/FC-L01-P03.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-F01-P01,F01,220 x 220 x 250,2,F01_SOLE_CARRIER;F01_TOP_COVER,plate-layouts/FC-F01-P01.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-F01-P02,F01,220 x 220 x 250,1,F01_TOP_BRIDGE,plate-layouts/FC-F01-P02.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L02-P01,L02,220 x 220 x 250,6,L02_THIGH_SIDE_FRONT;L02_THIGH_SIDE_REAR;L02_THIGH_FRONT_COVER;L02_THIGH_TIE_Z235;L02_THIGH_TIE_Z300;L02_THIGH_TIE_Z355,plate-layouts/FC-L02-P01.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L02-P02,L02,220 x 220 x 250,6,L02_THIGH_REAR_COVER;L02_SHIN_SIDE_FRONT;L02_SHIN_SIDE_REAR;L02_SHIN_TIE_Z135;L02_SHIN_TIE_Z183;L02_SHIN_TIE_Z72,plate-layouts/FC-L02-P02.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-L02-P03,L02,220 x 220 x 250,2,L02_SHIN_FRONT_COVER;L02_SHIN_REAR_COVER,plate-layouts/FC-L02-P03.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-F02-P01,F02,220 x 220 x 250,2,F02_SOLE_CARRIER;F02_TOP_COVER,plate-layouts/FC-F02-P01.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
FC-F02-P02,F02,220 x 220 x 250,1,F02_TOP_BRIDGE,plate-layouts/FC-F02-P02.svg,NO,NO,NO,"PRELIMINARY - 1:1 NONSTRUCTURAL FIT ARTICLES ONLY - NOT APPROVED FOR LOAD BEARING, STANDING, WALKING, POWERED TESTING, MOTION, OR ENERGIZATION"
