case_id,injection_or_analysis,minimum_acceptance_boundary,fixture,instrumentation,numerical_limit,execution_state,authorization,warning
FI-012,force WD2_NC_DIAG false high/low,"no RESET, ARM, coil or motion authority",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-013,approved JWP1 pin1-to-pin3 and pin1-to-pin4 fault simulation,effects contained; S0 remains effective; protection limits open,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-014,approved JWP1 pin3-to-pin4 bridge,diagnostic common cause only; S0 remains effective,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-015,approved JWF1 pin1-to-pin2 bridge,feedback corruption only; no authority,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-016,approved WD1/WD2_NC_24V short-to-0V simulations,protection response does not damage credited paths,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-017,simulate ISO1 open/short/loss-of-isolation equivalents,assume diagnostic failure; credited paths unaffected,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-018,analyze then simulate DC1 input-output fault with approved protected fixture,no propagation capable of impairing credited path,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-019,swap/remove KWD1 and verify received terminal map,configuration error detected before connection,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-020,swap/remove KWD2 and verify received terminal map,configuration error detected before connection,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-021,inspect/test unused 12/24 terminals and single-channel bypass access,unused terminals isolated; no hidden bridge,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-022,simulate accessible watchdog-to-RESET/ARM/EDM conductor bridge,no automatic or out-of-order restart,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-023,probe-fixture and contamination bridge matrix,every accessible bridge analyzed and safely dispositioned,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-024,analyze KWD1 A1/21-to-14 internal-equivalent injection before any physical simulation,no test until qualified method; redesign if SF-01 impairment cannot be excluded/controlled,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-025,analyze KWD2 A1/21-to-14 internal-equivalent injection before any physical simulation,no test until qualified method; redesign if SF-01 impairment cannot be excluded/controlled,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-026,analyze/simulate common SAFETY_24V bridge to both SR1 return nodes,must not be accepted without qualified architecture disposition,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-027,interrupt/reconnect shared 0 V under controlled no-load conditions,no uncontrolled relay pickup or automatic restart,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
FI-028,unpowered debug fixture back-power/adjacent-short matrix,"no controller execution, relay drive or stored-energy hazard",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NOT AUTHORIZED,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
