fmea_id,item_or_boundary,failure_mode,df01_effect,sf01_sf03_effect,required_verification,safe_by_design,status,warning
WDF-022,DC1,input-output short,24 V may reach WD_5V/WDCTRL1,ordinary PCB damage must not propagate into credited wiring,FI-018,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-023,DC1/WD rails,slow brownout or oscillatory restart,spurious drive pulses possible,no K1/K2 restoration without RESET then ARM,FI-010;FI-027,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-024,TP15/TP16/TP2 debug fixture,back-power or driven pin during source-off state,WDCTRL1 can execute or drive outputs unexpectedly,must not create contactor authority; unpowered fixture proof open,FI-028,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-025,TP1..TP16 probe access,adjacent or dropped-probe short,multiple ordinary nets can be bridged,fixture shall make hazardous bridges inaccessible or current-limited,FI-023,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-026,shared enclosure,moisture/metal swarf/loose strand,cross-channel and safety/ordinary bridges possible,environment and workmanship controls required; no fault exclusion accepted,FI-023;FI-026,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-027,shared SAFETY_0V,open/high impedance,controllers/drivers/relays may chatter or float,safe dropout and restart inhibition require physical proof,FI-009;FI-027,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-028,KWD1/KWD2 replacement/service,"wrong module, polarity or terminal map",contact/coil behavior may differ,received identity and point-to-point verification mandatory,FI-019;FI-020,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-029,unused KWD terminals 12/24,field wiring or conductive contact added,alternate contact paths introduced,must remain isolated and inspected,FI-021,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-030,RESET/ARM conductor proximity,watchdog conductor bridges S1/S2/EDM return,restart sequence can be corrupted,SF-03 impairment possible; routing/barriers/fault injection open,FI-022;FI-026,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-031,software feedback handling,feedback falsely used as permission,ordinary indication could gain motion authority,code/config review must prove feedback is read-only,FI-011;FI-012,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDF-032,configuration mismatch,"KiCad, panel, harness, PCB or firmware revisions mixed",fault analysis no longer matches article,authorization automatically revoked; exact manifest inspection required,FI-019;FI-020,NO - OPEN UNTIL ANALYSIS/TEST,OPEN,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
