question_id,route_id,method_id,category,question,required_evidence,state,provider_response,response_evidence_uri,reviewer_disposition
R257-MQ-05-M01-01,R257-RT-05,JSM2-M01,METHOD,Propose loose-part depth/face/feature-coordinate measurands and datum construction without inferring thread function.,Drawing/method proposal,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M01-02,R257-RT-05,JSM2-M01,SUPPORT,Propose nonmarring free-state support and prove measured features remain accessible and unbiased.,Support sketch and reseat plan,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M01-03,R257-RT-05,JSM2-M01,REPEAT,"Define probe strategy, reseat/repeat series, environmental controls and raw point retention.",Repeatability/environment plan,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M01-04,R257-RT-05,JSM2-M01,OUTPUT,"State deliverable coordinate system, point/features, fit algorithms, residuals and uncertainty.",M01 output specification,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M02-01,R257-RT-05,JSM2-M02,AXIS,Propose external construction of the output-to-idler joint axis from exact received features/artifacts and state fit algorithms/residuals.,Axis-realization method,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M02-02,R257-RT-05,JSM2-M02,ASSEMBLY,Acknowledge no screw insertion until a separately signed exact hardware/torque/reuse instruction is supplied.,Signed assembly hold,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M02-03,R257-RT-05,JSM2-M02,SUPPORT,"Propose support/restraint leaving outer faces and axis features accessible without loading case, connector or unapproved threads.",Support/access sketch,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M02-04,R257-RT-05,JSM2-M02,OUTPUT,"Define axial measurands, transforms, repetitions and uncertainty.",M02 output specification,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M03-01,R257-RT-05,JSM2-M03,ANGLE,Propose calibrated external angle reference; actuator encoder data are prohibited.,External reference method,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M03-02,R257-RT-05,JSM2-M03,RESTRAINT,Propose independent gravity restraint/counterbalance and allowed operator-force measurement.,Restraint/force method,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M03-03,R257-RT-05,JSM2-M03,CYCLE,"Define bidirectional hand-position sequence, repetitions, reversal rule and stop-work force threshold.",Cycle protocol,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M03-04,R257-RT-05,JSM2-M03,OUTPUT,"Define backlash estimator, raw angles/forces, hysteresis representation and uncertainty.",M03 output specification,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M04-01,R257-RT-05,JSM2-M04,SCANNER,"State scanner/model/serial, point spacing, verified volumetric error and calibration artifact over this article size.",Scanner capability evidence,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M04-02,R257-RT-05,JSM2-M04,OCCLUSION,Propose at least two low-occlusion orientations and supports; the P0.2 frame may not be the sole fixture.,Pose/support plan,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M04-03,R257-RT-05,JSM2-M04,REGISTRATION,"Define fiducials/reference artifact, transform chain, registration algorithm, residual reporting and independent check.",Registration validation plan,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M04-04,R257-RT-05,JSM2-M04,OUTPUT,"Provide raw scans/point clouds, trimmed/untrimmed data, meshes, transforms, logs and screening-only uncertainty.",M04 output specification,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M05-01,R257-RT-05,JSM2-M05,BALANCE,"State balance maker/model/serial, range, resolution, calibration and location.",Balance capability evidence,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M05-02,R257-RT-05,JSM2-M05,TARE,"Define tray/container tare, stability, zero checks and air-current/temperature controls.",Tare/environment method,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M05-03,R257-RT-05,JSM2-M05,IDENTITY,Define loose-article and frozen assembled-stack identity/repetition records.,Mass identity/repeat plan,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-M05-04,R257-RT-05,JSM2-M05,OUTPUT,"Provide raw readings, corrections, repetitions and uncertainty in grams.",M05 output specification,UNSENT / NOT RECEIVED,,,NOT EXECUTED
R257-MQ-05-G13,R257-RT-05,ALL,SOURCE MATCH,"Acknowledge the exact attachment hashes; describe how every received feature will be matched to the 79 source signatures and how missing, extra, inaccessible or nonmatching features will be reported without substitution.",Feature-match and discrepancy method,UNSENT / NOT RECEIVED,,,NOT EXECUTED
