sample_index,daq_time_s,trigger_state,stop_command_state,estop_state,reset_input_state,start_command_state,motion_enable_command_state,torque_enable_feedback,source_voltage_V,source_current_A,k1_coil_state,k2_coil_state,k1_mirror_state,k2_mirror_state,external_angle_deg,external_velocity_deg_s,reaction_force_N,bumper_displacement_mm,dropped_scan_count,sensor_saturation_flags,run_id,configuration_commit,article_revision,calibration_bundle_hash,timing_budget_revision
19,0.019000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.570000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
20,0.020000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.600000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
21,0.021000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.630000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
22,0.022000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.660000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
23,0.023000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.690000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
24,0.024000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.720000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
25,0.025000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.750000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
26,0.026000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.780000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
27,0.027000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.810000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
28,0.028000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.840000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
29,0.029000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.870000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
30,0.030000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.900000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
31,0.031000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.930000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
32,0.032000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.960000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
33,0.033000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,110.990000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
34,0.034000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.020000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
35,0.035000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.050000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
36,0.036000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.080000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
37,0.037000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.110000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
38,0.038000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.140000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
39,0.039000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.170000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
40,0.040000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.200000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
41,0.041000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.230000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
42,0.042000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.260000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
43,0.043000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.290000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
44,0.044000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.320000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
45,0.045000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.350000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
46,0.046000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.380000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
47,0.047000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.410000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
48,0.048000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.440000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
49,0.049000,0,0,0,0,0,1,1,24.000000,1.200000,1,1,1,1,111.470000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
50,0.050000,1,1,1,0,0,1,1,24.000000,1.200000,1,1,1,1,111.500000000,30.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
51,0.051000,1,1,1,0,0,1,1,24.000000,1.120000,1,1,1,1,111.529000000,29.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
52,0.052000,1,1,1,0,0,0,1,24.000000,1.040000,1,1,1,1,111.557000000,28.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
53,0.053000,1,1,1,0,0,0,1,24.000000,0.960000,1,1,1,1,111.584000000,27.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
54,0.054000,1,1,1,0,0,0,1,24.000000,0.880000,1,1,1,1,111.610000000,26.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
55,0.055000,1,1,1,0,0,0,1,24.000000,0.800000,0,1,1,1,111.635000000,25.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
56,0.056000,1,1,1,0,0,0,1,24.000000,0.720000,0,0,1,1,111.659000000,24.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
57,0.057000,1,1,1,0,0,0,0,22.285714,0.640000,0,0,1,1,111.682000000,23.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
58,0.058000,1,1,1,0,0,0,0,20.571429,0.560000,0,0,1,1,111.704000000,22.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
59,0.059000,1,1,1,0,0,0,0,18.857143,0.480000,0,0,1,1,111.725000000,21.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
60,0.060000,1,1,1,0,0,0,0,17.142857,0.400000,0,0,0,1,111.745000000,20.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
61,0.061000,1,1,1,0,0,0,0,15.428571,0.320000,0,0,0,0,111.764000000,19.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
62,0.062000,1,1,1,0,0,0,0,13.714286,0.240000,0,0,0,0,111.782000000,18.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
63,0.063000,1,1,1,0,0,0,0,12.000000,0.160000,0,0,0,0,111.799000000,17.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
64,0.064000,1,1,1,0,0,0,0,10.285714,0.080000,0,0,0,0,111.815000000,16.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
65,0.065000,1,1,1,0,0,0,0,8.571429,0.000000,0,0,0,0,111.830000000,15.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
66,0.066000,1,1,1,0,0,0,0,6.857143,-0.080000,0,0,0,0,111.844000000,14.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
67,0.067000,1,1,1,0,0,0,0,5.142857,-0.160000,0,0,0,0,111.857000000,13.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
68,0.068000,1,1,1,0,0,0,0,3.428571,-0.240000,0,0,0,0,111.869000000,12.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
69,0.069000,1,1,1,0,0,0,0,1.714286,-0.320000,0,0,0,0,111.880000000,11.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
70,0.070000,1,1,1,0,0,0,0,0.000000,-0.400000,0,0,0,0,111.890000000,10.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
71,0.071000,1,1,1,0,0,0,0,0.000000,-0.400000,0,0,0,0,111.899000000,9.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
72,0.072000,1,1,1,0,0,0,0,0.000000,-0.400000,0,0,0,0,111.907000000,8.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
73,0.073000,1,1,1,0,0,0,0,0.000000,-0.400000,0,0,0,0,111.914000000,7.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
74,0.074000,1,1,1,0,0,0,0,0.000000,-0.400000,0,0,0,0,111.920000000,6.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
75,0.075000,1,1,1,0,0,0,0,0.000000,-0.400000,0,0,0,0,111.925000000,5.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
76,0.076000,1,1,1,0,0,0,0,0.000000,-0.400000,0,0,0,0,111.929000000,4.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
77,0.077000,1,1,1,0,0,0,0,0.000000,-0.400000,0,0,0,0,111.932000000,3.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
78,0.078000,1,1,1,0,0,0,0,0.000000,-0.400000,0,0,0,0,111.934000000,2.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
79,0.079000,1,1,1,0,0,0,0,0.000000,-0.400000,0,0,0,0,111.935000000,1.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
80,0.080000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
81,0.081000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
82,0.082000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
83,0.083000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
84,0.084000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
85,0.085000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
86,0.086000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
87,0.087000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
88,0.088000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
89,0.089000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
90,0.090000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
91,0.091000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
92,0.092000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
93,0.093000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
94,0.094000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
95,0.095000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
96,0.096000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
97,0.097000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
98,0.098000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
99,0.099000,1,1,1,0,0,0,0,0.000000,0.000000,0,0,0,0,111.935000000,0.000000,0.000000,0.000000,0,0,SYN-PASS-001,synthetic-validation-not-hardware,SYNTHETIC-P0.1,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.1
