parent_id,parent_level,parent_status,verification_id,child_count,first_child_id,last_child_id,decomposition_state,approval_effect,warning
LEG-002,legs,draft,AUDIT-LEG-002,2,LEG-002-A01,LEG-002-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MASS-001,mechanical,draft,REVIEW-MASS-001,8,MASS-001-A01,MASS-001-A08,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MASS-002,mechanical,draft,REVIEW-MASS-002,6,MASS-002-A01,MASS-002-A06,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MECH-001,mechanical,draft,INSPECT-CABLE-001,6,MECH-001-A01,MECH-001-A06,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MECH-002,mechanical,draft,AUDIT-MECH-001,13,MECH-002-A01,MECH-002-A13,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MECH-003,mechanical,draft,INSPECT-MECH-010,12,MECH-003-A01,MECH-003-A12,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MECH-004,mechanical,draft,INSPECT-MECH-011,23,MECH-004-A01,MECH-004-A23,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MECH-005,mechanical,draft,AUDIT-MECH-012,18,MECH-005-A01,MECH-005-A18,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MECH-006,mechanical,draft,INSPECT-MECH-013,11,MECH-006-A01,MECH-006-A11,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-001,product,draft,INSPECT-PROD-001,2,PROD-001-A01,PROD-001-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-002,product,draft,TEST-MASS-001,2,PROD-002-A01,PROD-002-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-005,product,draft,AUDIT-PROD-001,2,PROD-005-A01,PROD-005-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-006,product,draft,INSPECT-PROD-003,2,PROD-006-A01,PROD-006-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-008,product,draft,TEST-ELEC-030,2,PROD-008-A01,PROD-008-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-009,product,draft,TEST-UI-001,2,PROD-009-A01,PROD-009-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-010,product,draft,TEST-PRIV-001,2,PROD-010-A01,PROD-010-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-011,product,draft,AUDIT-PROD-002,4,PROD-011-A01,PROD-011-A04,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-003,safety,draft,ANALYSIS-SAFE-001,5,SAFE-003-A01,SAFE-003-A05,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-004,safety,draft,INSPECT-SAFE-001,2,SAFE-004-A01,SAFE-004-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-007,safety,draft,INSPECT-MECH-002,2,SAFE-007-A01,SAFE-007-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-008,safety,draft,TEST-SAFE-003,5,SAFE-008-A01,SAFE-008-A05,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-009,safety,draft,TEST-POWERLOSS-001,4,SAFE-009-A01,SAFE-009-A04,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-010,safety,draft,INSPECT-GUARD-001,6,SAFE-010-A01,SAFE-010-A06,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-011,safety,draft,TEST-DROP-001,4,SAFE-011-A01,SAFE-011-A04,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
STANCE-001,stance,draft,TEST-STANCE-001,4,STANCE-001-A01,STANCE-001-A04,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
STANCE-002,stance,draft,TEST-STANCE-002,8,STANCE-002-A01,STANCE-002-A08,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
STANCE-003,stance,draft,TEST-STANCE-003,5,STANCE-003-A01,STANCE-003-A05,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
STANCE-004,stance,draft,AUDIT-STANCE-001,6,STANCE-004-A01,STANCE-004-A06,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SYS-001,system,draft,INSPECT-SYS-001,3,SYS-001-A01,SYS-001-A03,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SYS-002,system,draft,TEST-HAND-001,3,SYS-002-A01,SYS-002-A03,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SYS-004,system,draft,TEST-CTRL-001,4,SYS-004-A01,SYS-004-A04,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SYS-005,system,draft,TEST-CTRL-002,2,SYS-005-A01,SYS-005-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SYS-006,system,draft,TEST-ENV-001,3,SYS-006-A01,SYS-006-A03,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
THERM-001,thermal,draft,TEST-THERM-001,3,THERM-001-A01,THERM-001-A03,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
VER-001,verification,draft,TEST-HAND-001,3,VER-001-A01,VER-001-A03,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-002,walking,draft,TEST-WALK-002,5,WALK-002-A01,WALK-002-A05,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-003,walking,draft,TEST-WALK-003,2,WALK-003-A01,WALK-003-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-004,walking,draft,TEST-WALK-004,5,WALK-004-A01,WALK-004-A05,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-005,walking,draft,TEST-WALK-005,2,WALK-005-A01,WALK-005-A02,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-006,walking,draft,INSPECT-WALK-001,6,WALK-006-A01,WALK-006-A06,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-007,walking,draft,TEST-WALK-006,3,WALK-007-A01,WALK-007-A03,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-008,walking,draft,TEST-WALK-007,3,WALK-008-A01,WALK-008-A03,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-009,walking,draft,INSPECT-BATT-001,6,WALK-009-A01,WALK-009-A06,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-011,walking,draft,TEST-FALL-001,11,WALK-011-A01,WALK-011-A11,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-013,walking,draft,TEST-JOINT-ENC-001,5,WALK-013-A01,WALK-013-A05,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-014,walking,draft,TEST-BUS-001,7,WALK-014-A01,WALK-014-A07,CANDIDATE COMPLETE - INDEPENDENT REQUIREMENTS REVIEW REQUIRED,NONE - PARENT AND CHILDREN REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
