fai_id,part_id,sequence,operation,method,required_evidence,execution_state,acceptance_state,next_work_authorized,warning
FAI-C05-04,MV0-C05,4,features,"Inspect all holes, countersinks, profiles and part-specific critical datums",Pin gauges plus CMM/optical raw report,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C05-05,MV0-C05,5,dry_fit,Dry-fit only against received mating articles without forced alignment,"Photos, fastener-loose record and deviations",UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C05-06,MV0-C05,6,disposition,Qualified reviewer dispositions every result and deviation before further work,Signed disposition; segregation state,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C06-01,MV0-C06,1,material,Verify alloy/temper/heat-lot identity against MTR,MTR plus receiving identity,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C06-02,MV0-C06,2,visual,"Verify bare finish, edge break and burr-free condition",Calibrated visual/edge inspection,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C06-03,MV0-C06,3,envelope,"Record width, height and five-point thickness map",Caliper/micrometer or CMM raw data,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C06-04,MV0-C06,4,features,"Inspect all holes, countersinks, profiles and part-specific critical datums",Pin gauges plus CMM/optical raw report,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C06-05,MV0-C06,5,dry_fit,Dry-fit only against received mating articles without forced alignment,"Photos, fastener-loose record and deviations",UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C06-06,MV0-C06,6,disposition,Qualified reviewer dispositions every result and deviation before further work,Signed disposition; segregation state,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C07-01,MV0-C07,1,material,Verify alloy/temper/heat-lot identity against MTR,MTR plus receiving identity,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C07-02,MV0-C07,2,visual,"Verify bare finish, edge break and burr-free condition",Calibrated visual/edge inspection,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C07-03,MV0-C07,3,envelope,"Record width, height and five-point thickness map",Caliper/micrometer or CMM raw data,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C07-04,MV0-C07,4,features,"Inspect all holes, countersinks, profiles and part-specific critical datums",Pin gauges plus CMM/optical raw report,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C07-05,MV0-C07,5,dry_fit,Dry-fit only against received mating articles without forced alignment,"Photos, fastener-loose record and deviations",UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
FAI-C07-06,MV0-C07,6,disposition,Qualified reviewer dispositions every result and deviation before further work,Signed disposition; segregation state,UNEXECUTED,NOT REVIEWED,FALSE,"PRELIMINARY - NOT APPROVED FOR QUOTATION, FABRICATION, ASSEMBLY, MOTION, OR ENERGIZATION"
