zone_id,family,material_fragment_count,material_volume_mm3,quality_rule,classification,warning
H1-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,1,8.75637807312863,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H1-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,1,8.756378073128596,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H2-LIGAMENT,HOLE-LIGAMENT,1,316.782495224727,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H2-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,1,8.75637807312863,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H2-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,1,8.756378073128595,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H3-LIGAMENT,HOLE-LIGAMENT,1,316.782495224727,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H3-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,1,8.75637807312863,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H3-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,1,8.756378073128595,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H4-LIGAMENT,HOLE-LIGAMENT,1,316.782495224727,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H4-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,1,8.75637807312863,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H4-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,1,8.756378073128595,DIRECT CONFORMAL MATERIAL-VOLUME MEMBERSHIP,EXACT OCC MATERIAL VOLUME,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
