fragment_tag_diagnostic_only,fragment_signature_sha256,bbox_mm_json,center_of_mass_mm_json,volume_mm3,zone_id,family,source,warning
13,44ee3d62432738bab12e2597c2539fc9b6f00132ec836e8f7ca21e16ca8e8e02,"[-18.543621771,8.5249999,-10.543621771,-13.456378229,10.2350001,-5.456378229]","[-16.0,9.112405715,-8.0]",8.75637807312863,H1-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23,2eb2def803245f05ef2d7fe2bedfc0ce7eca2bf7d34fb5d67d91ebe6271c3449,"[-18.543621771,-1e-07,-10.543621771,-13.456378229,1.0000001,-5.456378229]","[-16.0,0.412594285,-8.0]",8.756378073128596,H1-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,08aae0d8a297bca2ec025add3444f15e135ceebcb8d75545c19d349f053dd54f,"[-20.3500001,0.9999999,3.6499999,-11.6499999,8.5250001,12.3500001]","[-16.0,4.7625,8.0]",316.782495224727,H2-LIGAMENT,HOLE-LIGAMENT,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
12,e813ec52c0f0038159ad1c0546e93124b0696c84097d436be1107afbdf863d96,"[-18.543621771,8.5249999,5.456378229,-13.456378229,10.2350001,10.543621771]","[-16.0,9.112405715,8.0]",8.75637807312863,H2-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
22,813c1f0e0c64636990a430ac24a355fa9b8de8e17db72c01880006ced8e829b1,"[-18.543621771,-1e-07,5.456378229,-13.456378229,1.0000001,10.543621771]","[-16.0,0.412594285,8.0]",8.756378073128595,H2-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,268edf5b90ea1b9730aecf36b547589abf7c3a736c280c000fbfd327ee24d4d1,"[11.6499999,0.9999999,-12.3500001,20.3500001,8.5250001,-3.6499999]","[16.0,4.7625,-8.0]",316.782495224727,H3-LIGAMENT,HOLE-LIGAMENT,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
17,514e0342268196af72877d5e68e4b985a945163d2ef910f8e740cd13f8f40f5c,"[13.456378229,8.5249999,-10.543621771,18.543621771,10.2350001,-5.456378229]","[16.0,9.112405715,-8.0]",8.75637807312863,H3-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
25,38dc082a8ffa168fc389bfff837fac7766915dfa7ce65f34b007cb3616d28ad1,"[13.456378229,-1e-07,-10.543621771,18.543621771,1.0000001,-5.456378229]","[16.0,0.412594285,-8.0]",8.756378073128595,H3-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,8d0ef9c18b3c73f009a17e4ce29cbbffbc4b9c4ae859c00f8e2a0189629ad716,"[11.6499999,0.9999999,3.6499999,20.3500001,8.5250001,12.3500001]","[16.0,4.7625,8.0]",316.782495224727,H4-LIGAMENT,HOLE-LIGAMENT,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
15,47fc62302f6f2aad144722cf6d245bd4fa8284ae6ea03d6c30c94898b356ef28,"[13.456378229,8.5249999,5.456378229,18.543621771,10.2350001,10.543621771]","[16.0,9.112405715,8.0]",8.75637807312863,H4-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24,5d483c1b1e35bc19e611e55c41d468564953be615fa85e1254e953475e8e2db7,"[13.456378229,-1e-07,5.456378229,18.543621771,1.0000001,10.543621771]","[16.0,0.412594285,8.0]",8.756378073128595,H4-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,ONE-TO-ONE R288 MATERIAL VOLUME AFTER CONFORMAL RE-FRAGMENT,"PRELIMINARY - SEAM-FREE PE ANALYSIS PARTITION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
