reference,logical_terminal,function,net,state,warning
UGRIP1,5V,5 V LOGIC OUT,MAESTRO_5V,PREFERRED EVALUATION CANDIDATE - ZERO SAFETY CREDIT,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UGRIP1,CH0,PWM OUT,GRIP_PWM,PREFERRED EVALUATION CANDIDATE - ZERO SAFETY CREDIT,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UGRIP1,CH1,FEEDBACK ANALOG IN,GRIP_FB,PREFERRED EVALUATION CANDIDATE - ZERO SAFETY CREDIT,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UGRIP1,CH2,POWER-GOOD ANALOG IN,GRIP_PG_SENSE,PREFERRED EVALUATION CANDIDATE - ZERO SAFETY CREDIT,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPG1,1,MAESTRO 5 V,MAESTRO_5V,IMPLEMENTATION SELECTION REQUIRED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPG1,2,PG SENSE,GRIP_PG_SENSE,IMPLEMENTATION SELECTION REQUIRED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
MGRIP1,6V,SERVO +,GRIP_6V,PREFERRED EVALUATION CANDIDATE - NOT SELECTED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
MGRIP1,GND,SERVO GND,GRIP_0V,PREFERRED EVALUATION CANDIDATE - NOT SELECTED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
MGRIP1,PWM,SERVO PWM,GRIP_PWM,PREFERRED EVALUATION CANDIDATE - NOT SELECTED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
MGRIP1,FB,GREEN FEEDBACK,GRIP_FB,PREFERRED EVALUATION CANDIDATE - NOT SELECTED,PRELIMINARY - ORDINARY CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
