record_id,role,identifier,source_path,configuration_state,release_boundary,warning
CFG-11,control-only hardware slice,HR-V0-E2-HW-P0.4,release/hr-v0/e2-hardware-p0.4/e2-hardware-summary.json,CURRENT FAIL-CLOSED CANDIDATE,P1.15-bound; actuator source/branches absent or unwired; run not authorized,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-12,watchdog CAM review,HR-V0-WD-CAM-P0.2,release/hr-v0/watchdog-pcb-cam-p0.2/package-status.json,CURRENT P1.15-BOUND REVIEW EVIDENCE,"quarantined CAM only; supplier-normalized XYRS, provider/process acceptance, first article and all work authority remain absent","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-13,observation-integrated system view,V3-P1.17-OBSERVATION-P0.5-CANDIDATE,electrical/kicad/project-button-v3-p1.17-observation-p05-candidate/project-button-v3-p1.17-observation-p05-candidate.kicad_pro,CURRENT SYNCHRONIZED SYSTEM VIEW,"P1.15 core parity and P0.5/Pi terminal maps are machine-checked; Pi acceptance, DFM, physical and qualified evidence remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-14,runtime observation carrier,HR-V0-RUNTIME-OBS-CARRIER-P0.5,electrical/kicad/hr-v0-runtime-observation-carrier-p0.5/hr-v0-runtime-observation-carrier-p0.5.kicad_pro,CURRENT CANDIDATE,open-drain topology is source-bound; fourteen application/manufacturing/physical/review holds remain open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-15,Pi observation carrier,HR-V0-PI-OBS-CARRIER-P0.1,electrical/kicad/hr-v0-pi-observation-carrier-p0.1/hr-v0-pi-observation-carrier-p0.1.kicad_pro,CURRENT CANDIDATE,"six-net passive carrier only; stack, fit, harness, load and physical evidence remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-16,observation field harness,HR-V0-OBSERVATION-FIELD-HARNESS-P0.1,electrical/harness/hr-v0-observation-field-harness-p0.1/package-status.json,CURRENT CANDIDATE,catalog conductors and preparation envelopes exist; all cut lengths and physical evidence remain open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-17,observation compute harness,HR-V0-OBSERVATION-COMPUTE-HARNESS-P0.1,electrical/harness/hr-v0-observation-compute-harness-p0.1/package-status.json,CURRENT CANDIDATE,"catalog conductors and preparation envelopes exist; all cut lengths, duct fill and physical evidence remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-18,integrated mechanical arm candidate,HR-V0-ARM-ARCH-P0.8-DWG-INTEGRATED-CANDIDATE,cad/hr-v0/generated/arm-architecture-p0.8-dwg-integrated/architecture-summary.json,CURRENT HELD INTEGRATED MECHANICAL CANDIDATE,"directly imports all five R213 STEP identities at unchanged P0.7 transforms; DFM, FAI, received fit, physical proof, mass closure and qualified release remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-19,control-panel current-identity overlay,HR-V0-CP-CONFIG-P0.1,release/hr-v0/control-panel-configuration-p0.1/package-status.json,CURRENT PANEL IDENTITY CONTROL,P0.6 remains planning geometry; P1.15/PCB-P1.0/DXL-STAR-P0.2 identities bound; physical evidence open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-20,panel conductor family/gauge basis,HR-V0-PANEL-COND-P0.1,release/hr-v0/panel-conductor-basis-p0.1/package-status.json,CURRENT HELD CONDUCTOR BASIS,fixed-internal family/gauge candidate only; door cable and all exact physical conductor fields open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-21,explicit point-to-point topology,HR-V0-PANEL-P2P-P0.1,release/hr-v0/panel-point-to-point-p0.1/package-status.json,CURRENT HELD TOPOLOGY EVIDENCE,"55 two-ended conductors map 66 labels; no cut length, termination or wiring release","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-22,native panel-topology ECAD,V3-P1.18-PANEL-TOPOLOGY-CANDIDATE,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/project-button-v3-p1.18-panel-topology-candidate.kicad_pro,UNACCEPTED SUPPORTING ECAD CANDIDATE,P1.15 remains current until independent review and formal P1.18 disposition,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-23,panel node placement and route-anchor basis,HR-V0-PANEL-NODE-PLACEMENT-P0.1,release/hr-v0/panel-node-placement-p0.1/package-status.json,CURRENT HELD PLACEMENT CANDIDATE,"five node envelopes and stock arithmetic only; zero holes, cuts, wires or physical results","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-24,P1.21 protected-routing segregation hardware,HR-V0-P121-SEGREGATION-HW-P0.1,release/hr-v0/p121-segregation-hardware-p0.1/package-status.json,CURRENT HELD PHYSICAL-ROUTING CANDIDATE,"exact duct body/cover and planning envelope only; junction, conductors, fill, installation, safety credit and authority open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-25,P1.21 conductor and duct occupancy evidence,HR-V0-P121-CONDUCTOR-FILL-P0.1,release/hr-v0/p121-conductor-fill-p0.1/package-status.json,CURRENT HELD CONDUCTOR/FILL CANDIDATE,"exact 3057 BL005 order-code candidate and geometry-only occupancy screens; color, DCR, cut, protection, thermal, physical and qualified closure open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-26,P1.21 endpoint termination evidence,HR-V0-P121-TERM-P0.1,release/hr-v0/p121-termination-p0.1/package-status.json,CURRENT HELD TERMINATION CANDIDATE,"two exact ferrule formats and three exact tool candidates; received qualification, bits, installed evidence, P1.21 acceptance and authority open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-27,P1.21 nominal DCR/drop and driver-bit evidence,HR-V0-P121-DCR-DROP-P0.1,release/hr-v0/p121-dcr-drop-p0.1/package-status.json,CURRENT NOMINAL PLANNING SCREEN,"manufacturer-nominal DCR and conductor-only centerline arithmetic; received, actual-circuit, bit, physical and qualified acceptance open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-28,current custom-part manufacturing binding,HR-V0-MECH-BOM-BIND-P0.3,release/hr-v0/mechanical-bom-binding-p0.3/package-status.json,CURRENT INTEGRATED HELD DESIGN CANDIDATE,"five exact one-each parts and unchanged source hashes; successor shop drawings, DFM, FAI, physical evidence and qualified release open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-29,firmware mechanical source binding,HR-V0-FW-MECH-SRC-BIND-P0.1,release/hr-v0/firmware-mechanical-source-binding-p0.1/package-status.json,CURRENT FAIL-CLOSED SOURCE IDENTITY,eight source hashes bound in two configurations; physical/HIL acceptance hash remains selection required,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-30,P1.21 static 24 V control-rail budget,HR-V0-P121-STATIC-VOLTAGE-BUDGET-P0.1,release/hr-v0/p121-static-voltage-budget-p0.1/package-status.json,CURRENT SUPPORTING EVIDENCE - PARTIAL / NOT ACCEPTED,Raw headroom only; complete installed static/dynamic circuit budget and physical evidence remain open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-31,mechanical shop/RFQ/unpowered assembly candidate,HR-V0-MECH-SHOP-RFQ-ASSY-P0.1,release/hr-v0/mechanical-shop-rfq-assembly-p0.1/package-status.json,CURRENT SUPPORTING CANDIDATE - REVIEW/RFQ PREPARATION ONLY,"five successor drawings and exact payload; formal GD&T, provider response, FAI, physical/qualified evidence and work authority open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-32,complete moving-system physical-properties evidence contract,HR-V0-MOVING-PROP-CLOSURE-P0.1,release/hr-v0/moving-properties-closure-p0.1/package-status.json,CURRENT BLANK EXECUTION CONTRACT - NO PHYSICAL RESULT,"17-row received mass, assembly closure, two-axis COM and calibrated inertia remain unexecuted; B-010/R247-H11 open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
CFG-33,accepted moving-property propagation and stale-analysis control,HR-V0-PROP-PROPAGATION-P0.1,release/hr-v0/property-propagation-p0.1/package-status.json,CURRENT FAIL-CLOSED CONTRACT - NO ACCEPTED BUNDLE,six required property rows blank; twelve consumers unrebuilt; historical screens prohibited from release use,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
