board_instance,channel,axis_id,bus_id,actuator_family,r_ilm_variant,candidate_threshold,population_state,walking_state,warning
PDU-RLEG,5,R_ANKLE_PITCH,RS-RLEG,XM430,1.47k,2.268 A nominal; 2.041-2.495 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-RLEG,6,R_ANKLE_ROLL,RS-RLEG,XM430,1.47k,2.268 A nominal; 2.041-2.495 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-ARMS,1,L_SHOULDER_PITCH,RS-LARM,XM540,1.24k,2.689 A nominal; 2.420-2.958 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-ARMS,2,L_SHOULDER_ROLL,RS-LARM,XM430,1.47k,2.268 A nominal; 2.041-2.495 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-ARMS,3,L_ELBOW_PITCH,RS-LARM,XM430,1.47k,2.268 A nominal; 2.041-2.495 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-ARMS,4,R_SHOULDER_PITCH,RS-RARM,XM540,1.24k,2.689 A nominal; 2.420-2.958 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-ARMS,5,R_SHOULDER_ROLL,RS-RARM,XM430,1.47k,2.268 A nominal; 2.041-2.495 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-ARMS,6,R_ELBOW_PITCH,RS-RARM,XM430,1.47k,2.268 A nominal; 2.041-2.495 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-DISTAL,1,L_WRIST_ROTATION,TTL-LDIST,XC330,3.83k,0.871 A nominal; TI does not specify +/-10% below 1 A,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-DISTAL,2,L_GRIPPER,TTL-LDIST,XC330,3.83k,0.871 A nominal; TI does not specify +/-10% below 1 A,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-DISTAL,3,R_WRIST_ROTATION,TTL-RDIST,XC330,3.83k,0.871 A nominal; TI does not specify +/-10% below 1 A,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-DISTAL,4,R_GRIPPER,TTL-RDIST,XC330,3.83k,0.871 A nominal; TI does not specify +/-10% below 1 A,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-DISTAL,5,HEAD_PAN,TTL-HEAD,XC330,3.83k,0.871 A nominal; TI does not specify +/-10% below 1 A,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-DISTAL,6,HEAD_TILT,TTL-HEAD,XC330,3.83k,0.871 A nominal; TI does not specify +/-10% below 1 A,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-CORE,1,WAIST_YAW,RS-WAIST,XM540,1.24k,2.689 A nominal; 2.420-2.958 A at stated +/-10% accuracy,POPULATE FOR CONTROLLED COMMISSIONING,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-CORE,2,DNP SPARE,DNP,DNP,DNP,DNP,DNP - NO COMPONENT POPULATION,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-CORE,3,DNP SPARE,DNP,DNP,DNP,DNP,DNP - NO COMPONENT POPULATION,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-CORE,4,DNP SPARE,DNP,DNP,DNP,DNP,DNP - NO COMPONENT POPULATION,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-CORE,5,DNP SPARE,DNP,DNP,DNP,DNP,DNP - NO COMPONENT POPULATION,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
PDU-CORE,6,DNP SPARE,DNP,DNP,DNP,DNP,DNP - NO COMPONENT POPULATION,DISABLED - REGENERATION / CONNECTOR / THERMAL / DYNAMIC EVIDENCE OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
