sequence,sheet,reference,terminal,pin_name,net,source_status,application_state,safety_credit,warning
11,03_arm_watchdog_eligibility.kicad_sch,SRA1,S21,INPUT CH2 FEED,SRA1_S21,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
12,03_arm_watchdog_eligibility.kicad_sch,SRA1,S22,INPUT CH2 RETURN,SRA1_S22,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
13,03_arm_watchdog_eligibility.kicad_sch,SRA1,S34,START / EDM RETURN,SRA1_START_RETURN,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
14,03_arm_watchdog_eligibility.kicad_sch,SRA1,13,SAFETY OUT1 IN,SAFETY_24V,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
15,03_arm_watchdog_eligibility.kicad_sch,SRA1,14,SAFETY OUT1 OUT,SRA1_K1_RAW,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
16,03_arm_watchdog_eligibility.kicad_sch,SRA1,23,SAFETY OUT2 IN,SAFETY_24V,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
17,03_arm_watchdog_eligibility.kicad_sch,SRA1,24,SAFETY OUT2 OUT,SRA1_K2_RAW,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
18,03_arm_watchdog_eligibility.kicad_sch,KWD1,A1,COIL +24V,SAFETY_24V,PROPOSED - SRA1 INPUT-INTERLOCK APPLICATION/FMEA/RECEIVED VERIFICATION REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
19,03_arm_watchdog_eligibility.kicad_sch,KWD1,A2,DRIVER RETURN,WD1_COIL_N,PROPOSED - SRA1 INPUT-INTERLOCK APPLICATION/FMEA/RECEIVED VERIFICATION REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
20,03_arm_watchdog_eligibility.kicad_sch,KWD1,11,SRA1 CH1 INTERLOCK IN,SR1_OUT1_TO_KWD1,PROPOSED - SRA1 INPUT-INTERLOCK APPLICATION/FMEA/RECEIVED VERIFICATION REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
21,03_arm_watchdog_eligibility.kicad_sch,KWD1,14,SRA1 CH1 INTERLOCK OUT,SRA1_S12,PROPOSED - SRA1 INPUT-INTERLOCK APPLICATION/FMEA/RECEIVED VERIFICATION REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
22,03_arm_watchdog_eligibility.kicad_sch,KWD2,A1,COIL +24V,SAFETY_24V,PROPOSED - SRA1 INPUT-INTERLOCK APPLICATION/FMEA/RECEIVED VERIFICATION REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
23,03_arm_watchdog_eligibility.kicad_sch,KWD2,A2,DRIVER RETURN,WD2_COIL_N,PROPOSED - SRA1 INPUT-INTERLOCK APPLICATION/FMEA/RECEIVED VERIFICATION REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
24,03_arm_watchdog_eligibility.kicad_sch,KWD2,11,SRA1 CH2 INTERLOCK IN,SR1_OUT2_TO_KWD2,PROPOSED - SRA1 INPUT-INTERLOCK APPLICATION/FMEA/RECEIVED VERIFICATION REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
25,03_arm_watchdog_eligibility.kicad_sch,KWD2,14,SRA1 CH2 INTERLOCK OUT,SRA1_S22,PROPOSED - SRA1 INPUT-INTERLOCK APPLICATION/FMEA/RECEIVED VERIFICATION REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
26,03_arm_watchdog_eligibility.kicad_sch,S2,TBD-A1,ARM IN,SRA1_S12,PROPOSED - COMPLETE ORDER CODE FROZEN; RECEIVED-LOT TERMINAL MAPPING REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
27,03_arm_watchdog_eligibility.kicad_sch,S2,TBD-A2,ARM OUT,ARM_AFTER_S2,PROPOSED - COMPLETE ORDER CODE FROZEN; RECEIVED-LOT TERMINAL MAPPING REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
28,04_contactor_edm.kicad_sch,K1,21,MIRROR NC IN,ARM_AFTER_S2,PROPOSED - CATALOG DC ENVELOPE FOUND; CRITICAL-CURRENT AND APPLICATION CONFIRMATION REQUIRED; TEST REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
29,04_contactor_edm.kicad_sch,K1,22,MIRROR NC OUT,EDM_K1_OUT,PROPOSED - CATALOG DC ENVELOPE FOUND; CRITICAL-CURRENT AND APPLICATION CONFIRMATION REQUIRED; TEST REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
30,04_contactor_edm.kicad_sch,K2,21,MIRROR NC IN,EDM_K1_OUT,PROPOSED - CATALOG DC ENVELOPE FOUND; CRITICAL-CURRENT AND APPLICATION CONFIRMATION REQUIRED; TEST REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
31,04_contactor_edm.kicad_sch,K2,22,MIRROR NC OUT,SRA1_START_RETURN,PROPOSED - CATALOG DC ENVELOPE FOUND; CRITICAL-CURRENT AND APPLICATION CONFIRMATION REQUIRED; TEST REQUIRED,SOURCE PARITY CONFIRMED / PHYSICAL PATH UNVERIFIED,NONE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
