facet_id,source_tet10_element_tag,source_local_face,node_tags_json,node_xyz_json,nearest_occ_face_tag_diagnostic_only,nearest_face_signature_sha256,nearest_face_type,nearest_face_bbox_mm_json,six_node_deviation_mm_json,maximum_six_node_deviation_mm,mean_six_node_deviation_mm,node_face_membership_tolerance_mm,within_0p005_surface_screen,exact_membership_gate,warning
1785,1174238,2,"[383688,382205,297,386764,386924,390288]","[[50.00958590595833,8.005,-17.27929462071635],[50.011720565951286,8.005,-17.06901568243072],[50.2,8.005,-17.2],[50.01065323595481,8.005,-17.174155151573533],[50.10586028297564,8.005,-17.134507841215363],[50.10479295297917,8.005,-17.239647310358176]]",79,9330057d5a50c88111d8b946d24aacb11cbfb31db74b95c26db9557176ab27a6,Plane,"[48.1999999,8.0049999,-17.2000001,50.2000001,8.0050001,19.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1792,1178399,1,"[383278,383897,298,390349,390350,387237]","[[37.96692278343314,8.005,-17.100461575545708],[37.96608193617775,8.005,-17.300380664763825],[37.8,8.005,-17.2],[37.966502359805446,8.005,-17.200421120154765],[37.88304096808887,8.005,-17.250190332381912],[37.88346139171657,8.005,-17.150230787772855]]",74,37c1e53ee043ee3ca72a46fe5eae32b8bde2b05535d8352001e2c25ee4102e4d,Plane,"[37.7999999,8.0049999,-19.2000001,39.8000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1799,1203300,0,"[383686,382204,299,385919,385920,384554]","[[38.033549983595876,8.005,19.294157477390417],[37.998637712210815,8.005,19.06263973980894],[37.8,8.005,19.2],[38.01609384790335,8.005,19.178398608599682],[37.8993188561054,8.005,19.13131986990447],[37.916774991797936,8.005,19.247078738695212]]",75,718038538e4c8c434eb21ae3b2248a286a15cfea2b3bee34b950ab4c498c7e33,Plane,"[37.7999999,8.0049999,-17.2000001,39.8000001,8.0050001,19.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1806,1107905,2,"[383638,382285,300,388310,388311,388309]","[[39.906340010289526,8.005,21.03881327402505],[39.71016108594557,8.005,21.020550001569024],[39.8,8.005,21.2],[39.80825054811755,8.005,21.029681637797037],[39.75508054297279,8.005,21.110275000784515],[39.85317000514477,8.005,21.11940663701252]]",76,5fbdbb813ee3e762ea2054e801cab2af730f705c824117237be33f2ad516af62,Plane,"[37.7999999,8.0049999,19.1999999,39.8000001,8.0050001,21.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1813,1185580,0,"[383745,383328,301,390331,388295,390549]","[[48.288269849264815,8.005,21.06366645985739],[48.117581833687034,8.005,21.03666562181365],[48.2,8.005,21.2],[48.202925841475924,8.005,21.050166040835524],[48.15879091684352,8.005,21.118332810906825],[48.244134924632405,8.005,21.13183322992869]]",77,104a3234faf90162e87ac2ccdd6ef267a7825df25552e9106121f624529bcc4e,Plane,"[39.7999999,8.0049999,19.1999999,48.2000001,8.0050001,21.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1820,1206378,1,"[382203,383687,302,390500,390285,386923]","[[50.02599075815154,8.005,19.076781059061172],[50.01412342994836,8.005,19.273144906319704],[50.2,8.005,19.2],[50.02005709404995,8.005,19.174962982690435],[50.10706171497418,8.005,19.236572453159848],[50.11299537907577,8.005,19.138390529530586]]",78,726dcea241c9f280ed41601d6bfa422cb4c8f7b6a79ca8d583b2fecc1f059352,Plane,"[48.1999999,8.0049999,19.1999999,50.2000001,8.0050001,21.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107643,1156211,3,"[381979,382453,382452,384664,384665,384586]","[[48.11997181372571,8.005,20.370646691639383],[48.223736681670516,8.005,20.537120660456413],[48.34182379623866,8.005,20.376778025842658],[48.17185424769811,8.005,20.453883676047898],[48.28278023895459,8.005,20.456949343149535],[48.23089780498218,8.005,20.37371235874102]]",77,104a3234faf90162e87ac2ccdd6ef267a7825df25552e9106121f624529bcc4e,Plane,"[39.7999999,8.0049999,19.1999999,48.2000001,8.0050001,21.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107644,1167863,3,"[382454,382453,381979,387115,384664,386887]","[[48.026733900506066,8.005,20.54487878598687],[48.223736681670516,8.005,20.537120660456413],[48.11997181372571,8.005,20.370646691639383],[48.12523529108829,8.005,20.540999723221642],[48.17185424769811,8.005,20.453883676047898],[48.073352857115886,8.005,20.457762738813127]]",77,104a3234faf90162e87ac2ccdd6ef267a7825df25552e9106121f624529bcc4e,Plane,"[39.7999999,8.0049999,19.1999999,48.2000001,8.0050001,21.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107646,1143912,1,"[382461,381980,382460,384667,384590,384666]","[[48.227288483385564,8.005,-18.54092578587252],[48.11997181372571,8.005,-18.370646691639354],[48.34171918268319,8.005,-18.37589329679811],[48.17363014855564,8.005,-18.455786238755937],[48.23084549820445,8.005,-18.373269994218735],[48.28450383303438,8.005,-18.458409541335318]]",80,28bf09302e45434345ab954541b4f0742e3766294af93f94981b292fe15b5c1e,Plane,"[48.1999999,8.0049999,-19.2000001,50.2000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107647,1146941,0,"[382463,381980,382461,386885,384667,387114]","[[48.02732586745862,8.005,-18.545512973556107],[48.11997181372571,8.005,-18.370646691639354],[48.227288483385564,8.005,-18.54092578587252],[48.07364884059217,8.005,-18.458079832597733],[48.17363014855564,8.005,-18.455786238755937],[48.1273071754221,8.005,-18.543219379714316]]",80,28bf09302e45434345ab954541b4f0742e3766294af93f94981b292fe15b5c1e,Plane,"[48.1999999,8.0049999,-19.2000001,50.2000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107651,1155515,1,"[384016,381981,383640,384540,386846,386845]","[[39.88110646356997,8.005,20.58330434076402],[39.90265684269619,8.005,20.400636917236877],[39.75357381249855,8.005,20.507868538185956],[39.89188165313308,8.005,20.491970629000452],[39.82811532759737,8.005,20.454252727711417],[39.81734013803426,8.005,20.54558643947499]]",76,5fbdbb813ee3e762ea2054e801cab2af730f705c824117237be33f2ad516af62,Plane,"[37.7999999,8.0049999,19.1999999,39.8000001,8.0050001,21.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107652,1155405,1,"[381981,384045,383640,391460,391433,386846]","[[39.90265684269619,8.005,20.400636917236877],[39.742998825435286,8.005,20.33862513722085],[39.75357381249855,8.005,20.507868538185956],[39.822827834065734,8.005,20.369631027228866],[39.74828631896692,8.005,20.423246837703406],[39.82811532759737,8.005,20.454252727711417]]",76,5fbdbb813ee3e762ea2054e801cab2af730f705c824117237be33f2ad516af62,Plane,"[37.7999999,8.0049999,19.1999999,39.8000001,8.0050001,21.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107654,1111455,0,"[383985,381982,383126,390545,384458,390544]","[[39.769377109257064,8.005,-18.493016673974147],[39.90957952051629,8.005,-18.39037064771872],[39.90167517007774,8.005,-18.5834811513912],[39.83947831488668,8.005,-18.441693660846433],[39.90562734529701,8.005,-18.48692589955496],[39.8355261396674,8.005,-18.538248912682675]]",74,37c1e53ee043ee3ca72a46fe5eae32b8bde2b05535d8352001e2c25ee4102e4d,Plane,"[37.7999999,8.0049999,-19.2000001,39.8000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107656,1109879,1,"[383985,383671,381982,391083,390632,390545]","[[39.769377109257064,8.005,-18.493016673974147],[39.68971675540505,8.005,-18.345575656721024],[39.90957952051629,8.005,-18.39037064771872],[39.72954693233106,8.005,-18.419296165347586],[39.79964813796067,8.005,-18.36797315221987],[39.83947831488668,8.005,-18.441693660846433]]",74,37c1e53ee043ee3ca72a46fe5eae32b8bde2b05535d8352001e2c25ee4102e4d,Plane,"[37.7999999,8.0049999,-19.2000001,39.8000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107701,1181220,2,"[381997,382436,382437,384397,387215,387216]","[[49.35934581510006,8.005,19.314185596305474],[49.5748974668747,8.005,19.322857256367936],[49.501902102313444,8.005,19.169389344295947],[49.46712164098738,8.005,19.318521426336705],[49.53839978459407,8.005,19.24612330033194],[49.430623958706754,8.005,19.24178747030071]]",78,726dcea241c9f280ed41601d6bfa422cb4c8f7b6a79ca8d583b2fecc1f059352,Plane,"[48.1999999,8.0049999,19.1999999,50.2000001,8.0050001,21.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107702,1182053,0,"[383954,381997,382437,389929,387216,384180]","[[49.33638525332176,8.005,19.091046206507517],[49.35934581510006,8.005,19.314185596305474],[49.501902102313444,8.005,19.169389344295947],[49.34786553421091,8.005,19.202615901406492],[49.430623958706754,8.005,19.24178747030071],[49.4191436778176,8.005,19.130217775401736]]",78,726dcea241c9f280ed41601d6bfa422cb4c8f7b6a79ca8d583b2fecc1f059352,Plane,"[48.1999999,8.0049999,19.1999999,50.2000001,8.0050001,21.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107719,1204968,2,"[383236,382426,382002,384808,386856,386855]","[[38.59609095693783,8.005,19.093986008061965],[38.480419041420504,8.005,19.25616034787696],[38.64089607642949,8.005,19.30991180215405],[38.538254999179166,8.005,19.175073177969463],[38.560657558924994,8.005,19.283036075015506],[38.61849351668366,8.005,19.201948905108008]]",75,718038538e4c8c434eb21ae3b2248a286a15cfea2b3bee34b950ab4c498c7e33,Plane,"[37.7999999,8.0049999,-17.2000001,39.8000001,8.0050001,19.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107723,1137315,3,"[383662,382004,382472,388024,386411,388023]","[[49.516946501063835,8.005,-17.22014482712608],[49.34414601247886,8.005,-17.31090806158648],[49.36499600702599,8.005,-17.09207217486444],[49.43054625677135,8.005,-17.26552644435628],[49.35457100975242,8.005,-17.20149011822546],[49.44097125404491,8.005,-17.156108500995263]]",80,28bf09302e45434345ab954541b4f0742e3766294af93f94981b292fe15b5c1e,Plane,"[48.1999999,8.0049999,-19.2000001,50.2000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107816,1212846,0,"[382446,382033,382445,384621,384522,384620]","[[38.44647634711838,8.005,-17.225300907514505],[38.61721923120617,8.005,-17.10665349056732],[38.612024646608894,8.005,-17.331514203624888],[38.53184778916227,8.005,-17.165977199040913],[38.61462193890753,8.005,-17.219083847096105],[38.52925049686364,8.005,-17.278407555569697]]",74,37c1e53ee043ee3ca72a46fe5eae32b8bde2b05535d8352001e2c25ee4102e4d,Plane,"[37.7999999,8.0049999,-19.2000001,39.8000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
107817,1214009,2,"[382446,382447,382033,387640,386453,384621]","[[38.44647634711838,8.005,-17.225300907514505],[38.42206818612127,8.005,-17.01669917523861],[38.61721923120617,8.005,-17.10665349056732],[38.43427226661982,8.005,-17.121000041376558],[38.51964370866372,8.005,-17.061676332902966],[38.53184778916227,8.005,-17.165977199040913]]",74,37c1e53ee043ee3ca72a46fe5eae32b8bde2b05535d8352001e2c25ee4102e4d,Plane,"[37.7999999,8.0049999,-19.2000001,39.8000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
108352,1237135,0,"[383687,382203,383832,390500,391102,386910]","[[50.01412342994836,8.005,19.273144906319704],[50.02599075815154,8.005,19.076781059061172],[49.867274848433745,8.005,19.136292943953737],[50.02005709404995,8.005,19.174962982690435],[49.946632803292644,8.005,19.10653700150745],[49.940699139191054,8.005,19.20471892513672]]",78,726dcea241c9f280ed41601d6bfa422cb4c8f7b6a79ca8d583b2fecc1f059352,Plane,"[48.1999999,8.0049999,19.1999999,50.2000001,8.0050001,21.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
108357,1231894,1,"[383686,383033,382204,384601,385934,385919]","[[38.033549983595876,8.005,19.294157477390417],[38.18569418231946,8.005,19.155285367546586],[37.998637712210815,8.005,19.06263973980894],[38.10962208295767,8.005,19.2247214224685],[38.09216594726514,8.005,19.10896255367776],[38.01609384790335,8.005,19.178398608599682]]",75,718038538e4c8c434eb21ae3b2248a286a15cfea2b3bee34b950ab4c498c7e33,Plane,"[37.7999999,8.0049999,-17.2000001,39.8000001,8.0050001,19.2000001]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
108360,1167416,3,"[383688,383104,382205,384764,386005,386764]","[[50.00958590595833,8.005,-17.27929462071635],[49.82957872438916,8.005,-17.161696369727714],[50.011720565951286,8.005,-17.06901568243072],[49.91958231517375,8.005,-17.220495495222032],[49.92064964517022,8.005,-17.115356026079215],[50.01065323595481,8.005,-17.174155151573533]]",80,28bf09302e45434345ab954541b4f0742e3766294af93f94981b292fe15b5c1e,Plane,"[48.1999999,8.0049999,-19.2000001,50.2000001,8.0050001,-17.1999999]","[0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,1e-07,True,FAIL,"PRELIMINARY - R308 UNMAPPED-FACET LOCALIZATION EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
