j2_deg,metal_clearance_mm,metal_intersection_mm3,maximum_bumper_envelope_clearance_mm,classification,status
115.95,0.717378078,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.00,0.699088422,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.05,0.680838214,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.10,0.662627469,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.15,0.644456200,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.20,0.626324421,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.25,0.608232146,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.30,0.590179389,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.35,0.572166164,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.40,0.554192484,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.45,0.536258363,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.50,0.518363815,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.55,0.500508853,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.60,0.482693491,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.65,0.464917742,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.70,0.447181620,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.75,0.429485139,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.80,0.411828312,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.85,0.394211152,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.90,0.376633673,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
116.95,0.359095888,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.00,0.341597811,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.05,0.324139454,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.10,0.306720832,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.15,0.289341957,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.20,0.272002843,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.25,0.254703503,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.30,0.237443950,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.35,0.220224197,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.40,0.203044257,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.45,0.185904144,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.50,0.168803871,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.55,0.151743449,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.60,0.134722894,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.65,0.117742216,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.70,0.100801430,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.75,0.083900549,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.80,0.067039584,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.85,0.050218550,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.90,0.033437458,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
117.95,0.016696322,0.000000000,0.000000000,STOP_APPROACH,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
118.00,0.000000000,0.000000000,0.000000000,METAL_CONTACT_TARGET,NOMINAL CAD ONLY - BUMPER SELECTION AND PHYSICAL VALIDATION REQUIRED
