reference,manufacturer,manufacturer_part_number,description,footprint,process_class,side,board_origin_convention,board_x_mm,board_y_mm,source_rotation_deg,orientation_control,assembler_transform_state,assembly_state,warning
TP10,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,88.000,1.500,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP11,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,134.000,46.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP12,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,146.000,68.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP13,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,70.000,38.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP14,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,66.000,70.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP15,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,76.000,38.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP16,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,70.000,58.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP2,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,56.000,16.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP3,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,42.000,12.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP4,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,50.000,26.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP5,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,18.000,85.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP6,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,30.000,72.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP7,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,58.000,32.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP8,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,88.000,34.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP9,Harwin,S1751-46R,SMT test point,Harwin_S1751_46R,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,54.000,4.000,0.000,NONPOLAR / SINGLE TERMINAL - ROTATION RETAINED FOR SOURCE PARITY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,TEST_ACCESS_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV1,Texas Instruments,TPL7407LPWR,"seven-channel low-side driver, PW0016A",TI_PW0016A_Example_Land,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,72.000,14.000,0.000,POLARIZED - PIN 1 UPPER LEFT AT SOURCE ROTATION 0 DEG,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,Texas Instruments,TPL7407LPWR,"seven-channel low-side driver, PW0016A",TI_PW0016A_Example_Land,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,104.000,14.000,0.000,POLARIZED - PIN 1 UPPER LEFT AT SOURCE ROTATION 0 DEG,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,Texas Instruments,ISO1212DBQ,"dual isolated 24 V input receiver, DBQ0016A",TI_DBQ0016A_Example_Land,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,80.000,56.000,0.000,POLARIZED - PIN 1 UPPER LEFT AT SOURCE ROTATION 0 DEG,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WDCTRL1,Raspberry Pi,SC0915,Raspberry Pi Pico 1 / RP2040 module,RaspberryPi_Pico_SMD,SMD_REFLOW,TOP,EDGE-CUTS MIN X/Y = 0/0; +X RIGHT; +Y DOWN; MILLIMETRES,40.000,52.000,90.000,POLARIZED MODULE - PIN 1 / USB END PER OFFICIAL FOOTPRINT; VERIFY,SELECTION REQUIRED - DO NOT IMPORT AS MACHINE XYRS,ASSEMBLY_AND_ENCLOSURE_HOLD,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
