pair_id,coordinate,q1_lo_deg,q1_hi_deg,q2_lo_deg,q2_hi_deg,center_distance_mm,motion_bound_mm,guaranteed_clearance_mm,distance_method,subdivision_depth,status,required_clearance_mm,evidence_origin
BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,2.500000000,25.000000000,,,12.573740125,9.035450787,3.538289338,AABB_LOWER_BOUND,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,25.000000000,47.500000000,,,12.189569378,9.035450787,3.154118591,EXACT_BREP_DISTANCE,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,47.500000000,70.000000000,,,11.584640383,9.035450787,2.549189596,EXACT_BREP_DISTANCE,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,-20.000000000,-8.750000000,,,21.504084825,14.026602364,7.477482460,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,-8.750000000,2.500000000,,,26.617473155,14.026602364,12.590870791,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,2.500000000,13.750000000,,,24.526023308,14.026602364,10.499420943,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,13.750000000,25.000000000,,,18.782856373,14.026602364,4.756254009,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,25.000000000,36.250000000,,,22.178952466,14.026602364,8.152350102,EXACT_BREP_DISTANCE,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,36.250000000,47.500000000,,,21.440971566,14.026602364,7.414369202,EXACT_BREP_DISTANCE,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,47.500000000,58.750000000,,,21.075057965,14.026602364,7.048455601,EXACT_BREP_DISTANCE,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,58.750000000,70.000000000,,,21.340833874,14.026602364,7.314231509,EXACT_BREP_DISTANCE,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:P10_FIXED_CATCH,J1,-20.000000000,70.000000000,,,122.829648568,116.721234166,6.108414401,EXACT_BREP_DISTANCE,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:J2_X430,J1,-20.000000000,25.000000000,,,141.861411276,79.326024125,62.535387150,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:J2_X430,J1,25.000000000,70.000000000,,,122.366751146,79.326024125,43.040727020,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:J2_FR12_S102,J1,-20.000000000,70.000000000,,,132.354648568,124.871348557,7.483300010,EXACT_BREP_DISTANCE,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:UPPER_PROX_ADAPTER,J1,-20.000000000,70.000000000,,,59.049032078,35.276659863,23.772372216,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:UPPER_MEMBER,J1,-20.000000000,25.000000000,,,79.112637782,55.768984562,23.343653220,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:UPPER_MEMBER,J1,25.000000000,70.000000000,,,60.449853204,55.768984562,4.680868642,EXACT_BREP_DISTANCE,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:P10_FIXED_CATCH,J1,-20.000000000,70.000000000,,,159.885652068,116.721234166,43.164417902,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:J2_X430,J1,-20.000000000,70.000000000,,,178.948446825,155.603593630,23.344853195,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_S102:J2_FR12_S102,J1,-20.000000000,70.000000000,,,172.985971395,124.871348557,48.114622838,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J1_H101:J2_FR12_H101,J2,,,15.000000000,115.000000000,150.096915226,25.752982767,124.343932459,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J1_H101:FORE_MEMBER,J2,,,15.000000000,115.000000000,157.567159416,75.886169420,81.680989997,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J1_H101:FORE_DIST_H104_ADAPTER,J2,,,15.000000000,115.000000000,186.655608545,83.754659123,102.900949422,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J1_H101:G1_H104,J2,,,15.000000000,115.000000000,198.731176652,111.851860075,86.879316576,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_PROX_ADAPTER:J2_FR12_H101,J2,,,15.000000000,115.000000000,140.576548639,25.752982767,114.823565872,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_PROX_ADAPTER:FORE_MEMBER,J2,,,15.000000000,115.000000000,147.861193454,75.886169420,71.975024034,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_PROX_ADAPTER:FORE_DIST_H104_ADAPTER,J2,,,15.000000000,115.000000000,176.383169278,83.754659123,92.628510155,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_PROX_ADAPTER:G1_H104,J2,,,15.000000000,115.000000000,188.466559866,111.851860075,76.614699791,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_MEMBER:J2_FR12_H101,J2,,,15.000000000,115.000000000,40.577403388,25.752982767,14.824420622,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_MEMBER:FORE_MEMBER,J2,,,15.000000000,65.000000000,65.915065434,38.864324378,27.050741056,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_MEMBER:FORE_MEMBER,J2,,,65.000000000,90.000000000,40.534368742,19.548350976,20.986017766,AABB_LOWER_BOUND,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_MEMBER:FORE_MEMBER,J2,,,90.000000000,115.000000000,25.538080940,19.548350976,5.989729964,EXACT_BREP_DISTANCE,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_MEMBER:FORE_DIST_H104_ADAPTER,J2,,,15.000000000,115.000000000,85.636496979,83.754659123,1.881837856,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_MEMBER:G1_H104,J2,,,15.000000000,65.000000000,118.143549613,57.283784456,60.859765157,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:UPPER_MEMBER:G1_H104,J2,,,65.000000000,115.000000000,86.256611699,57.283784456,28.972827242,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:P10_FIXED_CATCH:J2_FR12_H101,J2,,,15.000000000,115.000000000,31.051548639,25.752982767,5.298565872,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:P10_FIXED_CATCH:FORE_MEMBER,J2,,,15.000000000,65.000000000,56.389210685,38.864324378,17.524886307,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:P10_FIXED_CATCH:FORE_MEMBER,J2,,,65.000000000,90.000000000,31.214866762,19.548350976,11.666515786,AABB_LOWER_BOUND,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:P10_FIXED_CATCH:FORE_MEMBER,J2,,,90.000000000,102.500000000,17.957752300,9.788731538,8.169020762,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:P10_FIXED_CATCH:FORE_MEMBER,J2,,,102.500000000,115.000000000,13.158076315,9.788731538,3.369344777,EXACT_BREP_DISTANCE,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:P10_FIXED_CATCH:FORE_DIST_H104_ADAPTER,J2,,,15.000000000,115.000000000,89.348685842,83.754659123,5.594026719,EXACT_BREP_DISTANCE,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:P10_FIXED_CATCH:G1_H104,J2,,,15.000000000,65.000000000,108.568859830,57.283784456,51.285075374,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:P10_FIXED_CATCH:G1_H104,J2,,,65.000000000,115.000000000,81.480764216,57.283784456,24.196979759,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_X430:FORE_MEMBER,J2,,,15.000000000,40.000000000,21.889707615,19.548350976,2.341356639,EXACT_BREP_DISTANCE,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_X430:FORE_MEMBER,J2,,,40.000000000,65.000000000,20.588671683,19.548350976,1.040320707,EXACT_BREP_DISTANCE,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_X430:FORE_MEMBER,J2,,,65.000000000,90.000000000,21.610715470,19.548350976,2.062364494,EXACT_BREP_DISTANCE,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_X430:FORE_MEMBER,J2,,,90.000000000,102.500000000,20.869104427,9.788731538,11.080372889,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_X430:FORE_MEMBER,J2,,,102.500000000,115.000000000,14.849241635,9.788731538,5.060510097,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_X430:FORE_DIST_H104_ADAPTER,J2,,,15.000000000,65.000000000,50.552763462,42.894090784,7.658672678,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_X430:FORE_DIST_H104_ADAPTER,J2,,,65.000000000,115.000000000,73.269477832,42.894090784,30.375387048,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_X430:G1_H104,J2,,,15.000000000,65.000000000,59.718598775,57.283784456,2.434814319,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_X430:G1_H104,J2,,,65.000000000,115.000000000,82.794477571,57.283784456,25.510693114,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_FR12_S102:FORE_MEMBER,J2,,,15.000000000,65.000000000,44.889613662,38.864324378,6.025289284,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_FR12_S102:FORE_MEMBER,J2,,,65.000000000,90.000000000,25.391263317,19.548350976,5.842912341,AABB_LOWER_BOUND,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_FR12_S102:FORE_MEMBER,J2,,,90.000000000,102.500000000,21.124024132,9.788731538,11.335292594,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_FR12_S102:FORE_MEMBER,J2,,,102.500000000,115.000000000,15.104161341,9.788731538,5.315429803,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_FR12_S102:FORE_DIST_H104_ADAPTER,J2,,,15.000000000,115.000000000,88.518752115,83.754659123,4.764092992,EXACT_BREP_DISTANCE,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_FR12_S102:G1_H104,J2,,,15.000000000,65.000000000,98.461802096,57.283784456,41.178017640,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
UPPER_FORE:J2_FR12_S102:G1_H104,J2,,,65.000000000,115.000000000,84.924960093,57.283784456,27.641175636,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:COLUMN:J2_FR12_H101,J1+J2,-20.000000000,70.000000000,15.000000000,115.000000000,225.924627918,195.678489814,30.246138104,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:COLUMN:FORE_MEMBER,J1+J2,-20.000000000,25.000000000,15.000000000,115.000000000,248.275291893,185.656075157,62.619216736,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:COLUMN:FORE_MEMBER,J1+J2,25.000000000,70.000000000,15.000000000,115.000000000,188.725773343,185.656075157,3.069698186,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:COLUMN:FORE_DIST_H104_ADAPTER,J1+J2,-20.000000000,25.000000000,15.000000000,115.000000000,270.620402624,197.156840909,73.463561715,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:COLUMN:FORE_DIST_H104_ADAPTER,J1+J2,25.000000000,70.000000000,15.000000000,115.000000000,220.460987665,197.156840909,23.304146756,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:COLUMN:G1_H104,J1+J2,-20.000000000,25.000000000,15.000000000,115.000000000,282.667731641,238.224356866,44.443374775,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:COLUMN:G1_H104,J1+J2,25.000000000,47.500000000,15.000000000,115.000000000,245.897030490,175.343839707,70.553190784,AABB_LOWER_BOUND,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:COLUMN:G1_H104,J1+J2,47.500000000,70.000000000,15.000000000,115.000000000,214.497209058,175.343839707,39.153369351,AABB_LOWER_BOUND,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:SHOULDER_SUPPORT:J2_FR12_H101,J1+J2,-20.000000000,70.000000000,15.000000000,115.000000000,216.543371710,195.678489814,20.864881896,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:SHOULDER_SUPPORT:FORE_MEMBER,J1+J2,-20.000000000,25.000000000,15.000000000,115.000000000,238.748970917,185.656075157,53.092895760,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:SHOULDER_SUPPORT:FORE_MEMBER,J1+J2,25.000000000,70.000000000,15.000000000,115.000000000,195.884585027,185.656075157,10.228509870,EXACT_BREP_DISTANCE,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:SHOULDER_SUPPORT:FORE_DIST_H104_ADAPTER,J1+J2,-20.000000000,25.000000000,15.000000000,115.000000000,261.211210220,197.156840909,64.054369311,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:SHOULDER_SUPPORT:FORE_DIST_H104_ADAPTER,J1+J2,25.000000000,70.000000000,15.000000000,115.000000000,214.767717282,197.156840909,17.610876373,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:SHOULDER_SUPPORT:G1_H104,J1+J2,-20.000000000,25.000000000,15.000000000,115.000000000,273.264472618,238.224356866,35.040115752,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:SHOULDER_SUPPORT:G1_H104,J1+J2,25.000000000,47.500000000,15.000000000,115.000000000,238.964933193,175.343839707,63.621093486,AABB_LOWER_BOUND,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:SHOULDER_SUPPORT:G1_H104,J1+J2,47.500000000,70.000000000,15.000000000,115.000000000,211.038819975,175.343839707,35.694980268,AABB_LOWER_BOUND,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:J1_BODY:J2_FR12_H101,J1+J2,-20.000000000,25.000000000,15.000000000,115.000000000,168.044270348,112.380255037,55.664015312,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_FORE:J1_BODY:J2_FR12_H101,J1+J2,25.000000000,70.000000000,15.000000000,115.000000000,151.804018649,112.380255037,39.423763613,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
