requirement_id,review_state,parent_statement,child_requirement_register,closure_evidence,approval_effect,warning
SAFE-005,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,No child shall enter the V0 test area while any actuator can be energized.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-006,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,Primary mechanical load paths shall survive 3 times maximum permitted operational static load without hazardous failure.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-007,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Each joint shall have independent software limits and mechanical hard stops before cable or shield contact.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-008,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Any restart after a safety or diagnostic dropout shall require cause removal a valid monitored physical RESET and a later distinct physical ARM action; neither action shall command torque or motion and a fresh validated trajectory shall still be required.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-001,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,"Actuator power, safety-control power, and compute power shall be separately protected domains.",requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-002,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,Two series contactors with monitored auxiliary feedback shall interrupt the actuator rail.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-003,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Every actuator power branch shall be individually fused and use conductors and connectors rated for the verified load.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ELEC-004,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Exposed mains terminals shall be inaccessible without a tool and conductive enclosures and structure shall be protectively earthed.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-001,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,Only deterministic versioned trajectories whose preconditions match the current configuration may command motion.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-002,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,AI or language-model output shall never write actuator commands or registers directly.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-003,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,"Communication loss, limit violation, overtemperature, or overcurrent shall cause a latched defined fault response.",requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-004,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Command and feedback state shall be logged at 100 Hz or faster with a configuration hash.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
THERM-001,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,"During the validated duty cycle arm actuator cases shall remain below the provisional 65 deg C limit, gripper actuator cases below 60 deg C, and power conductors below 20 deg C rise at the released ambient condition.",requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GRIP-001,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,Grip force shall be characterized across the allowed object range using a calibrated load cell.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
GRIP-002,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,The HR-V0 gripper shall use the controlled ROBOTIS OpenMANIPULATOR-X mechanism subset with broad compliant object-contact pads and a fixed local guard that prevents access to the actuator-frame crank linkage and rail pinch zones; no human handoff is permitted.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-010,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Before any actuator connection HR-V0 shall have a fixed tool-removable enclosure whose inner boundary remains outside the union of the released three-dimensional swept volume worst-case stopping travel maximum payload extent and build/calibration tolerance by the released minimum clearance in every permitted pose and fault case.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
SAFE-011,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,A fixed receiver or catch shall contain the permitted 100 g foam object after commanded release gripper fault or actuator-power loss from every released pose without escape into an accessible area.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MECH-001,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Every HR-V0 moving cable and connector shall have a controlled route strain relief service loop bend/twist limit abrasion protection and retention that remains clear of hard stops pinch points guards and payloads throughout the complete mechanical range.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
VER-001,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,The system shall complete 100 fixture handoffs with at least 99 successes and zero unsafe faults.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-001,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,"Every test record shall identify CAD, wiring, firmware, calibration, actuator, and BOM revisions.",requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-001,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-30 neutral-pose overall height shall be 762 mm nominal and remain between 740 and 800 mm for any released shell configuration.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-002,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-30 tethered mass shall target 8.0 kg and shall never exceed 10.0 kg.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-003,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-30A shall provide 13 active upper-body degrees of freedom on a bolted pelvic pedestal.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-004,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-30B full-height testing shall use an engineered restraint that prevents floor impact.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-005,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,The full-height robot shall remain restrained through HR-30D and shall operate untethered only after the HR-30W release gate is approved.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-006,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,External covers shall use a 3 mm minimum edge radius and prevent normal access to powered pinch points.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-007,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,The external form shall be stylized and clearly robotic rather than a realistic imitation child.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-008,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-30A shall use tethered extra-low-voltage actuator power and shall not carry a battery.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-009,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Actuator power state and faults shall be visibly distinguishable from at least 3 m.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-010,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Camera recording capability shall have a hardware-driven visible privacy indication.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
LEG-001,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,No powered leg joint shall be enabled until its actuator and structure pass separate load thermal brake and restraint tests.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
LEG-002,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Untethered level-floor walking shall be the required HR-30W end-state and shall occur only after HR-30D slack-tether acceptance passes.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-001,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-30W shall stand untethered for 120 seconds on the validated level indoor surface.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-002,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,"HR-30W shall start, walk 25 m at 0.10 to 0.14 m/s, stop within two steps, and remain standing. Any higher speed requires a later released torque-speed and gait validation.",requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-003,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-30W shall turn 90 degrees left and right within five steps without support.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-004,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-30W shall complete 30 minutes cumulative walking without exceeding released thermal current voltage or energy limits.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-005,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-30D shall walk with a slack overhead tether carrying less than 2 percent of robot weight except during fall arrest.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-006,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Each leg shall provide six active axes: hip yaw roll and pitch knee pitch and ankle pitch and roll.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-007,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Pelvis attitude estimation shall update at 800 Hz or faster and foot force/center-of-pressure estimation at 500 Hz or faster.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-008,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,The real-time state estimator and stabilizer shall continue safe operation or stop after failure of the Linux high-level process.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-009,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-30W shall use an onboard professionally assembled protected battery with pack-level fuse service disconnect precharge and independent telemetry.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-010,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,Passing the engineering walking test shall not authorize operation among people or children.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-011,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,"A fall predictor shall command the released protective response from attitude, angular rate, support force, joint tracking, bus health, and supply state within a released lead-time threshold derived from measured protective-response latency plus margin. The numeric lead time, detection rate, and false-positive limit are release-blocking selections.",requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-012,ATOMIC CANDIDATE - INDEPENDENT REVIEW REQUIRED,A hardware emergency stop shall remove hazardous drive energy even when doing so may cause a fall.,NOT APPLICABLE CANDIDATE,independent requirements review confirms one measurable obligation,NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
STANCE-001,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,During HR-30C acceptance both feet shall support 100 percent of measured static robot weight for 120 seconds while the connected restraint supplies no sustained support.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
STANCE-002,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-30C shall complete 100 commanded bilateral weight shifts with both feet in contact and without exceeding released force attitude joint-tracking thermal current or deadline limits.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
STANCE-003,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Loss of planner state sensor validity control deadline or supply health during HR-30C shall produce the released restrained response and a latched restart-required fault.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
STANCE-004,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-30C powered-stance testing shall not begin until HR-30B W0 W1 restraint proof sensor calibration and enabled-axis qualification records are approved.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
PROD-011,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,The released operating boundary shall state adult-operated experimental robotic machinery not a toy and not approved for unsupervised consumer use while legal classification remains unresolved.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MASS-001,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Every full-body configuration shall have a controlled part-level mass and inertia ledger separating target estimate and measured values and reporting assembly and whole-body center of mass and inertia.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
MASS-002,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,HR-V0 moving assembly mass excluding the fixed shoulder actuator and base shall not exceed 0.75 kg and shall be supported by a part-level ledger separating CAD supplier and measured mass local center of mass and inertia for the exact configuration.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-005,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Every inter-controller message shall carry a monotonic sequence number source timestamp validity deadline sender state and configuration hash and receivers shall reject stale duplicate out-of-order or mismatched messages.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
WALK-013,DECOMPOSED CANDIDATE - INDEPENDENT REVIEW REQUIRED,Every externally reduced leg joint shall use output-side absolute position sensing or a reviewed equivalent that detects slip backlash lost calibration and motor-output disagreement.,requirements/atomic-p0.2/atomic-requirements.csv,"independent review confirms complete/nonoverlapping parent coverage, one testable obligation per child, stable parent trace and child-specific verification results",NONE - source requirement remains draft,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
