child_id,parent_id,sequence,level,child_statement,priority,verification_id,parent_procedure_evidence,parent_procedure_acceptance,child_acceptance_criterion_candidate,required_result_fields,child_acceptance_binding,internal_atomicity_screen,status,evidence_uri,accountable_person,approver_person,decision,warning
CFG-002-A05,CFG-002,5,configuration,Each CFG-002 mismatch shall latch a recorded fault.,MUST,TEST-CFG-002,Raw logs and signed report,Every mismatch inhibits drive and latches a recorded fault,PASS only if executed TEST-CFG-002 configuration-bound evidence demonstrates: Each CFG-002 mismatch shall latch a recorded fault.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A01,CFG-003,1,configuration,The HR-V0 release BOM shall enumerate every purchased item.,MUST,AUDIT-BOM-001,Checker output reviewed closure register source register and configuration snapshot,Every system BOM item has exactly one closure row; every evaluation line maps to an exact candidate and current primary source; no unresolved or grouped line is procurement-released,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: The HR-V0 release BOM shall enumerate every purchased item.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A02,CFG-003,2,configuration,The HR-V0 release BOM shall enumerate every fabricated item.,MUST,AUDIT-BOM-001,Checker output reviewed closure register source register and configuration snapshot,Every system BOM item has exactly one closure row; every evaluation line maps to an exact candidate and current primary source; no unresolved or grouped line is procurement-released,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: The HR-V0 release BOM shall enumerate every fabricated item.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A03,CFG-003,3,configuration,The HR-V0 release BOM shall enumerate every included-kit item.,MUST,AUDIT-BOM-001,Checker output reviewed closure register source register and configuration snapshot,Every system BOM item has exactly one closure row; every evaluation line maps to an exact candidate and current primary source; no unresolved or grouped line is procurement-released,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: The HR-V0 release BOM shall enumerate every included-kit item.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A04,CFG-003,4,configuration,The HR-V0 release BOM shall enumerate every harness item.,MUST,AUDIT-BOM-001,Checker output reviewed closure register source register and configuration snapshot,Every system BOM item has exactly one closure row; every evaluation line maps to an exact candidate and current primary source; no unresolved or grouped line is procurement-released,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: The HR-V0 release BOM shall enumerate every harness item.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A05,CFG-003,5,configuration,The HR-V0 release BOM shall enumerate every software-image item.,MUST,AUDIT-BOM-001,Checker output reviewed closure register source register and configuration snapshot,Every system BOM item has exactly one closure row; every evaluation line maps to an exact candidate and current primary source; no unresolved or grouped line is procurement-released,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: The HR-V0 release BOM shall enumerate every software-image item.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A06,CFG-003,6,configuration,The HR-V0 release BOM shall enumerate every configuration-critical item.,MUST,AUDIT-BOM-001,Checker output reviewed closure register source register and configuration snapshot,Every system BOM item has exactly one closure row; every evaluation line maps to an exact candidate and current primary source; no unresolved or grouped line is procurement-released,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: The HR-V0 release BOM shall enumerate every configuration-critical item.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A07,CFG-003,7,configuration,Each HR-V0 release-BOM row shall state exact quantity.,MUST,AUDIT-BOM-001,Checker output reviewed closure register source register and configuration snapshot,Every system BOM item has exactly one closure row; every evaluation line maps to an exact candidate and current primary source; no unresolved or grouped line is procurement-released,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: Each HR-V0 release-BOM row shall state exact quantity.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A08,CFG-003,8,configuration,Each HR-V0 release-BOM row shall state exact order-code status.,MUST,AUDIT-BOM-001,Checker output reviewed closure register source register and configuration snapshot,Every system BOM item has exactly one closure row; every evaluation line maps to an exact candidate and current primary source; no unresolved or grouped line is procurement-released,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: Each HR-V0 release-BOM row shall state exact order-code status.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A09,CFG-003,9,configuration,Each HR-V0 release-BOM row shall state primary-source status.,MUST,AUDIT-BOM-001,Checker output reviewed closure register source register and configuration snapshot,Every system BOM item has exactly one closure row; every evaluation line maps to an exact candidate and current primary source; no unresolved or grouped line is procurement-released,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: Each HR-V0 release-BOM row shall state primary-source status.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A10,CFG-003,10,configuration,Each HR-V0 release-BOM row shall state application-evidence status.,MUST,AUDIT-BOM-001,Checker output reviewed closure register source register and configuration snapshot,Every system BOM item has exactly one closure row; every evaluation line maps to an exact candidate and current primary source; no unresolved or grouped line is procurement-released,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: Each HR-V0 release-BOM row shall state application-evidence status.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A11,CFG-003,11,configuration,Each HR-V0 release-BOM row shall state a receiving or closure route.,MUST,AUDIT-BOM-001,Checker output reviewed closure register source register and configuration snapshot,Every system BOM item has exactly one closure row; every evaluation line maps to an exact candidate and current primary source; no unresolved or grouped line is procurement-released,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: Each HR-V0 release-BOM row shall state a receiving or closure route.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A12,CFG-003,12,configuration,Each unresolved HR-V0 release-BOM field shall remain SELECTION REQUIRED.,MUST,AUDIT-BOM-001,Checker output reviewed closure register source register and configuration snapshot,Every system BOM item has exactly one closure row; every evaluation line maps to an exact candidate and current primary source; no unresolved or grouped line is procurement-released,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: Each unresolved HR-V0 release-BOM field shall remain SELECTION REQUIRED.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A01,COMM-001,1,commissioning,Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted commit.,MUST,INSPECT-E2-001,Completed unpowered-configuration form photographs firmware/hash captures torque and guard records deviation dispositions and signed quality review,Every installed item wire label fastener witness mark guard stop connector firmware image and deviation matches the accepted baseline; actuator source and branches are absent; all discrepancies are closed; required qualified signatures are present,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted commit.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A02,COMM-001,2,commissioning,Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted file manifest.,MUST,INSPECT-E2-001,Completed unpowered-configuration form photographs firmware/hash captures torque and guard records deviation dispositions and signed quality review,Every installed item wire label fastener witness mark guard stop connector firmware image and deviation matches the accepted baseline; actuator source and branches are absent; all discrepancies are closed; required qualified signatures are present,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted file manifest.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A03,COMM-001,3,commissioning,Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted BOM revision.,MUST,INSPECT-E2-001,Completed unpowered-configuration form photographs firmware/hash captures torque and guard records deviation dispositions and signed quality review,Every installed item wire label fastener witness mark guard stop connector firmware image and deviation matches the accepted baseline; actuator source and branches are absent; all discrepancies are closed; required qualified signatures are present,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted BOM revision.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A04,COMM-001,4,commissioning,Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted ECAD revision.,MUST,INSPECT-E2-001,Completed unpowered-configuration form photographs firmware/hash captures torque and guard records deviation dispositions and signed quality review,Every installed item wire label fastener witness mark guard stop connector firmware image and deviation matches the accepted baseline; actuator source and branches are absent; all discrepancies are closed; required qualified signatures are present,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted ECAD revision.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A05,COMM-001,5,commissioning,Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted CAD revision.,MUST,INSPECT-E2-001,Completed unpowered-configuration form photographs firmware/hash captures torque and guard records deviation dispositions and signed quality review,Every installed item wire label fastener witness mark guard stop connector firmware image and deviation matches the accepted baseline; actuator source and branches are absent; all discrepancies are closed; required qualified signatures are present,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted CAD revision.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A06,COMM-001,6,commissioning,Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted firmware revision.,MUST,INSPECT-E2-001,Completed unpowered-configuration form photographs firmware/hash captures torque and guard records deviation dispositions and signed quality review,Every installed item wire label fastener witness mark guard stop connector firmware image and deviation matches the accepted baseline; actuator source and branches are absent; all discrepancies are closed; required qualified signatures are present,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted firmware revision.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A07,COMM-001,7,commissioning,Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted procedure baseline.,MUST,INSPECT-E2-001,Completed unpowered-configuration form photographs firmware/hash captures torque and guard records deviation dispositions and signed quality review,Every installed item wire label fastener witness mark guard stop connector firmware image and deviation matches the accepted baseline; actuator source and branches are absent; all discrepancies are closed; required qualified signatures are present,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted procedure baseline.,child_id|configuration_id|procedure_id|procedure_revision|observed_value_or_state|acceptance_limit|result_PASS_or_FAIL|evidence_uri|executor|timestamp|reviewer|decision,P0.2 TEMPLATE ISSUED - INTEGRATION AND EXECUTION REQUIRED,ONE NORMATIVE CLAUSE - INDEPENDENT ACCEPTANCE REQUIRED,draft,NOT EXECUTED,SELECTION REQUIRED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
