child_id,parent_id,verification_id,procedure_revision,configuration_id,observed_value_or_state,acceptance_limit,result_PASS_or_FAIL,evidence_uri,executor,timestamp,reviewer,decision,warning
CFG-002-A05,CFG-002,TEST-CFG-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-CFG-002 configuration-bound evidence demonstrates: Each CFG-002 mismatch shall latch a recorded fault.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A01,CFG-003,AUDIT-BOM-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: The HR-V0 release BOM shall enumerate every purchased item.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A02,CFG-003,AUDIT-BOM-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: The HR-V0 release BOM shall enumerate every fabricated item.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A03,CFG-003,AUDIT-BOM-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: The HR-V0 release BOM shall enumerate every included-kit item.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A04,CFG-003,AUDIT-BOM-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: The HR-V0 release BOM shall enumerate every harness item.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A05,CFG-003,AUDIT-BOM-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: The HR-V0 release BOM shall enumerate every software-image item.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A06,CFG-003,AUDIT-BOM-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: The HR-V0 release BOM shall enumerate every configuration-critical item.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A07,CFG-003,AUDIT-BOM-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: Each HR-V0 release-BOM row shall state exact quantity.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A08,CFG-003,AUDIT-BOM-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: Each HR-V0 release-BOM row shall state exact order-code status.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A09,CFG-003,AUDIT-BOM-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: Each HR-V0 release-BOM row shall state primary-source status.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A10,CFG-003,AUDIT-BOM-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: Each HR-V0 release-BOM row shall state application-evidence status.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A11,CFG-003,AUDIT-BOM-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: Each HR-V0 release-BOM row shall state a receiving or closure route.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CFG-003-A12,CFG-003,AUDIT-BOM-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed AUDIT-BOM-001 configuration-bound evidence demonstrates: Each unresolved HR-V0 release-BOM field shall remain SELECTION REQUIRED.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A01,COMM-001,INSPECT-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted commit.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A02,COMM-001,INSPECT-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted file manifest.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A03,COMM-001,INSPECT-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted BOM revision.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A04,COMM-001,INSPECT-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted ECAD revision.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A05,COMM-001,INSPECT-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted CAD revision.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A06,COMM-001,INSPECT-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted firmware revision.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A07,COMM-001,INSPECT-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Before E2 control-only energization the complete unpowered HR-V0 article shall match one accepted procedure baseline.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A08,COMM-001,INSPECT-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: All required guards shall be installed before E2 control-only energization.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A09,COMM-001,INSPECT-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: All required torque witness marks shall be intact before E2 control-only energization.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A10,COMM-001,INSPECT-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-001 configuration-bound evidence demonstrates: Every E2 deviation shall be closed or explicitly accepted by the accountable qualified reviewer before energization.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A01,COMM-002,INSPECT-E2-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-002 configuration-bound evidence demonstrates: A qualified electrical reviewer shall accept the exact site supply before any E2 source connection.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A02,COMM-002,INSPECT-E2-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-002 configuration-bound evidence demonstrates: A qualified electrical reviewer shall accept each exact external factory adapter before any E2 source connection.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A03,COMM-002,INSPECT-E2-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-002 configuration-bound evidence demonstrates: A qualified electrical reviewer shall accept the protective-earth treatment before any E2 source connection.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A04,COMM-002,INSPECT-E2-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-002 configuration-bound evidence demonstrates: A qualified electrical reviewer shall accept the insulation obligations before any E2 source connection.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A05,COMM-002,INSPECT-E2-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-002 configuration-bound evidence demonstrates: A qualified electrical reviewer shall accept the disconnect method before any E2 source connection.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A06,COMM-002,INSPECT-E2-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-002 configuration-bound evidence demonstrates: A qualified electrical reviewer shall accept the exact test instruments before any E2 source connection.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A07,COMM-002,INSPECT-E2-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed INSPECT-E2-002 configuration-bound evidence demonstrates: A qualified electrical reviewer shall accept numerical E2 test limits for the as-built configuration before any source connection.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A01,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each HR-V0 extra-low-voltage conductor shall pass point-to-point continuity inspection before E2 control power.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A02,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each HR-V0 extra-low-voltage terminal shall pass point-to-point continuity inspection before E2 control power.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A03,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each HR-V0 extra-low-voltage connector shall pass point-to-point continuity inspection before E2 control power.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A04,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each HR-V0 extra-low-voltage conductor shall pass polarity inspection before E2 control power.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A05,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each HR-V0 extra-low-voltage conductor shall pass the released isolation-resistance inspection before E2 control power.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A06,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each HR-V0 extra-low-voltage conductor shall pass the released no-backfeed inspection before E2 control power.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A07,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each COMM-003 inspection shall use the accepted ECAD as a comparison baseline.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A08,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each HR-V0 extra-low-voltage terminal shall pass polarity inspection before E2 control power.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A09,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each HR-V0 extra-low-voltage connector shall pass polarity inspection before E2 control power.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A10,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each HR-V0 extra-low-voltage terminal shall pass the released isolation-resistance inspection before E2 control power.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A11,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each HR-V0 extra-low-voltage connector shall pass the released isolation-resistance inspection before E2 control power.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A12,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each HR-V0 extra-low-voltage terminal shall pass the released no-backfeed inspection before E2 control power.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A13,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each HR-V0 extra-low-voltage connector shall pass the released no-backfeed inspection before E2 control power.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A14,COMM-003,TEST-E2-001,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-001 configuration-bound evidence demonstrates: Each COMM-003 inspection shall use the accepted as-built harness as a comparison baseline.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A01,COMM-004,TEST-E2-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-002 configuration-bound evidence demonstrates: E2 shall energize only the accepted 24 V safety-control source.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A02,COMM-004,TEST-E2-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-002 configuration-bound evidence demonstrates: The 12 V actuator source shall be physically absent throughout E2.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A03,COMM-004,TEST-E2-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-002 configuration-bound evidence demonstrates: Every actuator branch shall be disconnected throughout E2.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A04,COMM-004,TEST-E2-002,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,PASS only if executed TEST-E2-002 configuration-bound evidence demonstrates: Every disconnected actuator branch shall be covered throughout E2.,NOT EXECUTED,NOT EXECUTED,SELECTION REQUIRED,NOT EXECUTED,SELECTION REQUIRED,NOT APPROVED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
