child_id,parent_id,normative_clause_count,semicolon_count,acceptance_criterion_present,result_fields_present,internal_disposition,approval_effect,warning
COMM-001-A05,COMM-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A06,COMM-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A07,COMM-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A08,COMM-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A09,COMM-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-001-A10,COMM-001,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A01,COMM-002,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A02,COMM-002,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A03,COMM-002,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A04,COMM-002,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A05,COMM-002,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A06,COMM-002,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-002-A07,COMM-002,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A01,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A02,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A03,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A04,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A05,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A06,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A07,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A08,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A09,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A10,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A11,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A12,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A13,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-003-A14,COMM-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A01,COMM-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A02,COMM-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A03,COMM-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A04,COMM-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A05,COMM-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A06,COMM-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A07,COMM-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A08,COMM-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A09,COMM-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-004-A10,COMM-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A01,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A02,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A03,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A04,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A05,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A06,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A07,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A08,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A09,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A10,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A11,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A12,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A13,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A14,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A15,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
COMM-005-A16,COMM-005,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-003-A01,CTRL-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-003-A02,CTRL-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-003-A03,CTRL-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-003-A04,CTRL-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-003-A05,CTRL-003,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-004-A01,CTRL-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-004-A02,CTRL-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-004-A03,CTRL-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-004-A04,CTRL-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
CTRL-004-A05,CTRL-004,1,0,YES,YES,CANDIDATE SCREENED - INDEPENDENT COVERAGE AND ATOMICITY ACCEPTANCE REQUIRED,NONE - PARENT AND CHILD REMAIN DRAFT,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
