package_status,wire_number,net,endpoint_count,endpoints
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2024,COMPUTE_3V3,2,ADC1:TBD-DVDD(DIGITAL_POWER)@12_sensor_adc_imu | ADC2:TBD-DVDD(DIGITAL_POWER)@12_sensor_adc_imu
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2025,COMPUTE_5V,8,PS3:USB-C(USB_5V)@01_ac_pe_power | PI1:USB-C-5V(5V)@04_control_watchdog | RT1:TBD-PWR(POWER)@04_control_watchdog | WD1:TBD-PWR(POWER)@04_control_watchdog | WDH1:TBD-PWR(POWER)@04_control_watchdog | BCU1:TBD-PWR(POWER)@05_hr30_battery_precharge | XCVRL1:TBD-PWR(LOGIC_POWER)@07_left_leg_rs485 | XCVRR1:TBD-PWR(LOGIC_POWER)@08_right_leg_rs485
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2026,HR30_0V,25,SP1:TBD-HR30(HR30_RETURN)@01_ac_pe_power | BAT1:TBD-P-(PACK_NEG)@05_hr30_battery_precharge | KB1:TBD-A2(COIL_NEG)@05_hr30_battery_precharge | KP1:TBD-A2(COIL_NEG)@05_hr30_battery_precharge | RD1:TBD-2(RETURN)@05_hr30_battery_precharge | TLM1:TBD-0V(PACK_RETURN)@05_hr30_battery_precharge | JT1:TBD-P-(SOURCE_NEG)@06_hr30_safety_distribution | DC1:TBD-I-(INPUT_NEG)@06_hr30_safety_distribution | XCVRL1:TBD-REF(BUS_REFERENCE)@07_left_leg_rs485 | ML1:1(GND)@07_left_leg_rs485 | ML2:1(GND)@07_left_leg_rs485 | ML3:1(GND)@07_left_leg_rs485 | ML4:1(GND)@07_left_leg_rs485 | ML5:1(GND)@07_left_leg_rs485 | ML6:1(GND)@07_left_leg_rs485 | XCVRR1:TBD-REF(BUS_REFERENCE)@08_right_leg_rs485 | MR1:1(GND)@08_right_leg_rs485 | MR2:1(GND)@08_right_leg_rs485 | MR3:1(GND)@08_right_leg_rs485 | MR4:1(GND)@08_right_leg_rs485 | MR5:1(GND)@08_right_leg_rs485 | MR6:1(GND)@08_right_leg_rs485 | TBHR30:TBD-0(RETURN)@14_harness_terminals | JHL1:TBD-0(RETURN)@14_harness_terminals | JHR1:TBD-0(RETURN)@14_harness_terminals
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2027,HR30_ACTUATOR_SAFE,20,KH2:TBD-T(MAIN_LOAD)@06_hr30_safety_distribution | DC1:TBD-I+(INPUT_POS)@06_hr30_safety_distribution | FL1:TBD-I(IN)@07_left_leg_rs485 | FL2:TBD-I(IN)@07_left_leg_rs485 | FL3:TBD-I(IN)@07_left_leg_rs485 | FL4:TBD-I(IN)@07_left_leg_rs485 | FL5:TBD-I(IN)@07_left_leg_rs485 | FL6:TBD-I(IN)@07_left_leg_rs485 | FR1:TBD-I(IN)@08_right_leg_rs485 | FR2:TBD-I(IN)@08_right_leg_rs485 | FR3:TBD-I(IN)@08_right_leg_rs485 | FR4:TBD-I(IN)@08_right_leg_rs485 | FR5:TBD-I(IN)@08_right_leg_rs485 | FR6:TBD-I(IN)@08_right_leg_rs485 | TBHR30:TBD-S(SOURCE_SAFE)@14_harness_terminals | TBHR30:TBD-L(LEFT_LEG)@14_harness_terminals | TBHR30:TBD-R(RIGHT_LEG)@14_harness_terminals | JHL1:TBD-P(POWER)@14_harness_terminals | JHR1:TBD-P(POWER)@14_harness_terminals | TP1:TBD-HR(HR30_SAFE_TEST)@14_harness_terminals
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2028,HR30_BAT_PROTECTED,6,KB1:TBD-T(LOAD)@05_hr30_battery_precharge | RP1:TBD-2(OUT)@05_hr30_battery_precharge | RD1:TBD-1(BUS)@05_hr30_battery_precharge | TLM1:TBD-V(PACK_V_SENSE)@05_hr30_battery_precharge | BCU1:TBD-VS(DC_LINK_SENSE)@05_hr30_battery_precharge | SRCSEL1:TBD-B(BATTERY_IN)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2029,HR30_EDM_STAGE_1,2,SH1:TBD-B(CONTACT_B)@06_hr30_safety_distribution | KH1:TBD-M1(MIRROR_IN)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2030,HR30_EDM_STAGE_2,2,KH1:TBD-M2(MIRROR_OUT)@06_hr30_safety_distribution | KH2:TBD-M1(MIRROR_IN)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2031,HR30_ESTOP_CH1_FEED,2,SH0:TBD-C1A(CH1_A)@06_hr30_safety_distribution | SRH1:S11(S11)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2032,HR30_ESTOP_CH1_RETURN,3,SH0:TBD-C1B(CH1_B)@06_hr30_safety_distribution | SRH1:S12(S12)@06_hr30_safety_distribution | SH1:TBD-A(CONTACT_A)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2033,HR30_ESTOP_CH2_FEED,2,SH0:TBD-C2A(CH2_A)@06_hr30_safety_distribution | SRH1:S21(S21)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2034,HR30_ESTOP_CH2_RETURN,2,SH0:TBD-C2B(CH2_B)@06_hr30_safety_distribution | SRH1:S22(S22)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2035,HR30_HEARTBEAT_3V3,2,RT1:TBD-WD2(HEARTBEAT_HR30)@04_control_watchdog | WDH1:TBD-IN(HEARTBEAT)@04_control_watchdog
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2036,HR30_K1_COIL_CMD,3,SRH1:14(14)@06_hr30_safety_distribution | KH1:TBD-A1(COIL_POS)@06_hr30_safety_distribution | SKH1:TBD-+(COIL_POS)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2037,HR30_K1_LOAD,2,KH1:TBD-T(MAIN_LOAD)@06_hr30_safety_distribution | KH2:TBD-L(MAIN_LINE)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2038,HR30_K1_STATUS_24V,2,ISO1:TBD-I4(HR30_K1_STATUS)@04_control_watchdog | KH1:TBD-SN(STATUS_NO)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2039,HR30_K2_COIL_CMD,3,SRH1:24(24)@06_hr30_safety_distribution | KH2:TBD-A1(COIL_POS)@06_hr30_safety_distribution | SKH2:TBD-+(COIL_POS)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2040,HR30_K2_STATUS_24V,2,ISO1:TBD-I5(HR30_K2_STATUS)@04_control_watchdog | KH2:TBD-SN(STATUS_NO)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2041,HR30_LEFT_M1_VDD,2,FL1:TBD-O(OUT)@07_left_leg_rs485 | ML1:2(VDD)@07_left_leg_rs485
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2042,HR30_LEFT_M2_VDD,2,FL2:TBD-O(OUT)@07_left_leg_rs485 | ML2:2(VDD)@07_left_leg_rs485
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2043,HR30_LEFT_M3_VDD,2,FL3:TBD-O(OUT)@07_left_leg_rs485 | ML3:2(VDD)@07_left_leg_rs485
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2044,HR30_LEFT_M4_VDD,2,FL4:TBD-O(OUT)@07_left_leg_rs485 | ML4:2(VDD)@07_left_leg_rs485
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2045,HR30_LEFT_M5_VDD,2,FL5:TBD-O(OUT)@07_left_leg_rs485 | ML5:2(VDD)@07_left_leg_rs485
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2046,HR30_LEFT_M6_VDD,2,FL6:TBD-O(OUT)@07_left_leg_rs485 | ML6:2(VDD)@07_left_leg_rs485
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2047,HR30_M31_VDD,2,FU31:TBD-O(OUT)@09_upper_bus_a | M31:2(VDD)@09_upper_bus_a
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2048,HR30_M32_VDD,2,FU32:TBD-O(OUT)@09_upper_bus_a | M32:2(VDD)@09_upper_bus_a
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2049,HR30_M33_VDD,2,FU33:TBD-O(OUT)@09_upper_bus_a | M33:2(VDD)@09_upper_bus_a
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2050,HR30_M34_VDD,2,FU34:TBD-O(OUT)@09_upper_bus_a | M34:2(VDD)@09_upper_bus_a
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2051,HR30_M35_VDD,2,FU35:TBD-O(OUT)@09_upper_bus_a | M35:2(VDD)@09_upper_bus_a
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2052,HR30_M41_VDD,2,FU41:TBD-O(OUT)@10_upper_bus_b | M41:2(VDD)@10_upper_bus_b
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2053,HR30_M42_VDD,2,FU42:TBD-O(OUT)@10_upper_bus_b | M42:2(VDD)@10_upper_bus_b
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2054,HR30_M43_VDD,2,FU43:TBD-O(OUT)@10_upper_bus_b | M43:2(VDD)@10_upper_bus_b
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2055,HR30_M44_VDD,2,FU44:TBD-O(OUT)@10_upper_bus_b | M44:2(VDD)@10_upper_bus_b
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2056,HR30_M45_VDD,2,FU45:TBD-O(OUT)@10_upper_bus_b | M45:2(VDD)@10_upper_bus_b
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2057,HR30_M51_VDD,2,FU51:TBD-O(OUT)@09_upper_bus_a | M51:2(VDD)@09_upper_bus_a
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2058,HR30_M52_VDD,2,FU52:TBD-O(OUT)@09_upper_bus_a | M52:2(VDD)@09_upper_bus_a
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2059,HR30_M53_VDD,2,FU53:TBD-O(OUT)@09_upper_bus_a | M53:2(VDD)@09_upper_bus_a
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2060,HR30_RESET_LOOP_RETURN,2,SRH1:S34(S34)@06_hr30_safety_distribution | KH2:TBD-M2(MIRROR_OUT)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2061,HR30_RIGHT_M1_VDD,2,FR1:TBD-O(OUT)@08_right_leg_rs485 | MR1:2(VDD)@08_right_leg_rs485
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2062,HR30_RIGHT_M2_VDD,2,FR2:TBD-O(OUT)@08_right_leg_rs485 | MR2:2(VDD)@08_right_leg_rs485
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2063,HR30_RIGHT_M3_VDD,2,FR3:TBD-O(OUT)@08_right_leg_rs485 | MR3:2(VDD)@08_right_leg_rs485
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2064,HR30_RIGHT_M4_VDD,2,FR4:TBD-O(OUT)@08_right_leg_rs485 | MR4:2(VDD)@08_right_leg_rs485
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2065,HR30_RIGHT_M5_VDD,2,FR5:TBD-O(OUT)@08_right_leg_rs485 | MR5:2(VDD)@08_right_leg_rs485
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2066,HR30_RIGHT_M6_VDD,2,FR6:TBD-O(OUT)@08_right_leg_rs485 | MR6:2(VDD)@08_right_leg_rs485
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2067,HR30_SAFE_READY_LOGIC,2,RT1:TBD-HRST(HR30_RESET_STATUS)@04_control_watchdog | ISO1:TBD-O2(HR30_SAFE_READY)@04_control_watchdog
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2068,HR30_SOURCE_FUSED,2,FHR0:TBD-O(OUT)@06_hr30_safety_distribution | KH1:TBD-L(MAIN_LINE)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2069,HR30_SOURCE_RAW,2,SRCSEL1:TBD-O(SOURCE_OUT)@06_hr30_safety_distribution | FHR0:TBD-I(IN)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2070,HR30_SR_STATUS_24V,2,ISO1:TBD-I6(HR30_SR_STATUS)@04_control_watchdog | SRH1:Y32(Y32)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2071,HR30_TETHER_POS,2,JT1:TBD-P+(SOURCE_POS)@06_hr30_safety_distribution | FTHR1:TBD-I(IN)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2072,HR30_TETHER_PROTECTED,2,FTHR1:TBD-O(OUT)@06_hr30_safety_distribution | SRCSEL1:TBD-T(TETHER_IN)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2073,HR30_UPPER_0V,19,DC1:TBD-O-(OUTPUT_0V)@06_hr30_safety_distribution | UA1:1(TTL_GND)@09_upper_bus_a | M31:1(GND)@09_upper_bus_a | M32:1(GND)@09_upper_bus_a | M33:1(GND)@09_upper_bus_a | M34:1(GND)@09_upper_bus_a | M35:1(GND)@09_upper_bus_a | M51:1(GND)@09_upper_bus_a | M52:1(GND)@09_upper_bus_a | M53:1(GND)@09_upper_bus_a | UB1:1(TTL_GND)@10_upper_bus_b | M41:1(GND)@10_upper_bus_b | M42:1(GND)@10_upper_bus_b | M43:1(GND)@10_upper_bus_b | M44:1(GND)@10_upper_bus_b | M45:1(GND)@10_upper_bus_b | TBHR30:TBD-U0(UPPER_0V)@14_harness_terminals | JUA1:TBD-0(RETURN)@14_harness_terminals | JUB1:TBD-0(RETURN)@14_harness_terminals
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2074,HR30_UPPER_12V,17,DC1:TBD-O+(OUTPUT_12V)@06_hr30_safety_distribution | FU31:TBD-I(IN)@09_upper_bus_a | FU32:TBD-I(IN)@09_upper_bus_a | FU33:TBD-I(IN)@09_upper_bus_a | FU34:TBD-I(IN)@09_upper_bus_a | FU35:TBD-I(IN)@09_upper_bus_a | FU51:TBD-I(IN)@09_upper_bus_a | FU52:TBD-I(IN)@09_upper_bus_a | FU53:TBD-I(IN)@09_upper_bus_a | FU41:TBD-I(IN)@10_upper_bus_b | FU42:TBD-I(IN)@10_upper_bus_b | FU43:TBD-I(IN)@10_upper_bus_b | FU44:TBD-I(IN)@10_upper_bus_b | FU45:TBD-I(IN)@10_upper_bus_b | TBHR30:TBD-U+(UPPER_12V)@14_harness_terminals | JUA1:TBD-P(POWER_12V)@14_harness_terminals | JUB1:TBD-P(POWER_12V)@14_harness_terminals
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2075,HR30_WATCHDOG_COIL_24V,2,QWDH1:TBD-OUT(COIL_OUT)@04_control_watchdog | KWH1:A1(A1)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2076,HR30_WATCHDOG_PERMIT_24V,3,SRH1:13(13)@06_hr30_safety_distribution | SRH1:23(23)@06_hr30_safety_distribution | FSRH1:TBD-O(OUT)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2077,HR30_WATCHDOG_PERMIT_RAW_24V,2,FSRH1:TBD-I(IN)@06_hr30_safety_distribution | KWH1:14(14_NO)@06_hr30_safety_distribution
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2078,HR30_WD_DRIVER_IN_3V3,2,WDH1:TBD-OUT(PERMIT_OUT)@04_control_watchdog | QWDH1:TBD-IN(LOGIC_IN)@04_control_watchdog
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2079,LC_L1_EXC+,2,LCL1:TBD-E+(EXC_POS)@11_sensors_sync | AFE1:TBD-E1+(EXC1+)@13_sensor_afe
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2080,LC_L1_EXC-,2,LCL1:TBD-E-(EXC_NEG)@11_sensors_sync | AFE1:TBD-E1-(EXC1-)@13_sensor_afe
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2081,LC_L1_SIG+,2,LCL1:TBD-S+(SIG_POS)@11_sensors_sync | ADC1:TBD-A0P(AIN0P)@12_sensor_adc_imu
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2082,LC_L1_SIG-,2,LCL1:TBD-S-(SIG_NEG)@11_sensors_sync | ADC1:TBD-A0N(AIN0N)@12_sensor_adc_imu
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2083,LC_L2_EXC+,2,LCL2:TBD-E+(EXC_POS)@11_sensors_sync | AFE1:TBD-E2+(EXC2+)@13_sensor_afe
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2084,LC_L2_EXC-,2,LCL2:TBD-E-(EXC_NEG)@11_sensors_sync | AFE1:TBD-E2-(EXC2-)@13_sensor_afe
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2085,LC_L2_SIG+,2,LCL2:TBD-S+(SIG_POS)@11_sensors_sync | ADC1:TBD-A1P(AIN1P)@12_sensor_adc_imu
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2086,LC_L2_SIG-,2,LCL2:TBD-S-(SIG_NEG)@11_sensors_sync | ADC1:TBD-A1N(AIN1N)@12_sensor_adc_imu
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2087,LC_L3_EXC+,2,LCL3:TBD-E+(EXC_POS)@11_sensors_sync | AFE1:TBD-E3+(EXC3+)@13_sensor_afe
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2088,LC_L3_EXC-,2,LCL3:TBD-E-(EXC_NEG)@11_sensors_sync | AFE1:TBD-E3-(EXC3-)@13_sensor_afe
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2089,LC_L3_SIG+,2,LCL3:TBD-S+(SIG_POS)@11_sensors_sync | ADC1:TBD-A2P(AIN2P)@12_sensor_adc_imu
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2090,LC_L3_SIG-,2,LCL3:TBD-S-(SIG_NEG)@11_sensors_sync | ADC1:TBD-A2N(AIN2N)@12_sensor_adc_imu
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2091,LC_L4_EXC+,2,LCL4:TBD-E+(EXC_POS)@11_sensors_sync | AFE1:TBD-E4+(EXC4+)@13_sensor_afe
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2092,LC_L4_EXC-,2,LCL4:TBD-E-(EXC_NEG)@11_sensors_sync | AFE1:TBD-E4-(EXC4-)@13_sensor_afe
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2093,LC_L4_SIG+,2,LCL4:TBD-S+(SIG_POS)@11_sensors_sync | ADC1:TBD-A3P(AIN3P)@12_sensor_adc_imu
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2094,LC_L4_SIG-,2,LCL4:TBD-S-(SIG_NEG)@11_sensors_sync | ADC1:TBD-A3N(AIN3N)@12_sensor_adc_imu
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2095,LC_R1_EXC+,2,LCR1:TBD-E+(EXC_POS)@11_sensors_sync | AFE1:TBD-E5+(EXC5+)@13_sensor_afe
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2096,LC_R1_EXC-,2,LCR1:TBD-E-(EXC_NEG)@11_sensors_sync | AFE1:TBD-E5-(EXC5-)@13_sensor_afe
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2097,LC_R1_SIG+,2,LCR1:TBD-S+(SIG_POS)@11_sensors_sync | ADC2:TBD-A0P(AIN0P)@12_sensor_adc_imu
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2098,LC_R1_SIG-,2,LCR1:TBD-S-(SIG_NEG)@11_sensors_sync | ADC2:TBD-A0N(AIN0N)@12_sensor_adc_imu
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2099,LC_R2_EXC+,2,LCR2:TBD-E+(EXC_POS)@11_sensors_sync | AFE1:TBD-E6+(EXC6+)@13_sensor_afe
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2100,LC_R2_EXC-,2,LCR2:TBD-E-(EXC_NEG)@11_sensors_sync | AFE1:TBD-E6-(EXC6-)@13_sensor_afe
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2101,LC_R2_SIG+,2,LCR2:TBD-S+(SIG_POS)@11_sensors_sync | ADC2:TBD-A1P(AIN1P)@12_sensor_adc_imu
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,W2102,LC_R2_SIG-,2,LCR2:TBD-S-(SIG_NEG)@11_sensors_sync | ADC2:TBD-A1N(AIN1N)@12_sensor_adc_imu
