package_status,sheet,reference,pin_or_terminal,pin_name,net,wire_number,note
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS3,USB-C,USB_5V,COMPUTE_5V,W2025,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PS3,USB-C-RET,USB_0V,COMPUTE_0V,W2023,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PETB1,TBD-1,INLET_PE,PE,W2111,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PETB1,TBD-2,ENCLOSURE,PE,W2111,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PETB1,TBD-3,DIN_RAIL,PE,W2111,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PETB1,TBD-4,ROBOT_BASE,PE,W2111,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,PETB1,TBD-5,BENCH_BOND,PE,W2111,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,SP1,TBD-PE,PE_SIDE,PE,W2111,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,SP1,TBD-V0,V0_RETURN,V0_0V,W2142,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,SP1,TBD-SAFE,SAFETY_RETURN,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,SP1,TBD-COMP,COMPUTE_RETURN,COMPUTE_0V,W2023,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,01_ac_pe_power,SP1,TBD-HR30,HR30_RETURN,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,S0,TBD-C1A,CH1_A,V0_ESTOP_CH1_FEED,W2151,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,S0,TBD-C1B,CH1_B,V0_ESTOP_CH1_RETURN,W2152,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,S0,TBD-C2A,CH2_A,V0_ESTOP_CH2_FEED,W2153,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,S0,TBD-C2B,CH2_B,V0_ESTOP_CH2_RETURN,W2154,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,A1,A1,SAFETY_24V,W2119,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,A2,A2,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,S11,S11,V0_ESTOP_CH1_FEED,W2151,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,S12,S12,V0_ESTOP_CH1_RETURN,W2152,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,S21,S21,V0_ESTOP_CH2_FEED,W2153,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,S22,S22,V0_ESTOP_CH2_RETURN,W2154,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,S34,S34,V0_RESET_LOOP_RETURN,W2161,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,13,13,V0_WATCHDOG_PERMIT_24V,W2166,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,14,14,V0_K1_COIL_CMD,W2156,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,23,23,V0_WATCHDOG_PERMIT_24V,W2166,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,24,24,V0_K2_COIL_CMD,W2159,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,33,33,NO CONNECT,N/A,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,34,34,NO CONNECT,N/A,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,41,41,NO CONNECT,N/A,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,42,42,NO CONNECT,N/A,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,Y32,Y32,V0_SR1_STATUS_24V,W2163,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,S1,TBD-A,CONTACT_A,V0_ESTOP_CH1_RETURN,W2152,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,S1,TBD-B,CONTACT_B,V0_EDM_STAGE_1,W2149,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,FSR1,TBD-I,IN,V0_WATCHDOG_PERMIT_RAW_24V,W2167,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,FSR1,TBD-O,OUT,V0_WATCHDOG_PERMIT_24V,W2166,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K1,1L1,1L1,V0_12V_FUSED,W2143,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K1,2T1,2T1,V0_K1_LOAD,W2157,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K1,A1,A1,V0_K1_COIL_CMD,W2156,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K1,A2,A2,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K1,21,21,V0_EDM_STAGE_1,W2149,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K1,22,22,V0_EDM_STAGE_2,W2150,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K1,13,13,SAFETY_24V,W2119,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K1,14,14,V0_K1_STATUS_24V,W2158,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K2,1L1,1L1,V0_K1_LOAD,W2157,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K2,2T1,2T1,V0_12V_SAFE,W2145,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K2,A1,A1,V0_K2_COIL_CMD,W2159,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K2,A2,A2,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K2,21,21,V0_EDM_STAGE_2,W2150,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K2,22,22,V0_RESET_LOOP_RETURN,W2161,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K2,13,13,SAFETY_24V,W2119,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K2,14,14,V0_K2_STATUS_24V,W2160,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SK1,TBD-+,COIL_POS,V0_K1_COIL_CMD,W2156,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SK1,TBD--,COIL_NEG,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SK2,TBD-+,COIL_POS,V0_K2_COIL_CMD,W2159,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SK2,TBD--,COIL_NEG,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,KWD1,A1,A1,V0_WATCHDOG_COIL_24V,W2165,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,KWD1,A2,A2,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,KWD1,11,11_COM,SAFETY_24V,W2119,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,KWD1,12,12_NC,NO CONNECT,N/A,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,KWD1,14,14_NO,V0_WATCHDOG_PERMIT_RAW_24V,W2167,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F0,TBD-I,IN,V0_12V_RAW,W2144,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F0,TBD-O,OUT,V0_12V_FUSED,W2143,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F1,TBD-I,IN,V0_12V_SAFE,W2145,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F1,TBD-O,OUT,V0_BRANCH_SHOULDER,W2148,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F2,TBD-I,IN,V0_12V_SAFE,W2145,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F2,TBD-O,OUT,V0_BRANCH_ELBOW,W2146,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F3,TBD-I,IN,V0_12V_SAFE,W2145,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F3,TBD-O,OUT,V0_BRANCH_GRIPPER,W2147,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M1,1,GND,V0_0V,W2142,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M1,2,VDD,V0_BRANCH_SHOULDER,W2148,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M1,3,DATA,V0_TTL_DATA,W2164,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M2,1,GND,V0_0V,W2142,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M2,2,VDD,V0_BRANCH_ELBOW,W2146,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M2,3,DATA,V0_TTL_DATA,W2164,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M3,1,GND,V0_0V,W2142,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M3,2,VDD,V0_BRANCH_GRIPPER,W2147,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M3,3,DATA,V0_TTL_DATA,W2164,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,UV1,1,TTL_GND,V0_0V,W2142,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,UV1,2,TTL_VDD,NO CONNECT,N/A,OMITTED FROM RELEASED CUSTOM DATA CABLE - internal current path is unpublished
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,UV1,3,TTL_DATA,V0_TTL_DATA,W2164,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,UV1,USB,USB,USB_V0_U2D2,W2141,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,PI1,USB-C-5V,5V,COMPUTE_5V,W2025,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,PI1,USB-C-0V,0V,COMPUTE_0V,W2023,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,PI1,USB-TBD-1,USB_V0,USB_V0_U2D2,W2141,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,PI1,USB-TBD-2,USB_UPPER_A,USB_UPPER_A,W2139,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,PI1,USB-TBD-3,USB_UPPER_B,USB_UPPER_B,W2140,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,PI1,GPIO-TBD,ARM_REQUEST,SOFTWARE_ARM_REQUEST,W2136,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-PWR,POWER,COMPUTE_5V,W2025,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-RET,RETURN,COMPUTE_0V,W2023,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-ARM,ARM_IN,SOFTWARE_ARM_REQUEST,W2136,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-RST,RESET_STATUS,V0_SAFE_READY_LOGIC,W2162,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-WD1,HEARTBEAT_V0,V0_HEARTBEAT_3V3,W2155,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-WD2,HEARTBEAT_HR30,HR30_HEARTBEAT_3V3,W2035,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-HRST,HR30_RESET_STATUS,HR30_SAFE_READY_LOGIC,W2067,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-BAT,BATTERY_TELEMETRY,BAT_TELEMETRY_LOGIC,W2019,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-RSL+,RS485_LEFT_D+,RS485_LEFT_D+,W2112,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-RSL-,RS485_LEFT_D-,RS485_LEFT_D-,W2113,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-RSR+,RS485_RIGHT_D+,RS485_RIGHT_D+,W2115,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-RSR-,RS485_RIGHT_D-,RS485_RIGHT_D-,W2116,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-SCLK,SPI_SCLK,SENSOR_SPI_SCLK,W2134,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-MOSI,SPI_MOSI,SENSOR_SPI_MOSI,W2133,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-MISO,SPI_MISO,SENSOR_SPI_MISO,W2132,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-LCS,LEFT_ADC_CS,SENSOR_LEFT_ADC_CS,W2130,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-RCS,RIGHT_ADC_CS,SENSOR_RIGHT_ADC_CS,W2131,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-I1A,IMU1_CS_ACC,SENSOR_IMU1_CS_ACC,W2124,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-I1G,IMU1_CS_GYRO,SENSOR_IMU1_CS_GYRO,W2125,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-I1I,IMU1_INT,SENSOR_IMU1_INT,W2126,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-I2A,IMU2_CS_ACC,SENSOR_IMU2_CS_ACC,W2127,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-I2G,IMU2_CS_GYRO,SENSOR_IMU2_CS_GYRO,W2128,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,TBD-I2I,IMU2_INT,SENSOR_IMU2_INT,W2129,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,WD1,TBD-PWR,POWER,COMPUTE_5V,W2025,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,WD1,TBD-RET,RETURN,COMPUTE_0V,W2023,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,WD1,TBD-IN,HEARTBEAT,V0_HEARTBEAT_3V3,W2155,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,WD1,TBD-OUT,PERMIT_OUT,V0_WD_DRIVER_IN_3V3,W2168,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWD1,TBD-IN,LOGIC_IN,V0_WD_DRIVER_IN_3V3,W2168,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWD1,TBD-L0,LOGIC_RETURN,COMPUTE_0V,W2023,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWD1,TBD-24,FIELD_24V,SAFETY_24V,W2119,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWD1,TBD-F0,FIELD_RETURN,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWD1,TBD-OUT,COIL_OUT,V0_WATCHDOG_COIL_24V,W2165,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,WDH1,TBD-PWR,POWER,COMPUTE_5V,W2025,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,WDH1,TBD-RET,RETURN,COMPUTE_0V,W2023,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,WDH1,TBD-IN,HEARTBEAT,HR30_HEARTBEAT_3V3,W2035,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,WDH1,TBD-OUT,PERMIT_OUT,HR30_WD_DRIVER_IN_3V3,W2078,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWDH1,TBD-IN,LOGIC_IN,HR30_WD_DRIVER_IN_3V3,W2078,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWDH1,TBD-L0,LOGIC_RETURN,COMPUTE_0V,W2023,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWDH1,TBD-24,FIELD_24V,SAFETY_24V,W2119,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWDH1,TBD-F0,FIELD_RETURN,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWDH1,TBD-OUT,COIL_OUT,HR30_WATCHDOG_COIL_24V,W2075,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,ISO1,TBD-I1,V0_K1_STATUS,V0_K1_STATUS_24V,W2158,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,ISO1,TBD-I2,V0_K2_STATUS,V0_K2_STATUS_24V,W2160,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,ISO1,TBD-I3,V0_SR_STATUS,V0_SR1_STATUS_24V,W2163,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,ISO1,TBD-I4,HR30_K1_STATUS,HR30_K1_STATUS_24V,W2038,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,ISO1,TBD-I5,HR30_K2_STATUS,HR30_K2_STATUS_24V,W2040,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,ISO1,TBD-I6,HR30_SR_STATUS,HR30_SR_STATUS_24V,W2070,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,ISO1,TBD-F0,FIELD_RETURN,SAFETY_0V,W2118,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,ISO1,TBD-L0,LOGIC_RETURN,COMPUTE_0V,W2023,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,ISO1,TBD-O1,V0_SAFE_READY,V0_SAFE_READY_LOGIC,W2162,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,ISO1,TBD-O2,HR30_SAFE_READY,HR30_SAFE_READY_LOGIC,W2067,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BAT1,TBD-P+,PACK_POS,BAT_PACK_POS,W2015,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BAT1,TBD-P-,PACK_NEG,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BAT1,TBD-TLM,TELEMETRY,BAT_TELEMETRY,W2018,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BAT1,TBD-C+,CHARGE_POS,BAT_CHARGE_POS,W2009,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BAT1,TBD-C-,CHARGE_NEG,BAT_CHARGE_NEG,W2008,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,FBAT1,TBD-I,IN,BAT_PACK_POS,W2015,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,FBAT1,TBD-O,OUT,BAT_FUSED_POS,W2011,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,SD1,TBD-I,IN,BAT_FUSED_POS,W2011,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,SD1,TBD-O,OUT,BAT_DISCONNECTED_POS,W2010,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KB1,TBD-L,LINE,BAT_DISCONNECTED_POS,W2010,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KB1,TBD-T,LOAD,HR30_BAT_PROTECTED,W2028,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KB1,TBD-A1,COIL_POS,BAT_MAIN_COIL,W2012,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KB1,TBD-A2,COIL_NEG,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KB1,TBD-M1,MIRROR_A,BAT_MAIN_MIRROR_A,W2013,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KB1,TBD-M2,MIRROR_B,BAT_MAIN_MIRROR_B,W2014,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KP1,TBD-L,LINE,BAT_DISCONNECTED_POS,W2010,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KP1,TBD-T,LOAD,BAT_PRECHARGE_R_IN,W2017,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KP1,TBD-A1,COIL_POS,BAT_PRECHARGE_COIL,W2016,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KP1,TBD-A2,COIL_NEG,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,RP1,TBD-1,IN,BAT_PRECHARGE_R_IN,W2017,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,RP1,TBD-2,OUT,HR30_BAT_PROTECTED,W2028,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,RD1,TBD-1,BUS,HR30_BAT_PROTECTED,W2028,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,RD1,TBD-2,RETURN,HR30_0V,W2026,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,JCHG1,TBD-C+,CHARGE_POS,CHARGER_POS_RAW,W2021,
