source_relative_path,sha256,bytes
"output/svg/project-button-v2.svg","33407f1b0ea97a62fd2dfe6a452ea6ee8e380459ee08527a1061eb04b238a9f8",572560
"output/svg/project-button-v2-01 01 ac pe power.svg","9bc260b22bb199eecb5c702f7ccd491162303f35671429f1fb00c7ca2b70b175",1075968
"output/svg/project-button-v2-02 02 hrv0 safety.svg","46e4873d5b7f51958a526c0b596fabc9895cc2d2ab1c0b1a23ba565c8dcfacc7",1284783
"output/svg/project-button-v2-03 03 hrv0 distribution.svg","8d1cbe9caeff69ba3060291259546013505dfd7de39ef5cd5a14aeb2c3e8755e",834765
"output/svg/project-button-v2-04 04 control watchdog.svg","6a4e54188ace83c1585aec2ac909be738c7a0c364b0b2a1fff361b7dc605ae0a",1553027
"output/svg/project-button-v2-05 05 hr30 battery precharge.svg","3db93ddc2c327f71a04c653c82d95c3bb673d3282159fc52686df32a1226c1c7",1370493
"output/svg/project-button-v2-06 06 hr30 safety distribution.svg","4dcdbac0a894d1e7b7b4db2d3b7d56ac81bbe81249dd781683ca3232c293310f",1858579
"output/svg/project-button-v2-07 07 left leg rs485.svg","2a97418a33d75082445f36666d58c5b28a5f766dd1949d1986f2643223a20c08",1428673
"output/svg/project-button-v2-08 08 right leg rs485.svg","650726215a2d2bd19956fc9885040802e07677afba32983151b21aa04cc7aa42",1517049
"output/svg/project-button-v2-09 09 upper bus a.svg","6a6b42e1836002dba1dba6a34f8902c22abd93ac17315d5b57283a35b04d3506",1371358
"output/svg/project-button-v2-10 10 upper bus b.svg","d9b414b5d6e8a932168fb8f2c5feabaecb36d87ec9bc324597c945c7e5ed6a05",1017693
"output/svg/project-button-v2-11 11 sensors sync.svg","f53ffd7d564a804a919b5bbb5ef2f862ad7a707d152ef15d2bcb8796df7221d7",1051956
"output/svg/project-button-v2-12 12 sensor adc imu.svg","744911a42ced5dd34bbc5dd3cf65455f7a549791a30ea6d6502c6156785bb4c7",1240424
"output/svg/project-button-v2-13 13 sensor afe.svg","f6967e493da2ea45e29a6f326b9c78b0e5039e9ddeb1a97a0c47589c0b094870",621038
"output/svg/project-button-v2-14 14 harness terminals.svg","b8c42fce8137dd8976d12d054d4dc732714210c78efa05ec87b49adea0e4a59b",1527252
"primary-source-register.csv","935ffd1f75af4480f6652cf4b77b875c34daf29b8402c36f3a972bb7db60c345",5016
"project-button-v2.kicad_pro","db562d8659fcf56307151e9f09626f78d91d4f44325a4023ffc4df5825825b0d",404
"project-button-v2.kicad_sch","bb27f197a02ceb97a18f23ed9026f6a3fe1eaa8abb063d541e0184f392def190",10222
"project-button-v2.kicad_sym","ae97150ff4a6c87cf278d18e9e8aaf4b6321fe5bbe716a964e327b93400e13cb",344435
"README.md","25d6a1853e0c867f4963da1e9b51a63cb9e9c660557fa5d588ae69c8cb4ca36b",1370
"requirements-trace.csv","945d91e9dd9e322b5fb677bb631e8980201890915e8122c8f4d55a84d2bf7e5a",2288
"sym-lib-table","c4255d2c58fdc90b9f9af35e41ae18f422770f6b48ad529b8be55aed6e901be5",190
"unresolved-selections.csv","4e94a15d5fd67b12394007c75e0e90083f03060287048213072bdd78e4c5fab2",30867
"validation/consistency-check.json","1b9515ab428c0bdaae772469afa6b32b23da84ff8a93a6fc33b55949016d05ac",548
"validation/pdf-inspection.json","83121fef26d62eaa9f97b08ad9d66155eda40d86353985fcc58816cec2e9d368",4680
"validation/project-button-v2.net","29fd719f7efc93bfe666b51f622fbf43a327f01cb8c1e2c4e2c6ac2682fa5313",552162
"validation/project-button-v2-erc.json","6c194f76b74317ef99ea058ae6437766ec677b0677d2f5d8bef3abd24a662e4b",3913
"validation/project-button-v2-erc.rpt","a88ffacad4c7269b797913e23c9ff8b8838a2619544d508e62a9340e0de26cb3",910
"validation/project-button-v2-erc-preliminary.json","a06e1200a872cdfe96f40847e0e23dadbcf4f688b2fbc4a63a50d0c1fa109bdf",3610
"validation/project-button-v2-erc-preliminary.rpt","28a607707557d79cc10b1e5bf097280ca0d67673f6a9b078dd9259a4a63f2876",1010
"wire-number-table.csv","9a015e33eeba313a1ea315fddb3bb78793a4f4d557488c572b853a3bc0c17625",34024
