package_status,sheet,reference,device,selection_status,terminal,function,net,evidence
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M3,"ROBOTIS XM430-W350-T gripper, provisional ID 3",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,V0_BRANCH_GRIPPER,ROBOTIS e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M3,"ROBOTIS XM430-W350-T gripper, provisional ID 3",PROPOSED - PRIMARY SOURCE RECORDED,3,DATA,V0_TTL_DATA,ROBOTIS e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,UV1,ROBOTIS U2D2 - V0 TTL interface,PROPOSED - PRIMARY SOURCE RECORDED,1,TTL_GND,V0_0V,ROBOTIS U2D2 current documentation accessed 2026-08-05.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,UV1,ROBOTIS U2D2 - V0 TTL interface,PROPOSED - PRIMARY SOURCE RECORDED,2,TTL_VDD,NO CONNECT,ROBOTIS U2D2 current documentation accessed 2026-08-05.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,UV1,ROBOTIS U2D2 - V0 TTL interface,PROPOSED - PRIMARY SOURCE RECORDED,3,TTL_DATA,V0_TTL_DATA,ROBOTIS U2D2 current documentation accessed 2026-08-05.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,UV1,ROBOTIS U2D2 - V0 TTL interface,PROPOSED - PRIMARY SOURCE RECORDED,USB,USB,USB_V0_U2D2,ROBOTIS U2D2 current documentation accessed 2026-08-05.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,JCHG1,Charge inlet,SELECTION REQUIRED,TBD-C+,CHARGE_POS,CHARGER_POS_RAW,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,JCHG1,Charge inlet,SELECTION REQUIRED,TBD-C-,CHARGE_NEG,CHARGER_NEG_RAW,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,JCHG1,Charge inlet,SELECTION REQUIRED,TBD-P,PRESENT,CHARGE_PRESENT,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,JT1,HR-30 tethered ELV source inlet,SELECTION REQUIRED,TBD-P+,SOURCE_POS,HR30_TETHER_POS,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,JT1,HR-30 tethered ELV source inlet,SELECTION REQUIRED,TBD-P-,SOURCE_NEG,HR30_0V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,JT1,HR-30 tethered ELV source inlet,SELECTION REQUIRED,TBD-PE,PE_OR_SHIELD,PE,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,left leg isolated RS-485 transceiver,SELECTION REQUIRED,TBD-D+,LOGIC_D+,RS485_LEFT_D+,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,left leg isolated RS-485 transceiver,SELECTION REQUIRED,TBD-D-,LOGIC_D-,RS485_LEFT_D-,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,left leg isolated RS-485 transceiver,SELECTION REQUIRED,TBD-REF,BUS_REFERENCE,HR30_0V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,left leg isolated RS-485 transceiver,SELECTION REQUIRED,TBD-SH,SHIELD,RS485_LEFT_SHIELD,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,left leg isolated RS-485 transceiver,SELECTION REQUIRED,TBD-PWR,LOGIC_POWER,COMPUTE_5V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,left leg isolated RS-485 transceiver,SELECTION REQUIRED,TBD-0V,LOGIC_RETURN,COMPUTE_0V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML1,"ROBOTIS XH540-W270-R left hip yaw, provisional ID 11",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_0V,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML1,"ROBOTIS XH540-W270-R left hip yaw, provisional ID 11",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_LEFT_M1_VDD,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML1,"ROBOTIS XH540-W270-R left hip yaw, provisional ID 11",PROPOSED - PRIMARY SOURCE RECORDED,3,D+,RS485_LEFT_D+,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML1,"ROBOTIS XH540-W270-R left hip yaw, provisional ID 11",PROPOSED - PRIMARY SOURCE RECORDED,4,D-,RS485_LEFT_D-,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML2,"ROBOTIS XH540-W270-R left hip roll, provisional ID 12",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_0V,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML2,"ROBOTIS XH540-W270-R left hip roll, provisional ID 12",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_LEFT_M2_VDD,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML2,"ROBOTIS XH540-W270-R left hip roll, provisional ID 12",PROPOSED - PRIMARY SOURCE RECORDED,3,D+,RS485_LEFT_D+,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML2,"ROBOTIS XH540-W270-R left hip roll, provisional ID 12",PROPOSED - PRIMARY SOURCE RECORDED,4,D-,RS485_LEFT_D-,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML3,"ROBOTIS XH540-W270-R left hip pitch, provisional ID 13",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_0V,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML3,"ROBOTIS XH540-W270-R left hip pitch, provisional ID 13",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_LEFT_M3_VDD,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML3,"ROBOTIS XH540-W270-R left hip pitch, provisional ID 13",PROPOSED - PRIMARY SOURCE RECORDED,3,D+,RS485_LEFT_D+,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML3,"ROBOTIS XH540-W270-R left hip pitch, provisional ID 13",PROPOSED - PRIMARY SOURCE RECORDED,4,D-,RS485_LEFT_D-,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML4,"ROBOTIS XH540-W270-R left knee pitch, provisional ID 14",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_0V,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML4,"ROBOTIS XH540-W270-R left knee pitch, provisional ID 14",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_LEFT_M4_VDD,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML4,"ROBOTIS XH540-W270-R left knee pitch, provisional ID 14",PROPOSED - PRIMARY SOURCE RECORDED,3,D+,RS485_LEFT_D+,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML4,"ROBOTIS XH540-W270-R left knee pitch, provisional ID 14",PROPOSED - PRIMARY SOURCE RECORDED,4,D-,RS485_LEFT_D-,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML5,"ROBOTIS XH540-W270-R left ankle pitch, provisional ID 15",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_0V,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML5,"ROBOTIS XH540-W270-R left ankle pitch, provisional ID 15",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_LEFT_M5_VDD,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML5,"ROBOTIS XH540-W270-R left ankle pitch, provisional ID 15",PROPOSED - PRIMARY SOURCE RECORDED,3,D+,RS485_LEFT_D+,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML5,"ROBOTIS XH540-W270-R left ankle pitch, provisional ID 15",PROPOSED - PRIMARY SOURCE RECORDED,4,D-,RS485_LEFT_D-,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML6,"ROBOTIS XH540-W270-R left ankle roll, provisional ID 16",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_0V,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML6,"ROBOTIS XH540-W270-R left ankle roll, provisional ID 16",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_LEFT_M6_VDD,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML6,"ROBOTIS XH540-W270-R left ankle roll, provisional ID 16",PROPOSED - PRIMARY SOURCE RECORDED,3,D+,RS485_LEFT_D+,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML6,"ROBOTIS XH540-W270-R left ankle roll, provisional ID 16",PROPOSED - PRIMARY SOURCE RECORDED,4,D-,RS485_LEFT_D-,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,right leg isolated RS-485 transceiver,SELECTION REQUIRED,TBD-D+,LOGIC_D+,RS485_RIGHT_D+,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,right leg isolated RS-485 transceiver,SELECTION REQUIRED,TBD-D-,LOGIC_D-,RS485_RIGHT_D-,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,right leg isolated RS-485 transceiver,SELECTION REQUIRED,TBD-REF,BUS_REFERENCE,HR30_0V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,right leg isolated RS-485 transceiver,SELECTION REQUIRED,TBD-SH,SHIELD,RS485_RIGHT_SHIELD,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,right leg isolated RS-485 transceiver,SELECTION REQUIRED,TBD-PWR,LOGIC_POWER,COMPUTE_5V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,right leg isolated RS-485 transceiver,SELECTION REQUIRED,TBD-0V,LOGIC_RETURN,COMPUTE_0V,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR1,"ROBOTIS XH540-W270-R right hip yaw, provisional ID 21",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_0V,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR1,"ROBOTIS XH540-W270-R right hip yaw, provisional ID 21",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_RIGHT_M1_VDD,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR1,"ROBOTIS XH540-W270-R right hip yaw, provisional ID 21",PROPOSED - PRIMARY SOURCE RECORDED,3,D+,RS485_RIGHT_D+,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR1,"ROBOTIS XH540-W270-R right hip yaw, provisional ID 21",PROPOSED - PRIMARY SOURCE RECORDED,4,D-,RS485_RIGHT_D-,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR2,"ROBOTIS XH540-W270-R right hip roll, provisional ID 22",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_0V,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR2,"ROBOTIS XH540-W270-R right hip roll, provisional ID 22",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_RIGHT_M2_VDD,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR2,"ROBOTIS XH540-W270-R right hip roll, provisional ID 22",PROPOSED - PRIMARY SOURCE RECORDED,3,D+,RS485_RIGHT_D+,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR2,"ROBOTIS XH540-W270-R right hip roll, provisional ID 22",PROPOSED - PRIMARY SOURCE RECORDED,4,D-,RS485_RIGHT_D-,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR3,"ROBOTIS XH540-W270-R right hip pitch, provisional ID 23",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_0V,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR3,"ROBOTIS XH540-W270-R right hip pitch, provisional ID 23",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_RIGHT_M3_VDD,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR3,"ROBOTIS XH540-W270-R right hip pitch, provisional ID 23",PROPOSED - PRIMARY SOURCE RECORDED,3,D+,RS485_RIGHT_D+,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR3,"ROBOTIS XH540-W270-R right hip pitch, provisional ID 23",PROPOSED - PRIMARY SOURCE RECORDED,4,D-,RS485_RIGHT_D-,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR4,"ROBOTIS XH540-W270-R right knee pitch, provisional ID 24",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_0V,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR4,"ROBOTIS XH540-W270-R right knee pitch, provisional ID 24",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_RIGHT_M4_VDD,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR4,"ROBOTIS XH540-W270-R right knee pitch, provisional ID 24",PROPOSED - PRIMARY SOURCE RECORDED,3,D+,RS485_RIGHT_D+,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR4,"ROBOTIS XH540-W270-R right knee pitch, provisional ID 24",PROPOSED - PRIMARY SOURCE RECORDED,4,D-,RS485_RIGHT_D-,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR5,"ROBOTIS XH540-W270-R right ankle pitch, provisional ID 25",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_0V,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR5,"ROBOTIS XH540-W270-R right ankle pitch, provisional ID 25",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_RIGHT_M5_VDD,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR5,"ROBOTIS XH540-W270-R right ankle pitch, provisional ID 25",PROPOSED - PRIMARY SOURCE RECORDED,3,D+,RS485_RIGHT_D+,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR5,"ROBOTIS XH540-W270-R right ankle pitch, provisional ID 25",PROPOSED - PRIMARY SOURCE RECORDED,4,D-,RS485_RIGHT_D-,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR6,"ROBOTIS XH540-W270-R right ankle roll, provisional ID 26",PROPOSED - PRIMARY SOURCE RECORDED,1,GND,HR30_0V,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR6,"ROBOTIS XH540-W270-R right ankle roll, provisional ID 26",PROPOSED - PRIMARY SOURCE RECORDED,2,VDD,HR30_RIGHT_M6_VDD,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR6,"ROBOTIS XH540-W270-R right ankle roll, provisional ID 26",PROPOSED - PRIMARY SOURCE RECORDED,3,D+,RS485_RIGHT_D+,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,MR6,"ROBOTIS XH540-W270-R right ankle roll, provisional ID 26",PROPOSED - PRIMARY SOURCE RECORDED,4,D-,RS485_RIGHT_D-,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,UA1,ROBOTIS U2D2 - upper bus A,PROPOSED - PRIMARY SOURCE RECORDED,1,TTL_GND,HR30_UPPER_0V,ROBOTIS U2D2 current documentation accessed 2026-08-05.
