package_status,sheet,reference,item,unresolved_reason,evidence_required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F1,Shoulder branch fuse,"No fuse value is released. Requires measured current, inrush, cable, connector, ambient, and duty-cycle data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F2,Elbow branch fuse,"No fuse value is released. Requires measured current, inrush, cable, connector, ambient, and duty-cycle data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F3,Gripper branch fuse,"No fuse value is released. Requires measured current, inrush, cable, connector, ambient, and duty-cycle data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,PI1,Raspberry Pi 5 8GB high-level compute,"Exact port allocation, GPIO interface board, grounding, and cable retention are unresolved.",Official Raspberry Pi product page; board-level integration and connector assignments remain open
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,STM32H743-class deterministic motion controller,"Exact controller board, transceivers, pin map, isolation, and power integrity are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,WD1,Independent HR-V0 watchdog controller,"Exact RP2040-class board, brownout response, firmware integrity, and startup state are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWD1,HR-V0 3.3 V-to-24 V watchdog coil driver,"Transistor or optocoupler circuit, logic polarity, flyback coordination, creepage, and failure response are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,WDH1,Independent HR-30 watchdog controller,"Separate variant hardware. Exact controller, startup state, brownout, and fault latch are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWDH1,HR-30 3.3 V-to-24 V watchdog coil driver,Separate variant driver. Exact circuit and fault response are unresolved.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,ISO1,Isolated safety-status input module,"Input thresholds, isolation ratings, diagnostics, and exact terminals are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BAT1,Professionally assembled 4-series protected battery pack,"Qualified supplier, cells, configuration, protected ports, pack limits, current, capacity, enclosure, and telemetry are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,FBAT1,Pack-level fuse at battery,Rating and interrupt capability require pack fault-current data and conductor protection calculation.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,SD1,Accessible DC service disconnect,"Exact DC rating, poles, breaking capacity, touch protection, and lockout method are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KB1,Battery main source contactor,"Coil voltage, DC make/break duty, inrush, mirror contact, suppression, and fault coordination are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KP1,Precharge relay,"Contact voltage/current, coil drive, welded-contact detection, and timing are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,RP1,Precharge resistor,"Resistance, pulse energy, power, tolerance, mounting, temperature, and discharge interval require measured load capacitance.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,RD1,DC-link discharge path,"Discharge resistance, power, touch-safe voltage time, and thermal mounting are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,JCHG1,Charge inlet,"Connector, keying, touch protection, current, voltage, and presence-contact implementation are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,CHG1,Battery charger / protected charge interface,"Charger compatibility, BMS charge-port topology, communications, isolation, and interlock circuit are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,TLM1,Independent battery telemetry interface,"Isolation, voltage measurement, current sensing, accuracy, fault behavior, and exact interface are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BCU1,Independent battery sequencing and interlock controller,"Controller, independent power, voltage threshold circuit, coil drivers, diagnostics, sequencing logic, and safety-inhibit interface are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,JT1,HR-30 tethered ELV source inlet,"14.0-14.8 V current-limited 80 A-class source, connector, cable, PE/shield policy, and ratings are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,FTHR1,Tether source protection,Rating and protection coordination require source fault-current and cable data.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRCSEL1,Mutually exclusive tether/battery source selector,Break-before-make or variant-keyed implementation is unresolved. Sources must never be electrically paralleled.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,FHR0,HR-30 main actuator fuse,"Rating, holder, interrupt capacity, cable protection, and source coordination are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SH0,HR-30 dual-NC positively-opening E-stop,"IDEC XW dual-NC is a family candidate only. Freeze the exact complete order code, operator/reset/contact/cover/environment details, attach the exact bottom-view drawing, and continuity-test the received unit before replacing TBD terminals.",IDEC XW candidate page and family catalogs reviewed 2026-08-05; exact order code and device drawing remain SELECTION REQUIRED
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SH1,HR-30 momentary NO reset pushbutton,"Exact normally-open contact, terminal identifiers, location, and environmental rating are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,FSRH1,HR-30 PNOZ output-contact protection,"Pilz manual p.11 requires output-contact protection. Published maxima are not selections; coordinate the exact protection with coil inrush, conductor, PS2 behavior, and fault current.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH1,HR-30 actuator-power contactor 1,"DC-rated 50 A-class architecture input only. Exact device, mirror-contact validity, coil, DC duty, inrush, and protection coordination are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH2,HR-30 actuator-power contactor 2,Second independent series contactor. Exact device and all coordination evidence are unresolved.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SKH1,KH1 DC-coil suppression network,"Select per Pilz and chosen contactor instructions. Exact device, polarity, energy rating, fault behavior, and effect on dropout/stopping time require review and test.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SKH2,KH2 DC-coil suppression network,"Select per Pilz and chosen contactor instructions. Exact device, polarity, energy rating, fault behavior, and effect on dropout/stopping time require review and test.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,DC1,HR-30 upper-body regulated 12 V converter,"Required because the HR-30 source is not assumed to be a verified 12 V rail. Power, efficiency, isolation, transient, and thermal ratings are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,left leg isolated RS-485 transceiver,"Exact transceiver, isolation, fail-safe bias, common-mode range, ESD protection, connector, and controller pins are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,RTL1,left leg near-end RS-485 termination,Fit only at the verified controller-side physical end. Resistance and placement require cable-impedance and transceiver review.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,RTL2,left leg far-end RS-485 termination,Fit only at the verified far physical end. No intermediate termination is permitted.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL1,left hip yaw actuator branch fuse,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL2,left hip roll actuator branch fuse,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL3,left hip pitch actuator branch fuse,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL4,left knee pitch actuator branch fuse,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL5,left ankle pitch actuator branch fuse,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL6,left ankle roll actuator branch fuse,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,right leg isolated RS-485 transceiver,"Exact transceiver, isolation, fail-safe bias, common-mode range, ESD protection, connector, and controller pins are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,RTR1,right leg near-end RS-485 termination,Fit only at the verified controller-side physical end. Resistance and placement require cable-impedance and transceiver review.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,RTR2,right leg far-end RS-485 termination,Fit only at the verified far physical end. No intermediate termination is permitted.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR1,right hip yaw actuator branch fuse,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR2,right hip roll actuator branch fuse,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR3,right hip pitch actuator branch fuse,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR4,right knee pitch actuator branch fuse,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR5,right ankle pitch actuator branch fuse,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR6,right ankle roll actuator branch fuse,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU31,left shoulder pitch branch fuse,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU32,left shoulder roll branch fuse,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU33,left elbow branch fuse,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU34,left wrist branch fuse,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU35,left gripper branch fuse,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU51,waist yaw branch fuse,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU52,head pan branch fuse,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,FU53,head tilt branch fuse,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,FU41,right shoulder pitch branch fuse,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,FU42,right shoulder roll branch fuse,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,FU43,right elbow branch fuse,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,FU44,right wrist branch fuse,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,FU45,right gripper branch fuse,"Individual fuse and holder rating require the released current profile, connector, cable, ambient, bundling, and converter fault data.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCL1,left foot 1 compression load cell 0-200 N,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCL2,left foot 2 compression load cell 0-200 N,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCL3,left foot 3 compression load cell 0-200 N,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCL4,left foot 4 compression load cell 0-200 N,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCR1,right foot 1 compression load cell 0-200 N,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCR2,right foot 2 compression load cell 0-200 N,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCR3,right foot 3 compression load cell 0-200 N,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,11_sensors_sync,LCR4,right foot 4 compression load cell 0-200 N,"Exact load cell, bridge wiring, overload rating, cable, connector, calibration, and cross-axis behavior are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,12_sensor_adc_imu,ADC1,TI ADS131M04 left foot ADC - proposed device,"Exact package, pin map, clock, reference, analog power, protection, anti-alias network, and PCB layout are unresolved.","TI ADS131M04 datasheet Rev D, May 2021; functional net names only until package selection"
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,12_sensor_adc_imu,ADC2,TI ADS131M04 right foot ADC - proposed device,"Exact package, pin map, clock, reference, analog power, protection, anti-alias network, and PCB layout are unresolved.","TI ADS131M04 datasheet Rev D, May 2021; functional net names only until package selection"
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,12_sensor_adc_imu,IMU1,Bosch BMI088 pelvis IMU - proposed device,"Exact package pins, decoupling, separate accel/gyro interfaces, PCB layout, clocking, and mechanical alignment are unresolved.","Bosch BMI088 datasheet Rev 1.9, January 2024; functional interface only"
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,12_sensor_adc_imu,IMU2,Bosch BMI088 torso IMU - proposed device,"Exact package pins, decoupling, PCB layout, clocking, and mechanical alignment are unresolved.","Bosch BMI088 datasheet Rev 1.9, January 2024; functional interface only"
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,13_sensor_afe,AFE1,"Load-cell excitation, reference, protection, and anti-alias front ends","Excitation voltage, reference, amplifiers if required, filters, protection, calibration injection, and complete PCB circuit are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,TBAC1,Guarded mains terminal block,"No exposed mains terminal may be accessible without a tool. Terminal family, jumpers, covers, and ratings are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,TB24,24 V safety-control terminal block,This block is downstream of PS2 only; it has no electrical connection to TBAC1 beyond the power-supply isolation boundary.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,TBV0,HR-V0 actuator terminal block,Terminal selection and conductor allocation are unresolved. No terminal on TBV0 feeds HR-30.,Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,TBHR30,HR-30 actuator terminal block,"Terminal selection, branch allocation, current sharing, barriers, and conductor sizing are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHL1,Left-leg harness bulkhead,"Connector family, pin numbers, current per contact, keying, shielding, strain relief, and ingress rating are unresolved. Prohibit unreviewed full-conductor DYNAMIXEL links; release a VDD-isolating data harness and require continuity/no-backfeed tests.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JHR1,Right-leg harness bulkhead,"Connector family, pin numbers, current per contact, keying, shielding, strain relief, and ingress rating are unresolved. Prohibit unreviewed full-conductor DYNAMIXEL links; release a VDD-isolating data harness and require continuity/no-backfeed tests.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JUA1,Upper-body bus A harness,"Connector family, pin map, current capacity, contact count, keying, and strain relief are unresolved. Prohibit standard full-conductor TTL daisy cables; release a data-only harness and require continuity/no-backfeed tests.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JUB1,Upper-body bus B harness,"Connector family, pin map, current capacity, contact count, keying, and strain relief are unresolved. Prohibit standard full-conductor TTL daisy cables; release a data-only harness and require continuity/no-backfeed tests.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSL1,Left-foot sensor harness,"Cable topology, connector, differential/analog routing, shielding, and pin map are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,JSR1,Right-foot sensor harness,"Cable topology, connector, differential/analog routing, shielding, and pin map are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,SHLD1,RS-485 shield-drain termination assembly,"Single-ended, capacitive, or direct chassis termination policy requires EMC testing; do not create an unintended DC 0 V/PE bond.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,14_harness_terminals,TP1,Commissioning test-point and lockout panel,"Finger-safe test points, covers, labels, voltage categories, and lockout procedures are unresolved.",Manufacturer datasheet and engineering inputs required
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,UV1:2,U2D2 pin-2 VDD cable treatment,ROBOTIS does not document pin 2 as sense-only or publish the internal current path.,Written ROBOTIS evidence or a released custom data cable omitting pin 2; continuity and no-backfeed test record
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,09_upper_bus_a,UA1:2,U2D2 pin-2 VDD cable treatment,ROBOTIS does not document pin 2 as sense-only or publish the internal current path.,Written ROBOTIS evidence or a released custom data cable omitting pin 2; continuity and no-backfeed test record
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,10_upper_bus_b,UB1:2,U2D2 pin-2 VDD cable treatment,ROBOTIS does not document pin 2 as sense-only or publish the internal current path.,Written ROBOTIS evidence or a released custom data cable omitting pin 2; continuity and no-backfeed test record
