package_status,sheet,reference,value,selection_status,datasheet,evidence,description
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,S0,Dual-NC positively-opening E-stop,SELECTION REQUIRED,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/emergency-stop-switches/xw-22mm-estop/xw1e-bv402m-r,IDEC XW candidate page and family catalogs reviewed 2026-08-05; exact order code and device drawing remain SELECTION REQUIRED,"IDEC XW dual-NC is a family candidate only. Freeze the exact complete order code, operator/reset/contact/cover/environment details, attach the exact bottom-view drawing, and continuity-test the received unit before replacing TBD terminals."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SR1,"Pilz PNOZ s4 24 VDC, 750104 - PROPOSED CHANGE",PROPOSED - PRIMARY SOURCE RECORDED,https://www.pilz.com/en-INT/eshop/product/750104,"Pilz PNOZ s4 operating manual 21396-EN-23: pp. 8-16 topology/mode, p.19 status, and p.26 timing; product file 2026-06-22, PDF colophon 2026-02; verified 2026-08-05.",Select and seal 'with detection of shorts across contacts / monitored start falling edge' with supply off. 750104 falling-edge wait 250 ms and minimum start pulse 100 ms. Qualified review and physical validation remain required.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,S1,Momentary NO reset pushbutton,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,Exact normally-open contact and terminal identifiers are unresolved. Locate outside swept envelope.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,FSR1,PNOZ output-contact protection,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Pilz manual p.11 requires output-contact protection. Published maxima are not selections; coordinate the exact protection with coil inrush, conductor, PS2 behavior, and fault current."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K1,Schneider LC1D25BD,PROPOSED - PRIMARY SOURCE RECORDED,https://iportal2.schneider-electric.com/Contents/docs/SQD-LC1D25BD.PDF,"Schneider official product data reviewed 2026-08-05. DC make/break, capacitive inrush, and protection coordination remain open.",Integral 21-22 NC mirror contact is used for EDM. Integral 13-14 NO is status only.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,K2,Schneider LC1D25BD,PROPOSED - PRIMARY SOURCE RECORDED,https://iportal2.schneider-electric.com/Contents/docs/SQD-LC1D25BD.PDF,"Schneider official product data reviewed 2026-08-05. DC make/break, capacitive inrush, and protection coordination remain open.",Second series contactor; same coordination restrictions as K1.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SK1,K1 DC-coil suppression network,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Select per Pilz and Schneider instructions. Exact device, polarity, energy rating, fault behavior, and effect on dropout/stopping time require review and test."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,SK2,K2 DC-coil suppression network,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Select per Pilz and Schneider instructions. Exact device, polarity, energy rating, fault behavior, and effect on dropout/stopping time require review and test."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,02_hrv0_safety,KWD1,Phoenix Contact PLC-RSC-24DC/21,PROPOSED - PRIMARY SOURCE RECORDED,https://www.phoenixcontact.com/en-gb/products/relay-module-plc-rsc-24dc21-2966171,"Phoenix Contact product 2966171, current manufacturer page reviewed 2026-08-05.",Supplemental watchdog permit only; not a safety relay. Normally-open 11-14 path is required for fail-safe permit behavior.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F0,HR-V0 main DC fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Rating, holder, interrupt rating, conductor protection, and clearing coordination are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F1,Shoulder branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"No fuse value is released. Requires measured current, inrush, cable, connector, ambient, and duty-cycle data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F2,Elbow branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"No fuse value is released. Requires measured current, inrush, cable, connector, ambient, and duty-cycle data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,F3,Gripper branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"No fuse value is released. Requires measured current, inrush, cable, connector, ambient, and duty-cycle data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M1,"ROBOTIS XM540-W270-T shoulder, provisional ID 1",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,ROBOTIS e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,TTL connector terminals are manufacturer-documented; mating housing/contact selection remains open.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M2,"ROBOTIS XM540-W270-T elbow, provisional ID 2",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,ROBOTIS e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,M3,"ROBOTIS XM430-W350-T gripper, provisional ID 3",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,ROBOTIS e-manual current page reviewed 2026-08-05. Confirm connector orientation before harness release.,
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,03_hrv0_distribution,UV1,ROBOTIS U2D2 - V0 TTL interface,PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/parts/interface/u2d2/,ROBOTIS U2D2 current documentation accessed 2026-08-05.,ROBOTIS names pin 2 VDD but does not publish or permit a sense-only path. Pin 2 is omitted pending written manufacturer evidence or a released and tested custom harness.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,PI1,Raspberry Pi 5 8GB high-level compute,SELECTION REQUIRED,https://www.raspberrypi.com/products/raspberry-pi-5/,Official Raspberry Pi product page; board-level integration and connector assignments remain open,"Exact port allocation, GPIO interface board, grounding, and cable retention are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,RT1,STM32H743-class deterministic motion controller,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact controller board, transceivers, pin map, isolation, and power integrity are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,WD1,Independent HR-V0 watchdog controller,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact RP2040-class board, brownout response, firmware integrity, and startup state are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWD1,HR-V0 3.3 V-to-24 V watchdog coil driver,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Transistor or optocoupler circuit, logic polarity, flyback coordination, creepage, and failure response are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,WDH1,Independent HR-30 watchdog controller,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Separate variant hardware. Exact controller, startup state, brownout, and fault latch are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,QWDH1,HR-30 3.3 V-to-24 V watchdog coil driver,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,Separate variant driver. Exact circuit and fault response are unresolved.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,04_control_watchdog,ISO1,Isolated safety-status input module,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Input thresholds, isolation ratings, diagnostics, and exact terminals are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BAT1,Professionally assembled 4-series protected battery pack,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Qualified supplier, cells, configuration, protected ports, pack limits, current, capacity, enclosure, and telemetry are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,FBAT1,Pack-level fuse at battery,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,Rating and interrupt capability require pack fault-current data and conductor protection calculation.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,SD1,Accessible DC service disconnect,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact DC rating, poles, breaking capacity, touch protection, and lockout method are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KB1,Battery main source contactor,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Coil voltage, DC make/break duty, inrush, mirror contact, suppression, and fault coordination are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,KP1,Precharge relay,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Contact voltage/current, coil drive, welded-contact detection, and timing are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,RP1,Precharge resistor,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Resistance, pulse energy, power, tolerance, mounting, temperature, and discharge interval require measured load capacitance."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,RD1,DC-link discharge path,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Discharge resistance, power, touch-safe voltage time, and thermal mounting are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,JCHG1,Charge inlet,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Connector, keying, touch protection, current, voltage, and presence-contact implementation are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,CHG1,Battery charger / protected charge interface,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Charger compatibility, BMS charge-port topology, communications, isolation, and interlock circuit are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,TLM1,Independent battery telemetry interface,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Isolation, voltage measurement, current sensing, accuracy, fault behavior, and exact interface are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,05_hr30_battery_precharge,BCU1,Independent battery sequencing and interlock controller,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Controller, independent power, voltage threshold circuit, coil drivers, diagnostics, sequencing logic, and safety-inhibit interface are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,JT1,HR-30 tethered ELV source inlet,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"14.0-14.8 V current-limited 80 A-class source, connector, cable, PE/shield policy, and ratings are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,FTHR1,Tether source protection,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,Rating and protection coordination require source fault-current and cable data.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRCSEL1,Mutually exclusive tether/battery source selector,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,Break-before-make or variant-keyed implementation is unresolved. Sources must never be electrically paralleled.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,FHR0,HR-30 main actuator fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Rating, holder, interrupt capacity, cable protection, and source coordination are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SH0,HR-30 dual-NC positively-opening E-stop,SELECTION REQUIRED,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/emergency-stop-switches/xw-22mm-estop/xw1e-bv402m-r,IDEC XW candidate page and family catalogs reviewed 2026-08-05; exact order code and device drawing remain SELECTION REQUIRED,"IDEC XW dual-NC is a family candidate only. Freeze the exact complete order code, operator/reset/contact/cover/environment details, attach the exact bottom-view drawing, and continuity-test the received unit before replacing TBD terminals."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SRH1,"Pilz PNOZ s4 24 VDC, 750104 - PROPOSED CHANGE",PROPOSED - PRIMARY SOURCE RECORDED,https://www.pilz.com/en-INT/eshop/product/750104,"Pilz PNOZ s4 operating manual 21396-EN-23: pp. 8-16 topology/mode, p.19 status, and p.26 timing; product file 2026-06-22, PDF colophon 2026-02; verified 2026-08-05.",Select and seal 'with detection of shorts across contacts / monitored start falling edge' with supply off. 750104 falling-edge wait 250 ms and minimum start pulse 100 ms. Qualified review and physical validation remain required.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SH1,HR-30 momentary NO reset pushbutton,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact normally-open contact, terminal identifiers, location, and environmental rating are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,FSRH1,HR-30 PNOZ output-contact protection,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Pilz manual p.11 requires output-contact protection. Published maxima are not selections; coordinate the exact protection with coil inrush, conductor, PS2 behavior, and fault current."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH1,HR-30 actuator-power contactor 1,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"DC-rated 50 A-class architecture input only. Exact device, mirror-contact validity, coil, DC duty, inrush, and protection coordination are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KH2,HR-30 actuator-power contactor 2,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,Second independent series contactor. Exact device and all coordination evidence are unresolved.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SKH1,KH1 DC-coil suppression network,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Select per Pilz and chosen contactor instructions. Exact device, polarity, energy rating, fault behavior, and effect on dropout/stopping time require review and test."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,SKH2,KH2 DC-coil suppression network,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Select per Pilz and chosen contactor instructions. Exact device, polarity, energy rating, fault behavior, and effect on dropout/stopping time require review and test."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,KWH1,Phoenix Contact PLC-RSC-24DC/21,PROPOSED - PRIMARY SOURCE RECORDED,https://www.phoenixcontact.com/en-gb/products/relay-module-plc-rsc-24dc21-2966171,Phoenix Contact product 2966171 reviewed 2026-08-05.,Supplemental normally-open watchdog permit; not safety-rated.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,06_hr30_safety_distribution,DC1,HR-30 upper-body regulated 12 V converter,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Required because the HR-30 source is not assumed to be a verified 12 V rail. Power, efficiency, isolation, transient, and thermal ratings are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,XCVRL1,left leg isolated RS-485 transceiver,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact transceiver, isolation, fail-safe bias, common-mode range, ESD protection, connector, and controller pins are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,RTL1,left leg near-end RS-485 termination,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,Fit only at the verified controller-side physical end. Resistance and placement require cable-impedance and transceiver review.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,RTL2,left leg far-end RS-485 termination,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,Fit only at the verified far physical end. No intermediate termination is permitted.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL1,left hip yaw actuator branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL2,left hip roll actuator branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL3,left hip pitch actuator branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL4,left knee pitch actuator branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL5,left ankle pitch actuator branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,FL6,left ankle roll actuator branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML1,"ROBOTIS XH540-W270-R left hip yaw, provisional ID 11",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release.",Power is star-injected by an individual fuse; only the differential data pair is intended to be bus-connected. Standard 4-pin cables are prohibited because they also carry VDD.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML2,"ROBOTIS XH540-W270-R left hip roll, provisional ID 12",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release.",Power is star-injected by an individual fuse; only the differential data pair is intended to be bus-connected. Standard 4-pin cables are prohibited because they also carry VDD.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML3,"ROBOTIS XH540-W270-R left hip pitch, provisional ID 13",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release.",Power is star-injected by an individual fuse; only the differential data pair is intended to be bus-connected. Standard 4-pin cables are prohibited because they also carry VDD.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML4,"ROBOTIS XH540-W270-R left knee pitch, provisional ID 14",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release.",Power is star-injected by an individual fuse; only the differential data pair is intended to be bus-connected. Standard 4-pin cables are prohibited because they also carry VDD.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML5,"ROBOTIS XH540-W270-R left ankle pitch, provisional ID 15",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release.",Power is star-injected by an individual fuse; only the differential data pair is intended to be bus-connected. Standard 4-pin cables are prohibited because they also carry VDD.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,07_left_leg_rs485,ML6,"ROBOTIS XH540-W270-R left ankle roll, provisional ID 16",PROPOSED - PRIMARY SOURCE RECORDED,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,"ROBOTIS XH540-W270-R documentation and product page reviewed 2026-08-05. Freeze the procured -R SKU, verify the nameplate and 4-pin housing, and confirm connector orientation before harness release.",Power is star-injected by an individual fuse; only the differential data pair is intended to be bus-connected. Standard 4-pin cables are prohibited because they also carry VDD.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,XCVRR1,right leg isolated RS-485 transceiver,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Exact transceiver, isolation, fail-safe bias, common-mode range, ESD protection, connector, and controller pins are unresolved."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,RTR1,right leg near-end RS-485 termination,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,Fit only at the verified controller-side physical end. Resistance and placement require cable-impedance and transceiver review.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,RTR2,right leg far-end RS-485 termination,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,Fit only at the verified far physical end. No intermediate termination is permitted.
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR1,right hip yaw actuator branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR2,right hip roll actuator branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR3,right hip pitch actuator branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR4,right knee pitch actuator branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR5,right ankle pitch actuator branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data."
PRELIMINARY - NOT APPROVED FOR ENERGIZATION,08_right_leg_rs485,FR6,right ankle roll actuator branch fuse,SELECTION REQUIRED,SELECTION REQUIRED,Manufacturer datasheet and engineering inputs required,"Individual branch protection required by ELEC-003. Rating and holder require measured current, cable, connector, ambient, bundling, and fault data."
