joint_id,subsystem,location,members,candidate_joint_hardware,fastener_set,joint_capacity_released,inspection,warning
J-DR-L-OT,DOOR L,O T,DOOR STILE TO RAIL,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-DR-L-IB,DOOR L,I B,DOOR STILE TO RAIL,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-DR-L-IT,DOOR L,I T,DOOR STILE TO RAIL,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-DR-R-OB,DOOR R,O B,DOOR STILE TO RAIL,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-DR-R-OT,DOOR R,O T,DOOR STILE TO RAIL,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-DR-R-IB,DOOR R,I B,DOOR STILE TO RAIL,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-DR-R-IT,DOOR R,I T,DOOR STILE TO RAIL,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-PF-FL,FOOT PLATFORM SUBFRAME,FL,PF-X MEMBER TO PF-Y MEMBER,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-PF-FR,FOOT PLATFORM SUBFRAME,FR,PF-X MEMBER TO PF-Y MEMBER,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-PF-RL,FOOT PLATFORM SUBFRAME,RL,PF-X MEMBER TO PF-Y MEMBER,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-PF-RR,FOOT PLATFORM SUBFRAME,RR,PF-X MEMBER TO PF-Y MEMBER,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-CR-L-POST-BASE,PELVIS CRADLE,L POST-BASE,40-4040-LITE CRADLE MEMBERS,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-CR-L-ARM-POST,PELVIS CRADLE,L ARM-POST,40-4040-LITE CRADLE MEMBERS,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-CR-R-POST-BASE,PELVIS CRADLE,R POST-BASE,40-4040-LITE CRADLE MEMBERS,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-CR-R-ARM-POST,PELVIS CRADLE,R ARM-POST,40-4040-LITE CRADLE MEMBERS,1 x 80/20 40-4338 8-hole gusseted inside bracket,8 x 80/20 75-3422 M8 x 16 BHSCS/T-NUT ASSEMBLY,NO,FULL SEATING; TORQUE MARK; NO GAP; FAI REQUIRED,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-CR-L-BRACE,PELVIS CRADLE,L CROSS-BRACE END,CR-BRACE TO CR-POST,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-CR-R-BRACE,PELVIS CRADLE,R CROSS-BRACE END,CR-BRACE TO CR-POST,1 x 80/20 40-3897 M8 ANCHOR FASTENER ASSEMBLY,INCLUDED M8 x 30 SHCS; COUNTERBORE REQUIRED,NO,COUNTERBORE/ACCESS HOLE FAI; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-PF-PLATE,FOOT PLATFORM,PLATE TO SUBFRAME,700 x 700 x 18 PLATE TO FOUR PF PROFILES,8 x 80/20 75-3422 CANDIDATE THROUGH CONTROLLED PLATE HOLES,8 x M8 BHSCS/T-NUT ASSEMBLY; LENGTH/HOLE DETAIL DFM REQUIRED,NO,HOLE POSITION/EDGE DISTANCE/FLATNESS/SEATING FAI,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-CR-PADPLATE-L,PELVIS CRADLE,L PAD PLATE,CUSTOM PAD PLATE TO CRADLE ARM,4 x M8 BHSCS/T-NUT CANDIDATE,4 x 75-3422 CANDIDATE; PLATE HOLES/EDGE DISTANCE DFM REQUIRED,NO,PLATE FAI; FULL SEATING; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
J-CR-PADPLATE-R,PELVIS CRADLE,R PAD PLATE,CUSTOM PAD PLATE TO CRADLE ARM,4 x M8 BHSCS/T-NUT CANDIDATE,4 x 75-3422 CANDIDATE; PLATE HOLES/EDGE DISTANCE DFM REQUIRED,NO,PLATE FAI; FULL SEATING; TORQUE MARK,"PRELIMINARY - UNBUILT FASTENED CELL HARDWARE CANDIDATE - PURCHASED-PART ENVELOPES ARE NOT MANUFACTURING MODELS - NOT A WALKING GANTRY OR RATED FALL-ARREST SYSTEM - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
