segment_id,segment_kind,assembly_id,service,from_point,to_point,planning_length_mm,minimum_bend_radius_mm,corridor_diameter_mm,separation_rule,selection_state,authority
LOOP-L_HIP_YAW-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,LOOP-L_HIP_YAW-PWR-P01,LOOP-L_HIP_YAW-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_HIP_YAW-DATA,SERIAL DATA JOINT LINK,HN-L01,DATA,LOOP-L_HIP_YAW-DATA-P01,LOOP-L_HIP_YAW-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_HIP_ROLL-AT-L_HIP_YAW-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_HIP_ROLL-AT-L_HIP_YAW-PWR-P01,CROSS-L_HIP_ROLL-AT-L_HIP_YAW-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_HIP_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,LOOP-L_HIP_ROLL-PWR-P01,LOOP-L_HIP_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_HIP_ROLL-DATA,SERIAL DATA JOINT LINK,HN-L01,DATA,LOOP-L_HIP_ROLL-DATA-P01,LOOP-L_HIP_ROLL-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_HIP_PITCH-AT-L_HIP_YAW-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_HIP_PITCH-AT-L_HIP_YAW-PWR-P01,CROSS-L_HIP_PITCH-AT-L_HIP_YAW-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_HIP_PITCH-AT-L_HIP_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_HIP_PITCH-AT-L_HIP_ROLL-PWR-P01,CROSS-L_HIP_PITCH-AT-L_HIP_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_HIP_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,LOOP-L_HIP_PITCH-PWR-P01,LOOP-L_HIP_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_HIP_PITCH-DATA,SERIAL DATA JOINT LINK,HN-L01,DATA,LOOP-L_HIP_PITCH-DATA-P01,LOOP-L_HIP_PITCH-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_KNEE_PITCH-AT-L_HIP_YAW-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_KNEE_PITCH-AT-L_HIP_YAW-PWR-P01,CROSS-L_KNEE_PITCH-AT-L_HIP_YAW-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_KNEE_PITCH-AT-L_HIP_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_KNEE_PITCH-AT-L_HIP_ROLL-PWR-P01,CROSS-L_KNEE_PITCH-AT-L_HIP_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_KNEE_PITCH-AT-L_HIP_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_KNEE_PITCH-AT-L_HIP_PITCH-PWR-P01,CROSS-L_KNEE_PITCH-AT-L_HIP_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_KNEE_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,LOOP-L_KNEE_PITCH-PWR-P01,LOOP-L_KNEE_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_KNEE_PITCH-DATA,SERIAL DATA JOINT LINK,HN-L01,DATA,LOOP-L_KNEE_PITCH-DATA-P01,LOOP-L_KNEE_PITCH-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_ANKLE_PITCH-AT-L_HIP_YAW-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_ANKLE_PITCH-AT-L_HIP_YAW-PWR-P01,CROSS-L_ANKLE_PITCH-AT-L_HIP_YAW-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_ANKLE_PITCH-AT-L_HIP_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_ANKLE_PITCH-AT-L_HIP_ROLL-PWR-P01,CROSS-L_ANKLE_PITCH-AT-L_HIP_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_ANKLE_PITCH-AT-L_HIP_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_ANKLE_PITCH-AT-L_HIP_PITCH-PWR-P01,CROSS-L_ANKLE_PITCH-AT-L_HIP_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_ANKLE_PITCH-AT-L_KNEE_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_ANKLE_PITCH-AT-L_KNEE_PITCH-PWR-P01,CROSS-L_ANKLE_PITCH-AT-L_KNEE_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_ANKLE_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-F01,ACTUATOR POWER,LOOP-L_ANKLE_PITCH-PWR-P01,LOOP-L_ANKLE_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_ANKLE_PITCH-DATA,SERIAL DATA JOINT LINK,HN-F01,DATA,LOOP-L_ANKLE_PITCH-DATA-P01,LOOP-L_ANKLE_PITCH-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_ANKLE_ROLL-AT-L_HIP_YAW-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_ANKLE_ROLL-AT-L_HIP_YAW-PWR-P01,CROSS-L_ANKLE_ROLL-AT-L_HIP_YAW-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_ANKLE_ROLL-AT-L_HIP_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_ANKLE_ROLL-AT-L_HIP_ROLL-PWR-P01,CROSS-L_ANKLE_ROLL-AT-L_HIP_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_ANKLE_ROLL-AT-L_HIP_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_ANKLE_ROLL-AT-L_HIP_PITCH-PWR-P01,CROSS-L_ANKLE_ROLL-AT-L_HIP_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_ANKLE_ROLL-AT-L_KNEE_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-L01,ACTUATOR POWER,CROSS-L_ANKLE_ROLL-AT-L_KNEE_PITCH-PWR-P01,CROSS-L_ANKLE_ROLL-AT-L_KNEE_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-L_ANKLE_ROLL-AT-L_ANKLE_PITCH-PWR,DIRECT POWER JOINT CROSSING,HN-F01,ACTUATOR POWER,CROSS-L_ANKLE_ROLL-AT-L_ANKLE_PITCH-PWR-P01,CROSS-L_ANKLE_ROLL-AT-L_ANKLE_PITCH-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_ANKLE_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-F01,ACTUATOR POWER,LOOP-L_ANKLE_ROLL-PWR-P01,LOOP-L_ANKLE_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-L_ANKLE_ROLL-DATA,SERIAL DATA JOINT LINK,HN-F01,DATA,LOOP-L_ANKLE_ROLL-DATA-P01,LOOP-L_ANKLE_ROLL-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_HIP_YAW-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,LOOP-R_HIP_YAW-PWR-P01,LOOP-R_HIP_YAW-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_HIP_YAW-DATA,SERIAL DATA JOINT LINK,HN-L02,DATA,LOOP-R_HIP_YAW-DATA-P01,LOOP-R_HIP_YAW-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_HIP_ROLL-AT-R_HIP_YAW-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_HIP_ROLL-AT-R_HIP_YAW-PWR-P01,CROSS-R_HIP_ROLL-AT-R_HIP_YAW-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_HIP_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,LOOP-R_HIP_ROLL-PWR-P01,LOOP-R_HIP_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LOOP-R_HIP_ROLL-DATA,SERIAL DATA JOINT LINK,HN-L02,DATA,LOOP-R_HIP_ROLL-DATA-P01,LOOP-R_HIP_ROLL-DATA-P02,20.000,SELECTION REQUIRED,SELECTION REQUIRED,DATA LINK OFFSET FROM DIRECT POWER PAIR LANES; VERIFY THROUGH FULL JOINT RANGE,GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_HIP_PITCH-AT-R_HIP_YAW-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_HIP_PITCH-AT-R_HIP_YAW-PWR-P01,CROSS-R_HIP_PITCH-AT-R_HIP_YAW-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
CROSS-R_HIP_PITCH-AT-R_HIP_ROLL-PWR,DIRECT POWER JOINT CROSSING,HN-L02,ACTUATOR POWER,CROSS-R_HIP_PITCH-AT-R_HIP_ROLL-PWR-P01,CROSS-R_HIP_PITCH-AT-R_HIP_ROLL-PWR-P02,28.000,SELECTION REQUIRED,SELECTION REQUIRED,"DIRECT BRANCH LANE OFFSET IS NOMINAL ONLY; VERIFY ALL PARALLEL PAIRS, DATA SEPARATION AND FULL JOINT RANGE",GEOMETRY CANDIDATE - SWEEP/CUT LENGTH/FLEX LIFE/CLAMP TEST OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
