axis_id,module_assembly,bus_id,segment_position,actuator_family,axis_xyz_mm,axis_direction,power_trunk,power_loop,data_trunk,data_loop,physical_range_sweep,authority
L_SHOULDER_ROLL,HN-A01,RS-LARM,2,XM430,"(105.000,0.000,590.000)","(0,1,0)",HN01_L_ARM_POWER,LOOP-L_SHOULDER_ROLL-PWR,HN01_L_ARM_DATA,LOOP-L_SHOULDER_ROLL-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_ELBOW_PITCH,HN-A01,RS-LARM,3,XM430,"(135.000,0.000,440.000)","(1,0,0)",HN01_L_ARM_POWER,LOOP-L_ELBOW_PITCH-PWR,HN01_L_ARM_DATA,LOOP-L_ELBOW_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_SHOULDER_PITCH,HN-A02,RS-RARM,1,XM540,"(-105.000,0.000,590.000)","(1,0,0)",HN01_R_ARM_POWER,LOOP-R_SHOULDER_PITCH-PWR,HN01_R_ARM_DATA,LOOP-R_SHOULDER_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_SHOULDER_ROLL,HN-A02,RS-RARM,2,XM430,"(-105.000,0.000,590.000)","(0,1,0)",HN01_R_ARM_POWER,LOOP-R_SHOULDER_ROLL-PWR,HN01_R_ARM_DATA,LOOP-R_SHOULDER_ROLL-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_ELBOW_PITCH,HN-A02,RS-RARM,3,XM430,"(-135.000,0.000,440.000)","(1,0,0)",HN01_R_ARM_POWER,LOOP-R_ELBOW_PITCH-PWR,HN01_R_ARM_DATA,LOOP-R_ELBOW_PITCH-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
WAIST_YAW,HN-P01,RS-WAIST,1,XM540,"(0.000,0.000,425.000)","(0,0,1)",HN01_TORSO_POWER_SPINE,LOOP-WAIST_YAW-PWR,HN01_TORSO_DATA_SPINE,LOOP-WAIST_YAW-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_WRIST_ROTATION,HN-A01,TTL-LDIST,1,XC330,"(140.000,0.000,295.000)","(0,0,1)",HN01_L_ARM_POWER,LOOP-L_WRIST_ROTATION-PWR,HN01_L_ARM_DATA,LOOP-L_WRIST_ROTATION-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_GRIPPER,HN-G01,TTL-LDIST,2,XC330,"(140.000,0.000,252.000)","(1.0,0,0)",HN01_L_ARM_POWER,LOOP-L_GRIPPER-PWR,HN01_L_ARM_DATA,LOOP-L_GRIPPER-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_WRIST_ROTATION,HN-A02,TTL-RDIST,1,XC330,"(-140.000,0.000,295.000)","(0,0,1)",HN01_R_ARM_POWER,LOOP-R_WRIST_ROTATION-PWR,HN01_R_ARM_DATA,LOOP-R_WRIST_ROTATION-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_GRIPPER,HN-G02,TTL-RDIST,2,XC330,"(-140.000,0.000,252.000)","(-1.0,0,0)",HN01_R_ARM_POWER,LOOP-R_GRIPPER-PWR,HN01_R_ARM_DATA,LOOP-R_GRIPPER-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HEAD_PAN,HN-NH01,TTL-HEAD,1,XC330,"(0.000,0.000,650.000)","(0,0,1)",HN01_HEAD_POWER_BRANCH,LOOP-HEAD_PAN-PWR,HN01_HEAD_BRANCH,LOOP-HEAD_PAN-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HEAD_TILT,HN-NH01,TTL-HEAD,2,XC330,"(0.000,0.000,690.000)","(1,0,0)",HN01_HEAD_POWER_BRANCH,LOOP-HEAD_TILT-PWR,HN01_HEAD_BRANCH,LOOP-HEAD_TILT-DATA,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
