bus_id,ordinal,axis_id,upstream_data_endpoint,input_connector,input_pin_map,individual_power_pair,outgoing_connector,outgoing_pin_map,successor_axis,termination_state,topology_state,authority
RS-RLEG,5,R_ANKLE_PITCH,J-OUT-R_KNEE_PITCH,J-ACT-R_ANKLE_PITCH,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-R_ANKLE_PITCH,J-OUT-R_ANKLE_PITCH,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,R_ANKLE_ROLL,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-RLEG,6,R_ANKLE_ROLL,J-OUT-R_ANKLE_PITCH,J-ACT-R_ANKLE_ROLL,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-R_ANKLE_ROLL,NO OUTGOING CABLE - FAR END,NO OUTGOING HARNESS CONNECTOR,FAR END,SELECTION REQUIRED AT FAR END,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-LARM,1,L_SHOULDER_PITCH,CB-RS-LARM,J-ACT-L_SHOULDER_PITCH,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-L_SHOULDER_PITCH,J-OUT-L_SHOULDER_PITCH,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,L_SHOULDER_ROLL,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-LARM,2,L_SHOULDER_ROLL,J-OUT-L_SHOULDER_PITCH,J-ACT-L_SHOULDER_ROLL,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-L_SHOULDER_ROLL,J-OUT-L_SHOULDER_ROLL,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,L_ELBOW_PITCH,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-LARM,3,L_ELBOW_PITCH,J-OUT-L_SHOULDER_ROLL,J-ACT-L_ELBOW_PITCH,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-L_ELBOW_PITCH,NO OUTGOING CABLE - FAR END,NO OUTGOING HARNESS CONNECTOR,FAR END,SELECTION REQUIRED AT FAR END,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-RARM,1,R_SHOULDER_PITCH,CB-RS-RARM,J-ACT-R_SHOULDER_PITCH,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-R_SHOULDER_PITCH,J-OUT-R_SHOULDER_PITCH,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,R_SHOULDER_ROLL,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-RARM,2,R_SHOULDER_ROLL,J-OUT-R_SHOULDER_PITCH,J-ACT-R_SHOULDER_ROLL,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-R_SHOULDER_ROLL,J-OUT-R_SHOULDER_ROLL,1=EMPTY; 2=EMPTY; 3=DATA+; 4=DATA-,R_ELBOW_PITCH,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-RARM,3,R_ELBOW_PITCH,J-OUT-R_SHOULDER_ROLL,J-ACT-R_ELBOW_PITCH,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-R_ELBOW_PITCH,NO OUTGOING CABLE - FAR END,NO OUTGOING HARNESS CONNECTOR,FAR END,SELECTION REQUIRED AT FAR END,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
RS-WAIST,1,WAIST_YAW,CB-RS-WAIST,J-ACT-WAIST_YAW,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA+; 4=DATA-,PAIR-WAIST_YAW,NO OUTGOING CABLE - FAR END,NO OUTGOING HARNESS CONNECTOR,FAR END,SELECTION REQUIRED AT FAR END,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TTL-LDIST,1,L_WRIST_ROTATION,CB-TTL-LDIST,J-ACT-L_WRIST_ROTATION,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA,PAIR-L_WRIST_ROTATION,J-OUT-L_WRIST_ROTATION,1=EMPTY; 2=EMPTY; 3=DATA,L_GRIPPER,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TTL-LDIST,2,L_GRIPPER,J-OUT-L_WRIST_ROTATION,J-ACT-L_GRIPPER,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA,PAIR-L_GRIPPER,NO OUTGOING CABLE - FAR END,NO OUTGOING HARNESS CONNECTOR,FAR END,SELECTION REQUIRED AT FAR END,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TTL-RDIST,1,R_WRIST_ROTATION,CB-TTL-RDIST,J-ACT-R_WRIST_ROTATION,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA,PAIR-R_WRIST_ROTATION,J-OUT-R_WRIST_ROTATION,1=EMPTY; 2=EMPTY; 3=DATA,R_GRIPPER,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TTL-RDIST,2,R_GRIPPER,J-OUT-R_WRIST_ROTATION,J-ACT-R_GRIPPER,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA,PAIR-R_GRIPPER,NO OUTGOING CABLE - FAR END,NO OUTGOING HARNESS CONNECTOR,FAR END,SELECTION REQUIRED AT FAR END,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TTL-HEAD,1,HEAD_PAN,CB-TTL-HEAD,J-ACT-HEAD_PAN,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA,PAIR-HEAD_PAN,J-OUT-HEAD_PAN,1=EMPTY; 2=EMPTY; 3=DATA,HEAD_TILT,NOT AT THIS NODE,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
TTL-HEAD,2,HEAD_TILT,J-OUT-HEAD_PAN,J-ACT-HEAD_TILT,1=INDIVIDUAL RETURN; 2=INDIVIDUAL VDD; 3=DATA,PAIR-HEAD_TILT,NO OUTGOING CABLE - FAR END,NO OUTGOING HARNESS CONNECTOR,FAR END,SELECTION REQUIRED AT FAR END,SERIAL DATA TRUNK / INDIVIDUAL TWO-WIRE POWER PAIR; NO STAR DATA STUBS,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
