axis_id,power_loop,data_loop,joint_axis_xyz_mm,joint_axis_direction,commanded_range,minimum_bend_radius,slack_length,clamp_locations,flex_cycle_requirement,collision_and_pinch_sweep,state
R_ANKLE_PITCH,LOOP-R_ANKLE_PITCH-PWR,LOOP-R_ANKLE_PITCH-DATA,"(-62.500,0.000,55.000)","(1,0,0)",-35..+30 deg,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
R_ANKLE_ROLL,LOOP-R_ANKLE_ROLL-PWR,LOOP-R_ANKLE_ROLL-DATA,"(-62.500,0.000,35.000)","(0,1,0)",+/-20 deg,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
L_SHOULDER_PITCH,LOOP-L_SHOULDER_PITCH-PWR,LOOP-L_SHOULDER_PITCH-DATA,"(105.000,0.000,590.000)","(1,0,0)",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
L_SHOULDER_ROLL,LOOP-L_SHOULDER_ROLL-PWR,LOOP-L_SHOULDER_ROLL-DATA,"(105.000,0.000,590.000)","(0,1,0)",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
L_ELBOW_PITCH,LOOP-L_ELBOW_PITCH-PWR,LOOP-L_ELBOW_PITCH-DATA,"(135.000,0.000,440.000)","(1,0,0)",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
R_SHOULDER_PITCH,LOOP-R_SHOULDER_PITCH-PWR,LOOP-R_SHOULDER_PITCH-DATA,"(-105.000,0.000,590.000)","(1,0,0)",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
R_SHOULDER_ROLL,LOOP-R_SHOULDER_ROLL-PWR,LOOP-R_SHOULDER_ROLL-DATA,"(-105.000,0.000,590.000)","(0,1,0)",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
R_ELBOW_PITCH,LOOP-R_ELBOW_PITCH-PWR,LOOP-R_ELBOW_PITCH-DATA,"(-135.000,0.000,440.000)","(1,0,0)",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
WAIST_YAW,LOOP-WAIST_YAW-PWR,LOOP-WAIST_YAW-DATA,"(0.000,0.000,425.000)","(0,0,1)",speed <=15 deg/s in HR-30A,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
L_WRIST_ROTATION,LOOP-L_WRIST_ROTATION-PWR,LOOP-L_WRIST_ROTATION-DATA,"(140.000,0.000,295.000)","(0,0,1)",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
L_GRIPPER,LOOP-L_GRIPPER-PWR,LOOP-L_GRIPPER-DATA,"(140.000,0.000,252.000)","(1.0,0,0)",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
R_WRIST_ROTATION,LOOP-R_WRIST_ROTATION-PWR,LOOP-R_WRIST_ROTATION-DATA,"(-140.000,0.000,295.000)","(0,0,1)",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
R_GRIPPER,LOOP-R_GRIPPER-PWR,LOOP-R_GRIPPER-DATA,"(-140.000,0.000,252.000)","(-1.0,0,0)",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
HEAD_PAN,LOOP-HEAD_PAN-PWR,LOOP-HEAD_PAN-DATA,"(0.000,0.000,650.000)","(0,0,1)",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
HEAD_TILT,LOOP-HEAD_TILT-PWR,LOOP-HEAD_TILT-DATA,"(0.000,0.000,690.000)","(1,0,0)",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,OBLIGATION GEOMETRY PRESENT - PHYSICAL RELEASE OPEN
