connector_id,contact,axis_id,signal,bus_net,service,wire_core,physical_pin_state,end_to_end_test
J-WPS-RS-LLEG-OUT-2,1,L_HIP_ROLL,ACT_0V_CONTROLLED,RS-LLEG_RET,POWER RETURN,CORE-L_HIP_ROLL-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-OUT-2,2,L_HIP_ROLL,BRANCH_2_VPOS,L_HIP_ROLL_VDD,ACTUATOR POWER,CORE-L_HIP_ROLL-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-2,1,L_HIP_ROLL,ACT_0V_CONTROLLED,WPS-RS-LLEG_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-2,2,L_HIP_ROLL,CH2_EN,WPS-RS-LLEG_CH2_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-2,3,L_HIP_ROLL,CH2_PG,WPS-RS-LLEG_CH2_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-OUT-3,1,L_HIP_PITCH,ACT_0V_CONTROLLED,RS-LLEG_RET,POWER RETURN,CORE-L_HIP_PITCH-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-OUT-3,2,L_HIP_PITCH,BRANCH_3_VPOS,L_HIP_PITCH_VDD,ACTUATOR POWER,CORE-L_HIP_PITCH-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-3,1,L_HIP_PITCH,ACT_0V_CONTROLLED,WPS-RS-LLEG_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-3,2,L_HIP_PITCH,CH3_EN,WPS-RS-LLEG_CH3_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-3,3,L_HIP_PITCH,CH3_PG,WPS-RS-LLEG_CH3_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-OUT-4,1,L_KNEE_PITCH,ACT_0V_CONTROLLED,RS-LLEG_RET,POWER RETURN,CORE-L_KNEE_PITCH-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-OUT-4,2,L_KNEE_PITCH,BRANCH_4_VPOS,L_KNEE_PITCH_VDD,ACTUATOR POWER,CORE-L_KNEE_PITCH-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-4,1,L_KNEE_PITCH,ACT_0V_CONTROLLED,WPS-RS-LLEG_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-4,2,L_KNEE_PITCH,CH4_EN,WPS-RS-LLEG_CH4_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-4,3,L_KNEE_PITCH,CH4_PG,WPS-RS-LLEG_CH4_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-OUT-5,1,L_ANKLE_PITCH,ACT_0V_CONTROLLED,RS-LLEG_RET,POWER RETURN,CORE-L_ANKLE_PITCH-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-OUT-5,2,L_ANKLE_PITCH,BRANCH_5_VPOS,L_ANKLE_PITCH_VDD,ACTUATOR POWER,CORE-L_ANKLE_PITCH-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-5,1,L_ANKLE_PITCH,ACT_0V_CONTROLLED,WPS-RS-LLEG_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-5,2,L_ANKLE_PITCH,CH5_EN,WPS-RS-LLEG_CH5_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-5,3,L_ANKLE_PITCH,CH5_PG,WPS-RS-LLEG_CH5_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-OUT-6,1,L_ANKLE_ROLL,ACT_0V_CONTROLLED,RS-LLEG_RET,POWER RETURN,CORE-L_ANKLE_ROLL-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-OUT-6,2,L_ANKLE_ROLL,BRANCH_6_VPOS,L_ANKLE_ROLL_VDD,ACTUATOR POWER,CORE-L_ANKLE_ROLL-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-6,1,L_ANKLE_ROLL,ACT_0V_CONTROLLED,WPS-RS-LLEG_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-6,2,L_ANKLE_ROLL,CH6_EN,WPS-RS-LLEG_CH6_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LLEG-CTL-6,3,L_ANKLE_ROLL,CH6_PG,WPS-RS-LLEG_CH6_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-OUT-1,1,R_HIP_YAW,ACT_0V_CONTROLLED,RS-RLEG_RET,POWER RETURN,CORE-R_HIP_YAW-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-OUT-1,2,R_HIP_YAW,BRANCH_1_VPOS,R_HIP_YAW_VDD,ACTUATOR POWER,CORE-R_HIP_YAW-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-1,1,R_HIP_YAW,ACT_0V_CONTROLLED,WPS-RS-RLEG_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-1,2,R_HIP_YAW,CH1_EN,WPS-RS-RLEG_CH1_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-1,3,R_HIP_YAW,CH1_PG,WPS-RS-RLEG_CH1_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-OUT-2,1,R_HIP_ROLL,ACT_0V_CONTROLLED,RS-RLEG_RET,POWER RETURN,CORE-R_HIP_ROLL-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-OUT-2,2,R_HIP_ROLL,BRANCH_2_VPOS,R_HIP_ROLL_VDD,ACTUATOR POWER,CORE-R_HIP_ROLL-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-2,1,R_HIP_ROLL,ACT_0V_CONTROLLED,WPS-RS-RLEG_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-2,2,R_HIP_ROLL,CH2_EN,WPS-RS-RLEG_CH2_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-2,3,R_HIP_ROLL,CH2_PG,WPS-RS-RLEG_CH2_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-OUT-3,1,R_HIP_PITCH,ACT_0V_CONTROLLED,RS-RLEG_RET,POWER RETURN,CORE-R_HIP_PITCH-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-OUT-3,2,R_HIP_PITCH,BRANCH_3_VPOS,R_HIP_PITCH_VDD,ACTUATOR POWER,CORE-R_HIP_PITCH-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-3,1,R_HIP_PITCH,ACT_0V_CONTROLLED,WPS-RS-RLEG_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-3,2,R_HIP_PITCH,CH3_EN,WPS-RS-RLEG_CH3_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-3,3,R_HIP_PITCH,CH3_PG,WPS-RS-RLEG_CH3_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-OUT-4,1,R_KNEE_PITCH,ACT_0V_CONTROLLED,RS-RLEG_RET,POWER RETURN,CORE-R_KNEE_PITCH-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-OUT-4,2,R_KNEE_PITCH,BRANCH_4_VPOS,R_KNEE_PITCH_VDD,ACTUATOR POWER,CORE-R_KNEE_PITCH-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-4,1,R_KNEE_PITCH,ACT_0V_CONTROLLED,WPS-RS-RLEG_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-4,2,R_KNEE_PITCH,CH4_EN,WPS-RS-RLEG_CH4_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-4,3,R_KNEE_PITCH,CH4_PG,WPS-RS-RLEG_CH4_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-OUT-5,1,R_ANKLE_PITCH,ACT_0V_CONTROLLED,RS-RLEG_RET,POWER RETURN,CORE-R_ANKLE_PITCH-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-OUT-5,2,R_ANKLE_PITCH,BRANCH_5_VPOS,R_ANKLE_PITCH_VDD,ACTUATOR POWER,CORE-R_ANKLE_PITCH-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-5,1,R_ANKLE_PITCH,ACT_0V_CONTROLLED,WPS-RS-RLEG_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-5,2,R_ANKLE_PITCH,CH5_EN,WPS-RS-RLEG_CH5_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-5,3,R_ANKLE_PITCH,CH5_PG,WPS-RS-RLEG_CH5_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-OUT-6,1,R_ANKLE_ROLL,ACT_0V_CONTROLLED,RS-RLEG_RET,POWER RETURN,CORE-R_ANKLE_ROLL-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-OUT-6,2,R_ANKLE_ROLL,BRANCH_6_VPOS,R_ANKLE_ROLL_VDD,ACTUATOR POWER,CORE-R_ANKLE_ROLL-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-6,1,R_ANKLE_ROLL,ACT_0V_CONTROLLED,WPS-RS-RLEG_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-6,2,R_ANKLE_ROLL,CH6_EN,WPS-RS-RLEG_CH6_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-RLEG-CTL-6,3,R_ANKLE_ROLL,CH6_PG,WPS-RS-RLEG_CH6_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-OUT-1,1,L_SHOULDER_PITCH,ACT_0V_CONTROLLED,RS-LARM_RET,POWER RETURN,CORE-L_SHOULDER_PITCH-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-OUT-1,2,L_SHOULDER_PITCH,BRANCH_1_VPOS,L_SHOULDER_PITCH_VDD,ACTUATOR POWER,CORE-L_SHOULDER_PITCH-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-CTL-1,1,L_SHOULDER_PITCH,ACT_0V_CONTROLLED,WPS-RS-LARM_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-CTL-1,2,L_SHOULDER_PITCH,CH1_EN,WPS-RS-LARM_CH1_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-CTL-1,3,L_SHOULDER_PITCH,CH1_PG,WPS-RS-LARM_CH1_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-OUT-2,1,L_SHOULDER_ROLL,ACT_0V_CONTROLLED,RS-LARM_RET,POWER RETURN,CORE-L_SHOULDER_ROLL-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-OUT-2,2,L_SHOULDER_ROLL,BRANCH_2_VPOS,L_SHOULDER_ROLL_VDD,ACTUATOR POWER,CORE-L_SHOULDER_ROLL-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-CTL-2,1,L_SHOULDER_ROLL,ACT_0V_CONTROLLED,WPS-RS-LARM_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-CTL-2,2,L_SHOULDER_ROLL,CH2_EN,WPS-RS-LARM_CH2_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-CTL-2,3,L_SHOULDER_ROLL,CH2_PG,WPS-RS-LARM_CH2_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-OUT-3,1,L_ELBOW_PITCH,ACT_0V_CONTROLLED,RS-LARM_RET,POWER RETURN,CORE-L_ELBOW_PITCH-GND-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-OUT-3,2,L_ELBOW_PITCH,BRANCH_3_VPOS,L_ELBOW_PITCH_VDD,ACTUATOR POWER,CORE-L_ELBOW_PITCH-VDD-DYNAMIC,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-CTL-3,1,L_ELBOW_PITCH,ACT_0V_CONTROLLED,WPS-RS-LARM_ACT_0V_CONTROLLED,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-CTL-3,2,L_ELBOW_PITCH,CH3_EN,WPS-RS-LARM_CH3_EN,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-CTL-3,3,L_ELBOW_PITCH,CH3_PG,WPS-RS-LARM_CH3_PG,CONTROL/DIAGNOSTIC - ZERO SAFETY CREDIT,SELECTION REQUIRED,BOARD CONTACT DEFINED; FIELD ASSEMBLY OPEN,NOT EXECUTED
J-WPS-RS-LARM-OUT-4,1,DNP SPARE,ACT_0V_CONTROLLED,NO NET - DNP SPARE,DNP,NONE - DNP,DNP - NO FIELD HARNESS,NOT EXECUTED
J-WPS-RS-LARM-OUT-4,2,DNP SPARE,BRANCH_4_VPOS,NO NET - DNP SPARE,DNP,NONE - DNP,DNP - NO FIELD HARNESS,NOT EXECUTED
J-WPS-RS-LARM-CTL-4,1,DNP SPARE,ACT_0V_CONTROLLED,NO NET - DNP SPARE,DNP,NONE - DNP,DNP - NO FIELD HARNESS,NOT EXECUTED
J-WPS-RS-LARM-CTL-4,2,DNP SPARE,CH4_EN,NO NET - DNP SPARE,DNP,NONE - DNP,DNP - NO FIELD HARNESS,NOT EXECUTED
J-WPS-RS-LARM-CTL-4,3,DNP SPARE,CH4_PG,NO NET - DNP SPARE,DNP,NONE - DNP,DNP - NO FIELD HARNESS,NOT EXECUTED
J-WPS-RS-LARM-OUT-5,1,DNP SPARE,ACT_0V_CONTROLLED,NO NET - DNP SPARE,DNP,NONE - DNP,DNP - NO FIELD HARNESS,NOT EXECUTED
