link_id,bus_id,axis_id,ordinal,protocol,from_endpoint,to_endpoint,next_endpoint,data_conductors,reference_path,controller_boundary,actuator_boundary,vdd_isolation_rule,custom_breakout_or_depinning,continuity_no_backfeed_test,authority
LINK-R_ANKLE_PITCH,RS-RLEG,R_ANKLE_PITCH,5,RS-485 HALF-DUPLEX,J-OUT-R_KNEE_PITCH,J-ACT-R_ANKLE_PITCH,J-OUT-R_ANKLE_PITCH,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-R_ANKLE_ROLL,RS-RLEG,R_ANKLE_ROLL,6,RS-485 HALF-DUPLEX,J-OUT-R_ANKLE_PITCH,J-ACT-R_ANKLE_ROLL,NO OUTGOING CABLE - FAR END,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-L_SHOULDER_PITCH,RS-LARM,L_SHOULDER_PITCH,1,RS-485 HALF-DUPLEX,CB-RS-LARM,J-ACT-L_SHOULDER_PITCH,J-OUT-L_SHOULDER_PITCH,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-L_SHOULDER_ROLL,RS-LARM,L_SHOULDER_ROLL,2,RS-485 HALF-DUPLEX,J-OUT-L_SHOULDER_PITCH,J-ACT-L_SHOULDER_ROLL,J-OUT-L_SHOULDER_ROLL,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-L_ELBOW_PITCH,RS-LARM,L_ELBOW_PITCH,3,RS-485 HALF-DUPLEX,J-OUT-L_SHOULDER_ROLL,J-ACT-L_ELBOW_PITCH,NO OUTGOING CABLE - FAR END,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-R_SHOULDER_PITCH,RS-RARM,R_SHOULDER_PITCH,1,RS-485 HALF-DUPLEX,CB-RS-RARM,J-ACT-R_SHOULDER_PITCH,J-OUT-R_SHOULDER_PITCH,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-R_SHOULDER_ROLL,RS-RARM,R_SHOULDER_ROLL,2,RS-485 HALF-DUPLEX,J-OUT-R_SHOULDER_PITCH,J-ACT-R_SHOULDER_ROLL,J-OUT-R_SHOULDER_ROLL,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-R_ELBOW_PITCH,RS-RARM,R_ELBOW_PITCH,3,RS-485 HALF-DUPLEX,J-OUT-R_SHOULDER_ROLL,J-ACT-R_ELBOW_PITCH,NO OUTGOING CABLE - FAR END,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-WAIST_YAW,RS-WAIST,WAIST_YAW,1,RS-485 HALF-DUPLEX,CB-RS-WAIST,J-ACT-WAIST_YAW,NO OUTGOING CABLE - FAR END,DATA+ | DATA-,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-L_WRIST_ROTATION,TTL-LDIST,L_WRIST_ROTATION,1,TTL HALF-DUPLEX,CB-TTL-LDIST,J-ACT-L_WRIST_ROTATION,J-OUT-L_WRIST_ROTATION,DATA,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B02B-PASK-1; 1=reference, 2=data; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-L_GRIPPER,TTL-LDIST,L_GRIPPER,2,TTL HALF-DUPLEX,J-OUT-L_WRIST_ROTATION,J-ACT-L_GRIPPER,NO OUTGOING CABLE - FAR END,DATA,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B02B-PASK-1; 1=reference, 2=data; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-R_WRIST_ROTATION,TTL-RDIST,R_WRIST_ROTATION,1,TTL HALF-DUPLEX,CB-TTL-RDIST,J-ACT-R_WRIST_ROTATION,J-OUT-R_WRIST_ROTATION,DATA,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B02B-PASK-1; 1=reference, 2=data; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-R_GRIPPER,TTL-RDIST,R_GRIPPER,2,TTL HALF-DUPLEX,J-OUT-R_WRIST_ROTATION,J-ACT-R_GRIPPER,NO OUTGOING CABLE - FAR END,DATA,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B02B-PASK-1; 1=reference, 2=data; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-HEAD_PAN,TTL-HEAD,HEAD_PAN,1,TTL HALF-DUPLEX,CB-TTL-HEAD,J-ACT-HEAD_PAN,J-OUT-HEAD_PAN,DATA,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B02B-PASK-1; 1=reference, 2=data; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
LINK-HEAD_TILT,TTL-HEAD,HEAD_TILT,2,TTL HALF-DUPLEX,J-OUT-HEAD_PAN,J-ACT-HEAD_TILT,NO OUTGOING CABLE - FAR END,DATA,INDIVIDUAL PBR RETURN PAIR TO ACTUATOR PIN 1; NO GND CONDUCTOR IN INTER-ACTUATOR DATA LINK,"B02B-PASK-1; 1=reference, 2=data; NO VDD",ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA,STANDARD DYNAMIXEL CABLE VDD CONTACT MUST NOT PARALLEL A DIFFERENT PROTECTED BRANCH,CONTROLLED SPLIT-HARNESS CANDIDATE: INPUT HOUSING COMBINES INDIVIDUAL POWER PAIR WITH DATA; OUTGOING HOUSING HAS GND/VDD CAVITIES EMPTY,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
