drop_id,axis_id,bus_branch,branch_net,return_net,protection_topology,candidate_12v_stall_endpoint_a,endpoint_boundary,conductor_size,connector_limit,branch_protection,fault_current_length_ambient_bundling_inrush_duty_jurisdiction,authority
PWR-R_ANKLE_PITCH,R_ANKLE_PITCH,RS-RLEG,R_ANKLE_PITCH_VDD,RS-RLEG_RET,PDU-RLEG CHANNEL 5; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 1.47k; PHYSICAL VALIDATION OPEN,2.30,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-R_ANKLE_ROLL,R_ANKLE_ROLL,RS-RLEG,R_ANKLE_ROLL_VDD,RS-RLEG_RET,PDU-RLEG CHANNEL 6; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 1.47k; PHYSICAL VALIDATION OPEN,2.30,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-L_SHOULDER_PITCH,L_SHOULDER_PITCH,RS-LARM,L_SHOULDER_PITCH_VDD,RS-LARM_RET,PDU-ARMS CHANNEL 1; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 1.24k; PHYSICAL VALIDATION OPEN,4.40,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-L_SHOULDER_ROLL,L_SHOULDER_ROLL,RS-LARM,L_SHOULDER_ROLL_VDD,RS-LARM_RET,PDU-ARMS CHANNEL 2; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 1.47k; PHYSICAL VALIDATION OPEN,2.30,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-L_ELBOW_PITCH,L_ELBOW_PITCH,RS-LARM,L_ELBOW_PITCH_VDD,RS-LARM_RET,PDU-ARMS CHANNEL 3; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 1.47k; PHYSICAL VALIDATION OPEN,2.30,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-R_SHOULDER_PITCH,R_SHOULDER_PITCH,RS-RARM,R_SHOULDER_PITCH_VDD,RS-RARM_RET,PDU-ARMS CHANNEL 4; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 1.24k; PHYSICAL VALIDATION OPEN,4.40,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-R_SHOULDER_ROLL,R_SHOULDER_ROLL,RS-RARM,R_SHOULDER_ROLL_VDD,RS-RARM_RET,PDU-ARMS CHANNEL 5; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 1.47k; PHYSICAL VALIDATION OPEN,2.30,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-R_ELBOW_PITCH,R_ELBOW_PITCH,RS-RARM,R_ELBOW_PITCH_VDD,RS-RARM_RET,PDU-ARMS CHANNEL 6; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 1.47k; PHYSICAL VALIDATION OPEN,2.30,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-WAIST_YAW,WAIST_YAW,RS-WAIST,WAIST_YAW_VDD,RS-WAIST_RET,PDU-CORE CHANNEL 1; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 1.24k; PHYSICAL VALIDATION OPEN,4.40,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-L_WRIST_ROTATION,L_WRIST_ROTATION,TTL-LDIST,L_WRIST_ROTATION_VDD,TTL-LDIST_RET,PDU-DISTAL CHANNEL 1; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 3.83k; PHYSICAL VALIDATION OPEN,0.88,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-L_GRIPPER,L_GRIPPER,TTL-LDIST,L_GRIPPER_VDD,TTL-LDIST_RET,PDU-DISTAL CHANNEL 2; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 3.83k; PHYSICAL VALIDATION OPEN,0.88,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-R_WRIST_ROTATION,R_WRIST_ROTATION,TTL-RDIST,R_WRIST_ROTATION_VDD,TTL-RDIST_RET,PDU-DISTAL CHANNEL 3; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 3.83k; PHYSICAL VALIDATION OPEN,0.88,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-R_GRIPPER,R_GRIPPER,TTL-RDIST,R_GRIPPER_VDD,TTL-RDIST_RET,PDU-DISTAL CHANNEL 4; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 3.83k; PHYSICAL VALIDATION OPEN,0.88,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-HEAD_PAN,HEAD_PAN,TTL-HEAD,HEAD_PAN_VDD,TTL-HEAD_RET,PDU-DISTAL CHANNEL 5; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 3.83k; PHYSICAL VALIDATION OPEN,0.88,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
PWR-HEAD_TILT,HEAD_TILT,TTL-HEAD,HEAD_TILT_VDD,TTL-HEAD_RET,PDU-DISTAL CHANNEL 6; TPS259474L COMMISSIONING CANDIDATE; RILM VARIANT 3.83k; PHYSICAL VALIDATION OPEN,0.88,DATASHEET MOMENTARY STALL ENDPOINT; NOT DEMAND/RATING,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,ALL REQUIRED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
