item_id,role,bound_identifier,closure_class,physical_evidence,procurement_released,warning
BOM-098,P1.21 ferrule material candidates,Phoenix Contact 3200043 x1 minimum pack and 3200263 x1 minimum pack,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-099,runtime observation carrier PCBA,HR-V0-RUNTIME-OBS-CARRIER-P0.5 PCBA; 49 mounted components; four M3 mounting interfaces,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-100,Pi observation carrier PCBA,HR-V0-PI-OBS-CARRIER-P0.1 PCBA; two mounted connectors; four M2.5 mounting interfaces,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-101,field observation harness,HR-V0-OBSERVATION-FIELD-HARNESS-P0.1; five point-to-point conductors,design_required,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-102,compute observation harness,HR-V0-OBSERVATION-COMPUTE-HARNESS-P0.1; six point-to-point conductors,design_required,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-103,runtime carrier terminal pair,"MKDS 1/6-3,5; item 1751280; JFIELD1 and JLOGIC1",exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-104,Pi stacking header,ESQ-120-33-G-D; JPI1,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-105,Pi carrier terminal,"MKDS 1/6-3,5; item 1751280; JOBS1",exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-106,observation conductor stock candidates,"3051 WB005, WO005, WV005, WY005, WU005, RD005, BK005, BL005, OR005, VI005 and WH005",exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-107,runtime carrier mounting interface set,4 x TNM3-6.5-10-1; 8 x 0120070000VR or manufacturer-confirmed replacement NSE-1580-M3-6,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-108,Pi carrier mounting interface set,4 x 300251659935; 8 x 50M025045P006,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-061,U2D2-to-JC1 controller harness,HR-V0-U2D2-JC1-HARNESS-P0.1,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-109,six carrier-input source ring terminals,HR-V0-DXL-PROT-CARRIER-HARNESS-P0.2,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-110,"two 40 x 12 mm Rogers 2300327 coupons, converter laminated and cut",HR-V0-J2-PAD-POCKET-P0.1,exact_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-111,3M 467MP nonstructural pad-retention transfer adhesive; exact roll/converter configuration,HR-V0-J2-PAD-POCKET-P0.1,exact_product_family_candidate_hold,OPEN,NO,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
