contact_map_id,assembly_id,bus_id,from_connector,from_contact,to_connector,to_contact,signal,required_population,termination_candidate,topology_rule,inspection_result,execution_state,authority,warning
CFA-RS-LARM-C01,CFA-RS-LARM,RS-LARM,J103,1,RB0-REF-RS-LARM,SELECTION REQUIRED,RS-LARM_RET,POPULATED,SPHD-001T-P0.5 AT PA; RB0 TERMINAL SELECTION REQUIRED,UNIQUE FIELD-REFERENCE LEG; NO ACTUATOR PIN-1 CONNECTION,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-LARM-C02,CFA-RS-LARM,RS-LARM,J103,2,J-ACT-L_SHOULDER_PITCH,3,RS-LARM_DP,POPULATED,SPHD-001T-P0.5 TO SEH-001T-P0.6,DATA+ ONLY,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-LARM-C03,CFA-RS-LARM,RS-LARM,J103,3,J-ACT-L_SHOULDER_PITCH,4,RS-LARM_DN,POPULATED,SPHD-001T-P0.5 TO SEH-001T-P0.6,DATA- ONLY,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-LARM-C04,CFA-RS-LARM,RS-LARM,PBR-L_SHOULDER_PITCH,RET,J-ACT-L_SHOULDER_PITCH,1,ACTUATOR_BRANCH_RET,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,NOT PART OF SERIAL LEAD; COMBINED DESTINATION HOUSING INTERFACE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-LARM-C05,CFA-RS-LARM,RS-LARM,PBR-L_SHOULDER_PITCH,VDD,J-ACT-L_SHOULDER_PITCH,2,ACTUATOR_BRANCH_VDD,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,NOT PART OF SERIAL LEAD; COMBINED DESTINATION HOUSING INTERFACE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-RARM-C01,CFA-RS-RARM,RS-RARM,J104,1,RB0-REF-RS-RARM,SELECTION REQUIRED,RS-RARM_RET,POPULATED,SPHD-001T-P0.5 AT PA; RB0 TERMINAL SELECTION REQUIRED,UNIQUE FIELD-REFERENCE LEG; NO ACTUATOR PIN-1 CONNECTION,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-RARM-C02,CFA-RS-RARM,RS-RARM,J104,2,J-ACT-R_SHOULDER_PITCH,3,RS-RARM_DP,POPULATED,SPHD-001T-P0.5 TO SEH-001T-P0.6,DATA+ ONLY,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-RARM-C03,CFA-RS-RARM,RS-RARM,J104,3,J-ACT-R_SHOULDER_PITCH,4,RS-RARM_DN,POPULATED,SPHD-001T-P0.5 TO SEH-001T-P0.6,DATA- ONLY,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-RARM-C04,CFA-RS-RARM,RS-RARM,PBR-R_SHOULDER_PITCH,RET,J-ACT-R_SHOULDER_PITCH,1,ACTUATOR_BRANCH_RET,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,NOT PART OF SERIAL LEAD; COMBINED DESTINATION HOUSING INTERFACE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-RARM-C05,CFA-RS-RARM,RS-RARM,PBR-R_SHOULDER_PITCH,VDD,J-ACT-R_SHOULDER_PITCH,2,ACTUATOR_BRANCH_VDD,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,NOT PART OF SERIAL LEAD; COMBINED DESTINATION HOUSING INTERFACE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-WAIST-C01,CFA-RS-WAIST,RS-WAIST,J105,1,RB0-REF-RS-WAIST,SELECTION REQUIRED,RS-WAIST_RET,POPULATED,SPHD-001T-P0.5 AT PA; RB0 TERMINAL SELECTION REQUIRED,UNIQUE FIELD-REFERENCE LEG; NO ACTUATOR PIN-1 CONNECTION,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-WAIST-C02,CFA-RS-WAIST,RS-WAIST,J105,2,J-ACT-WAIST_YAW,3,RS-WAIST_DP,POPULATED,SPHD-001T-P0.5 TO SEH-001T-P0.6,DATA+ ONLY,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-WAIST-C03,CFA-RS-WAIST,RS-WAIST,J105,3,J-ACT-WAIST_YAW,4,RS-WAIST_DN,POPULATED,SPHD-001T-P0.5 TO SEH-001T-P0.6,DATA- ONLY,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-WAIST-C04,CFA-RS-WAIST,RS-WAIST,PBR-WAIST_YAW,RET,J-ACT-WAIST_YAW,1,ACTUATOR_BRANCH_RET,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,NOT PART OF SERIAL LEAD; COMBINED DESTINATION HOUSING INTERFACE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-RS-WAIST-C05,CFA-RS-WAIST,RS-WAIST,PBR-WAIST_YAW,VDD,J-ACT-WAIST_YAW,2,ACTUATOR_BRANCH_VDD,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,NOT PART OF SERIAL LEAD; COMBINED DESTINATION HOUSING INTERFACE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-TTL-LDIST-C01,CFA-TTL-LDIST,TTL-LDIST,J201,1,NONE,NONE,CTRL_GND,EMPTY,NO CONTACT,DO NOT ADD A SECOND CTRL_GND-TO-RB0 PATH,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-TTL-LDIST-C02,CFA-TTL-LDIST,TTL-LDIST,J201,2,J-ACT-L_WRIST_ROTATION,3,TTL-LDIST_DATA,POPULATED,SPHD-002T-P0.5 TO SEH-001T-P0.6,TTL DATA ONLY,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-TTL-LDIST-C03,CFA-TTL-LDIST,TTL-LDIST,PBR-L_WRIST_ROTATION,RET,J-ACT-L_WRIST_ROTATION,1,ACTUATOR_BRANCH_RET,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,ACTUATOR REFERENCE RETURNS THROUGH ITS OWN POWER PAIR,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-TTL-LDIST-C04,CFA-TTL-LDIST,TTL-LDIST,PBR-L_WRIST_ROTATION,VDD,J-ACT-L_WRIST_ROTATION,2,ACTUATOR_BRANCH_VDD,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,NOT PART OF SERIAL LEAD; COMBINED DESTINATION HOUSING INTERFACE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-TTL-RDIST-C01,CFA-TTL-RDIST,TTL-RDIST,J202,1,NONE,NONE,CTRL_GND,EMPTY,NO CONTACT,DO NOT ADD A SECOND CTRL_GND-TO-RB0 PATH,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-TTL-RDIST-C02,CFA-TTL-RDIST,TTL-RDIST,J202,2,J-ACT-R_WRIST_ROTATION,3,TTL-RDIST_DATA,POPULATED,SPHD-002T-P0.5 TO SEH-001T-P0.6,TTL DATA ONLY,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-TTL-RDIST-C03,CFA-TTL-RDIST,TTL-RDIST,PBR-R_WRIST_ROTATION,RET,J-ACT-R_WRIST_ROTATION,1,ACTUATOR_BRANCH_RET,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,ACTUATOR REFERENCE RETURNS THROUGH ITS OWN POWER PAIR,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-TTL-RDIST-C04,CFA-TTL-RDIST,TTL-RDIST,PBR-R_WRIST_ROTATION,VDD,J-ACT-R_WRIST_ROTATION,2,ACTUATOR_BRANCH_VDD,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,NOT PART OF SERIAL LEAD; COMBINED DESTINATION HOUSING INTERFACE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-TTL-HEAD-C01,CFA-TTL-HEAD,TTL-HEAD,J203,1,NONE,NONE,CTRL_GND,EMPTY,NO CONTACT,DO NOT ADD A SECOND CTRL_GND-TO-RB0 PATH,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-TTL-HEAD-C02,CFA-TTL-HEAD,TTL-HEAD,J203,2,J-ACT-HEAD_PAN,3,TTL-HEAD_DATA,POPULATED,SPHD-002T-P0.5 TO SEH-001T-P0.6,TTL DATA ONLY,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-TTL-HEAD-C03,CFA-TTL-HEAD,TTL-HEAD,PBR-HEAD_PAN,RET,J-ACT-HEAD_PAN,1,ACTUATOR_BRANCH_RET,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,ACTUATOR REFERENCE RETURNS THROUGH ITS OWN POWER PAIR,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
CFA-TTL-HEAD-C04,CFA-TTL-HEAD,TTL-HEAD,PBR-HEAD_PAN,VDD,J-ACT-HEAD_PAN,2,ACTUATOR_BRANCH_VDD,POPULATED BY POWER BRANCH,SEPARATE POWER-BRANCH PROCESS,NOT PART OF SERIAL LEAD; COMBINED DESTINATION HOUSING INTERFACE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CARRIER-TO-FIRST-AXIS HARNESS CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
