board,net,routing_grid_mm,routed_pad_count,path_segments,transition_vias,routing_layers,routing_method,warning
A,RS-LLEG_DP,0.50,5,57,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RARM_DN,0.50,5,43,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RARM_DP,0.50,5,58,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RLEG_DN,0.50,5,43,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RLEG_DP,0.50,5,58,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-LARM_GND2,0.50,4,25,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-LLEG_GND2,0.50,4,25,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RARM_GND2,0.50,4,25,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RLEG_GND2,0.50,4,25,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-LARM_VISOIN,0.50,3,15,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-LARM_VISOOUT,0.50,3,17,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-LLEG_VISOIN,0.50,3,15,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-LLEG_VISOOUT,0.50,3,17,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RARM_VISOIN,0.50,3,15,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RARM_VISOOUT,0.50,3,18,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RLEG_VISOIN,0.50,3,15,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RLEG_VISOOUT,0.50,3,18,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,UART_RS-LARM_DIR,0.50,3,39,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,UART_RS-LLEG_DIR,0.50,3,92,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,UART_RS-RARM_DIR,0.50,3,71,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,UART_RS-RLEG_DIR,0.50,3,59,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-LARM_TERM,0.50,2,14,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-LLEG_TERM,0.50,2,14,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RARM_TERM,0.50,2,16,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,RS-RLEG_TERM,0.50,2,16,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,UART_RS-LARM_RX,0.50,2,38,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,UART_RS-LARM_TX,0.50,2,34,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,UART_RS-LLEG_RX,0.50,2,90,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,UART_RS-LLEG_TX,0.50,2,91,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,UART_RS-RARM_RX,0.50,2,69,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,UART_RS-RARM_TX,0.50,2,69,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,UART_RS-RLEG_RX,0.50,2,54,2,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
A,UART_RS-RLEG_TX,0.50,2,59,2,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,CTRL_GND,0.50,24,391,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,CTRL_5V,0.50,13,280,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,CTRL_3V3,0.50,9,221,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,RS-WAIST_RET,0.50,6,38,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,RS-WAIST_DN,0.50,5,43,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,RS-WAIST_DP,0.50,5,57,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,RS-WAIST_GND2,0.50,4,25,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,TTL-HEAD_DATA,0.50,4,38,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,TTL-LDIST_DATA,0.50,4,40,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,TTL-RDIST_DATA,0.50,4,46,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,RS-WAIST_VISOIN,0.50,3,15,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,RS-WAIST_VISOOUT,0.50,3,17,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,UART_RS-WAIST_DIR,0.50,3,92,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,UART_TTL-HEAD_DIR,0.50,3,102,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,UART_TTL-LDIST_DIR,0.50,3,74,2,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,UART_TTL-RDIST_DIR,0.50,3,70,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,RS-WAIST_TERM,0.50,2,14,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,TTL-HEAD_DATA_PRE,0.50,2,18,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,TTL-LDIST_DATA_PRE,0.50,2,20,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,TTL-RDIST_DATA_PRE,0.50,2,18,0,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,UART_RS-WAIST_RX,0.50,2,90,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,UART_RS-WAIST_TX,0.50,2,91,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,UART_TTL-HEAD_TX,0.50,2,88,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,UART_TTL-LDIST_TX,0.50,2,60,2,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
B,UART_TTL-RDIST_TX,0.50,2,54,1,In1.Cu/In2.Cu/In3.Cu/In4.Cu,four-layer deterministic Manhattan maze route,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION OR ENERGIZATION"
