item_id,module,role,candidate,bbox_x_mm,bbox_y_mm,bbox_z_mm,center_x_mm,center_y_mm,center_z_mm,planning_mass_kg,operating_power_w,candidate_heat_w,mounting_plane,service_direction,connector_boundary,dynamic_link,evidence_state,warning
EQ-WPS-RS-LARM,T01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-RS-LARM instance; three left-arm axes plus three DNP channels,45.004,8.004,124.004,46.000,31.000,522.000,0.045000,0.100,0.800,right half of rear torso outer electronics layer,removable-cover withdrawal before connector service,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",torso,"native schematic ERC 0/0 for connectivity/annotation; PCB, stackup, connector temperature, regeneration, physical fit and thermal proof remain open","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-WPS-RS-RARM,T01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-RS-RARM instance; three right-arm axes plus three DNP channels,45.004,8.004,124.004,-46.000,31.000,522.000,0.045000,0.100,0.800,left half of rear torso outer electronics layer,removable-cover withdrawal before connector service,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",torso,"native schematic ERC 0/0 for connectivity/annotation; PCB, stackup, connector temperature, regeneration, physical fit and thermal proof remain open","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-WPS-TTL-LDIST,T01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-TTL-LDIST instance; left wrist and gripper plus four DNP channels,45.004,8.004,124.004,46.000,21.000,522.000,0.045000,0.100,0.800,right half of rear torso inner electronics layer,removable-cover withdrawal before connector service,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",torso,"native schematic ERC 0/0 for connectivity/annotation; PCB, stackup, connector temperature, regeneration, physical fit and thermal proof remain open","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-WPS-TTL-RDIST,T01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-TTL-RDIST instance; right wrist and gripper plus four DNP channels,45.004,8.004,124.004,-46.000,21.000,522.000,0.045000,0.100,0.800,left half of rear torso inner electronics layer,removable-cover withdrawal before connector service,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",torso,"native schematic ERC 0/0 for connectivity/annotation; PCB, stackup, connector temperature, regeneration, physical fit and thermal proof remain open","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-WPS-TTL-HEAD,T01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-TTL-HEAD instance; head pan and tilt plus four DNP channels,124.004,8.004,45.004,0.000,11.000,605.000,0.045000,0.100,0.800,upper torso inner electronics tray,removable-cover withdrawal before connector service,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",torso,"native schematic ERC 0/0 for connectivity/annotation; PCB, stackup, connector temperature, regeneration, physical fit and thermal proof remain open","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-WPS-RS-WAIST,P01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer WPS-RS-WAIST instance; waist axis plus five DNP channels,124.004,8.004,45.004,0.000,-18.000,382.000,0.045000,0.100,0.800,front pelvis power tray,removable-cover withdrawal before connector service,"one bus-specific controlled feed input, six paired bidirectional branch outputs, six disable/PG control boundaries",base_link,"native schematic ERC 0/0 for connectivity/annotation; PCB, stackup, connector temperature, regeneration, physical fit and thermal proof remain open","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-T01-TTL-REG-LDIST,T01,dedicated 12 V to 9 V actuator-bus regulator,Pololu S18V20F9 item 2576 candidate in 45 x 22 x 14 mm installed clearance envelope; output TTL_LDIST_SAFE_9V,45.004,14.004,22.004,50.000,1.000,450.000,0.018000,18.000,2.200,lower torso isolated converter rail,-Y front-cover withdrawal,separate ACT_MAIN_SAFE_12V input and TTL_LDIST_SAFE_9V output; no regulator outputs may be paralleled; exact contacts and reverse-energy behavior open,torso,"exact product family candidate and installed clearance envelope; current margin, transients, protection, thermal behavior and reverse-energy validation remain open","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-T01-TTL-REG-RDIST,T01,dedicated 12 V to 9 V actuator-bus regulator,Pololu S18V20F9 item 2576 candidate in 45 x 22 x 14 mm installed clearance envelope; output TTL_RDIST_SAFE_9V,45.004,14.004,22.004,0.000,1.000,450.000,0.018000,18.000,2.200,lower torso isolated converter rail,-Y front-cover withdrawal,separate ACT_MAIN_SAFE_12V input and TTL_RDIST_SAFE_9V output; no regulator outputs may be paralleled; exact contacts and reverse-energy behavior open,torso,"exact product family candidate and installed clearance envelope; current margin, transients, protection, thermal behavior and reverse-energy validation remain open","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-T01-TTL-REG-HEAD,T01,dedicated 12 V to 9 V actuator-bus regulator,Pololu S18V20F9 item 2576 candidate in 45 x 22 x 14 mm installed clearance envelope; output TTL_HEAD_SAFE_9V,45.004,14.004,22.004,-50.000,1.000,450.000,0.018000,18.000,2.200,lower torso isolated converter rail,-Y front-cover withdrawal,separate ACT_MAIN_SAFE_12V input and TTL_HEAD_SAFE_9V output; no regulator outputs may be paralleled; exact contacts and reverse-energy behavior open,torso,"exact product family candidate and installed clearance envelope; current margin, transients, protection, thermal behavior and reverse-energy validation remain open","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-P01-AUX-CONVERTER,P01,auxiliary power conversion,isolated 14.8 V to 5.1 V compute/HMI converter candidate; exact model required,62.004,18.004,24.004,-35.000,-4.000,408.000,0.095000,0.000,6.000,upper pelvis conductive tray,-Y front-cover withdrawal,protected primary input; separate compute and control outputs; grounding scheme open,base_link,planning envelope/mass/loss only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-P01-IMU,P01,pelvis inertial sensor,industrial 6/9-axis IMU module candidate; exact model required,34.004,10.004,34.004,43.000,-4.000,408.000,0.025000,0.800,0.800,machined pelvis datum pad,-Y front-cover withdrawal,isolated CAN/SPI and keyed power; axis/latency/calibration interface open,base_link,datum envelope and mass allowance only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-P01-RESTRAINT-ANCHOR,P01,fall-restraint body hardpoint,through-bolted dual-lug restraint anchor candidate,34.006,28.006,24.006,0.000,43.000,414.000,0.085000,0.000,0.000,rear pelvis restraint bridge,+Y external inspection/access,rated connector geometry/load path remains open,base_link,visible metal candidate; no fall-load credit,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-T01-BATTERY-PACK,T01,legacy onboard-energy packaging envelope,LEGACY Grepow/Tattu TAA12K4S30EC5 envelope only - REJECTED as direct actuator source; BLF-1209WS later evaluation candidate requires cassette redesign,72.008,37.008,193.008,-0.000,76.000,530.000,1.057000,0.000,0.000,"rear-torso removable battery cassette datum X=0, Y=+76, Z=530 mm",+Y keyed cassette withdrawal,high-current power and balance/telemetry connectors SELECTION REQUIRED; no BMS/PCM inferred,torso,legacy 193 x 72 x 37 mm / 1.057 kg geometry retained only to expose the superseded packaging assumption; no source selection,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-T01-BATTERY-CASSETTE,T01,battery enclosure and retention,84 x 49 x 205 mm removable ventilated metal cassette candidate,84.012,49.012,205.012,-0.000,76.000,530.000,0.220000,0.000,0.000,four-point rear-torso frame interface around battery datum,+Y tool-released cassette withdrawal,"mechanical keying, secondary retention, venting, containment and fall-load path SELECTION REQUIRED",torso,dimensioned hollow cassette geometry and mass allowance only; no impact/fire/retention credit,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-T01-BATTERY-PROTECTION,T01,battery protection and telemetry,"4S high-current protection, cell monitor and temperature interface reservation; exact hardware SELECTION REQUIRED",70.003,6.003,24.003,0.000,98.000,530.000,0.080000,0.800,1.500,inside rear cassette service wall,+Y cassette service,"cell taps, dual temperature inputs, pack current, precharge and hardwired inhibit; ratings/pinout open",torso,pack product page does not state integrated BMS/PCM; independent protection remains mandatory and unselected,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-H01-DISPLAY,H01,face display,"Waveshare 4inch HDMI LCD (H), SKU 16340, rotated landscape candidate",98.006,14.606,58.006,-0.000,-48.000,704.000,0.123000,5.000,4.000,rear of face bezel,-Y bezel withdrawal,"remote micro-HDMI-to-full-HDMI link from torso Pi 5, separately protected 5 V, and optional touch SPI; direct GPIO stacking rejected by packaging",head,manufacturer lists 4-inch 480x800 display and 0.123 kg; final 3D drawing/incoming fit required,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-H01-CAMERA-L,H01,stereo/wide vision,Raspberry Pi Camera Module 3 Wide candidate,25.004,12.404,24.004,34.000,-51.000,744.000,0.012000,1.500,1.200,upper face bezel camera datum,-Y bezel withdrawal,official Standard-Mini camera cable family: Pi 5 22-way FPC to Camera Module 3 15-pin FPC; 300 mm route candidate; privacy indicator interlock open,head,25 x 24 x 12.4 mm Wide envelope verified; 12 g installed allowance is not published mass,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-H01-CAMERA-R,H01,stereo/wide vision,Raspberry Pi Camera Module 3 Wide candidate,25.004,12.404,24.004,-34.000,-51.000,744.000,0.012000,1.500,1.200,upper face bezel camera datum,-Y bezel withdrawal,official Standard-Mini camera cable family: Pi 5 22-way FPC to Camera Module 3 15-pin FPC; 300 mm route candidate; privacy indicator interlock open,head,25 x 24 x 12.4 mm Wide envelope verified; 12 g installed allowance is not published mass,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-H01-MIC-ARRAY,H01,far-field microphone array,"Seeed Studio reSpeaker Flex XVF3800 Linear-4, SKU 100099135, microphone daughterboard candidate",110.004,10.004,18.004,0.000,-48.000,664.000,0.040000,0.100,0.100,lower face bezel isolated mount,-Y bezel withdrawal,"included 24-pin 0.5 mm-pitch 200 mm FPC to rear-head XVF3800 core; acoustic seals, vibration isolation and privacy mute circuit open",head,110 x 10 x 18 mm planning envelope derived from the published 4 x 33 mm microphone spacing; official 2D DXF and received-board fit remain required,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-H01-SPEAKER-L,H01,speech output,"Seeed Studio Mono Enclosed Speaker 4R 5W, SKU 114993346 candidate",12.006,40.006,40.006,58.000,22.000,704.000,0.030000,0.000,5.000,head side acoustic baffle,+X side-cover service,"two-wire 4 ohm speaker link from reSpeaker Flex core; exact mating connector, grille, seal and acoustic test open",head,40 mm planning envelope/mass allowance remains subject to received-part measurement,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-H01-SPEAKER-R,H01,speech output,"Seeed Studio Mono Enclosed Speaker 4R 5W, SKU 114993346 candidate",12.006,40.006,40.006,-58.000,22.000,704.000,0.030000,0.000,5.000,head side acoustic baffle,-X side-cover service,"two-wire 4 ohm speaker link from reSpeaker Flex core; exact mating connector, grille, seal and acoustic test open",head,40 mm planning envelope/mass allowance remains subject to received-part measurement,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-H01-AUDIO-AMP,H01,audio amplifier,Seeed Studio reSpeaker Flex XVF3800 core board included with SKU 100099135 candidate,65.004,12.004,45.004,-0.000,35.000,676.000,0.055000,12.000,3.000,rear head electronics tray,+Y rear-cover withdrawal,"locking PH2.0 USB UAC/DFU host link, 12 V auxiliary power, included 24-pin microphone FPC and two 4 ohm speaker outputs; exact connector contacts and gain/EMC validation open",head,65 x 12 x 45 mm planning envelope; official 2D/3D files and received-board fit remain required,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-H01-FAN,H01,head ventilation,Sunon MF30100V3-10000-A99 30 x 30 x 10 mm 5 V fan candidate,30.004,10.004,30.004,-0.000,43.000,739.000,0.007800,0.230,0.230,rear head vent frame,+Y rear-cover withdrawal,"5 V two-wire fan; protected feed, current-based failure detection, filter, duct, noise and finger guard open; no tach signal inferred",head,"manufacturer lists 5 V, 45 mA, 0.23 W, 6000 rpm, 2.5 CFM, 10.2 dBA and 7.8 g; exact received lead/connector suffix remains open","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-F01-SOLE,F01,compliant sole,replaceable 2.5 mm patterned TPU/rubber tread candidate,86.002,138.002,2.502,62.500,25.000,1.250,0.037500,0.000,0.000,underside of sole carrier,-Z replacement,mechanical adhesive/fastener pattern; friction/wear selection open,L_foot,planning geometry/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-F01-LOAD-11,F01,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,18.004,18.004,6.004,37.500,-18.000,10.000,0.010000,0.050,0.050,sole carrier four-corner datum,+Z top-cover service,four-wire bridge or local ADC; overload stop and calibration open,L_foot,planning envelope/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-F01-LOAD-12,F01,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,18.004,18.004,6.004,87.500,-18.000,10.000,0.010000,0.050,0.050,sole carrier four-corner datum,+Z top-cover service,four-wire bridge or local ADC; overload stop and calibration open,L_foot,planning envelope/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-F01-LOAD-21,F01,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,18.004,18.004,6.004,37.500,68.000,10.000,0.010000,0.050,0.050,sole carrier four-corner datum,+Z top-cover service,four-wire bridge or local ADC; overload stop and calibration open,L_foot,planning envelope/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-F01-LOAD-22,F01,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,18.004,18.004,6.004,87.500,68.000,10.000,0.010000,0.050,0.050,sole carrier four-corner datum,+Z top-cover service,four-wire bridge or local ADC; overload stop and calibration open,L_foot,planning envelope/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-F02-SOLE,F02,compliant sole,replaceable 2.5 mm patterned TPU/rubber tread candidate,86.002,138.002,2.502,-62.500,25.000,1.250,0.037500,0.000,0.000,underside of sole carrier,-Z replacement,mechanical adhesive/fastener pattern; friction/wear selection open,R_foot,planning geometry/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-F02-LOAD-11,F02,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,18.004,18.004,6.004,-87.500,-18.000,10.000,0.010000,0.050,0.050,sole carrier four-corner datum,+Z top-cover service,four-wire bridge or local ADC; overload stop and calibration open,R_foot,planning envelope/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-F02-LOAD-12,F02,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,18.004,18.004,6.004,-37.500,-18.000,10.000,0.010000,0.050,0.050,sole carrier four-corner datum,+Z top-cover service,four-wire bridge or local ADC; overload stop and calibration open,R_foot,planning envelope/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-F02-LOAD-21,F02,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,18.004,18.004,6.004,-87.500,68.000,10.000,0.010000,0.050,0.050,sole carrier four-corner datum,+Z top-cover service,four-wire bridge or local ADC; overload stop and calibration open,R_foot,planning envelope/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-F02-LOAD-22,F02,foot normal-force sensor,miniature load-cell/force-sensor puck candidate,18.004,18.004,6.004,-37.500,68.000,10.000,0.010000,0.050,0.050,sole carrier four-corner datum,+Z top-cover service,four-wire bridge or local ADC; overload stop and calibration open,R_foot,planning envelope/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-G01-INBOARD-PAD,G01,gripper contact pad,replaceable compliant urethane/silicone pad candidate,16.003,4.003,8.003,120.000,-24.000,234.979,0.005000,0.000,0.000,finger contact land,-Y replacement,mechanical captive pocket/adhesive selection open,L_hand,planning geometry/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-G01-OUTBOARD-PAD,G01,gripper contact pad,replaceable compliant urethane/silicone pad candidate,16.003,4.003,8.003,146.000,-24.000,234.979,0.005000,0.000,0.000,finger contact land,-Y replacement,mechanical captive pocket/adhesive selection open,L_hand,planning geometry/mass only,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
