component,group,physical_or_reference,xmin_mm,xmax_mm,ymin_mm,ymax_mm,zmin_mm,zmax_mm,note,status
R_HAND_PALM_ENVELOPE,hand-shaped gripper palm,PHYSICAL ENVELOPE,-165.006055,-114.993945,-29.006055,29.006055,251.993945,288.006055,houses one actuator and symmetric coupling,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_INBOARD_GRIPPER_FINGER,hand-shaped gripper finger,PHYSICAL ENVELOPE,-162.005046,-143.994954,-22.005046,22.005046,208.994954,255.005046,broad parallel jaw; no narrow scissor point,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_INBOARD_SOFT_PAD_LAND,gripper contact pad land,PHYSICAL ENVELOPE,-161.003028,-144.996972,-24.003028,24.003028,215.996972,224.003028,replaceable compliant pad; material and force-stroke selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_OUTBOARD_GRIPPER_FINGER,hand-shaped gripper finger,PHYSICAL ENVELOPE,-136.005046,-117.994954,-22.005046,22.005046,208.994954,255.005046,broad parallel jaw; no narrow scissor point,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_OUTBOARD_SOFT_PAD_LAND,gripper contact pad land,PHYSICAL ENVELOPE,-135.003028,-118.996972,-24.003028,24.003028,215.996972,224.003028,replaceable compliant pad; material and force-stroke selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
TORSO_COMPUTE_BAY,component bay,REFERENCE/RESERVATION,-71.004037,71.004037,-31.004037,41.004037,478.995963,561.004037,"compute, cooling, storage and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
PELVIS_POWER_BAY,component bay,REFERENCE/RESERVATION,-59.004037,59.004037,-31.004037,41.004037,359.495963,404.504037,"source, conversion, protection and regeneration architecture selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
HEAD_SENSOR_BAY,component bay,REFERENCE/RESERVATION,-54.004037,54.004037,-31.004037,39.004037,675.995963,734.004037,"camera, audio, illumination and privacy hardware selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
PELVIS_IMU_DATUM_BAY,component bay,REFERENCE/RESERVATION,-21.003028,21.003028,-21.003028,21.003028,396.996972,417.003028,pelvis IMU exact model and mount remain open,CANDIDATE ENVELOPE - NOT A FABRICATION PART
PELVIS_RESTRAINT_INTERFACE_ENVELOPE,restraint interface,REFERENCE/RESERVATION,-40.003028,40.003028,5.996972,58.003028,403.996972,424.003028,rated restraint interface not designed,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_HEAD_PAN,joint axis reference,REFERENCE/RESERVATION,-3.501088,3.501088,-3.500000,3.500000,622.498912,677.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_HEAD_TILT,joint axis reference,REFERENCE/RESERVATION,-27.501088,27.501088,-3.500000,3.500000,686.498912,693.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_WAIST_YAW,joint axis reference,REFERENCE/RESERVATION,-3.501088,3.501088,-3.500000,3.500000,397.498912,452.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_SHOULDER_PITCH,joint axis reference,REFERENCE/RESERVATION,70.998912,139.001088,-3.500000,3.500000,586.498912,593.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_SHOULDER_ROLL,joint axis reference,REFERENCE/RESERVATION,101.500000,108.500000,-34.001088,34.001088,586.498912,593.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_ELBOW_PITCH,joint axis reference,REFERENCE/RESERVATION,100.998912,169.001088,-3.500000,3.500000,436.498912,443.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_WRIST_ROTATION,joint axis reference,REFERENCE/RESERVATION,136.498912,143.501088,-3.500000,3.500000,260.998912,329.001088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_GRIPPER,joint axis reference,REFERENCE/RESERVATION,105.998912,174.001088,-3.500000,3.500000,248.498912,255.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_HIP_YAW,joint axis reference,REFERENCE/RESERVATION,58.998912,66.001088,-3.500000,3.500000,375.998912,444.001088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_HIP_ROLL,joint axis reference,REFERENCE/RESERVATION,59.000000,66.000000,-34.001088,34.001088,386.498912,393.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_HIP_PITCH,joint axis reference,REFERENCE/RESERVATION,28.498912,96.501088,-3.500000,3.500000,366.498912,373.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_KNEE_PITCH,joint axis reference,REFERENCE/RESERVATION,28.498912,96.501088,-3.500000,3.500000,206.498912,213.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_ANKLE_PITCH,joint axis reference,REFERENCE/RESERVATION,28.498912,96.501088,-3.500000,3.500000,51.498912,58.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_L_ANKLE_ROLL,joint axis reference,REFERENCE/RESERVATION,59.000000,66.000000,-34.001088,34.001088,31.498912,38.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_SHOULDER_PITCH,joint axis reference,REFERENCE/RESERVATION,-139.001088,-70.998912,-3.500000,3.500000,586.498912,593.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_SHOULDER_ROLL,joint axis reference,REFERENCE/RESERVATION,-108.500000,-101.500000,-34.001088,34.001088,586.498912,593.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_ELBOW_PITCH,joint axis reference,REFERENCE/RESERVATION,-169.001088,-100.998912,-3.500000,3.500000,436.498912,443.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_WRIST_ROTATION,joint axis reference,REFERENCE/RESERVATION,-143.501088,-136.498912,-3.500000,3.500000,260.998912,329.001088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_GRIPPER,joint axis reference,REFERENCE/RESERVATION,-174.001088,-105.998912,-3.500000,3.500000,248.498912,255.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_HIP_YAW,joint axis reference,REFERENCE/RESERVATION,-66.001088,-58.998912,-3.500000,3.500000,375.998912,444.001088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_HIP_ROLL,joint axis reference,REFERENCE/RESERVATION,-66.000000,-59.000000,-34.001088,34.001088,386.498912,393.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_HIP_PITCH,joint axis reference,REFERENCE/RESERVATION,-96.501088,-28.498912,-3.500000,3.500000,366.498912,373.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_KNEE_PITCH,joint axis reference,REFERENCE/RESERVATION,-96.501088,-28.498912,-3.500000,3.500000,206.498912,213.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_ANKLE_PITCH,joint axis reference,REFERENCE/RESERVATION,-96.501088,-28.498912,-3.500000,3.500000,51.498912,58.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
AXIS_R_ANKLE_ROLL,joint axis reference,REFERENCE/RESERVATION,-66.000000,-59.000000,-34.001088,34.001088,31.498912,38.501088,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_PAN_OUTPUT_SHAFT,joint module shaft,PHYSICAL ENVELOPE,-3.000933,3.000933,-3.000000,3.000000,630.999067,669.000933,"JMF-01-COMPACT hollow shaft candidate with 3.7 mm through bore; material, wall, fits and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_PAN_BEARING_B_RING,joint module bearing,PHYSICAL ENVELOPE,-7.502331,7.502331,-7.500000,7.500000,660.997669,666.002331,"JMF-01-COMPACT 696 OPEN EVALUATION CANDIDATE catalogue envelope; load direction, life, suffix, fit, retention and application selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_PAN_INTERFACE_PLATE_B,joint module interface plate,PHYSICAL ENVELOPE,-19.001189,19.001189,-18.001189,18.001189,665.998409,669.001591,JMF-01-COMPACT provisional four-hole module interface; thread/fastener stack not released,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_PAN_CABLE_CORRIDOR,joint cable corridor,REFERENCE/RESERVATION,-3.000933,3.000933,7.080000,13.080000,630.999067,669.000933,JMF-01-COMPACT routing reservation; cable construction and bend control selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_PAN_ACTUATOR_VENDOR_CANDIDATE,joint actuator vendor geometry,PHYSICAL ENVELOPE,-24.500000,9.500000,-10.000000,10.000000,591.500000,620.500000,ROBOTIS-XC330 SHA-bound manufacturer geometry in STEP; dimension-matched simplified body in GLB; project mounting interface remains candidate,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_PAN_ACTUATOR_OUTPUT_COUPLER,joint transmission,PHYSICAL ENVELOPE,-2.160671,2.160671,-2.160000,2.160000,613.999329,650.000671,"coaxial output coupling candidate; spline, clamp, material and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_TILT_OUTPUT_SHAFT,joint module shaft,PHYSICAL ENVELOPE,-19.000933,19.000933,-3.000000,3.000000,686.999067,693.000933,"JMF-01-COMPACT hollow shaft candidate with 3.7 mm through bore; material, wall, fits and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_TILT_BEARING_B_RING,joint module bearing,PHYSICAL ENVELOPE,10.997669,16.002331,-7.500000,7.500000,682.497669,697.502331,"JMF-01-COMPACT 696 OPEN EVALUATION CANDIDATE catalogue envelope; load direction, life, suffix, fit, retention and application selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_TILT_INTERFACE_PLATE_B,joint module interface plate,PHYSICAL ENVELOPE,15.998409,19.001591,-18.001189,18.001189,670.998811,709.001189,JMF-01-COMPACT provisional four-hole module interface; thread/fastener stack not released,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_TILT_CABLE_CORRIDOR,joint cable corridor,REFERENCE/RESERVATION,-19.000933,19.000933,7.080000,13.080000,686.999067,693.000933,JMF-01-COMPACT routing reservation; cable construction and bend control selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_TILT_ACTUATOR_VENDOR_CANDIDATE,joint actuator vendor geometry,PHYSICAL ENVELOPE,-58.500000,-29.500000,-10.000000,10.000000,665.500000,699.500000,ROBOTIS-XC330 SHA-bound manufacturer geometry in STEP; dimension-matched simplified body in GLB; project mounting interface remains candidate,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_HEAD_TILT_ACTUATOR_OUTPUT_COUPLER,joint transmission,PHYSICAL ENVELOPE,-36.000671,0.000671,-2.160000,2.160000,687.839329,692.160671,"coaxial output coupling candidate; spline, clamp, material and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_WAIST_YAW_OUTPUT_SHAFT,joint module shaft,PHYSICAL ENVELOPE,-8.502642,8.502642,-8.500000,8.500000,405.997358,444.002642,"JMF-05-WAIST hollow shaft candidate with 10.5 mm through bore; material, wall, fits and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_WAIST_YAW_BEARING_B_RING,joint module bearing,PHYSICAL ENVELOPE,-13.004041,13.004041,-13.000000,13.000000,433.995959,439.004041,"JMF-05-WAIST 6803 OPEN EVALUATION CANDIDATE catalogue envelope; load direction, life, suffix, fit, retention and application selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_WAIST_YAW_INTERFACE_PLATE_B,joint module interface plate,PHYSICAL ENVELOPE,-36.000984,36.000984,-49.000984,49.000984,438.996540,444.003460,JMF-05-WAIST provisional four-hole module interface; thread/fastener stack not released,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_WAIST_YAW_CABLE_CORRIDOR,joint cable corridor,REFERENCE/RESERVATION,-9.002797,9.002797,11.160000,29.160000,405.997203,444.002797,JMF-05-WAIST routing reservation; cable construction and bend control selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_WAIST_YAW_ACTUATOR_VENDOR_CANDIDATE,joint actuator vendor geometry,PHYSICAL ENVELOPE,-44.750000,13.750000,-16.750000,16.750000,357.500000,411.800000,ROBOTIS-540 SHA-bound manufacturer geometry in STEP; dimension-matched simplified body in GLB; project mounting interface remains candidate,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_WAIST_YAW_ACTUATOR_OUTPUT_COUPLER,joint transmission,PHYSICAL ENVELOPE,-6.121902,6.121902,-6.120000,6.120000,381.998098,425.001902,"coaxial output coupling candidate; spline, clamp, material and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_OUTPUT_SHAFT,joint module shaft,PHYSICAL ENVELOPE,77.998446,132.001554,-5.000000,5.000000,584.998446,595.001554,"JMF-03-SHOULDER-GIMBAL hollow shaft candidate with 6.2 mm through bore; material, wall, fits and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_BEARING_A_RING,joint module bearing,PHYSICAL ENVELOPE,81.996581,88.003419,-11.000000,11.000000,578.996581,601.003419,"JMF-03-SHOULDER-GIMBAL 61900-2RS1 EVALUATION CANDIDATE catalogue envelope; load direction, life, suffix, fit, retention and application selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_INTERFACE_PLATE_A,joint module interface plate,PHYSICAL ENVELOPE,77.997695,82.002305,-26.001690,26.001690,561.998310,618.001690,JMF-03-SHOULDER-GIMBAL provisional four-hole module interface; thread/fastener stack not released,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_BEARING_B_RING,joint module bearing,PHYSICAL ENVELOPE,121.996581,128.003419,-11.000000,11.000000,578.996581,601.003419,"JMF-03-SHOULDER-GIMBAL 61900-2RS1 EVALUATION CANDIDATE catalogue envelope; load direction, life, suffix, fit, retention and application selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_INTERFACE_PLATE_B,joint module interface plate,PHYSICAL ENVELOPE,127.997695,132.002305,-26.001690,26.001690,561.998310,618.001690,JMF-03-SHOULDER-GIMBAL provisional four-hole module interface; thread/fastener stack not released,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_CABLE_CORRIDOR,joint cable corridor,REFERENCE/RESERVATION,77.998446,132.001554,9.560000,19.560000,584.998446,595.001554,JMF-03-SHOULDER-GIMBAL routing reservation; cable construction and bend control selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_OUTPUT_PULLEY,joint transmission,PHYSICAL ENVELOPE,98.994240,111.005760,-18.535760,18.535760,571.470000,608.530000,1.5:1 exact catalogue candidate lightweight spoked pulley envelope; pitch/width/tooth count selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_MOTOR_PULLEY,joint transmission,PHYSICAL ENVELOPE,98.996220,111.003780,29.853942,54.181501,577.840000,602.160000,1.5:1 exact catalogue candidate lightweight spoked motor pulley envelope; bore and retention selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_ACTUATOR_VENDOR_CANDIDATE,joint actuator vendor geometry,PHYSICAL ENVELOPE,86.000000,128.700000,27.767722,56.267722,554.750000,601.250000,ROBOTIS-X430 SHA-bound manufacturer geometry in STEP; dimension-matched simplified body in GLB; project mounting interface remains candidate,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_PITCH_BELT_PATH_RESERVATION,joint transmission reservation,REFERENCE/RESERVATION,101.000000,109.000000,-0.001243,42.018965,585.998757,594.001243,belt sweep/guard reservation only; no belt selection or load credit,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_ROLL_OUTPUT_SHAFT,joint module shaft,PHYSICAL ENVELOPE,100.000000,110.000000,-27.001554,27.001554,584.998446,595.001554,"JMF-03-SHOULDER-GIMBAL hollow shaft candidate with 6.2 mm through bore; material, wall, fits and retention selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_ROLL_BEARING_A_RING,joint module bearing,PHYSICAL ENVELOPE,94.000000,116.000000,-23.003419,-16.996581,578.996581,601.003419,"JMF-03-SHOULDER-GIMBAL 61900-2RS1 EVALUATION CANDIDATE catalogue envelope; load direction, life, suffix, fit, retention and application selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_ROLL_INTERFACE_PLATE_A,joint module interface plate,PHYSICAL ENVELOPE,78.998310,131.001690,-27.002305,-22.997695,561.998310,618.001690,JMF-03-SHOULDER-GIMBAL provisional four-hole module interface; thread/fastener stack not released,CANDIDATE ENVELOPE - NOT A FABRICATION PART
JMOD_L_SHOULDER_ROLL_BEARING_B_RING,joint module bearing,PHYSICAL ENVELOPE,94.000000,116.000000,16.996581,23.003419,578.996581,601.003419,"JMF-03-SHOULDER-GIMBAL 61900-2RS1 EVALUATION CANDIDATE catalogue envelope; load direction, life, suffix, fit, retention and application selection required",CANDIDATE ENVELOPE - NOT A FABRICATION PART
