item_id,function,manufacturer,candidate,quantity,planning_allowance_usd_each,selection_state,authority
HR30-BOM-012,camera,Raspberry Pi,Camera Module 3 Wide-class candidate,2,45,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-013,microphone array,SELECTION REQUIRED,four-microphone USB/I2S array,1,70,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-014,speaker,SELECTION REQUIRED,3 W full-range 40 mm candidate,2,12,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-015,audio amplifier,SELECTION REQUIRED,stereo class-D I2S candidate,1,25,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-016,pelvis IMU,SELECTION REQUIRED,industrial 6/9-axis IMU,1,160,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-017,foot force sensing,SELECTION REQUIRED,four-corner load-cell and ADC set per foot,2,120,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-018,output absolute encoder,SELECTION REQUIRED,reduced leg joint encoder,10,70,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-019,leg reductions,Gates/custom,"225-5MGT3-15 and 250-5MGT3-15 belt candidates with 20:30, 20:40 or 16:40 custom lightweight pulleys; capacity/tension/guard/retention open",10,90,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-020,external joint bearing,NSK/SKF,"696, 625-2Z, 61900-2RS1, 6803 and 6901 primary candidates; 6003-2Z/C3 and 6002-2RS1 retained as evaluated alternatives; direct axes use one external bearing and remote/reduced axes use two",39,35,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-021,frame plates,custom,"P0.1 windowed 4 mm limb plates, hollow torso rails/cross-tube, windowed pelvis plates and foot carriers; CAD density screen 1.526 kg; drawings/material release open",1,900,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-022,shells,custom,P0.1 1.5 mm limb/palm/foot panels and 1.6 mm torso/pelvis/head shells; CAD density screen 0.558 kg; material/process/rib/retention open,1,450,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-023,feet,custom,machined/printed foot core + replaceable compliant sole,2,180,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-024,gripper pads,custom,replaceable broad compliant pad set,2,45,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-025,development power,SELECTION REQUIRED,tethered current-limited 14.8 V-class source,1,500,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-026,onboard energy,Grepow/Tattu,"TAA12K4S30EC5 4S 12 Ah 14.8 V 177.6 Wh 30C pack evaluation candidate; BMS/PCM, containment, retention, connector and charger separate",1,600,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-027,main disconnect/contactors,SELECTION REQUIRED,DC-rated redundant interruption architecture,1,450,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-028,emergency stop/reset,Pilz/IDEC/Schneider candidates,"dual-channel E-stop, monitored reset and EDM hardware",1,950,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-029,fall restraint,SELECTION REQUIRED,rated overhead gantry/harness/load-limiter system,1,1200,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-030,harness/connectors,SELECTION REQUIRED,11 located route-derived cable bundles with connector mass allowances; exact conductors/connectors/fill/EMC/current remain open,1,750,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-031,cooling,SELECTION REQUIRED,Pi Active Cooler plus head tach fan; installed envelopes/masses modeled; torso duct/fan selection open,1,150,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
HR30-BOM-032,fasteners/inserts,SELECTION REQUIRED,distributed 0.340 kg planning allowance placed by module; exact counts/grades/torques/locking remain open,1,350,CANDIDATE / SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY
