part_id,module,role,material_candidate,process_candidate,cad_volume_mm3,density_screen_kg_m3,cad_mass_screen_kg,bbox_mm,service_state,release_state
L01_SHIN_SIDE_REAR,L01,shin side plate,6061-T651 4 MM WINDOWED PLATE CANDIDATE,2.5D CNC/waterjet candidate; edge finish and flatness open,15652.434,2700.0,0.042262,50.003 x 4.005 x 136.003,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L01_THIGH_SIDE_REAR,L01,thigh side plate,6061-T651 4 MM WINDOWED PLATE CANDIDATE,2.5D CNC/waterjet candidate; edge finish and flatness open,17869.822,2700.0,0.048249,56.003 x 4.005 x 142.003,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L01_SHIN_TIE_Z72,L01,shin cross tie,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,4013.197,2700.0,0.010836,42.004 x 40.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L01_SHIN_TIE_Z135,L01,shin cross tie,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,4013.197,2700.0,0.010836,42.004 x 40.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L01_SHIN_TIE_Z183,L01,shin cross tie,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,4013.197,2700.0,0.010836,42.004 x 40.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L01_THIGH_TIE_Z235,L01,thigh cross tie,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,4258.854,2700.0,0.011499,46.004 x 40.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L01_THIGH_TIE_Z300,L01,thigh cross tie,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,4258.854,2700.0,0.011499,46.004 x 40.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L01_THIGH_TIE_Z355,L01,thigh cross tie,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,4258.854,2700.0,0.011499,46.004 x 40.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
F01_SOLE_CARRIER,F01,foot sole carrier,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate; sole interface open,26739.213,2700.0,0.072196,86.004 x 138.004 x 5.005,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
F01_TOP_BRIDGE,F01,foot top bridge,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,12079.906,2700.0,0.032616,68.004 x 86.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A01_UPPER_ARM_LINK_FRONT,A01,upper-arm link plate,6061-T651 4 MM SLOTTED PLATE CANDIDATE,2.5D CNC candidate,10582.353,2700.0,0.028572,33.922 x 28.000 x 150.784,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A01_FOREARM_LINK_FRONT,A01,forearm link plate,6061-T651 4 MM SLOTTED PLATE CANDIDATE,2.5D CNC candidate,9852.826,2700.0,0.026603,8.998 x 26.000 x 145.138,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A01_UPPER_ARM_LINK_REAR,A01,upper-arm link plate,6061-T651 4 MM SLOTTED PLATE CANDIDATE,2.5D CNC candidate,10582.353,2700.0,0.028572,33.922 x 28.000 x 150.784,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A01_FOREARM_LINK_REAR,A01,forearm link plate,6061-T651 4 MM SLOTTED PLATE CANDIDATE,2.5D CNC candidate,9852.826,2700.0,0.026603,8.998 x 26.000 x 145.138,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L01_SHIN_FRONT_COVER,L01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,11799.069,1200.0,0.014159,60.001 x 1.501 x 132.001,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L01_SHIN_REAR_COVER,L01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,11799.069,1200.0,0.014159,60.001 x 1.501 x 132.001,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L01_THIGH_FRONT_COVER,L01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,13576.022,1200.0,0.016291,66.001 x 1.501 x 138.001,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L01_THIGH_REAR_COVER,L01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,13576.022,1200.0,0.016291,66.001 x 1.501 x 138.001,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
F01_TOP_COVER,F01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,14429.705,1200.0,0.017316,82.001 x 118.001 x 1.501,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A01_UPPER_ARM_FRONT_COVER,A01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,10554.970,1200.0,0.012666,31.471 x 46.000 x 150.294,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A01_UPPER_ARM_REAR_COVER,A01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,10554.970,1200.0,0.012666,31.471 x 46.000 x 150.294,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A01_FOREARM_FRONT_COVER,A01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,9575.688,1200.0,0.011491,6.499 x 44.000 x 145.052,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A01_FOREARM_REAR_COVER,A01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,9575.688,1200.0,0.011491,6.499 x 44.000 x 145.052,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
G01_PALM_REAR_COVER,G01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,2175.020,1200.0,0.002610,46.001 x 1.501 x 32.001,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_SHIN_SIDE_FRONT,L02,shin side plate,6061-T651 4 MM WINDOWED PLATE CANDIDATE,2.5D CNC/waterjet candidate; edge finish and flatness open,15652.434,2700.0,0.042262,50.003 x 4.005 x 136.003,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_THIGH_SIDE_FRONT,L02,thigh side plate,6061-T651 4 MM WINDOWED PLATE CANDIDATE,2.5D CNC/waterjet candidate; edge finish and flatness open,17869.822,2700.0,0.048249,56.003 x 4.005 x 142.003,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_SHIN_SIDE_REAR,L02,shin side plate,6061-T651 4 MM WINDOWED PLATE CANDIDATE,2.5D CNC/waterjet candidate; edge finish and flatness open,15652.434,2700.0,0.042262,50.003 x 4.005 x 136.003,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_THIGH_SIDE_REAR,L02,thigh side plate,6061-T651 4 MM WINDOWED PLATE CANDIDATE,2.5D CNC/waterjet candidate; edge finish and flatness open,17869.822,2700.0,0.048249,56.003 x 4.005 x 142.003,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_SHIN_TIE_Z72,L02,shin cross tie,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,4013.197,2700.0,0.010836,42.004 x 40.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_SHIN_TIE_Z135,L02,shin cross tie,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,4013.197,2700.0,0.010836,42.004 x 40.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_SHIN_TIE_Z183,L02,shin cross tie,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,4013.197,2700.0,0.010836,42.004 x 40.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_THIGH_TIE_Z235,L02,thigh cross tie,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,4258.854,2700.0,0.011499,46.004 x 40.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_THIGH_TIE_Z300,L02,thigh cross tie,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,4258.854,2700.0,0.011499,46.004 x 40.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_THIGH_TIE_Z355,L02,thigh cross tie,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,4258.854,2700.0,0.011499,46.004 x 40.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
F02_SOLE_CARRIER,F02,foot sole carrier,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate; sole interface open,26739.213,2700.0,0.072196,86.004 x 138.004 x 5.005,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
F02_TOP_BRIDGE,F02,foot top bridge,6061-T651 WINDOWED PLATE CANDIDATE,2.5D CNC candidate,12079.906,2700.0,0.032616,68.004 x 86.004 x 4.004,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A02_UPPER_ARM_LINK_FRONT,A02,upper-arm link plate,6061-T651 4 MM SLOTTED PLATE CANDIDATE,2.5D CNC candidate,10582.353,2700.0,0.028572,33.922 x 28.000 x 150.784,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A02_FOREARM_LINK_FRONT,A02,forearm link plate,6061-T651 4 MM SLOTTED PLATE CANDIDATE,2.5D CNC candidate,9852.826,2700.0,0.026603,8.998 x 26.000 x 145.138,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A02_UPPER_ARM_LINK_REAR,A02,upper-arm link plate,6061-T651 4 MM SLOTTED PLATE CANDIDATE,2.5D CNC candidate,10582.353,2700.0,0.028572,33.922 x 28.000 x 150.784,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A02_FOREARM_LINK_REAR,A02,forearm link plate,6061-T651 4 MM SLOTTED PLATE CANDIDATE,2.5D CNC candidate,9852.826,2700.0,0.026603,8.998 x 26.000 x 145.138,FIXED FRAME,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_SHIN_FRONT_COVER,L02,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,11799.069,1200.0,0.014159,60.001 x 1.501 x 132.001,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_SHIN_REAR_COVER,L02,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,11799.069,1200.0,0.014159,60.001 x 1.501 x 132.001,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_THIGH_FRONT_COVER,L02,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,13576.022,1200.0,0.016291,66.001 x 1.501 x 138.001,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
L02_THIGH_REAR_COVER,L02,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,13576.022,1200.0,0.016291,66.001 x 1.501 x 138.001,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
F02_TOP_COVER,F02,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,14429.705,1200.0,0.017316,82.001 x 118.001 x 1.501,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A02_UPPER_ARM_FRONT_COVER,A02,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,10554.970,1200.0,0.012666,31.471 x 46.000 x 150.294,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A02_UPPER_ARM_REAR_COVER,A02,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,10554.970,1200.0,0.012666,31.471 x 46.000 x 150.294,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A02_FOREARM_FRONT_COVER,A02,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,9575.688,1200.0,0.011491,6.499 x 44.000 x 145.052,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
A02_FOREARM_REAR_COVER,A02,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,9575.688,1200.0,0.011491,6.499 x 44.000 x 145.052,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
G02_PALM_REAR_COVER,G02,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,2175.020,1200.0,0.002610,46.001 x 1.501 x 32.001,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
T01_TORSO_FRONT_COVER,T01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,67009.805,1200.0,0.080412,209.000 x 66.500 x 174.000,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
T01_TORSO_REAR_COVER,T01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,67009.805,1200.0,0.080412,209.000 x 66.500 x 174.000,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
P01_PELVIS_FRONT_COVER,P01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,25581.836,1200.0,0.030698,161.500 x 56.875 x 71.500,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
P01_PELVIS_REAR_COVER,P01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,25581.836,1200.0,0.030698,161.500 x 56.875 x 71.500,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
H01_HEAD_FRONT_BEZEL,H01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,26278.481,1200.0,0.031534,150.024 x 55.015 x 101.580,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
H01_HEAD_REAR_COVER,H01,removable cover,PETG/PA-CF PRINT COUPON SELECTION REQUIRED,FDM/SLS candidate; orientation and process qualification required,38160.505,1200.0,0.045793,150.030 x 55.018 x 101.585,TOOL-REMOVABLE CANDIDATE,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
HN01_TORSO_POWER_SPINE,HN01,harness corridor reference,REFERENCE VOLUME - NOT MATERIAL,route reservation only,26169.467,0.0,0.000000,14.004 x 14.000 x 170.004,REFERENCE ONLY,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
HN01_TORSO_DATA_SPINE,HN01,harness corridor reference,REFERENCE VOLUME - NOT MATERIAL,route reservation only,13351.769,0.0,0.000000,10.003 x 10.000 x 170.003,REFERENCE ONLY,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
HN01_HEAD_BRANCH,HN01,harness corridor reference,REFERENCE VOLUME - NOT MATERIAL,route reservation only,9929.930,0.0,0.000000,27.901 x 15.989 x 126.504,REFERENCE ONLY,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
HN01_L_LEG_POWER,L01,harness corridor reference,REFERENCE VOLUME - NOT MATERIAL,route reservation only,39810.262,0.0,0.000000,12.004 x 12.000 x 352.004,REFERENCE ONLY,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
HN01_L_LEG_DATA,L01,harness corridor reference,REFERENCE VOLUME - NOT MATERIAL,route reservation only,22393.272,0.0,0.000000,9.003 x 9.000 x 352.003,REFERENCE ONLY,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
HN01_L_ARM_POWER,A01,harness corridor reference,REFERENCE VOLUME - NOT MATERIAL,route reservation only,22311.944,0.0,0.000000,57.859 x 10.000 x 281.693,REFERENCE ONLY,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
HN01_L_ARM_DATA,A01,harness corridor reference,REFERENCE VOLUME - NOT MATERIAL,route reservation only,14217.225,0.0,0.000000,47.922 x 8.000 x 281.134,REFERENCE ONLY,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
HN01_R_LEG_POWER,L02,harness corridor reference,REFERENCE VOLUME - NOT MATERIAL,route reservation only,39810.262,0.0,0.000000,12.004 x 12.000 x 352.004,REFERENCE ONLY,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
HN01_R_LEG_DATA,L02,harness corridor reference,REFERENCE VOLUME - NOT MATERIAL,route reservation only,22393.272,0.0,0.000000,9.003 x 9.000 x 352.003,REFERENCE ONLY,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
HN01_R_ARM_POWER,A02,harness corridor reference,REFERENCE VOLUME - NOT MATERIAL,route reservation only,22311.944,0.0,0.000000,57.859 x 10.000 x 281.693,REFERENCE ONLY,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
HN01_R_ARM_DATA,A02,harness corridor reference,REFERENCE VOLUME - NOT MATERIAL,route reservation only,14217.225,0.0,0.000000,47.922 x 8.000 x 281.134,REFERENCE ONLY,DIMENSIONED CANDIDATE - DRAWING/GD&T/MATERIAL/FASTENER/LOAD/DFM/FAI RELEASE OPEN
