reference,field,expected_value,native_kicad_value,match,field_visible,release_effect,warning
UDRV2,ManufacturerPartNumber,TPL7407LPWR,TPL7407LPWR,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,PackageCode,PW / TSSOP-16,PW / TSSOP-16,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,PrimaryDocument,TPL7407L datasheet SLRS066D,TPL7407L datasheet SLRS066D,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,PrimaryDocumentRevisionDate,Revision D / March 2016,Revision D / March 2016,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,PackageDrawing,PW0016A; drawing 4220204/B; December 2023,PW0016A; drawing 4220204/B; December 2023,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,LandBasis,"TI TPL7407L example board layout; 0.45 x 1.50 mm pads, 0.65 mm pitch, 5.80 mm row-center spacing","TI TPL7407L example board layout; 0.45 x 1.50 mm pads, 0.65 mm pitch, 5.80 mm row-center spacing",TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,AssemblyProcess,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UDRV2,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,Manufacturer,Texas Instruments,Texas Instruments,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,ManufacturerPartNumber,ISO1212DBQ,ISO1212DBQ,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,PackageCode,DBQ / SSOP-16,DBQ / SSOP-16,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,PrimaryDocument,ISO1212 datasheet SLLSEY7G,ISO1212 datasheet SLLSEY7G,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,PrimaryDocumentRevisionDate,Revision G / February 2025,Revision G / February 2025,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,PackageDrawing,DBQ0016A; drawing 4214846/A; March 2014,DBQ0016A; drawing 4214846/A; March 2014,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,LandBasis,"TI ISO1212 example board layout; 0.41 x 1.60 mm pads, 0.635 mm pitch, 5.40 mm row-center spacing; R0.05 pad corner is project-controlled","TI ISO1212 example board layout; 0.41 x 1.60 mm pads, 0.635 mm pitch, 5.40 mm row-center spacing; R0.05 pad corner is project-controlled",TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,AssemblyProcess,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
UFB1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,Manufacturer,Vishay,Vishay,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,ManufacturerPartNumber,VO618A-4X017T,VO618A-4X017T,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,PackageCode,SMD-4 option 7,SMD-4 option 7,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,PrimaryDocument,VO618A datasheet 83432,VO618A datasheet 83432,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,PrimaryDocumentRevisionDate,Revision 2.1 / 22 January 2025,Revision 2.1 / 22 January 2025,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,PackageDrawing,VO618A option-7 dimensioned package and land drawing,VO618A option-7 dimensioned package and land drawing,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,LandBasis,"Vishay option-7 land drawing; 1.52 x 1.78 mm pads, 9.53 x 2.54 mm center pattern, 8.01 mm inner gap, 11.05 mm overall span","Vishay option-7 land drawing; 1.52 x 1.78 mm pads, 9.53 x 2.54 mm center pattern, 8.01 mm inner gap, 11.05 mm overall span",TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,AssemblyProcess,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,FALSE,IDENTITY/EVIDENCE ONLY - NO PROCESS OR FABRICATION AUTHORITY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
